event_id,active_operational_tier,scenario_type,expected_delay_delta,expected_risk_delta,expected_alert_delta,counterfactual_score,generated_at
FKID003911,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID003911,Elevated,B_no_action,84551.1843,19.1538,0.0,0.106518,2026-06-20T01:47:21.593060+00:00
FKID003911,Elevated,C_reduced_resources,42275.5921,9.5769,0.0,0.053259,2026-06-20T01:47:21.593060+00:00
FKID003911,Elevated,D_increased_resources,-157663.5723,-6.0958,-0.0,0.094953,2026-06-20T01:47:21.593060+00:00
FKID003911,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004711,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004711,Elevated,B_no_action,18224.1168,12.883,0.0,0.0536,2026-06-20T01:47:21.593060+00:00
FKID004711,Elevated,C_reduced_resources,9112.0584,6.4415,0.0,0.0268,2026-06-20T01:47:21.593060+00:00
FKID004711,Elevated,D_increased_resources,-157663.5723,-6.009,-0.0,0.094649,2026-06-20T01:47:21.593060+00:00
FKID004711,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001133,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001133,Elevated,B_no_action,65454.4172,15.7594,0.0,0.085721,2026-06-20T01:47:21.593060+00:00
FKID001133,Elevated,C_reduced_resources,32727.2086,7.8797,0.0,0.04286,2026-06-20T01:47:21.593060+00:00
FKID001133,Elevated,D_increased_resources,-157663.5723,-6.0279,-0.0,0.094716,2026-06-20T01:47:21.593060+00:00
FKID001133,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005079,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005079,Normal,B_no_action,43191.312,12.1412,0.0,0.062662,2026-06-20T01:47:21.593060+00:00
FKID005079,Normal,C_reduced_resources,21595.656,6.0706,0.0,0.031331,2026-06-20T01:47:21.593060+00:00
FKID005079,Normal,D_increased_resources,-157663.5723,-5.663,-0.0,0.093439,2026-06-20T01:47:21.593060+00:00
FKID005079,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000944,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000944,Critical,B_no_action,129701.8854,22.5133,0.0,0.139358,2026-06-20T01:47:21.593060+00:00
FKID000944,Critical,C_reduced_resources,64850.9427,11.2567,0.0,0.069679,2026-06-20T01:47:21.593060+00:00
FKID000944,Critical,D_increased_resources,-157663.5723,-6.2129,-0.0,0.095363,2026-06-20T01:47:21.593060+00:00
FKID000944,Critical,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006955,Emergency,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006955,Emergency,B_no_action,381293.0665,14.9997,0.4369,0.428812,2026-06-20T01:47:21.593060+00:00
FKID006955,Emergency,C_reduced_resources,190646.5332,7.4998,0.2185,0.214406,2026-06-20T01:47:21.593060+00:00
FKID006955,Emergency,D_increased_resources,-157663.5723,-6.9963,-0.1092,0.147674,2026-06-20T01:47:21.593060+00:00
FKID006955,Emergency,E_diversion_disabled,114387.9199,5.2472,0.0,0.071776,2026-06-20T01:47:21.593060+00:00
FKID005137,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005137,Normal,B_no_action,54774.883,12.2775,0.0,0.068547,2026-06-20T01:47:21.593060+00:00
FKID005137,Normal,C_reduced_resources,27387.4415,6.1387,0.0,0.034274,2026-06-20T01:47:21.593060+00:00
FKID005137,Normal,D_increased_resources,-157663.5723,-5.7266,-0.0,0.093661,2026-06-20T01:47:21.593060+00:00
FKID005137,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004125,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004125,Critical,B_no_action,69746.5297,22.8999,0.0,0.112716,2026-06-20T01:47:21.593060+00:00
FKID004125,Critical,C_reduced_resources,34873.2649,11.4499,0.0,0.056358,2026-06-20T01:47:21.593060+00:00
FKID004125,Critical,D_increased_resources,-157663.5723,-6.3196,-0.0,0.095737,2026-06-20T01:47:21.593060+00:00
FKID004125,Critical,E_diversion_disabled,20923.9589,4.7397,0.0,0.026359,2026-06-20T01:47:21.593060+00:00
FKID001125,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001125,Critical,B_no_action,113555.6031,23.133,0.0,0.133988,2026-06-20T01:47:21.593060+00:00
FKID001125,Critical,C_reduced_resources,56777.8015,11.5665,0.0,0.066994,2026-06-20T01:47:21.593060+00:00
FKID001125,Critical,D_increased_resources,-157663.5723,-6.3839,-0.0,0.095962,2026-06-20T01:47:21.593060+00:00
FKID001125,Critical,E_diversion_disabled,34066.6809,4.7879,0.0,0.032665,2026-06-20T01:47:21.593060+00:00
FKID007137,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID007137,Elevated,B_no_action,30504.9402,15.5347,0.0,0.068615,2026-06-20T01:47:21.593060+00:00
FKID007137,Elevated,C_reduced_resources,15252.4701,7.7673,0.0,0.034308,2026-06-20T01:47:21.593060+00:00
FKID007137,Elevated,D_increased_resources,-157663.5723,-5.9419,-0.0,0.094415,2026-06-20T01:47:21.593060+00:00
FKID007137,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID007189,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID007189,Elevated,B_no_action,35588.9519,18.9909,0.0,0.083086,2026-06-20T01:47:21.593060+00:00
FKID007189,Elevated,C_reduced_resources,17794.476,9.4955,0.0,0.041543,2026-06-20T01:47:21.593060+00:00
FKID007189,Elevated,D_increased_resources,-157663.5723,-6.044,-0.0,0.094772,2026-06-20T01:47:21.593060+00:00
FKID007189,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001646,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001646,Elevated,B_no_action,48826.8325,15.1916,0.0,0.075969,2026-06-20T01:47:21.593060+00:00
FKID001646,Elevated,C_reduced_resources,24413.4163,7.5958,0.0,0.037985,2026-06-20T01:47:21.593060+00:00
FKID001646,Elevated,D_increased_resources,-157663.5723,-5.8107,-0.0,0.093955,2026-06-20T01:47:21.593060+00:00
FKID001646,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005593,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005593,Normal,B_no_action,57981.6135,12.3922,0.0,0.070446,2026-06-20T01:47:21.593060+00:00
FKID005593,Normal,C_reduced_resources,28990.8067,6.1961,0.0,0.035223,2026-06-20T01:47:21.593060+00:00
FKID005593,Normal,D_increased_resources,-157663.5723,-5.7801,-0.0,0.093848,2026-06-20T01:47:21.593060+00:00
FKID005593,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000129,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000129,Critical,B_no_action,86587.8213,19.2763,0.0,0.107898,2026-06-20T01:47:21.593060+00:00
FKID000129,Critical,C_reduced_resources,43293.9106,9.6382,0.0,0.053949,2026-06-20T01:47:21.593060+00:00
FKID000129,Critical,D_increased_resources,-157663.5723,-6.1348,-0.0,0.09509,2026-06-20T01:47:21.593060+00:00
FKID000129,Critical,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005194,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005194,Normal,B_no_action,39807.2761,11.9465,0.0,0.0604,2026-06-20T01:47:21.593060+00:00
FKID005194,Normal,C_reduced_resources,19903.6381,5.9732,0.0,0.0302,2026-06-20T01:47:21.593060+00:00
FKID005194,Normal,D_increased_resources,-157663.5723,-5.5722,-0.0,0.093121,2026-06-20T01:47:21.593060+00:00
FKID005194,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001288,Emergency,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001288,Emergency,B_no_action,136518.1027,23.2899,0.0,0.145259,2026-06-20T01:47:21.593060+00:00
FKID001288,Emergency,C_reduced_resources,68259.0513,11.645,0.0,0.07263,2026-06-20T01:47:21.593060+00:00
FKID001288,Emergency,D_increased_resources,-157663.5723,-6.4272,-0.0,0.096113,2026-06-20T01:47:21.593060+00:00
FKID001288,Emergency,E_diversion_disabled,40955.4308,4.8204,0.0,0.035995,2026-06-20T01:47:21.593060+00:00
FKID001693,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001693,Critical,B_no_action,66349.9131,22.5252,0.0,0.109819,2026-06-20T01:47:21.593060+00:00
FKID001693,Critical,C_reduced_resources,33174.9565,11.2626,0.0,0.05491,2026-06-20T01:47:21.593060+00:00
FKID001693,Critical,D_increased_resources,-157663.5723,-6.2162,-0.0,0.095375,2026-06-20T01:47:21.593060+00:00
FKID001693,Critical,E_diversion_disabled,19904.9739,4.6621,0.0,0.025612,2026-06-20T01:47:21.593060+00:00
FKID000022,Emergency,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000022,Emergency,B_no_action,82558.334,23.5768,0.0,0.121068,2026-06-20T01:47:21.593060+00:00
FKID000022,Emergency,C_reduced_resources,41279.167,11.7884,0.0,0.060534,2026-06-20T01:47:21.593060+00:00
FKID000022,Emergency,D_increased_resources,-157663.5723,-6.5064,-0.0,0.09639,2026-06-20T01:47:21.593060+00:00
FKID000022,Emergency,E_diversion_disabled,24767.5002,4.8798,0.0,0.028644,2026-06-20T01:47:21.593060+00:00
FKID004519,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004519,Normal,B_no_action,40872.4856,12.0821,0.0,0.061372,2026-06-20T01:47:21.593060+00:00
FKID004519,Normal,C_reduced_resources,20436.2428,6.041,0.0,0.030686,2026-06-20T01:47:21.593060+00:00
FKID004519,Normal,D_increased_resources,-157663.5723,-5.6354,-0.0,0.093342,2026-06-20T01:47:21.593060+00:00
FKID004519,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID007660,Emergency,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID007660,Emergency,B_no_action,43862.8826,24.8483,0.0,0.10745,2026-06-20T01:47:21.593060+00:00
FKID007660,Emergency,C_reduced_resources,21931.4413,12.4242,0.0,0.053725,2026-06-20T01:47:21.593060+00:00
FKID007660,Emergency,D_increased_resources,-157663.5723,-6.8573,-0.0,0.097618,2026-06-20T01:47:21.593060+00:00
FKID007660,Emergency,E_diversion_disabled,13158.8648,5.143,0.0,0.024145,2026-06-20T01:47:21.593060+00:00
FKID004408,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004408,Normal,B_no_action,39691.0157,12.2456,0.0,0.061393,2026-06-20T01:47:21.593060+00:00
FKID004408,Normal,C_reduced_resources,19845.5079,6.1228,0.0,0.030696,2026-06-20T01:47:21.593060+00:00
FKID004408,Normal,D_increased_resources,-157663.5723,-5.7117,-0.0,0.093609,2026-06-20T01:47:21.593060+00:00
FKID004408,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000842,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000842,Critical,B_no_action,57185.4489,19.2835,0.0,0.094194,2026-06-20T01:47:21.593060+00:00
FKID000842,Critical,C_reduced_resources,28592.7244,9.6418,0.0,0.047097,2026-06-20T01:47:21.593060+00:00
FKID000842,Critical,D_increased_resources,-157663.5723,-6.1371,-0.0,0.095098,2026-06-20T01:47:21.593060+00:00
FKID000842,Critical,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004694,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004694,Normal,B_no_action,47255.0053,12.3332,0.0,0.065231,2026-06-20T01:47:21.593060+00:00
FKID004694,Normal,C_reduced_resources,23627.5026,6.1666,0.0,0.032616,2026-06-20T01:47:21.593060+00:00
FKID004694,Normal,D_increased_resources,-157663.5723,-5.7525,-0.0,0.093752,2026-06-20T01:47:21.593060+00:00
FKID004694,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004967,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004967,Normal,B_no_action,34037.8196,12.0053,0.0,0.057912,2026-06-20T01:47:21.593060+00:00
FKID004967,Normal,C_reduced_resources,17018.9098,6.0027,0.0,0.028956,2026-06-20T01:47:21.593060+00:00
FKID004967,Normal,D_increased_resources,-157663.5723,-5.5996,-0.0,0.093217,2026-06-20T01:47:21.593060+00:00
FKID004967,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID008103,Emergency,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID008103,Emergency,B_no_action,256837.4802,14.0551,0.0,0.169118,2026-06-20T01:47:21.593060+00:00
FKID008103,Emergency,C_reduced_resources,128418.7401,7.0275,0.0,0.084559,2026-06-20T01:47:21.593060+00:00
FKID008103,Emergency,D_increased_resources,-157663.5723,-6.5557,-0.0,0.096563,2026-06-20T01:47:21.593060+00:00
FKID008103,Emergency,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000164,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000164,Normal,B_no_action,44839.7909,12.4168,0.0,0.064396,2026-06-20T01:47:21.593060+00:00
FKID000164,Normal,C_reduced_resources,22419.8954,6.2084,0.0,0.032198,2026-06-20T01:47:21.593060+00:00
FKID000164,Normal,D_increased_resources,-157663.5723,-5.7915,-0.0,0.093888,2026-06-20T01:47:21.593060+00:00
FKID000164,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000346,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000346,Normal,B_no_action,62645.6013,12.1156,0.0,0.071656,2026-06-20T01:47:21.593060+00:00
FKID000346,Normal,C_reduced_resources,31322.8007,6.0578,0.0,0.035828,2026-06-20T01:47:21.593060+00:00
FKID000346,Normal,D_increased_resources,-157663.5723,-5.6511,-0.0,0.093397,2026-06-20T01:47:21.593060+00:00
FKID000346,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID003103,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID003103,Elevated,B_no_action,41404.5335,12.4679,0.0,0.062971,2026-06-20T01:47:21.593060+00:00
FKID003103,Elevated,C_reduced_resources,20702.2668,6.234,0.0,0.031485,2026-06-20T01:47:21.593060+00:00
FKID003103,Elevated,D_increased_resources,-157663.5723,-5.8154,-0.0,0.093972,2026-06-20T01:47:21.593060+00:00
FKID003103,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001931,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001931,Elevated,B_no_action,25758.293,12.5355,0.0,0.055902,2026-06-20T01:47:21.593060+00:00
FKID001931,Elevated,C_reduced_resources,12879.1465,6.2678,0.0,0.027951,2026-06-20T01:47:21.593060+00:00
FKID001931,Elevated,D_increased_resources,-157663.5723,-5.8469,-0.0,0.094082,2026-06-20T01:47:21.593060+00:00
FKID001931,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001932,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001932,Elevated,B_no_action,27521.4646,12.4794,0.0,0.056528,2026-06-20T01:47:21.593060+00:00
FKID001932,Elevated,C_reduced_resources,13760.7323,6.2397,0.0,0.028264,2026-06-20T01:47:21.593060+00:00
FKID001932,Elevated,D_increased_resources,-157663.5723,-5.8207,-0.0,0.093991,2026-06-20T01:47:21.593060+00:00
FKID001932,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000528,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000528,Elevated,B_no_action,11569.8066,13.0208,0.0,0.050975,2026-06-20T01:47:21.593060+00:00
FKID000528,Elevated,C_reduced_resources,5784.9033,6.5104,0.0,0.025488,2026-06-20T01:47:21.593060+00:00
FKID000528,Elevated,D_increased_resources,-157663.5723,-6.0733,-0.0,0.094875,2026-06-20T01:47:21.593060+00:00
FKID000528,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000968,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000968,Elevated,B_no_action,11212.0693,12.6821,0.0,0.049623,2026-06-20T01:47:21.593060+00:00
FKID000968,Elevated,C_reduced_resources,5606.0346,6.3411,0.0,0.024811,2026-06-20T01:47:21.593060+00:00
FKID000968,Elevated,D_increased_resources,-157663.5723,-5.9153,-0.0,0.094322,2026-06-20T01:47:21.593060+00:00
FKID000968,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001489,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001489,Normal,B_no_action,20840.0636,12.2533,0.0,0.052617,2026-06-20T01:47:21.593060+00:00
