junction,operational_burden_index,severity_norm,persistence_norm,hawkes_norm,duration_risk_norm,frailty_norm
KoramangalaWaterTankJunc,0.3304467072298339,0.4950741651129919,0.4660755206100939,0.0,0.3525051,0.5972484590478312
TumkurRdMarappanapalyaJunc,0.3301434568591456,0.1874835794014441,0.1589744657135929,0.0,0.52987283,1.0
BEL Circle,0.3107781436966486,0.3876559775297117,0.4944543880010648,0.0,0.6584788,0.1953131389513918
TataInstituteCircle,0.3031099753016826,0.191639271966278,0.2529142327134183,0.0,0.3070132,1.0
PeenyaPoliceStation,0.3012329895715927,0.1947277293907827,0.2604473877451858,0.0,0.2883523,1.0
MS RamaiahJunc(TollGate),0.3005236454475182,0.1685839671836631,0.3773891032446693,0.0,0.20380324,1.0
Batrayanapura(Amrutahalli)Junction,0.2959592679717258,0.229554126253807,0.4510029212930769,0.0,0.30536717,0.7189757650313102
"VeerannapalyaJunction(BEL,HO)",0.2859048743463685,0.4473122439311406,0.5055076743283665,0.0,0.44081807,0.2337591353313465
BigBazaarJunction(OldMadrasRd),0.276010985419697,0.2946900054606329,0.0671589883574993,0.0,0.34483984,0.8857469652232445
LeprosyhospitalJunc,0.2741951097046004,0.327924758157917,0.1346013024810054,0.0,0.65219027,0.4125846758555054
JakkurCrossJunction,0.2694543395136366,0.2642318898639494,0.3787141417880021,0.0,0.2057164,0.7189757650313102
Shivajinagar(BRV)Junction,0.2644667284398527,0.2418749609755286,0.0731207455349652,0.0,0.32447046,0.8857469652232445
UniversityJunc(Janabharti),0.2577869875525643,0.1707974569410343,0.2582455981942124,0.0,0.21467403,0.8530678749162918
IndianExpressJunction,0.2577731860281335,0.2711213958441975,0.0637191756468868,0.0,0.45505747,0.6739763944362437
KatriguppeJunction,0.2563512881139772,0.2148254649059231,0.207500544704622,0.0,0.2883523,0.7676981650041279
KogilluCrossJunc,0.25461986663074,0.2554523345295767,0.2564521407134496,0.0,0.24477905,0.7189757650313102
NaganathapuraJunction,0.2526637424675249,0.194536873966354,0.1746270259611856,0.0,0.3006479,0.7846937698552102
UlsoorGateJunc,0.2515804324946498,0.149590314703534,0.216921461658496,0.0,0.23682229,0.8530678749162918
SiddalingaiahCircle,0.2428247933861451,0.1580719358903182,0.1582552190889765,0.0,0.23682229,0.8530678749162918
SarjapurRd-St JohnsRdJunc,0.2370746830218239,0.1778002251944679,0.3072904107852951,0.0,0.11910285,0.7846937698552102
SirsiCircle,0.2364679358252885,0.1269057591362573,0.1738847628817257,0.0,0.21650277,0.8530678749162918
Devasandra(k r puram),0.2325821594392763,0.1686184100207381,0.1022882422245337,0.0,0.67743343,0.3220767002165141
KodigehalliCross,0.2325258076537903,0.1669185086280706,0.4421617393296732,0.0,0.4047666,0.2939435972903264
BilekahalliJunc,0.2310475130241209,0.2616779809678755,0.0953645857902402,0.0,0.23830286,0.7458468964841158
PoliceTimmaiahCircle(GPO),0.2269314905734072,0.2337035080651575,0.0538503952204712,0.0,0.33799553,0.6739763944362437
N R SquareJunc,0.2264237029336706,0.1418915151896128,0.0258102501281655,0.0,0.28294203,0.8530678749162918
MaratahalliBridgeJunc,0.2249264979378734,0.3034508361066921,0.1340984852269434,0.0,0.45499328,0.3747791086575953
Nagavara-ORR Junction,0.2227860556693364,0.5561462219650346,0.2421544483456079,0.0,0.46090502,0.0
TrinityCircle,0.2217793730033404,0.1811430255438455,0.0,0.0,0.22188932,0.8857469652232445
MotherTeressaCircle,0.2185814861891211,0.1581050446540805,0.0178883154008499,0.0,0.23676613,0.8530678749162918
KhodaysCircle(DV UrsCircle),0.2175666225647597,0.1182957335269384,0.1214331304591671,0.0,0.6258553,0.3220767002165141
ArakereGateJunc,0.2163184299264775,0.2691091805051925,0.0,0.0,0.24100997,0.7458468964841158
Dr TCM RoyanRd near AmbedkarStatue,0.2136347521984682,0.1770236686895749,0.0159442534603656,0.0,0.19781922,0.8530678749162918
QueensStatueCircle,0.2127266891950313,0.1361752873257679,0.1171109269673933,0.0,0.1103394,0.8857469652232445
Kadubeesanahalli-ORR Junc,0.2121920015621898,0.2220990250064144,0.1162124185801561,0.0,0.4205611,0.4362794735145532
K R Circle,0.2116740859384881,0.1715092345389984,0.1194640210624759,0.0,0.5539371,0.3220767002165141
Richmond circle jn,0.2106997395548759,0.176641291891029,0.136442263793164,0.0,0.077683955,0.8530678749162918
ItmaduJunction,0.2067370048933592,0.0955987605782634,0.2231891246488634,0.0,0.12091983,0.7676981650041279
OldMadrasRd-Indranagar100ftRdJunc,0.2052423946756074,0.146769007295303,0.0384555595063756,0.0,0.1325639,0.8857469652232445
KadirenahalliJunction,0.2007467915485321,0.1274053789923985,0.0139840439838949,0.0,0.2476494,0.7676981650041279
ShivajiTalkiesJunc,0.1976178382919279,0.0873390864978322,0.0850744055492744,0.0,0.12973312,0.8530678749162918
K R MarketJunction,0.1967409653076188,0.1017112350959962,0.0850744055492744,0.0,0.113468654,0.8530678749162918
HunsemarammanahalliJunction,0.196425839743893,0.1132035795119845,0.1585565372129379,0.0,0.15224867,0.7189757650313102
Sumanhalli,0.1955653433775631,0.2636058476841055,0.0,0.0,0.4240694,0.4125846758555054
KanakapuraRd-RingRdJunction,0.1905852221832778,0.125052954346763,0.0060295375638958,0.0,0.2049989,0.7676981650041279
Ashoknagar Junction(ShoolayCircle),0.1898794164502785,0.0988890669173883,0.0,0.0,0.15550542,0.8530678749162918
Kudlu Gate Junc,0.1890915377503602,0.1005767172668069,0.1206820552848321,0.0,0.102630824,0.7846937698552102
AshirwadamCircle,0.1874995167747432,0.0950496459182153,0.0295526870437555,0.0,0.120699026,0.8530678749162918
AnepalyaJunc,0.1869639528594849,0.1092353140180877,0.1002346869811932,0.0,0.102630824,0.7846937698552102
HulimaveRd-BanneraghattaRdJunc,0.1861554228972052,0.1527015503076052,0.0,0.0,0.18368593,0.7458468964841158
MinskSquare(CTO Junction),0.1847095081435638,0.1363020518942961,0.097913594775048,0.0,0.1652664,0.6739763944362437
OldMadrasRd-NGEF Junc,0.1843139138109658,0.0995148172191435,0.0502746184450735,0.0,0.054882474,0.8857469652232445
PES-DevegowdaCircle,0.1830041622296598,0.0648117617362469,0.1718992417598346,0.0,0.07075784,0.7676981650041279
BDA Junctio-Koramangala,0.1824664982285862,0.0983322452122173,0.255268733485204,0.0,0.11260108,0.5972484590478312
MeenakshiMallJunc,0.1817510099589277,0.1376953850471814,0.0186883968198463,0.0,0.15730648,0.7458468964841158
AnilKumbleCircle,0.1815329421141408,0.0973054758950133,0.0,0.0,0.08663196,0.8857469652232445
OldMadrasRd-80FeetRdJunc,0.1813596987656513,0.0962364039972915,0.0,0.0,0.08663196,0.8857469652232445
SadahalliGateJunc(AirportRd),0.1802704371658345,0.1028619136635981,0.1097411173586147,0.0,0.121552974,0.7189757650313102
OperaHouseJunc,0.1786728737157986,0.1229833604901592,0.0,0.0,0.07884238,0.8530678749162918
Srigandakaval,0.1785209653323211,0.2452726407813517,0.0264209819888555,0.0,0.32952473,0.4125846758555054
RamaiahCircle-UlsoorPoliceStation,0.1775673175967326,0.1114523687415534,0.0,0.0,0.054882474,0.8857469652232445
BiryandCircle,0.1766619140794749,0.0815562745739759,0.008640726907091,0.0,0.095129184,0.8530678749162918
Marigowda-TavarkereRdJunc,0.1754633168164285,0.1446314198712843,0.0770956812653509,0.0,0.42944124,0.3220767002165141
JP Nagar 15th cross junction,0.172118341763217,0.1282938077734919,0.0,0.0,0.11392818,0.7676981650041279
JayadevaHospitalJunc,0.1717189905961013,0.119576296517132,0.0,0.0,0.13767867,0.7458468964841158
SadashivnagarJunc,0.1714930732795558,0.0629581181338769,0.2655412444169465,0.0,0.311362,0.3220767002165141
CashPharmacyJunction,0.1701776184039471,0.0484401481012275,0.0983898254756446,0.0,0.010835596,0.8530678749162918
SagarHospitalJunc,0.1699253639428644,0.0815562745739759,0.0,0.0,0.15983652,0.7458468964841158
Deverabeesanahalli-ORR Junc,0.1685452466559304,0.2392534242274926,0.1492134276138684,0.0,0.15611435,0.4362794735145532
FTI Junction(KanteeravaStudio),0.167785226942831,0.0597842253136694,0.3605797922557237,0.0,0.21190405,0.3220767002165141
HennurRoad-ORR Junc,0.1645033843619603,0.2596193081622949,0.0442647902992816,0.0,0.38242233,0.2347649577901162
A S CharStreet-MysoreRdJunc,0.1644484064459407,0.0733848772735545,0.0,0.0,0.047453657,0.8530678749162918
KamrajRdJunction,0.1643918550552753,0.0743158988700214,0.0,0.0,0.018570263,0.8857469652232445
OldPoliceStation-Ashoknagar,0.164020399934935,0.0681195632640887,0.0,0.0,0.04961103,0.8530678749162918
CMH Rd-AdarshTheaterJunc,0.163886304946916,0.0717695216250988,0.0,0.0,0.018098906,0.8857469652232445
MayohallJunction,0.1638513129692463,0.0715535887174375,0.0,0.0,0.018098906,0.8857469652232445
GarebhavipalyaJunc,0.1638266914182705,0.0668761451506602,0.0808534338574704,0.0,0.037051477,0.7846937698552102
KundanahalliGateJunc,0.1630687299337108,0.1821268439479462,0.1842987728050258,0.0,0.19693682,0.3747791086575953
MysoreRd--MadhuPetrolBunkJunction,0.1617584223335047,0.0490020963969212,0.0045493262802556,0.0,0.049867056,0.8530678749162918
WebbsCircle,0.1562865305985528,0.0429807347005735,0.0,0.0,0.0032110296,0.8857469652232445
DairyCircle,0.1558034587411284,0.0671854360752875,0.0,0.0,0.10000634,0.7458468964841158
OldMadrasRd-DoubleRdJunc,0.1553665799375575,0.0278623935822359,0.0,0.0,0.010973103,0.8857469652232445
Rajajinagar19thMainJunc,0.1543623659562195,0.097867529488771,0.0735230525233649,0.0,0.113643974,0.6160025905095878
CoffeeBoardJunc,0.1543052515952507,0.1768624441512722,0.0046868196815241,0.0,0.059339024,0.6739763944362437
AnjaneyaTempleJunc,0.1542602577394106,0.0342536353210698,0.0,0.0,0.000105934334,0.8857469652232445
OldMadrasRd-SuddaguntepalyaRdJunc,0.1542602577394106,0.0342536353210698,0.0,0.0,0.000105934334,0.8857469652232445
UttarahalliJunction,0.1538701859917517,0.1294617275799933,0.0952084633360891,0.0,0.31649667,0.3220767002165141
ManipalCentreJunc,0.1529804114067157,0.0261527536814307,0.0,0.0,0.00027286378,0.8857469652232445
IbblurJunction',0.1529156215627429,0.246871979382328,0.0805011032068788,0.0,0.13075063,0.4362794735145532
SandeepUnnikrishnan-Yelhanka,0.1527506484437219,0.0388263728035787,0.3026772787501243,0.0,0.20358309,0.3220767002165141
Arts&CraftsCircle,0.1520676410135308,0.0207424239250123,0.0,0.0,9.0096495e-05,0.8857469652232445
BloodBankCircle,0.1507279809696278,0.1518366860099158,0.1395569607519149,0.0,0.24330966,0.3220767002165141
OldMadrasRd-BMTC DepotJunc,0.1506575202752128,0.0121502618978278,0.0,0.0,0.0,0.8857469652232445
TamarikannanJunc,0.1505388373664009,0.0114178784403566,0.0,0.0,0.0,0.8857469652232445
StateBankofMysoreJunc,0.1474695033384099,0.0639531777825592,0.1254800206130691,0.0,0.311362,0.3220767002165141
DhobiGhatJunc,0.1455105113147947,0.1144840855683498,0.0,0.0,0.1194828,0.6160025905095878
RoyanCircle-Chamrajpete,0.1450039858153685,0.010201905076499,0.0,0.0,0.00075070176,0.8530678749162918
JohnsonMarket,0.1446186197830093,0.0517740951206142,0.0,0.0,0.022848422,0.7846937698552102
Nagarbhavi,0.1434488627388529,0.0562242047531587,0.2229819359090557,0.0,0.21190405,0.3220767002165141
29thMainRdBTM LayoutJunc,0.1409332909737251,0.044390871323102,0.3618026793472044,0.0,0.087259755,0.3220767002165141
Delmia-Jayanagar,0.1408542501412163,0.0597573883357581,0.0,0.0,0.011661524,0.7676981650041279
HopefarmJunction,0.1403743952370911,0.0620594402200566,0.0861674490885414,0.0,0.311362,0.3220767002165141
KamakyaJunction,0.1399831264121306,0.0153340176654503,0.0472769193617758,0.0,0.0023481154,0.7676981650041279
MC Circle,0.1398475814504275,0.0946448946420674,0.0027146120572606,0.0,0.10468533,0.6160025905095878
VijayanagarBusStandJunction,0.1390415434829779,0.0731192942795258,0.0911544090734253,0.0,0.04081738,0.6160025905095878
NCERT Junction,0.1386644226260508,0.0200452434789287,0.0374447187586563,0.0,0.0003979248,0.7676981650041279
UCO Bank(Forum),0.1380355190181457,0.0354761018183854,0.0,0.0,0.0028493693,0.7846937698552102
ShantalaJunction,0.1367150535193177,0.0884257871708138,0.1291384968373975,0.0,0.23347662,0.3220767002165141
AgaraJunction,0.1359433542221817,0.0914741265208802,0.1110559625697757,0.0,0.14563566,0.4362794735145532
AdugodiJunc,0.1347492911553753,0.0184147157961297,0.0,0.0,0.0002040083,0.7846937698552102
DevegowdaPetrolBunkJunc,0.134636281190309,0.03452597801717,0.0,0.0,0.0008593509,0.7676981650041279
J D MaraJunc,0.1337199177649089,0.0450309881392931,0.0,0.0,0.0061834212,0.7458468964841158
HoramavuJunction,0.1329047296167717,0.1907949966104442,0.1140129005487806,0.0,0.21845047,0.2337591353313465
VeerasandraGateJunction,0.1326827316254245,0.0607154492995962,0.1564172438198961,0.0,0.21190405,0.3220767002165141
ShivandaCircle,0.1310827198425903,0.0625606666515971,0.0318863023833109,0.0,0.311362,0.3220767002165141
GangammagudiJunc,0.1288013042240225,0.0284878538135346,0.2934147092081237,0.0,0.098694354,0.3220767002165141
SwagathMainRd-EastEndRdJunc,0.1286991481709922,0.0200038207037592,0.0,0.0,0.0012871055,0.7458468964841158
KrishnaFlourMill,0.1270704993916227,0.0864475326188699,0.0521080168856385,0.0,0.25365382,0.3220767002165141
GorappanapalyaJunction,0.1270532626246737,0.0102318969294197,0.0,0.0,0.0009708195,0.7458468964841158
Ring road-Near Kengunte Junction,0.1268068246827901,0.0402680165207594,0.1510762046303948,0.0,0.20358309,0.3220767002165141
NavarangTheatreJunction,0.1259619754566547,0.0652450196591807,0.0,0.0,0.0607879,0.6160025905095878
Srinivagilu(Ejipura)Junc,0.1252904047537335,0.0691897560976279,0.0600868369492264,0.0,0.017472,0.5972484590478312
LRDE Junction,0.1247541126019836,0.1449518090944572,0.0595376178274733,0.0,0.21125478,0.2939435972903264
MahalaxmiLayoutEntranceJunc,0.1237348657484788,0.076365322789509,0.0,0.0,0.04034671,0.6160025905095878
SonyworldJunction,0.1194251224690591,0.0477148997824149,0.0633033105415323,0.0,0.0025530208,0.5972484590478312
5thMainRPC Layout-Vijayanagar,0.1193138113950024,0.0409480204255572,0.0479555824691536,0.0,0.0050246706,0.6160025905095878
RamamurthyNagarJunction,0.1173971184986665,0.1347958143030178,0.1826828411569558,0.0,0.12565753,0.2337591353313465
Jaipuria-Adugodi,0.1167747435712728,0.0756092998130299,0.0063267592363424,0.0,0.016086858,0.5972484590478312
HSR14thMainJunc,0.1159866658047931,0.0380051322084596,0.0641403739289577,0.0,0.12944691,0.4362794735145532
RingRoad-UllalJunction,0.1151467890338549,0.0412945693740825,0.2000460524738612,0.0,0.10068522,0.3220767002165141
CholurpalyaJunction(MagadiRd),0.1140233759655339,0.0268047338072704,0.0353848728652083,0.0,0.0008245327,0.6160025905095878
ModiBridgeJunction,0.1134789789947284,0.0541539022193005,0.0,0.0,0.006576067,0.6160025905095878
ShivanahalliJunctionWOC,0.1133259956104066,0.0532098530628814,0.0,0.0,0.006576067,0.6160025905095878
Krupanidhi College,0.1127599469035554,0.0277581403390681,0.0601360256534125,0.0,0.22226955,0.3220767002165141
AnandRaoJunction,0.1121599349858235,0.0377225703763296,0.068640715902536,0.0,0.20358309,0.3220767002165141
MargosaRd-18thCrossJunc,0.1116840184915216,0.0325991904282615,0.2238994011805458,0.0,0.06937008,0.3220767002165141
AttiguppeCircleJunction,0.1109571741706265,0.0106032716572875,0.0330292694238521,0.0,0.0006520322,0.6160025905095878
SubbannaJunction,0.11089960886439,0.0613759205884247,0.0546885981171046,0.0,0.1899653,0.3220767002165141
BTM16thMain-ORR Junc,0.1102982810308114,0.026593839684308,0.2927959562611012,0.0,0.006921824,0.3220767002165141
Rajajinagagr1stBlockJunction,0.109678034550989,0.0326225098295903,0.0,0.0,0.0049943216,0.6160025905095878
BucheryJunction,0.108434684541122,0.0680261277046344,0.0683120421096011,0.0,0.16005811,0.3220767002165141
BM ShriJunc(CMH-100FtRd)Junc,0.1077115153225195,0.0436142866755231,0.0,0.0,0.0019527627,0.5972484590478312
Fire Force Junction,0.1072891544840691,0.0229528276574113,0.0,0.0,0.0008245327,0.6160025905095878
CID-CarltonHouseJunc,0.1064662587479758,0.0523367396265972,0.1213790174080108,0.0,0.11648237,0.3220767002165141
RajarajeshwariKalyanaMantapaJunc,0.1064377913384526,0.0163112549147951,0.0,0.0,0.0019655484,0.6160025905095878
ModiHospital,0.1063236559452295,0.0177086763905047,0.0,0.0,0.00023763813,0.6160025905095878
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.106232362166348,0.0333636733231262,0.2420675680644528,0.0,0.025167812,0.3220767002165141
Indiranasgar13thMainJunc,0.1058763368120082,0.0336536881829778,0.0,0.0,0.00083124905,0.5972484590478312
PrasannaJunction,0.1056628092822691,0.0860341129438942,0.0022998207584197,0.0,0.11193808,0.4125846758555054
JaiMuniRaoCircle,0.105299265424649,0.0837907106709669,0.0022998207584197,0.0,0.11193808,0.4125846758555054
Arbindo Circle,0.104886179767856,0.0558559315948839,0.0,0.0,0.21190405,0.3220767002165141
WilsonGarden12thCrossJunc,0.1044550926180198,0.038712450394449,0.0230907828860682,0.0,0.20358309,0.3220767002165141
"Bellandur Junction, Outer ring road",0.1017874287887561,0.029580708055679,0.0743143905176113,0.0,0.055422965,0.4362794735145532
MillCornerRd-SampigeRdJunc,0.1008129438223564,0.0503593319939508,0.0030109310472041,0.0,0.19312051,0.3220767002165141
WiproJunc-Koramangala,0.1007738055275765,0.0071973563734807,0.2622244503644467,0.0,0.0013290441,0.3220767002165141
17th Mn 1st Crs Aishwarya Stores Jn,0.1006648429477739,0.0054069095072938,0.2622244503644467,0.0,0.0022482264,0.3220767002165141
BasaweshwaraCircle,0.1003120227950166,0.081677409946933,0.0144095400682987,0.0,0.17880559,0.2939435972903264
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),0.0994383603623478,0.0358566863619694,0.0898256809632218,0.0,0.122017935,0.3220767002165141
PlatformRdJunction,0.0980190854579102,0.0322969576806636,0.1323050050921389,0.0,0.08053108,0.3220767002165141
BanashankariBusStandJunc,0.097716239717382,0.0746735358339795,0.0,0.0,0.16005811,0.3220767002165141
SindhiColonyJunction,0.0975728857825162,0.078397454271354,0.0114405676464944,0.0,0.14624704,0.3220767002165141
BigBazaar(Whitefield)Junc,0.09301786103484,0.0465780565389559,0.0564790046002569,0.0,0.109842874,0.3220767002165141
PurnimaTheaterJunc,0.0916597355196596,0.0434966797727871,0.0619591569110492,0.0,0.10068522,0.3220767002165141
ElectronicCityGate-2Junc,0.0899925295876155,0.0300281182180573,0.0512705993861648,0.0,0.11266334,0.3220767002165141
TyagiHengalvarayaJunc(DickensonRd),0.089354805767222,0.0814255080272589,0.0295526870437555,0.0,0.08619797,0.3220767002165141
LalbaghMainGateJunc,0.0879571815374255,0.0326793370425406,0.004848767251967,0.0,0.14082445,0.3220767002165141
5thMainHSR,0.0870247052821733,0.0482524761516179,0.0314526229707244,0.0,0.0027243441,0.4362794735145532
Kammanahalli-RingRoadJunction,0.0863747858116408,0.0581517578745958,0.2086354867092877,0.0,0.008547756,0.2337591353313465
CIL CrossJunction-JayamahalRd,0.0861094372553225,0.0217483398863935,0.097458770540338,0.0,0.059308223,0.3220767002165141
BMTCJunction-K H Road,0.0855181002495965,0.0510029824705111,0.0013139294407548,0.0,0.11648237,0.3220767002165141
SagarTheatreJunc,0.0849809340617881,0.0302561389668072,0.100741157434578,0.0,0.043712977,0.3220767002165141
BagalakunteCrossJunction,0.0835539059625486,0.012729260858224,0.1578056891591856,0.0,0.00089261495,0.3220767002165141
KarnatakaBhavanJunction,0.0835072078599508,0.04502056720218,0.0193456113237838,0.0,0.09540259,0.3220767002165141
UrvashiJunction,0.0834557293831646,0.0368759277403203,0.0,0.0,0.11878465,0.3220767002165141
DomlurWaterTank,0.0828698007354681,0.1401125502646452,0.0339656307479176,0.0,0.24011937,0.0415190478891649
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.0827300555035863,0.0446172746525943,0.024518581541123,0.0,0.087259755,0.3220767002165141
BhashyamCircle-SadashivNagar,0.081504973588308,0.0194550539520108,0.1384498360516078,0.0,0.0019244687,0.3220767002165141
Malleswaram18thCrossRd-SampigeRdJunc,0.081457093263422,0.026561806515018,0.1257984318563219,0.0,0.006921824,0.3220767002165141
Shivashankara circle,0.0806466078740474,0.0284272765343462,0.0013139294407548,0.0,0.11032796,0.3220767002165141
MintoJunction,0.0805367446682246,0.0292964383242162,0.0,0.0,0.11020706,0.3220767002165141
BhashyamCircle,0.0805000396617905,0.0268900955605623,0.0357733366090588,0.0,0.080660805,0.3220767002165141
SiddapuraJunction,0.0803878196977295,0.0282303760049979,0.0,0.0,0.11032796,0.3220767002165141
JP Nagar 9th cross-24th main jn,0.0803669217635866,0.0281014163981363,0.0,0.0,0.11032796,0.3220767002165141
PotteryCircle,0.0782565374590093,0.0292289187483146,0.0,0.0,0.098694354,0.3220767002165141
BinnyMillJunction,0.0778950056563082,0.045004070043085,0.0030109310472041,0.0,0.081253275,0.3220767002165141
28thMainJayanagarJunc,0.0775036475423941,0.0480263057271971,0.0,0.0,0.07942077,0.3220767002165141
DevangaHostelJunction,0.0771737909537687,0.0471794763998356,0.0087398187002015,0.0,0.0707872,0.3220767002165141
ASC Junction,0.0769816017524428,0.0165128880211077,0.0,0.0,0.10268046,0.3220767002165141
Dr RajkumarRd-10thCrossRdJunc,0.0765113268611824,0.0481981926159147,0.0641614652828868,0.0,0.018037992,0.3220767002165141
SubedarChatramRd near SheshadripuramPS,0.0762497031735456,0.0483895746105482,0.0189152615080458,0.0,0.056190196,0.3220767002165141
WilsonGarden10thCrossJunc,0.0751638047434873,0.0322367774214027,0.0,0.0,0.08053108,0.3220767002165141
KuvempuCircle,0.0750267975813433,0.053490140561263,0.1917670526327194,0.0,0.0023279034,0.1953131389513918
ISRO Junction-Airport rd,0.0748965759418191,0.1593862156897381,0.0,0.0,0.21357794,0.0415190478891649
GopalGowdaJUnc,0.0738647221462905,0.0164629354211689,0.0,0.0,0.08690861,0.3220767002165141
HainsJunc,0.0731448914182413,0.035012532555663,0.000197351742443,0.0,0.06783357,0.3220767002165141
RajajinagarEntranceJunction,0.0726985112037248,0.0223799113850984,0.0,0.0,0.076127514,0.3220767002165141
NandiCross(RaniCross),0.0726904106090312,0.0151982505183945,0.0863660523458039,0.0,0.006331794,0.3220767002165141
HennurRd-DavisRdJunction,0.0724593877620497,0.093843949226115,0.0479831233124529,0.0,0.048485853,0.2347649577901162
KHB Junction,0.072282132288915,0.0163112549147951,0.0,0.0,0.0019234323,0.4125846758555054
EliteJunc,0.0721263231028232,0.0307135271471059,0.0,0.0,0.06637329,0.3220767002165141
PuttammaChoultryNagarbhavi,0.0717292329046251,0.020117214394914,0.082745368211607,0.0,0.0005832091,0.3220767002165141
KonanakunteJunction(KanakapurarRd),0.0711174535327595,0.0312347632849074,0.0060295375638958,0.0,0.055544417,0.3220767002165141
MICO Bande,0.0710413573354889,0.031615157185854,0.0180254719123405,0.0,0.044336874,0.3220767002165141
Peenya14thCrossJunc,0.0705641770069671,0.0054370849715983,0.0878745452582836,0.0,0.0022482264,0.3220767002165141
HoodiJunction,0.0702258960607879,0.0349754932224144,0.0334925996295073,0.0,0.023887536,0.3220767002165141
CommandoHospitalJunc,0.0700691018045004,0.0311902574067454,0.0,0.0,0.055544417,0.3220767002165141
South end circle,0.06945935605263,0.0148291830655408,0.0,0.0,0.06590195,0.3220767002165141
VetenaryHospitalJunc-Shivajinagar,0.0692809195633548,0.0217483398863935,0.0,0.0,0.059308223,0.3220767002165141
VishweswaraiahJunctio(Uttamsagar),0.0691408354682667,0.0054370849715983,0.0796315663483263,0.0,0.0022482264,0.3220767002165141
RRR(Okalipuram)Junction,0.0679334243212259,0.0292634643668043,0.0,0.0,0.046293527,0.3220767002165141
BegumMahalJunc,0.0665696338432659,0.0445664863667343,0.0,0.0,0.026793478,0.3220767002165141
Peenya2ndStageBusStand,0.0663637234924399,0.0161017593911396,0.0488784690302131,0.0,0.006331794,0.3220767002165141
DoddaballapuraCrossJunc,0.0653940255112779,0.0174331910609783,0.0470441934415941,0.0,0.0019244687,0.3220767002165141
HalliThindi,0.0649091077213054,0.017449484754853,0.0442206042030337,0.0,0.0019244687,0.3220767002165141
NIMHANS Junction,0.0643700160888841,0.0329701861010474,0.0,0.0,0.025167812,0.3220767002165141
ChandrikaJunction,0.0640697546415944,0.0099122410742074,0.047112905733117,0.0,0.0013290441,0.3220767002165141
