cause,corridor,confidence,effective_sample_size,mean_similarity,abstain_flag
procession,Bannerghata Road,0.8275,4.993,0.8275,0
procession,Non-corridor,0.7613,4.999,0.7613,0
procession,Hennur Main Road,0.8638,4.987,0.8638,0
procession,Magadi Road,0.8491,4.994,0.8491,0
public_event,Old Airport Road,0.6916,4.748,0.6916,0
public_event,Old Airport Road,0.6923,4.748,0.6923,0
public_event,Old Airport Road,0.6897,4.748,0.6897,0
public_event,Old Airport Road,0.6958,4.785,0.6958,0
public_event,Old Airport Road,0.6077,4.968,0.6077,0
public_event,Non-corridor,0.78,4.997,0.78,0
public_event,Non-corridor,0.8219,4.993,0.8219,0
public_event,Old Madras Road,0.8628,4.952,0.8628,0
procession,Non-corridor,0.9013,4.998,0.9013,0
protest,Non-corridor,0.765,4.996,0.765,0
procession,Hosur Road,0.8783,4.977,0.8783,0
public_event,Hennur Main Road,0.506,4.988,0.506,0
public_event,Non-corridor,0.7876,4.973,0.7876,0
procession,Non-corridor,0.7211,4.993,0.7211,0
procession,Non-corridor,0.7095,4.999,0.7095,0
public_event,Mysore Road,0.7863,4.987,0.7863,0
public_event,Mysore Road,0.8528,4.967,0.8528,0
procession,Non-corridor,0.4915,4.998,0.4915,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,ORR West 1,0.8116,4.972,0.8116,0
procession,Non-corridor,0.9015,4.99,0.9015,0
procession,Non-corridor,0.8852,4.992,0.8852,0
procession,Non-corridor,0.9053,4.978,0.9053,0
protest,Non-corridor,0.8082,4.996,0.8082,0
protest,Non-corridor,0.5197,4.939,0.5197,0
procession,Non-corridor,0.7744,4.993,0.7744,0
public_event,Magadi Road,0.7384,4.999,0.7384,0
procession,Non-corridor,0.9043,4.973,0.9043,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Non-corridor,0.4864,4.984,0.4864,0
procession,Non-corridor,0.8896,4.974,0.8896,0
procession,Non-corridor,0.7599,4.996,0.7599,0
procession,Non-corridor,0.8772,4.977,0.8772,0
procession,Magadi Road,0.889,4.992,0.889,0
public_event,Bellary Road 1,0.8401,4.953,0.8401,0
procession,Hennur Main Road,0.8771,4.981,0.8771,0
procession,Non-corridor,0.8915,4.98,0.8915,0
procession,Non-corridor,0.6937,4.998,0.6937,0
public_event,Non-corridor,0.5596,4.913,0.5596,0
protest,Non-corridor,0.7836,4.999,0.7836,0
public_event,Non-corridor,0.8036,4.972,0.8036,0
public_event,Magadi Road,0.8571,4.993,0.8571,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Non-corridor,0.4695,4.998,0.4695,0
procession,Magadi Road,0.8648,4.983,0.8648,0
public_event,West of Chord Road,0.8234,4.986,0.8234,0
procession,Magadi Road,0.8908,4.973,0.8908,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Non-corridor,0.4521,4.964,0.4521,0
vip_movement,Non-corridor,0.5392,4.879,0.5392,0
procession,Non-corridor,0.9035,4.975,0.9035,0
procession,Non-corridor,0.9042,4.974,0.9042,0
procession,Non-corridor,0.7423,4.985,0.7423,0
procession,Non-corridor,0.89,4.973,0.89,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,ORR North 1,0.7721,4.969,0.7721,0
procession,Magadi Road,0.8286,4.992,0.8286,0
public_event,Non-corridor,0.8312,4.973,0.8312,0
public_event,Non-corridor,0.8755,4.955,0.8755,0
public_event,Non-corridor,0.8746,4.954,0.8746,0
procession,Non-corridor,0.8754,4.98,0.8754,0
procession,Non-corridor,0.85,4.981,0.85,0
public_event,Non-corridor,0.7806,4.99,0.7806,0
public_event,Non-corridor,0.7662,4.995,0.7662,0
public_event,Non-corridor,0.7674,4.995,0.7674,0
procession,Non-corridor,0.8993,4.976,0.8993,0
public_event,Non-corridor,0.4568,4.986,0.4568,0
public_event,Non-corridor,0.5504,4.931,0.5504,0
procession,Non-corridor,0.5363,4.938,0.5363,0
procession,Non-corridor,0.8439,4.992,0.8439,0
public_event,Magadi Road,0.7792,4.953,0.7792,0
public_event,Non-corridor,0.5544,4.949,0.5544,0
vip_movement,Non-corridor,0.4902,4.954,0.4902,0
procession,Non-corridor,0.7895,4.988,0.7895,0
procession,Non-corridor,0.8687,4.982,0.8687,0
public_event,Bannerghata Road,0.8613,4.971,0.8613,0
public_event,Mysore Road,0.8143,4.956,0.8143,0
procession,Hennur Main Road,0.8163,4.99,0.8163,0
public_event,Bellary Road 1,0.8149,4.964,0.8149,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
procession,Non-corridor,0.8961,4.984,0.8961,0
public_event,Non-corridor,0.8549,4.993,0.8549,0
public_event,Bellary Road 2,0.7897,4.991,0.7897,0
public_event,Hosur Road,0.817,4.963,0.817,0
procession,Mysore Road,0.8136,4.976,0.8136,0
procession,Non-corridor,0.7797,4.997,0.7797,0
public_event,Old Airport Road,0.7131,4.991,0.7131,0
procession,Bellary Road 2,0.7541,4.94,0.7541,0
public_event,Non-corridor,0.8128,4.981,0.8128,0
public_event,Non-corridor,0.838,4.973,0.838,0
public_event,Bellary Road 2,0.804,4.994,0.804,0
public_event,Bellary Road 2,0.5554,4.984,0.5554,0
public_event,Bellary Road 2,0.8475,4.955,0.8475,0
public_event,Bellary Road 2,0.549,4.959,0.549,0
public_event,Non-corridor,0.8498,4.987,0.8498,0
public_event,Mysore Road,0.836,4.98,0.836,0
procession,Hosur Road,0.8069,4.997,0.8069,0
public_event,Non-corridor,0.8219,4.993,0.8219,0
protest,Mysore Road,0.5372,4.918,0.5372,0
procession,Non-corridor,0.8608,4.98,0.8608,0
public_event,West of Chord Road,0.794,4.984,0.794,0
public_event,West of Chord Road,0.8347,4.957,0.8347,0
procession,Magadi Road,0.862,4.973,0.862,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
procession,West of Chord Road,0.7549,4.95,0.7549,0
procession,Airport New South Road,0.8808,4.984,0.8808,0
procession,Magadi Road,0.7795,4.933,0.7795,0
procession,Non-corridor,0.773,4.992,0.773,0
procession,Magadi Road,0.7214,4.997,0.7214,0
procession,Magadi Road,0.6965,4.92,0.6965,0
protest,Old Airport Road,0.7423,4.998,0.7423,0
procession,Non-corridor,0.8825,4.996,0.8825,0
protest,CBD 2,0.7422,4.969,0.7422,0
protest,Mysore Road,0.7459,4.999,0.7459,0
public_event,Non-corridor,0.7503,4.976,0.7503,0
procession,Non-corridor,0.8816,4.987,0.8816,0
procession,Mysore Road,0.8136,4.976,0.8136,0
procession,Non-corridor,0.7529,4.99,0.7529,0
vip_movement,Mysore Road,0.674,4.999,0.674,0
public_event,Non-corridor,0.7573,4.985,0.7573,0
public_event,ORR West 1,0.8528,4.967,0.8528,0
protest,Mysore Road,0.7774,4.994,0.7774,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Hennur Main Road,0.8528,4.967,0.8528,0
