event_id,best_scenario_id,best_scenario_score,worst_scenario_id,worst_scenario_score,baseline_scenario_id,baseline_score,best_vs_baseline,generated_at
FKID001932,SCENARIO_3,0.454061,SCENARIO_6,0.566467,SCENARIO_0,0.5,0.045939,2026-06-20T01:47:22.890493+00:00
FKID003103,SCENARIO_3,0.454069,SCENARIO_6,0.567844,SCENARIO_0,0.5,0.045931,2026-06-20T01:47:22.890493+00:00
FKID003235,SCENARIO_3,0.454187,SCENARIO_6,0.564397,SCENARIO_0,0.5,0.045813,2026-06-20T01:47:22.890493+00:00
FKID003897,SCENARIO_7,0.454007,SCENARIO_6,0.566143,SCENARIO_0,0.5,0.045993,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_7,0.442633,SCENARIO_6,0.574355,SCENARIO_0,0.5,0.057367,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_7,0.438526,SCENARIO_6,0.574521,SCENARIO_0,0.5,0.061474,2026-06-20T01:47:22.890493+00:00
FKID004401,SCENARIO_3,0.455064,SCENARIO_6,0.562882,SCENARIO_0,0.5,0.044936,2026-06-20T01:47:22.890493+00:00
FKID004408,SCENARIO_3,0.454225,SCENARIO_6,0.566892,SCENARIO_0,0.5,0.045775,2026-06-20T01:47:22.890493+00:00
FKID004492,SCENARIO_3,0.454676,SCENARIO_6,0.564194,SCENARIO_0,0.5,0.045324,2026-06-20T01:47:22.890493+00:00
FKID004519,SCENARIO_3,0.454339,SCENARIO_6,0.56644,SCENARIO_0,0.5,0.045661,2026-06-20T01:47:22.890493+00:00
FKID004531,SCENARIO_3,0.45409,SCENARIO_6,0.565459,SCENARIO_0,0.5,0.04591,2026-06-20T01:47:22.890493+00:00
FKID004694,SCENARIO_3,0.454163,SCENARIO_6,0.567971,SCENARIO_0,0.5,0.045837,2026-06-20T01:47:22.890493+00:00
FKID004711,SCENARIO_3,0.453779,SCENARIO_6,0.566929,SCENARIO_0,0.5,0.046221,2026-06-20T01:47:22.890493+00:00
FKID004806,SCENARIO_3,0.453779,SCENARIO_6,0.56869,SCENARIO_0,0.5,0.046221,2026-06-20T01:47:22.890493+00:00
FKID004829,SCENARIO_3,0.454249,SCENARIO_6,0.566855,SCENARIO_0,0.5,0.045751,2026-06-20T01:47:22.890493+00:00
FKID004967,SCENARIO_3,0.454393,SCENARIO_6,0.565474,SCENARIO_0,0.5,0.045607,2026-06-20T01:47:22.890493+00:00
FKID005079,SCENARIO_3,0.454298,SCENARIO_6,0.566884,SCENARIO_0,0.5,0.045702,2026-06-20T01:47:22.890493+00:00
FKID005137,SCENARIO_3,0.454202,SCENARIO_6,0.568544,SCENARIO_0,0.5,0.045798,2026-06-20T01:47:22.890493+00:00
FKID005194,SCENARIO_3,0.454434,SCENARIO_6,0.565857,SCENARIO_0,0.5,0.045566,2026-06-20T01:47:22.890493+00:00
FKID005244,SCENARIO_3,0.454731,SCENARIO_6,0.5616,SCENARIO_0,0.5,0.045269,2026-06-20T01:47:22.890493+00:00
FKID005593,SCENARIO_3,0.454122,SCENARIO_6,0.569273,SCENARIO_0,0.5,0.045878,2026-06-20T01:47:22.890493+00:00
FKID005996,SCENARIO_3,0.453901,SCENARIO_6,0.566668,SCENARIO_0,0.5,0.046099,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_3,0.453566,SCENARIO_6,0.571401,SCENARIO_0,0.5,0.046434,2026-06-20T01:47:22.890493+00:00
FKID006340,SCENARIO_5,0.39122,SCENARIO_1,0.649962,SCENARIO_0,0.5,0.10878,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_7,0.437869,SCENARIO_6,0.575219,SCENARIO_0,0.5,0.062131,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_7,0.444182,SCENARIO_6,0.568555,SCENARIO_0,0.5,0.055818,2026-06-20T01:47:22.890493+00:00
FKID006955,SCENARIO_7,0.359072,SCENARIO_1,0.674869,SCENARIO_0,0.5,0.140928,2026-06-20T01:47:22.890493+00:00
FKID007137,SCENARIO_7,0.453582,SCENARIO_6,0.56768,SCENARIO_0,0.5,0.046418,2026-06-20T01:47:22.890493+00:00
FKID007189,SCENARIO_7,0.447879,SCENARIO_6,0.568965,SCENARIO_0,0.5,0.052121,2026-06-20T01:47:22.890493+00:00
FKID007660,SCENARIO_7,0.438247,SCENARIO_6,0.57591,SCENARIO_0,0.5,0.061753,2026-06-20T01:47:22.890493+00:00
FKID008103,SCENARIO_7,0.432684,SCENARIO_6,0.595401,SCENARIO_0,0.5,0.067316,2026-06-20T01:47:22.890493+00:00
