event_id,event_cause,operational_risk_score,operational_tier,service_tier,robustness_score,active_operational_tier,top_risk_factor,top_risk_share,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,n_alerts,generated_at
FKID000164,pot_holes,28.95772803212857,Normal,normal,0.6828907213210744,Normal,Tail Risk,0.438025,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID005593,water_logging,28.90037899035306,Normal,normal,0.6833205318591065,Normal,Tail Risk,0.436033,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004694,pot_holes,28.762731562448486,Normal,normal,0.6725722440310071,Normal,Tail Risk,0.452555,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID003235,tree_fall,28.68430618690215,Normal,normal,0.6897632840817196,Normal,Tail Risk,0.435863,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID005137,pot_holes,28.63277843259681,Normal,normal,0.6937476000644609,Normal,Tail Risk,0.421864,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID001489,construction,28.57644560128879,Normal,normal,0.6763844153996201,Normal,Tail Risk,0.470808,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004408,pot_holes,28.55854294399873,Normal,normal,0.6790515572069142,Normal,Tail Risk,0.450964,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004829,road_conditions,28.47758049576485,Normal,normal,0.6387857868281211,Normal,Tail Risk,0.450399,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID005079,road_conditions,28.315074147393585,Normal,normal,0.6962510139836364,Normal,Tail Risk,0.472011,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID001592,pot_holes,28.31093124506881,Normal,normal,0.6709886318385415,Normal,Tail Risk,0.396004,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000346,water_logging,28.2553336165156,Normal,normal,0.6455097531394642,Normal,Tail Risk,0.482005,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004519,road_conditions,28.17711584811444,Normal,normal,0.697549590099694,Normal,Tail Risk,0.497714,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID003897,debris,28.155998042791367,Normal,elevated,0.6914644886976131,Normal,Tail Risk,0.438941,3,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004967,pot_holes,27.99813885256756,Normal,normal,0.6793103582988712,Normal,Tail Risk,0.45092,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID005194,pot_holes,27.86084048717452,Normal,normal,0.6952947838934367,Normal,Tail Risk,0.463504,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004492,pot_holes,27.05513885533712,Normal,normal,0.6826415338933803,Normal,Tail Risk,0.4351,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID005244,construction,26.87162730499728,Normal,normal,0.6893124681097379,Normal,Tail Risk,0.523639,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004401,road_conditions,25.7596712621794,Normal,normal,0.6917314958749643,Normal,Tail Risk,0.406402,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000002,others,24.194198658522765,Normal,normal,0.6709110911334648,Normal,Tail Risk,0.402567,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
