junction,sps,nhi,gi_star_h1,gi_star_h2,gi_star_h3,gi_star_h5
UttarahalliJunction,-0.1794192723847118,0.7831632653061225,-0.1792326539804414,-0.1794814785194685,-0.1794814785194685,-0.1794814785194685
DomlurWaterTank,-0.1794653160205682,0.7797619047619049,-0.1792786076911524,-0.1795275521303735,-0.1795275521303735,-0.1795275521303735
Bommanahalli,-0.1755428083084939,0.7789115646258504,-0.2015245680052839,-0.1668822217428972,-0.1668822217428972,-0.1668822217428972
HennurRd-DavisRdJunction,0.0912206081688646,0.778061224489796,0.9045994367991764,-0.1799056680412393,-0.1799056680412393,-0.1799056680412393
Nagavara-ORR Junction,-0.1758444563336414,0.7763605442176871,-0.2199441329853173,-0.1611445641164162,-0.1611445641164162,-0.1611445641164162
KanakapuraRd-RingRdJunction,-0.1796982660846193,0.7661564625850341,-0.1795117027584639,-0.1797604538600045,-0.1797604538600045,-0.1797604538600045
LRDE Junction,-0.1787541890348544,0.7551020408163266,-0.1819851770955822,-0.1776771930146118,-0.1776771930146118,-0.1776771930146118
BilekahalliJunc,-0.1821523066399748,0.7534013605442177,-0.2119063765513636,-0.1722342833361785,-0.1722342833361785,-0.1722342833361785
BangaloreBodyBuildersJunc,-0.1823736131785585,0.75,-0.2121828570259836,-0.1724371985627502,-0.1724371985627502,-0.1724371985627502
QueensStatueCircle,-0.1792704867800939,0.7227891156462585,-0.1825051789439267,-0.1781922560588163,-0.1781922560588163,-0.1781922560588163
NaganathapuraJunction,-0.1847518634338773,0.721938775510204,-0.2111226887838035,-0.1759615883172353,-0.1759615883172353,-0.1759615883172353
AgaraJunction,-0.1801671776437762,0.7193877551020408,-0.1799808977876431,-0.1802292709291539,-0.1802292709291539,-0.1802292709291539
HudsonCircle,-0.1850621053632256,0.717687074829932,-0.2150073396821578,-0.1750803605902482,-0.1750803605902482,-0.1750803605902482
LeprosyhospitalJunc,-0.1865148942404537,0.717687074829932,-0.232120057463523,-0.1713131731660973,-0.1713131731660973,-0.1713131731660973
MinskSquare(CTO Junction),-0.1792976811012266,0.7168367346938775,-0.182532805308668,-0.1782193063654129,-0.1782193063654129,-0.1782193063654129
ShantalaJunction,-0.1801679960731095,0.7159863945578231,-0.179982027296956,-0.1802299856651607,-0.1802299856651607,-0.1802299856651607
SarjapurRd-St JohnsRdJunc,-0.1854716922854465,0.7159863945578231,-0.2118748837504671,-0.1766706284637729,-0.1766706284637729,-0.1766706284637729
HennurRoad-ORR Junc,-0.1874099148870587,0.7057823129251701,-0.2330670914468266,-0.1721908560338026,-0.1721908560338026,-0.1721908560338026
GoruguntepalyaJunc,-0.1796262863892503,0.7023809523809524,-0.1828785429464769,-0.1785422008701748,-0.1785422008701748,-0.1785422008701748
KrishnaFlourMill,-0.1802074630710075,0.6998299319727891,-0.1800216887673522,-0.1802693878388926,-0.1802693878388926,-0.1802693878388926
Richmond circle jn,-0.1870152728671217,0.695578231292517,-0.2170448161828077,-0.1770054250952265,-0.1770054250952265,-0.1770054250952265
HulimaveRd-BanneraghattaRdJunc,-0.1871840348930264,0.6913265306122449,-0.2171751724710404,-0.1771869890336884,-0.1771869890336884,-0.1771869890336884
Sumanhalli,-0.1889834901842116,0.6870748299319729,-0.2349295684847462,-0.1736681307507,-0.1736681307507,-0.1736681307507
HunsemarammanahalliJunction,-0.1801936459037972,0.6853741496598639,-0.1834322919092704,-0.1791140972353062,-0.1791140972353062,-0.1791140972353062
UniversityJunc(Janabharti),-0.1875100151559653,0.6853741496598639,-0.2175776665251682,-0.1774874646995644,-0.1774874646995644,-0.1774874646995644
GokuldasImagesJunc,-0.1802388403269296,0.6819727891156462,-0.1834963611129707,-0.1791530000649158,-0.1791530000649158,-0.1791530000649158
JalahalliCross(SM Circle),-0.1802874659120214,0.6785714285714286,-0.1835455278749116,-0.1792014452577247,-0.1792014452577247,-0.1792014452577247
SiddalingaiahCircle,-0.1877922456359143,0.6760204081632654,-0.2178646067908994,-0.1777681252509193,-0.1777681252509193,-0.1777681252509193
Srigandakaval,-0.1897526664143015,0.6760204081632653,-0.2358077639635057,-0.1744009672312334,-0.1744009672312334,-0.1744009672312334
MaratahalliBridgeJunc,-0.1870447901135524,0.6751700680272109,-0.2136335526762674,-0.1781818692593141,-0.1781818692593141,-0.1781818692593141
MeenakshiMallJunc,-0.1879233568437953,0.6675170068027212,-0.217952545887125,-0.1779136271626853,-0.1779136271626853,-0.1779136271626853
OperaHouseJunc,-0.1823161589552418,0.6666666666666666,-0.1920057276297917,-0.1790863027303918,-0.1790863027303918,-0.1790863027303918
UlsoorGateJunc,-0.188081884378209,0.6615646258503401,-0.2181673117840396,-0.1780534085762654,-0.1780534085762654,-0.1780534085762654
SadahalliGateJunc(AirportRd),-0.180643217011555,0.6598639455782314,-0.1838842696136839,-0.1795628661441787,-0.1795628661441787,-0.1795628661441787
SRS Peenya Junc,-0.1807651296487818,0.6564625850340137,-0.1840254465939173,-0.1796783573337366,-0.1796783573337366,-0.1796783573337366
"VeerannapalyaJunction(BEL,HO)",-0.1924429662963904,0.6556122448979591,-0.239083079365141,-0.1768962619401402,-0.1768962619401402,-0.1768962619401402
IbblurJunction',-0.1875246414395271,0.6513605442176871,-0.2141318728637717,-0.1786555642981122,-0.1786555642981122,-0.1786555642981122
Deverabeesanahalli-ORR Junc,-0.187628734819309,0.6454081632653061,-0.214241034042857,-0.1787579684114597,-0.1787579684114597,-0.1787579684114597
Chokasandra (Tumkur road),-0.1808526684339282,0.6454081632653061,-0.1841133365197003,-0.1797657790720041,-0.1797657790720041,-0.1797657790720041
BEL Circle,-0.1914615760610745,0.6403061224489797,-0.2324585972241814,-0.1777959023400388,-0.1777959023400388,-0.1777959023400388
N R SquareJunc,-0.1884306116947516,0.6394557823129252,-0.2185384759583386,-0.1783946569402226,-0.1783946569402226,-0.1783946569402226
TrinityCircle,-0.1829716044740069,0.6326530612244898,-0.1927109964005303,-0.1797251404984991,-0.1797251404984991,-0.1797251404984991
SindhiColonyJunction,-0.1804432575375073,0.6326530612244898,-0.1802576170077277,-0.1805051377141005,-0.1805051377141005,-0.1805051377141005
JayadevaHospitalJunc,-0.1887510581183898,0.6309523809523809,-0.2188181496001214,-0.178728694291146,-0.178728694291146,-0.178728694291146
PeenyaPoliceStation,-0.1810447155021088,0.6267006802721089,-0.1843062446810253,-0.1799575391091367,-0.1799575391091367,-0.1799575391091367
AnepalyaJunc,-0.1881821316490914,0.6267006802721088,-0.2146968364765206,-0.179343896706615,-0.179343896706615,-0.179343896706615
SirsiCircle,-0.1888328994422536,0.625,-0.2189482635596759,-0.1787944447364461,-0.1787944447364461,-0.1787944447364461
MahalaxmiLayoutEntranceJunc,-0.1804842939896696,0.6215986394557823,-0.1802986253885744,-0.180546183523368,-0.180546183523368,-0.180546183523368
KatriguppeJunction,-0.1894052907735277,0.6113945578231292,-0.2196797575052501,-0.1793138018629535,-0.1793138018629535,-0.1793138018629535
BanashankariBusStandJunc,-0.1805084222168626,0.6105442176870748,-0.1803227140789484,-0.1805703249295007,-0.1805703249295007,-0.1805703249295007
TumkurRdMarappanapalyaJunc,-0.1811498887623991,0.6096938775510203,-0.1844123115526691,-0.1800624144989757,-0.1800624144989757,-0.1800624144989757
Kudlu Gate Junc,-0.1885500361728197,0.6071428571428572,-0.2150841388408722,-0.1797053352834688,-0.1797053352834688,-0.1797053352834688
OldMadrasRd-Indranagar100ftRdJunc,-0.1832513407966301,0.6011904761904762,-0.1929974890280581,-0.1800026247194874,-0.1800026247194874,-0.1800026247194874
MS RamaiahJunc(TollGate),-0.1811818996147725,0.6003401360544218,-0.1844444025363009,-0.1800943986409297,-0.1800943986409297,-0.1800943986409297
ISRO Junction-Airport rd,-0.1887125290602231,0.5909863945578232,-0.2153850797441552,-0.1798216788322457,-0.1798216788322457,-0.1798216788322457
RamaiahCircle-UlsoorPoliceStation,-0.1834445333385732,0.5875850340136054,-0.1931951566934511,-0.1801943255536139,-0.1801943255536139,-0.1801943255536139
DhobiGhatJunc,-0.1812871694897176,0.5850340136054422,-0.1843661502051266,-0.1802608425845812,-0.1802608425845812,-0.1802608425845812
OldMadrasRd-NGEF Junc,-0.183477304380285,0.5841836734693877,-0.1932266875785067,-0.1802275099808777,-0.1802275099808777,-0.1802275099808777
SadashivnagarJunc,-0.1806885029054052,0.5816326530612245,-0.1805027791234996,-0.1807504108327072,-0.1807504108327072,-0.1807504108327072
K R MarketJunction,-0.1898368188395343,0.5790816326530612,-0.220018971792228,-0.1797761011886364,-0.1797761011886364,-0.1797761011886364
BegumMahalJunc,-0.1806929752357438,0.5782312925170068,-0.1805070132367776,-0.1807549625687325,-0.1807549625687325,-0.1807549625687325
MC Circle,-0.1813174005168572,0.576530612244898,-0.1843964776557436,-0.1802910414705617,-0.1802910414705617,-0.1802910414705617
BDA Junctio-Koramangala,-0.1898691972298678,0.5756802721088435,-0.2200287973165481,-0.1798159972009743,-0.1798159972009743,-0.1798159972009743
Rajajinagar19thMainJunc,-0.1813261192660065,0.5731292517006803,-0.1844057481064011,-0.1802995763192084,-0.1802995763192084,-0.1802995763192084
HoramavuJunction,-0.1950313146514266,0.5731292517006803,-0.2420355207178156,-0.1793632459626302,-0.1793632459626302,-0.1793632459626302
AnilKumbleCircle,-0.1835018893448225,0.570578231292517,-0.1932531069698508,-0.1802514834698131,-0.1802514834698131,-0.1802514834698131
ShivandaCircle,-0.1807323858157909,0.5697278911564626,-0.1805467347770385,-0.180794269495375,-0.180794269495375,-0.180794269495375
5thMainRPC Layout-Vijayanagar,-0.1813272870250199,0.5697278911564626,-0.1844072818730196,-0.1803006220756866,-0.1803006220756866,-0.1803006220756866
Ashoknagar Junction(ShoolayCircle),-0.1898823808910886,0.5697278911564626,-0.2200528264875578,-0.1798255656922656,-0.1798255656922656,-0.1798255656922656
OldMadrasRd-80FeetRdJunc,-0.1835087279557409,0.5671768707482994,-0.1932603017929172,-0.1802582033433488,-0.1802582033433488,-0.1802582033433488
VijayanagarBusStandJunction,-0.181338161188082,0.5654761904761905,-0.1844180008691795,-0.1803115479610495,-0.1803115479610495,-0.1803115479610495
StateBankofMysoreJunc,-0.1807664933896574,0.5637755102040817,-0.1805809471069583,-0.1808283421505571,-0.1808283421505571,-0.1808283421505571
RajarajeshwariKalyanaMantapaJunc,-0.1813453537190805,0.5620748299319729,-0.1844253053512983,-0.1803187031750079,-0.1803187031750079,-0.1803187031750079
BucheryJunction,-0.1807754134242709,0.560374149659864,-0.1805900448362414,-0.180837202953614,-0.180837202953614,-0.180837202953614
NavarangTheatreJunction,-0.1813596890217811,0.5586734693877551,-0.1844392172067535,-0.1803331796267903,-0.1803331796267903,-0.1803331796267903
JP Nagar 15th cross junction,-0.1900649002124025,0.5578231292517006,-0.2203694391731784,-0.1799633872254772,-0.1799633872254772,-0.1799633872254772
AshirwadamCircle,-0.1900342148638049,0.5561224489795918,-0.220217734640327,-0.1799730416049643,-0.1799730416049643,-0.1799730416049643
CholurpalyaJunction(MagadiRd),-0.1813623225802431,0.5552721088435374,-0.1844422248881887,-0.1803356884775946,-0.1803356884775946,-0.1803356884775946
HopefarmJunction,-0.1807909325153873,0.554421768707483,-0.1806053770075067,-0.1808527843513475,-0.1808527843513475,-0.1808527843513475
Nagarbhavi,-0.1808089103200543,0.5510204081632654,-0.1806232552241527,-0.1808707953520215,-0.1808707953520215,-0.1808707953520215
ShivanahalliJunctionWOC,-0.1813649197439831,0.5510204081632653,-0.1844446208244491,-0.1803383527171611,-0.1803383527171611,-0.1803383527171611
KadirenahalliJunction,-0.1901146851085486,0.5493197278911565,-0.2204260241740565,-0.180010905420046,-0.180010905420046,-0.180010905420046
Rajajinagagr1stBlockJunction,-0.1813763115725355,0.5450680272108843,-0.1844561479702399,-0.1803496994399673,-0.1803496994399673,-0.1803496994399673
FTI Junction(KanteeravaStudio),-0.1808849295887631,0.5425170068027211,-0.1806994806780148,-0.1809467458923458,-0.1809467458923458,-0.1809467458923458
HSR14thMainJunc,-0.1809005756444059,0.5391156462585034,-0.180714832052603,-0.1809624901750069,-0.1809624901750069,-0.1809624901750069
RamamurthyNagarJunction,-0.1955651575965227,0.5365646258503401,-0.2426449386297502,-0.1798718972521135,-0.1798718972521135,-0.1798718972521135
SubbannaJunction,-0.1809279654798569,0.5357142857142857,-0.18074264008738,-0.1809897406106825,-0.1809897406106825,-0.1809897406106825
ModiBridgeJunction,-0.1813986114348,0.5340136054421769,-0.1844779969059421,-0.1803721496110859,-0.1803721496110859,-0.1803721496110859
VeerasandraGateJunction,-0.1809313753644239,0.532312925170068,-0.1807460351270641,-0.1809931554435438,-0.1809931554435438,-0.1809931554435438
CMH Rd-AdarshTheaterJunc,-0.1836064045403549,0.5306122448979592,-0.1933611581543016,-0.1803548200023727,-0.1803548200023727,-0.1803548200023727
Fire Force Junction,-0.1814039350607743,0.5306122448979591,-0.1844837814616104,-0.1803773195938289,-0.1803773195938289,-0.1803773195938289
AnandRaoJunction,-0.1809498489214657,0.5289115646258503,-0.1807641645789896,-0.1810117437022911,-0.1810117437022911,-0.1810117437022911
ItmaduJunction,-0.1903379549383462,0.5272108843537415,-0.2206584989018323,-0.1802311069505175,-0.1802311069505175,-0.1802311069505175
MillCornerRd-SampigeRdJunc,-0.1809617695721097,0.5255102040816326,-0.1807762481481689,-0.1810236100467566,-0.1810236100467566,-0.1810236100467566
ShivajiTalkiesJunc,-0.1902991279952726,0.5255102040816326,-0.2204945355062129,-0.1802339921582926,-0.1802339921582926,-0.1802339921582926
KamrajRdJunction,-0.1836157371602586,0.5246598639455783,-0.1933681272617801,-0.1803649404597514,-0.1803649404597514,-0.1803649404597514
AttiguppeCircleJunction,-0.1814416128777569,0.5246598639455783,-0.1845215252535597,-0.180414975419156,-0.180414975419156,-0.180414975419156
JP Nagar 9th cross-24th main jn,-0.1809744360100346,0.5195578231292517,-0.1807887123666466,-0.1810363438911639,-0.1810363438911639,-0.1810363438911639
ModiHospital,-0.1814637040279372,0.5187074829931972,-0.1845435237197827,-0.1804370974639887,-0.1804370974639887,-0.1804370974639887
Arbindo Circle,-0.1809931357236791,0.516156462585034,-0.180807768659783,-0.1810549247449777,-0.1810549247449777,-0.1810549247449777
MayohallJunction,-0.1836282796801187,0.516156462585034,-0.1933811309032553,-0.1803773292724065,-0.1803773292724065,-0.1803773292724065
BasaweshwaraCircle,-0.1815414970218239,0.5153061224489796,-0.1847862309235409,-0.1804599190545849,-0.1804599190545849,-0.1804599190545849
PuttammaChoultryNagarbhavi,-0.1810245532328881,0.5119047619047619,-0.1808388420512591,-0.1810864569600978,-0.1810864569600978,-0.1810864569600978
Yemalur cross junc,-0.1892424466741168,0.5110544217687075,-0.2159388258446075,-0.1803436536172866,-0.1803436536172866,-0.1803436536172866
KundanahalliGateJunc,-0.2281464975895072,0.5110544217687074,-0.3723137475493406,-0.1800907476028961,-0.1800907476028961,-0.1800907476028961
HosmatJunction,-0.1810481700403006,0.5085034013605443,-0.1808624662660957,-0.1811100712983688,-0.1811100712983688,-0.1811100712983688
KarnatakaBhavanJunction,-0.1810524228744654,0.5051020408163265,-0.1808669499831637,-0.181114247171566,-0.181114247171566,-0.181114247171566
NagaTheaterJunc-Ulsoor,-0.1810543830157565,0.5017006802721088,-0.1808686489933733,-0.181116294356551,-0.181116294356551,-0.181116294356551
DairyCircle,-0.1810575682197726,0.4982993197278911,-0.1808727751832494,-0.1811191658986136,-0.1811191658986136,-0.1811191658986136
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),-0.1810734239806036,0.4948979591836735,-0.1808879739114896,-0.1811352406703082,-0.1811352406703082,-0.1811352406703082
BhashyamCircle,-0.1810920434959916,0.4914965986394558,-0.1809064469713016,-0.1811539090042216,-0.1811539090042216,-0.1811539090042216
Geeta Circle,-0.1810957041678463,0.488095238095238,-0.1809100067995477,-0.1811576032906125,-0.1811576032906125,-0.1811576032906125
AnjaneyaTempleJunc,-0.1837715319911707,0.4872448979591837,-0.193528401292252,-0.1805192422241436,-0.1805192422241436,-0.1805192422241436
PrasannaJunction,-0.1959128043879962,0.4846938775510204,-0.24282289240174,-0.1802761083834149,-0.1802761083834149,-0.1802761083834149
CIL CrossJunction-JayamahalRd,-0.1810959882378718,0.4846938775510204,-0.1809103642634109,-0.1811578628960254,-0.1811578628960254,-0.1811578628960254
ManipalCentreJunc,-0.183795988301389,0.483843537414966,-0.1935535380799748,-0.1805434717085271,-0.1805434717085271,-0.1805434717085271
Ring road-Near Kengunte Junction,-0.1810979118858255,0.4812925170068027,-0.1809124397415759,-0.1811597359339088,-0.1811597359339088,-0.1811597359339088
BrigadeMillenium,-0.181103108100725,0.477891156462585,-0.1809174114484845,-0.1811650069848052,-0.1811650069848052,-0.1811650069848052
Arts&CraftsCircle,-0.1838074586690431,0.4744897959183674,-0.1935654500538813,-0.1805547948740971,-0.1805547948740971,-0.1805547948740971
UpparpetJunction,-0.1811108091578736,0.4744897959183672,-0.1809251521855447,-0.1811726948153166,-0.1811726948153166,-0.1811726948153166
WebbsCircle,-0.1838087570009423,0.4727891156462586,-0.1935637754440593,-0.18055708418657,-0.18055708418657,-0.18055708418657
K G Junction,-0.181111345255362,0.4710884353741496,-0.1809256628071023,-0.1811732394047818,-0.1811732394047818,-0.1811732394047818
GangammagudiJunc,-0.1811230046086328,0.467687074829932,-0.1809374548908555,-0.1811848545145585,-0.1811848545145585,-0.1811848545145585
BinnyMillJunction,-0.18112938958911,0.4642857142857142,-0.1809440203795361,-0.1811911793256347,-0.1811911793256347,-0.1811911793256347
OldMadrasRd-BMTC DepotJunc,-0.1838289563466791,0.4634353741496599,-0.1935875738362177,-0.1805760838501663,-0.1805760838501663,-0.1805760838501663
BiryandCircle,-0.1904961760251398,0.4634353741496598,-0.2207075501573247,-0.1804257179810782,-0.1804257179810782,-0.1804257179810782
29thMainRdBTM LayoutJunc,-0.181129914568806,0.4608843537414966,-0.1809445371285403,-0.1811917070488946,-0.1811917070488946,-0.1811917070488946
OldMadrasRd-DoubleRdJunc,-0.183834770075822,0.4600340136054421,-0.1935918804631269,-0.1805823999467203,-0.1805823999467203,-0.1805823999467203
KonanakunteJunction(KanakapurarRd),-0.181132014855337,0.4574829931972789,-0.1809464970498553,-0.1811938541238309,-0.1811938541238309,-0.1811938541238309
OldMadrasRd-SuddaguntepalyaRdJunc,-0.1838525573938998,0.4566326530612244,-0.19360861186769,-0.1806005392359697,-0.1806005392359697,-0.1806005392359697
PES-DevegowdaCircle,-0.1905708573518458,0.4549319727891157,-0.2209018030505884,-0.1804605421189316,-0.1804605421189316,-0.1804605421189316
ThomasCafe-New,-0.1811367698077755,0.4540816326530613,-0.1809511132233021,-0.1811986553359333,-0.1811986553359333,-0.1811986553359333
TyagiHengalvarayaJunc(DickensonRd),-0.1905211063906242,0.4540816326530612,-0.220691306690667,-0.1804643729572766,-0.1804643729572766,-0.1804643729572766
JaiMuniRaoCircle,-0.1959994120443099,0.4532312925170068,-0.2429227374770498,-0.18035830356673,-0.18035830356673,-0.18035830356673
SagarHospitalJunc,-0.1905222229502136,0.4523809523809523,-0.2206778964388534,-0.1804703317873337,-0.1804703317873337,-0.1804703317873337
BMTCJunction-K H Road,-0.1811439752156907,0.4506802721088435,-0.1809587317179154,-0.1812057230482825,-0.1812057230482825,-0.1812057230482825
MSRamaiahHospitalJunc,-0.1811494811997987,0.4472789115646259,-0.1809638375457182,-0.1812113624178255,-0.1812113624178255,-0.1812113624178255
TamarikannanJunc,-0.1839611590772006,0.445578231292517,-0.1937196720230924,-0.18070832142857,-0.18070832142857,-0.18070832142857
HoodiJunction,-0.1811743968924586,0.4438775510204081,-0.1809889636930108,-0.1812362079589412,-0.1812362079589412,-0.1812362079589412
MaharajaJunction,-0.1811753219728205,0.4404761904761905,-0.1809897173759929,-0.1812371901717631,-0.1812371901717631,-0.1812371901717631
Delmia-Jayanagar,-0.1906171533744617,0.4404761904761904,-0.2209488389808907,-0.1805065915056521,-0.1805065915056521,-0.1805065915056521
ESI(k r puram),-0.1811809418548339,0.4370748299319728,-0.180995323850756,-0.1812428145228599,-0.1812428145228599,-0.1812428145228599
SiddapuraJunction,-0.1811904487115194,0.4336734693877551,-0.1810049748201686,-0.1812522733419697,-0.1812522733419697,-0.1812522733419697
5thMainHSR,-0.1895716778792797,0.4311224489795918,-0.2162672115640192,-0.1806731666510333,-0.1806731666510333,-0.1806731666510333
Dr RajkumarRd-10thCrossRdJunc,-0.1812294409501302,0.4302721088435374,-0.1810442638824118,-0.1812911666393696,-0.1812911666393696,-0.1812911666393696
CID-CarltonHouseJunc,-0.1812495741277234,0.4268707482993197,-0.1810645177602016,-0.181311259583564,-0.181311259583564,-0.181311259583564
Geethanjali jn,-0.1812511511209782,0.423469387755102,-0.1810656108740601,-0.1813129978699509,-0.1813129978699509,-0.1813129978699509
KalyanNagar-ORR Junc,-0.1962159873086761,0.4217687074829931,-0.2433826531237109,-0.1804937653703312,-0.1804937653703312,-0.1804937653703312
NIMHANS Junction,-0.1812530178057414,0.4200680272108844,-0.1810676593658428,-0.1813148039523743,-0.1813148039523743,-0.1813148039523743
SandeepUnnikrishnan-Yelhanka,-0.1812579233480681,0.4166666666666667,-0.1810726369163249,-0.1813196854919825,-0.1813196854919825,-0.1813196854919825
YediyurMeternityHospital,-0.1812778202422285,0.413265306122449,-0.18109230669009,-0.1813396580929413,-0.1813396580929413,-0.1813396580929413
DMRoadJunc(Basavangudi),-0.1812892676205811,0.4098639455782312,-0.1811037661348645,-0.1813511014491533,-0.1813511014491533,-0.1813511014491533
Jaipuria-Adugodi,-0.190738467832377,0.4081632653061224,-0.2209357992531482,-0.1806726906921199,-0.1806726906921199,-0.1806726906921199
DevegowdaPetrolBunkJunc,-0.1907700277364857,0.4081632653061224,-0.2211134483076283,-0.1806555542127715,-0.1806555542127715,-0.1806555542127715
"KuvempuCircleJunc,HAL MainGate",-0.1897077468827653,0.407312925170068,-0.216423270123114,-0.1808025724693158,-0.1808025724693158,-0.1808025724693158
Krupanidhi College,-0.1812896553070824,0.4064625850340136,-0.1811042916335317,-0.1813514431982659,-0.1813514431982659,-0.1813514431982659
Kammanahalli-RingRoadJunction,-0.1962792065002129,0.4056122448979592,-0.2434559205236214,-0.1805536351590768,-0.1805536351590768,-0.1805536351590768
