query_event_id,query_junction,query_start_date,temporal_mean_delta_t_days,temporal_top1_delta_t_days,top1_phi_time,n_rank_changes_in_top5,half_life_days_used
FKID002008,,,0.0,0,1.0,2,1.0
FKID002015,,,0.0,0,1.0,2,1.0
FKID002017,,,0.0,0,1.0,4,1.0
FKID002051,,,0.0,0,1.0,4,1.0
FKID002054,,,0.0,0,1.0,4,1.0
FKID002057,,,0.0,0,1.0,2,1.0
FKID002071,,2024-03-18,23.2,0,0.735,5,1.0
FKID002110,,2024-02-28,18.0,8,0.0049,4,1.0
FKID002212,,2024-02-29,20.2,1,0.4829,4,1.0
FKID002254,,2024-03-20,20.2,0,1.0,5,1.0
FKID002282,,2024-03-20,25.0,2,0.2228,5,1.0
FKID002292,,2024-03-01,24.8,10,0.001,5,1.0
FKID002408,,2024-03-03,38.2,0,0.9953,2,1.0
FKID002409,,2024-03-03,38.2,0,0.9958,2,1.0
FKID002410,,2024-03-03,38.2,0,0.9936,2,1.0
FKID002411,,2024-03-03,38.2,0,0.9925,2,1.0
FKID002416,,2024-03-03,41.4,0,1.0,4,1.0
FKID002440,,2024-03-04,42.4,0,1.0,2,1.0
FKID002445,,,0.0,0,1.0,0,1.0
FKID002483,,,0.0,0,1.0,0,1.0
FKID002602,,2024-03-06,15.2,7,0.0072,4,1.0
FKID002639,,2024-03-23,41.0,5,0.0287,3,1.0
FKID002684,,2024-03-07,21.0,6,0.0197,5,1.0
FKID002883,,2024-03-25,74.6,28,0.0,0,1.0
FKID003127,,2024-03-27,9.2,0,1.0,2,1.0
FKID003153,,2024-03-28,21.4,5,0.0315,4,1.0
FKID003180,,2024-03-28,18.0,0,1.0,3,1.0
FKID003577,,2024-04-03,61.8,0,1.0,4,1.0
FKID003704,,,0.0,0,1.0,0,1.0
FKID003731,,2024-01-30,40.2,10,0.0008,0,1.0
FKID003755,,,0.0,0,1.0,0,1.0
FKID003758,,,0.0,0,1.0,0,1.0
FKID003763,,,0.0,0,1.0,0,1.0
FKID003783,,2024-04-05,33.2,13,0.0001,3,1.0
FKID004092,,2024-04-08,73.0,16,0.0,3,1.0
FKID004127,,2023-11-28,23.6,1,0.49,3,1.0
FKID004161,,2023-11-28,13.4,1,0.4899,4,1.0
FKID004165,,2023-11-28,61.0,17,0.0,0,1.0
FKID004184,,2023-12-25,21.6,2,0.2729,0,1.0
FKID004386,,2023-12-03,7.8,4,0.0791,4,1.0
FKID004418,,2023-12-04,28.2,1,0.4535,3,1.0
FKID004426,,,0.0,0,1.0,0,1.0
FKID004430,,2024-01-20,41.4,10,0.0008,2,1.0
FKID004449,,2024-01-21,41.8,20,0.0,0,1.0
FKID004467,,2023-11-13,21.2,0,0.9627,5,1.0
FKID004471,,2023-11-13,57.4,14,0.0001,0,1.0
FKID004485,,2023-11-13,15.8,0,0.8009,3,1.0
FKID004486,,,0.0,0,1.0,0,1.0
FKID004488,,2024-01-08,47.6,0,0.9969,0,1.0
FKID004505,,2023-12-07,8.2,0,0.9965,5,1.0
FKID004509,,2024-01-22,33.2,0,1.0,4,1.0
FKID004527,,2023-11-28,32.6,0,0.9996,4,1.0
FKID004535,,2023-11-15,20.0,2,0.2544,5,1.0
FKID004609,,2023-11-17,15.4,9,0.0018,5,1.0
FKID004629,,2023-11-18,19.2,8,0.0034,5,1.0
FKID004632,,,0.0,0,1.0,0,1.0
FKID004641,,2024-01-09,33.8,11,0.0007,0,1.0
FKID004671,,2023-11-19,32.8,4,0.0689,5,1.0
FKID004700,,2023-11-20,19.4,13,0.0001,4,1.0
FKID004703,,,0.0,0,1.0,0,1.0
FKID004707,,,0.0,0,1.0,0,1.0
FKID004711,,2023-12-10,12.8,1,0.417,3,1.0
FKID004721,,2023-11-28,43.0,0,0.9997,2,1.0
FKID004738,,2023-12-11,29.6,0,0.8213,4,1.0
FKID004747,,2023-12-11,24.2,0,0.9642,4,1.0
FKID004750,,2023-12-11,15.0,8,0.0032,5,1.0
FKID004753,,2023-12-11,24.2,0,0.9474,4,1.0
FKID004771,,,0.0,0,1.0,0,1.0
FKID004792,,2024-01-12,8.2,0,1.0,3,1.0
FKID004801,,2023-11-23,29.6,4,0.0658,5,1.0
FKID004884,,2023-11-26,9.6,6,0.0115,5,1.0
FKID004885,,2023-11-26,8.6,0,0.997,2,1.0
FKID004887,,2023-11-26,8.4,0,1.0,2,1.0
FKID004901,,2023-11-27,46.2,6,0.0188,3,1.0
FKID004902,,2023-11-27,7.6,0,0.9955,4,1.0
FKID004906,,2023-11-27,5.8,0,0.942,5,1.0
FKID005098,,2024-01-15,35.0,0,1.0,2,1.0
FKID005099,,2024-01-15,35.0,0,1.0,2,1.0
FKID005127,,2023-12-18,28.4,7,0.0078,4,1.0
FKID005136,,2024-01-28,29.4,2,0.2693,3,1.0
FKID005167,,2023-12-25,30.8,10,0.0008,4,1.0
FKID005248,,2023-11-28,43.0,0,0.9994,3,1.0
FKID005271,,2023-12-03,29.6,4,0.0616,3,1.0
FKID005273,,2023-12-03,6.6,0,0.9987,4,1.0
FKID005291,,2023-12-15,32.0,0,0.999,3,1.0
FKID005292,,2023-12-15,21.0,0,0.999,3,1.0
FKID005353,,2023-12-18,17.4,7,0.0076,5,1.0
FKID005354,,2023-12-18,33.8,7,0.0078,4,1.0
FKID005473,,,0.0,0,1.0,0,1.0
FKID005634,,2024-01-02,0.0,0,1.0,0,1.0
FKID005659,,2024-01-08,53.2,53,0.0,0,1.0
FKID005754,,,0.0,0,1.0,0,1.0
FKID005805,BanashankariBusStandJunc,,0.0,0,1.0,0,1.0
FKID005806,BanashankariBusStandJunc,,0.0,0,1.0,0,1.0
FKID005956,Marigowda-TavarkereRdJunc,2023-11-16,19.2,6,0.0173,3,1.0
FKID006105,FTI Junction(KanteeravaStudio),2023-11-21,10.0,5,0.038,3,1.0
FKID006248,HunsemarammanahalliJunction,2023-11-27,10.8,5,0.0297,4,1.0
FKID006283,AnepalyaJunc,,0.0,0,1.0,0,1.0
FKID006314,HudsonCircle,,0.0,0,1.0,0,1.0
FKID006315,K R Circle,,0.0,0,1.0,0,1.0
FKID006401,DomlurWaterTank,2023-12-02,11.8,2,0.2769,4,1.0
FKID006473,Batrayanapura(Amrutahalli)Junction,2023-12-04,16.6,11,0.0006,2,1.0
FKID006547,Marigowda-TavarkereRdJunc,2023-12-07,12.6,0,0.9527,4,1.0
FKID006581,Marigowda-TavarkereRdJunc,2023-12-08,11.0,1,0.5065,3,1.0
FKID006633,SadahalliGateJunc(AirportRd),2023-12-09,8.6,0,0.9866,2,1.0
FKID006635,SadahalliGateJunc(AirportRd),2023-12-09,6.6,0,0.9977,3,1.0
FKID006638,SadahalliGateJunc(AirportRd),2023-12-09,8.6,0,0.9866,2,1.0
FKID006639,SadahalliGateJunc(AirportRd),2023-12-09,16.2,0,0.9862,0,1.0
FKID006650,RajajinagarEntranceJunction,2023-12-09,5.8,0,0.9721,2,1.0
FKID006666,OldPoliceStation-Ashoknagar,2023-12-10,14.8,6,0.0148,3,1.0
FKID006703,Bommanahalli,2023-12-11,9.8,5,0.024,4,1.0
FKID006806,PurnimaTheaterJunc,,0.0,0,1.0,0,1.0
FKID006807,PoliceCornerJunc,2023-12-15,10.0,1,0.4495,2,1.0
FKID006838,MarenahalliRd-18thMainRdJunc,2023-12-16,13.4,0,0.9999,4,1.0
FKID007012,VijayanagarBusStandJunction,2023-12-19,7.6,0,0.9963,4,1.0
FKID007013,VijayanagarBusStandJunction,2023-12-19,7.6,0,0.9963,4,1.0
FKID007161,LeprosyhospitalJunc,2023-12-24,13.6,5,0.0323,4,1.0
FKID007173,KarnatakaBhavanJunction,,0.0,0,1.0,0,1.0
FKID007186,KIMCO Junction,2023-12-25,16.2,1,0.4761,3,1.0
FKID007191,HennurRd-DavisRdJunction,,0.0,0,1.0,0,1.0
FKID007213,LeprosyhospitalJunc,2023-12-26,1.0,0,0.9721,4,1.0
FKID007215,KCG HospitalJunction,2023-12-26,3.4,0,0.9721,5,1.0
FKID007248,LeprosyhospitalJunc,2023-12-27,3.4,0,0.9991,4,1.0
FKID007249,LeprosyhospitalJunc,2023-12-27,0.8,0,0.9991,2,1.0
FKID007303,Yemalur cross junc,2023-12-29,33.8,41,0.0,0,1.0
FKID007408,Geethanjali jn,2024-01-02,8.8,1,0.5048,3,1.0
FKID007416,IndianExpressJunction,2024-01-02,6.0,0,1.0,5,1.0
FKID007450,MotherTeressaCircle,2024-01-03,7.6,0,1.0,4,1.0
FKID007487,BinnyMillJunction,2024-01-05,15.0,0,1.0,4,1.0
FKID007575,Marigowda-TavarkereRdJunc,2024-01-08,9.8,0,0.871,3,1.0
FKID007686,SiddalingaiahCircle,,0.0,0,1.0,0,1.0
FKID007787,BEML GateJunc(SuranjandasRd),2024-01-15,10.2,0,1.0,4,1.0
FKID007967,A S CharStreet-MysoreRdJunc,2024-01-21,11.4,2,0.2473,5,1.0
FKID007991,KrishnaFlourMill,2024-01-22,7.8,0,1.0,4,1.0
FKID008054,KanakapuraRd-RingRdJunction,,0.0,0,1.0,0,1.0
FKID008080,Richmond circle jn,,0.0,0,1.0,0,1.0
FKID008130,"PriyadarshiniHotel,Jayamahal,RT Nagar",,0.0,0,1.0,0,1.0
FKID008131,Nagavara-ORR Junction,,0.0,0,1.0,0,1.0
