junction,severity_hotspot_score,raw_count,mean_duration,latitude,longitude
YeshwanthpuraCircle,29109.145117325003,38,261.0174382969298,13.017761442894736,77.55697258157895
Nagarbhavi,28125.590833489998,9,4416.843471855555,12.958794555555556,77.51788084444443
ISRO Junction-Airport rd,27980.964962494996,9,1463.1265544462963,12.95924701111111,77.65546522222222
TC Palya-OM RoadJunc,26175.761917078828,4,13296.034795845831,13.017485675,77.705930225
TownhallJunction,22588.394079204998,30,336.8731402077778,12.963981796666667,77.58437726000001
A S CharStreet-MysoreRdJunc,22146.776450035,5,2098.8356542766664,12.96481012,77.57389456000001
BTM16thMain-ORR Junc,22103.91667966316,6,7599.867952586111,12.916279166666667,77.6097492
KIMCO Junction,21282.196488345002,31,300.2902255209678,12.951140019032259,77.53800328
KCG HospitalJunction,19173.653964011664,2,13693.166235008333,12.99931805,77.57141139999999
BigBazaar(Whitefield)Junc,18571.255972321665,8,3296.5372127833334,12.98810970125,77.733229935
OperaHouseJunc,17222.85378238,6,959.6790485388889,12.971986748333334,77.60712471333333
BanashankariBusStandJunc,17092.65761137833,13,1855.7342028679486,12.916914513846153,77.57278397769231
HoodiJunction,16983.549897573335,6,2839.6714388472224,12.992635916666666,77.71575451666666
JohnsonMarket,16654.980423817997,3,3732.422617688889,12.962821266666666,77.60661306666667
BMTCJunction-K H Road,16219.613067049997,10,3250.1529352549996,12.956571942,77.593179472
KogilluCrossJunc,15565.27456673,15,347.03652573444447,13.104882479999999,77.60111568666666
Srinivagilu(Ejipura)Junc,15520.88058445,4,1833.6760853708333,12.938698,77.634254475
toll gate mysore road,12228.013281718331,33,152.6151680621212,12.957494487575758,77.55188395151515
Yemalur cross junc,10207.30677651,4,1176.4817863875,12.956005000000001,77.69349825
UpparpetJunction,9935.447727466664,2,10108.508750733334,12.97431308,77.57463606
MS RamaiahJunc(TollGate),9637.548264150002,11,292.04691709545455,13.017081354545455,77.56076145454546
PeenyaPoliceStation,9437.1690385,12,262.1435844027778,13.0371606,77.52245386666667
Dr TCM RoyanRd near AmbedkarStatue,9206.285138463332,12,270.3401065458333,12.965155475000001,77.56807370833333
SadahalliGateJunc(AirportRd),8772.858795299999,7,538.6268935857142,13.190765028571429,77.64583525714285
BasavamantapaJunc-Dr RajkumarRd,8142.466466554999,2,5812.446005575,12.9802019,77.55618905
Marigowda-TavarkereRdJunc,6718.094883999999,13,208.30525262820512,12.935763999999999,77.60780676153846
DoddaballapuraCrossJunc,6084.105845911667,3,2889.039435938889,13.2572493,77.7125229
MahalaxmiLayoutEntranceJunc,5819.7669980833325,5,545.5661113399999,13.009674380000002,77.54884394000001
SwagathMainRd-EastEndRdJunc,5286.565654026499,2,5314.919907058333,12.92727815,77.59705165
JalahalliCross(SM Circle),4792.4699924,32,49.92156242083333,13.0400894125,77.518302096875
NaganathapuraJunction,4494.86715858,12,126.28434027499999,12.870339716666665,77.65300454166668
GokuldasImagesJunc,4234.312497545,28,51.684978688095235,13.030656107142857,77.53642285714285
HesaraghattaJunction,4183.352260746667,30,49.721741405555555,13.045215853333334,77.50743217666667
HoramavuJunction,4141.52752574,12,119.32318888055556,13.018759941666666,77.65638329166667
KuvempuCircle,3857.2522716999997,3,595.9546173111111,13.0446343,77.56207
KundanahalliGateJunc,3653.28737068,11,112.26231703030302,12.955880527272727,77.71681418545455
Arbindo Circle,3514.253138845,10,435.21686413500004,12.91728056,77.585654
YelhankaBypass,3245.5899050099997,19,58.74259802894737,13.082246415789474,77.59342907894738
"PriyadarshiniHotel,Jayamahal,RT Nagar",3182.4376586533335,6,741.4156040222223,13.001852065000001,77.59451953833333
HopefarmJunction,3121.98215075,10,312.198215075,12.984359663000001,77.752452978
BigBazaarJunction(OldMadrasRd),3093.5608328266667,26,57.07676813333333,12.991387184615386,77.65742077692308
GoruguntepalyaJunc,3082.9006298649997,20,53.98308192166667,13.02965172,77.540355135
FTI Junction(KanteeravaStudio),2985.076838633334,11,271.3706216939394,13.021223754545453,77.53143259090909
HennurRoad-ORR Junc,2954.08838497,17,61.952250004901956,13.0292207,77.63169948235294
HudsonCircle,2944.12145035,16,61.33586354895833,12.967816574375,77.590308950625
Peenya2ndStageBusStand,2940.3497514666665,2,1470.1748757333332,13.009776500000001,77.50594505000001
SandeepUnnikrishnan-Yelhanka,2863.9423749606667,8,689.3653441895833,13.1013404125,77.586018675
JakkurCrossJunction,2745.47281978,18,54.25587631851852,13.073616027777778,77.59285452777777
Batrayanapura(Amrutahalli)Junction,2728.53329323,14,66.18815201309523,13.067096859285714,77.59289248
AgaraJunction,2445.8631588433336,6,143.17442919722222,12.923731916666668,77.64970595
RamamurthyNagarJunction,2358.78893396,9,91.1676709851852,13.015187844444444,77.66126624444445
DomlurWaterTank,2091.57688705,12,69.03429102638889,12.961040745,77.63887486666667
BegumMahalJunc,2000.0557059466669,4,442.11185735833334,12.9757196,77.620183425
MinskSquare(CTO Junction),1936.36195195,8,80.68174799791666,12.9816874725,77.59743405750001
K R MarketJunction,1785.6631193999997,7,103.4078205642857,12.963904757142858,77.57833600000001
TumkurRdMarappanapalyaJunc,1760.7182466666666,14,49.68482245,13.018958142857143,77.55314450714286
KodigehalliCross,1752.2567816933333,11,57.07676813333333,13.055506881818182,77.59384458181817
HunsemarammanahalliJunction,1697.283516,7,80.82302457142858,13.142240485714286,77.61770735714286
UniversityJunc(Janabharti),1654.14573505,11,50.125628334848486,12.935896474545455,77.5125528
LRDE Junction,1616.0674075499999,9,59.85434842777777,12.987409266666667,77.58811161111112
NagaTheaterJunc-Ulsoor,1604.6096429066665,1,2292.2994898666666,12.9897527,77.6180398
KadirenahalliJunction,1533.11396605,8,63.879748585416664,12.916272925000001,77.565058
UlsoorGateJunc,1528.49625805,12,42.45822939027778,12.966829124999999,77.58747884166667
MotherTeressaCircle,1502.1723736833333,11,48.979573028787875,12.966578086363636,77.60897399272727
N R SquareJunc,1444.049138525,10,52.92792644666666,12.96546108,77.58656263
SiddalingaiahCircle,1360.13392125,11,41.216179431818176,12.971612360909091,77.59445759545454
SadashivnagarJunc,1342.7142395283333,13,117.0614539025641,13.015022161538461,77.57265107692308
KanakapuraRd-RingRdJunction,1312.7656670666665,9,57.07676813333333,12.905958257777778,77.57323213000001
KhodaysCircle(DV UrsCircle),1299.76213775,23,56.51139729347826,12.980188352173913,77.57155901739131
JayadevaHospitalJunc,1284.2120567349998,8,58.45745961041666,12.915537875,77.6001182625
DhobiGhatJunc,1212.3744883499999,7,57.73211849285714,12.98687955857143,77.55060211714286
OldMadrasRd-Indranagar100ftRdJunc,1208.95690635,12,40.71673230416666,12.984076591666666,77.64112288333332
Kudlu Gate Junc,1193.5395554,6,66.30775307777778,12.889438966666667,77.6394545
Ashoknagar Junction(ShoolayCircle),1153.34885475,6,64.07493637500001,12.966321083333334,77.60641865000001
RamaiahCircle-UlsoorPoliceStation,1137.71088061,9,55.455352587037034,12.975644066666668,77.6259338
ItmaduJunction,1125.46155355,6,62.52564186388889,12.92794845,77.54645538333334
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),1103.0613508666665,6,183.84355847777775,12.952732066666668,77.59074646666666
AnilKumbleCircle,1067.24156845,8,55.17029271041667,12.97636365,77.6015210625
BDA Junctio-Koramangala,1048.75699305,6,58.26427739166667,12.931545133333332,77.62268249
Rajajinagar19thMainJunc,1027.3818264,6,57.07676813333333,12.9977006,77.55124131666666
OldMadrasRd-80FeetRdJunc,1010.25879596,8,57.07676813333333,12.985833575000001,77.645409175
OldMadrasRd-NGEF Junc,1003.93659658,8,54.672964354166666,12.9867540125,77.64830568375
JaiMuniRaoCircle,985.8485585,5,65.72323723333332,12.978470042000001,77.543288764
MC Circle,931.2437021,6,51.73576122777778,12.976117833333333,77.54777961666666
BasaweshwaraCircle,929.87440815,5,61.991627210000004,12.984270700000001,77.5886019
KamrajRdJunction,907.66010811,5,67.35988605,12.97709826,77.6089381
PrasannaJunction,893.1582683500001,6,49.61990379722223,12.975611336666667,77.55341817833333
ShivanahalliJunctionWOC,867.91959955,3,96.43551106111111,12.989829300000002,77.55055643333334
BiryandCircle,856.151522,5,57.076768133333324,12.96412278,77.57003834
SagarHospitalJunc,856.151522,5,57.076768133333324,12.9278346,77.60037306
TyagiHengalvarayaJunc(DickensonRd),850.5694418,5,56.70462945333334,12.981654599999999,77.60941434
OldPoliceStation-Ashoknagar,839.4738246,5,55.964921639999986,12.9683707,77.60624623999999
Dr RajkumarRd-10thCrossRdJunc,761.154856525,5,103.09797014,13.007386059999998,77.55402936
CMH Rd-AdarshTheaterJunc,753.41333936,5,57.076768133333324,12.978331579999999,77.62877914
VeerasandraGateJunction,716.4709234166667,11,65.13372031060607,12.839784945454545,77.67714299090909
GarebhavipalyaJunc,702.04424804,5,57.076768133333324,12.893795220000001,77.63690847000001
WebbsCircle,689.33516966,3,88.00815025555555,12.973985733333334,77.61382183333333
NavarangTheatreJunction,684.9212176,4,57.07676813333333,12.998120985,77.5528348225
KalyanNagar-ORR Junc,683.208914556,6,57.07676813333333,13.024157833333334,77.64375153333334
PES-DevegowdaCircle,667.102326,4,55.591860499999996,12.93772201,77.53334387999999
StateBankofMysoreJunc,664.4260207333333,12,55.368835061111106,12.973675366666667,77.582229875
DairyCircle,651.3604211833333,5,53.231441370000006,12.936367480000001,77.6029089
ShivandaCircle,647.27002915,12,53.939169095833336,12.987866075,77.57968311666666
MayohallJunction,643.36246048,5,46.315436786666666,12.973328760000001,77.61061404
Kammanahalli-RingRoadJunction,625.50065698,4,56.405812358333336,13.026446400000001,77.63677685
MillCornerRd-SampigeRdJunc,597.5491988,9,66.39435542222222,12.99226608888889,77.5714538
Ring road-Near Kengunte Junction,559.7684730333334,7,79.96692471904763,12.959364842857143,77.50398327142857
VijayanagarBusStandJunction,557.1038814,6,30.95021563333333,12.973221583333334,77.53947993333334
UCO Bank(Forum),522.8225312,2,87.13708853333333,12.933905,77.612605
CashPharmacyJunction,493.5386911,3,54.837632344444444,12.966028399999999,77.5997593
ChandraLayoutJunc-nearWaterTank,491.67787575,2,81.94631262499999,12.960020400000001,77.52715265
DevangaHostelJunction,471.27598838333336,5,48.59378317,12.963187976,77.588957566
SonyworldJunction,468.08043449999997,3,52.00893716666667,12.9374064,77.62750926666666
"Narayanapura cross, Hegde nagar",462.32182188,3,57.07676813333333,13.070610266666668,77.6345598
PurnimaTheaterJunc,456.61414506666665,8,57.07676813333333,12.96036127625,77.58765571250001
KarnatakaBhavanJunction,454.1600211433333,9,52.364783509259254,12.981451431111111,77.5647627311111
DevegowdaPetrolBunkJunc,448.1134871500001,2,74.68558119166667,12.92073005,77.56126234999999
BM ShriJunc(CMH-100FtRd)Junc,444.78191038,3,55.12788907777778,12.978526593333333,77.64130376666667
NCERT Junction,438.51033495,1,146.17011165,12.9318961,77.5445289
D'SouzaCircle,428.5555375,4,107.138884375,12.9671612,77.610776025
HSR14thMainJunc,419.7280539333334,3,59.32017668888889,12.91803727,77.63877112333334
J D MaraJunc,405.38599895,3,45.04288877222222,12.907161833333333,77.6010555
Indiranasgar13thMainJunc,393.46840439999994,2,65.5780674,12.966776190000001,77.641548645
AnandRaoJunction,386.6106937166667,7,55.230099102380954,12.9813513,77.57418408571428
MysoreRd--MadhuPetrolBunkJunction,381.075084205,4,35.66259980833333,12.912233975,77.48536440000001
LalbaghMainGateJunc,365.8667408333333,6,60.977790138888885,12.953932666666667,77.58566405
NIMHANS Junction,359.6850904666667,6,59.94751507777778,12.940403733333333,77.5977461
AnjaneyaTempleJunc,359.58363924,3,57.07676813333333,12.981286866666666,77.63094503333333
OldMadrasRd-SuddaguntepalyaRdJunc,359.58363924,3,57.07676813333333,12.989703999999998,77.65383403333334
KonanakunteJunction(KanakapurarRd),356.07788961666665,6,59.346314936111106,12.890109883333333,77.56420415000001
Shivashankara circle,354.33791165,5,70.86758233,12.95775582,77.57404088
SiddapuraJunction,354.07965913333334,5,70.81593182666667,12.94923378,77.59482698
5thMainRPC Layout-Vijayanagar,352.1412473,3,39.12680525555555,12.9657814,77.53542256666667
MargosaRd-18thCrossJunc,344.40550105,6,57.400916841666664,13.0110951,77.56933845
EliteJunc,344.25877161666665,6,57.376461936111106,12.976210316666666,77.57514845
WilsonGarden12thCrossJunc,343.0105985166667,8,42.876324814583334,12.9445289375,77.596888675
Rajajinagagr1stBlockJunction,342.4606088,2,57.07676813333333,13.00449865,77.54946015
JP Nagar 9th cross-24th main jn,342.43636215,5,68.48727242999999,12.911875760000001,77.58611252
PlatformRdJunction,329.92254031666664,6,54.98709005277777,12.981695483333333,77.57023611666666
Krupanidhi College,316.39393866666666,5,63.27878773333333,12.92466734,77.62763722
"Jayanagar 4th main,36th cross",305.65466253333335,2,152.82733126666668,12.9225838,77.5803166
ElectronicCityGate-2Junc,298.79139759333333,6,52.65240467222222,12.855327033333333,77.66495454999999
CommandoHospitalJunc,294.76265053333333,6,49.12710842222222,12.966296783333334,77.62450715
RRR(Okalipuram)Junction,287.25500399333333,6,50.729672405555554,12.9823826,77.56777453333333
SagarTheatreJunc,277.4431625166667,6,46.240527086111115,12.974529163333331,77.57870924833334
Malleswaram18thCrossRd-SampigeRdJunc,274.78705583333334,5,54.95741116666667,13.008669560000001,77.57150302
BhashyamCircle,273.8856367333333,3,53.24403348888888,12.9850372,77.55434766666667
GangammagudiJunc,257.20455076666667,6,42.86742512777778,13.056797616666666,77.54662863333333
ModiHospital,243.74576455000002,1,81.24858818333334,12.9975256,77.5470383
"Bellandur Junction, Outer ring road",241.8599583,3,26.8733287,12.926606866666667,77.67833689999999
ManipalCentreJunc,234.52532218,2,47.649068916666664,12.975913349999999,77.61298679999999
HalliThindi,233.86138831666665,3,77.95379610555555,12.943953533333334,77.56790193333335
RajajinagarEntranceJunction,228.90997253333333,5,45.78199450666666,12.9822577,77.55984628
VetenaryHospitalJunc-Shivajinagar,228.30707253333333,4,57.07676813333333,12.98963695,77.59948262500001
CIL CrossJunction-JayamahalRd,228.30707253333333,4,57.07676813333333,13.00907855,77.59168475
CholurpalyaJunction(MagadiRd),225.8752222,2,37.64587036666667,12.973764150000001,77.5500964
WiproJunc-Koramangala,215.32322236666667,1,215.32322236666667,12.9297671,77.6330898
ASC Junction,213.34477135,3,71.11492378333334,12.966569033333334,77.62054773333334
PuttammaChoultryNagarbhavi,211.18404209333332,2,57.07676813333333,12.9756474,77.53791515
SafinaPlazaJunc,193.54497905,1,64.51499301666666,12.9801409,77.6074116
NandiCross(RaniCross),186.48597504333333,3,72.89407166111111,13.265405000000001,77.71870396666667
GopalGowdaJUnc,178.19847564999998,3,59.399491883333326,12.9785487,77.5911902
Basappa Circle Junction,174.84790596666667,3,58.28263532222223,12.957186906666665,77.57678725333334
KHB Junction,171.2303044,1,57.07676813333333,12.9807626,77.5366494
HosmatJunction,171.2303044,3,57.07676813333333,12.968480066666666,77.61442303333334
RajarajeshwariKalyanaMantapaJunc,171.2303044,1,57.07676813333333,12.994492,77.5541902
BhashyamCircle-SadashivNagar,167.09222258333335,4,41.77305564583334,13.0071179,77.57946305
KrishnaFlourMill,161.58529262666664,19,9.405701214035085,12.984845371578947,77.57305116631579
Arts&CraftsCircle,147.44819848,2,33.136214966666664,12.9753296,77.6073261
NTTF JunctionPeenya,138.39391698333333,2,69.19695849166666,13.0248685,77.51113294999999
ShankarMuttCircle,135.06321291666666,3,45.02107097222222,12.999046466666668,77.54133353333333
KamakyaJunction,133.59634169999998,1,44.5321139,12.9233939,77.5542916
South end circle,132.34731676666667,3,44.115772255555555,12.937703816666668,77.57961607
KR Road-14thCross Junc,123.51028495,1,123.51028495,12.929715,77.573648
"Trilight Circle,Race course Road",120.42757326666666,2,60.21378663333333,12.984309145000001,77.582696795
TamarikannanJunc,119.86121308,1,57.07676813333333,12.9813476,77.6285708
27th Cross Jayanagar(Ganapathi Temple),119.25386498333334,1,119.25386498333334,12.9317517,77.5797388
DevanahalliCrossJunc,114.15353626666666,2,57.07676813333333,13.24167865,77.70356475
Fire Force Junction,111.80675209999998,2,18.63445868333333,12.98076095,77.5495049
OldMadrasRd-DoubleRdJunc,102.3361991,3,11.37068878888889,12.98281526,77.6375072
AdugodiJunc,100.29257655,2,16.715429425,12.942809950000001,77.60780145000001
LinkRoadMalleswaramJunc,93.24444893333333,3,31.081482977777778,12.9928565,77.57435053333334
ChandrikaJunction,89.97062291666667,2,44.985311458333335,12.99138545,77.59245085
LowerAgaram(IndiaGarage)Junc,83.82316384333333,3,33.64873142777778,12.964487366666667,77.61810673333333
TVS CrossJunction,74.80607221666668,1,74.80607221666668,13.0283245,77.5191569
MaharajaJunction,73.43176834333333,2,45.27739939166666,12.93436245,77.6296954
Geeta Circle,70.25211858333334,1,70.25211858333334,12.9285748,77.5861157
Minerva Circle,66.14210221666667,2,33.071051108333336,12.9549542,77.58042775
OldMadrasRd-BMTC DepotJunc,58.8197935,1,19.606597833333336,12.9825565,77.6353914
DickensonRd-AdigasJunc,57.07676813333333,1,57.07676813333333,12.9796588,77.613821
LalbaghWestGate,57.07676813333333,1,57.07676813333333,12.9483534,77.5797302
ThomasCafe-New,57.07676813333333,1,57.07676813333333,12.9905937,77.6138551
DMRoadJunc(Basavangudi),57.07676813333333,1,57.07676813333333,12.943615,77.5722
MSRamaiahHospitalJunc,57.07676813333333,1,57.07676813333333,13.0278807,77.5742038
K G Junction,57.07676813333333,1,57.07676813333333,12.9751381,77.5764764
ColesParkJunc,57.07676813333333,1,57.07676813333333,12.9928238,77.6096432
KensingtonOvalJunc,57.07676813333333,1,57.07676813333333,12.9821285,77.6236031
GovindapuraCross,57.07676813333333,1,57.07676813333333,13.032092,77.6216355
Peenya14thCrossJunc,57.07676813333333,1,57.07676813333333,13.0166142,77.5054464
VishweswaraiahJunctio(Uttamsagar),57.07676813333333,1,57.07676813333333,13.01136787,77.64639437
17th Mn 1st Crs Aishwarya Stores Jn,55.782216733333335,1,55.782216733333335,12.9250436,77.6336263
YediyurMeternityHospital,53.0065693,1,53.0065693,12.9267084,77.577034
BrigadeMillenium,39.95373769333333,1,57.07676813333333,12.8933772,77.5851856
Devanahalli new bus stand,39.95373769333333,1,57.07676813333333,13.2483559,77.7156178
Basveshwarnagar 8th main Junction,39.95373769333333,1,57.07676813333333,12.99274321,77.53414506
NationalCollege,39.95373769333333,1,57.07676813333333,12.9516353,77.5736202
ESI(k r puram),39.95373769333333,1,57.07676813333333,12.9930024,77.7063512
AttiguppeCircleJunction,39.055831600000005,1,13.018610533333334,12.9621302,77.5335461
GorappanapalyaJunction,35.340997650000006,1,11.78033255,12.920906,77.6002661
RoyanCircle-Chamrajpete,35.05571625,1,11.68523875,12.9624886,77.5656329
BHEL Gate,31.145576100000003,1,31.145576100000003,12.8461033,77.6589267
MarenahalliRd-18thMainRdJunc,20.46787118333333,2,10.233935591666665,12.9186031,77.58915404999999
GowdanapalyaJunction,19.04382405,1,19.04382405,12.9135866,77.5590245
"KuvempuCircleJunc,HAL MainGate",17.51995,1,5.8399833333333335,12.958055,77.668315
BEML GateJunc(SuranjandasRd),-174.52356673333335,2,-87.26178336666668,12.9692543,77.65860705
ISRO Junction-NewBEL Rd,-418.3878,1,-418.3878,13.0351175,77.5677308
Geethanjali jn,-463.3811985333333,2,-231.69059926666665,13.002918300000001,77.57109990000001
ShivajiTalkiesJunc,-1904.3091002999995,7,-148.11030144285715,12.962567871428572,77.58247607142857
