junction,severity_raw,persistence_norm,hawkes_norm,duration_risk_norm,frailty_difficulty_norm,severity_norm,operational_burden_index
AnilKumbleCircle,1067.24156845,0.25,0.0,0.00020686935894429718,0.5,0.0009847246457992303,0.10027721156529146
Rajajinagar19thMainJunc,1027.3818264,0.25,0.0,0.00019914312382627772,0.5,0.0009715157610291967,0.10027275040883124
OldMadrasRd-80FeetRdJunc,1010.25879596,0.25,0.0,0.00019582407176250643,0.5,0.0009658414609870134,0.10027083397601114
OldMadrasRd-NGEF Junc,1003.93659658,0.25,0.0,0.00019459860475342234,0.5,0.0009637463846315556,0.10027012638687091
KamrajRdJunction,907.66010811,0.25,0.0,0.00017593679842955258,0.5,0.0009318418870894373,0.1002593509915368
ShivanahalliJunctionWOC,867.91959955,0.25,0.0,0.00016823367500092958,0.5,0.0009186725144022508,0.10025490317985071
OldPoliceStation-Ashoknagar,839.4738246,0.25,0.0,0.00016271987250059532,0.5,0.0009092460368541137,0.10025171949008863
VeerasandraGateJunction,716.4709234166667,0.25,0.0,0.00013887753720527834,0.5,0.0008684848310722896,0.10023795283834888
ArakereGateJunc,439873.1784857873,0.0,0.0,0.08526306052930734,0.5,0.14639803539620655,0.09938896792844774
YelhankaCircle,363406.203607125,0.0,0.0,0.07044104221481018,0.5,0.12105809569919834,0.09083068025702112
KatriguppeJunction,260155.95004054997,0.0,0.0,0.05042747228127158,0.5,0.08684260328264275,0.07927477166285143
SindhiColonyJunction,229433.63266205048,0.0,0.0,0.044472394921790726,0.5,0.07666171576932279,0.07583628818059931
AnepalyaJunc,225132.1746480535,0.0,0.0,0.04363861943160464,0.5,0.075236280974016,0.07535486315824469
QueensStatueCircle,204054.73614783346,0.0,0.0,0.039553062497141356,0.5,0.068251552973327,0.07299584761790295
"VeerannapalyaJunction(BEL,HO)",203945.99694785502,0.0,0.0,0.039531984974248084,0.5,0.06821551853134042,0.07298367737897232
Shivajinagar(BRV)Junction,172901.75994752004,0.0,0.0,0.03351450814704652,0.5,0.05792795197366779,0.06950916421547393
MekhriCircle,160070.47657859483,0.0,0.0026185563571654484,0.031027349247475848,0.5,0.05367586867470471,0.0688586364629472
Delmia-Jayanagar,153790.40458746397,0.0,0.0,0.029810048024083567,0.5,0.05159475266611873,0.06737019537014222
HulimaveRd-BanneraghattaRdJunc,152515.5017744725,0.0,0.0,0.029562926533095488,0.5,0.05117227014406247,0.06722750651597995
MeenakshiMallJunc,152405.847736468,0.0,0.0,0.029541671682068088,0.5,0.051135932539299406,0.06721523388713507
PoliceTimmaiahCircle(GPO),139669.69741229,0.0,0.0,0.02707295294877567,0.5,0.046915374818808774,0.06578978664701854
28thMainJayanagarJunc,130987.33797797398,0.0,0.0,0.025390003011856045,0.5,0.04403817894644125,0.06481804518838873
SarjapurRd-St JohnsRdJunc,130777.45024613,0.0,0.0,0.025349319307416105,0.5,0.04396862548919376,0.06479455426841085
SirsiCircle,111691.99872343549,0.0,0.0,0.02164988026907692,0.5,0.03764401030149127,0.06265848461573435
Jaipuria-Adugodi,109702.62525383498,0.0,0.0,0.021264268963705122,0.5,0.03698476356347794,0.06243583123542526
BloodBankCircle,104601.89732589999,0.0,0.0,0.02027556654824948,0.5,0.0352944634265912,0.06186495083888523
WilsonGarden10thCrossJunc,99134.650412985,0.0,0.0,0.01921581972288217,0.5,0.033482704725508086,0.06125304913980935
SubbannaJunction,96536.41538839048,0.0,0.0,0.018712189401674656,0.5,0.032621690948693285,0.060962251147424526
MintoJunction,96414.73430911849,0.0,0.0,0.01868860328245967,0.5,0.03258136777367673,0.06094863243578813
Richmond circle jn,89651.96581529,0.0,0.0,0.0173777383158347,0.5,0.0303402938186737,0.06019173420204363
BhadrappaLayout,88166.58165331649,0.0,0.0,0.017089818056300818,0.5,0.02984806112408854,0.06002548798946726
AshirwadamCircle,85186.96572601999,0.0,0.0,0.01651226255715056,0.5,0.02886066377983964,0.0596920053285325
ModiBridgeJunction,83410.60354319899,0.0,0.0,0.01616794041221502,0.5,0.028272005595516847,0.05949319246071147
NGV RearGateJunc,81191.14303319131,0.0,0.0,0.015737730058270227,0.5,0.027536511670554747,0.059244787426379224
Deverabeesanahalli-ORR Junc,79950.6562575295,0.0,0.0,0.015497279618888695,0.5,0.027125434076075747,0.05910595046185224
Srigandakaval,78129.76616881,0.0,0.0,0.01514432638271696,0.5,0.02652202005170446,0.05890215397033366
NavarangBarJunc-Dr RajkumarRd,76280.80272523583,0.0,0.0,0.014785931532299785,0.5,0.02590930296388337,0.05869521547081581
UrvashiJunction,75313.74608222683,0.0,0.0,0.014598481573718578,0.5,0.0255888357679949,0.05858698117805651
RingRoad-UllalJunction,74528.0034455385,0.0,0.0,0.014446176715706919,0.5,0.025328453151020124,0.05849903979511107
29thMainRdBTM LayoutJunc,71963.76843958333,0.0,0.0,0.013949136806893319,0.5,0.024478706439803058,0.05821204713098477
5thMainHSR,64952.388312605006,0.0,0.0,0.012590082067028448,0.5,0.022155246542345942,0.057427323945640756
UttarahalliJunction,64941.57144291666,0.0,0.0,0.012587985373117377,0.5,0.022151662003712786,0.05742611330689581
Bamboobazar(Shivajinagar),57956.468468083825,0.0,0.0,0.011234024079553621,0.5,0.01983690993668616,0.05664433109610459
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),56641.22276574267,0.0,0.0,0.010979082702323801,0.5,0.019401058422526495,0.0564971270109802
RajeshwariJunc,53611.18447885999,0.0,0.0,0.01039175355725081,0.5,0.01839695190999518,0.05615800101108642
BEL Circle,51149.69418855949,0.0,0.0,0.009914629227150345,0.5,0.017581253163968406,0.055882507675064655
TataInstituteCircle,50083.894479835,0.0,0.0,0.009708039351882396,0.5,0.017228064086055716,0.055763221924296294
BucheryJunction,49547.846078326664,0.0,0.0,0.009604134113873165,0.5,0.017050426168635117,0.055703226659239755
PoliceCornerJunc,45500.54285548333,0.0,0.0,0.008819622858020583,0.5,0.015709214230212067,0.05525024698625611
SubedarChatramRd near SheshadripuramPS,44355.122491484326,0.0,0.0,0.008597599669056575,0.5,0.015329640133060764,0.05512204998362368
BinnyMillJunction,43847.42580237166,0.0,0.0,0.008499190000880499,0.5,0.015161397522353333,0.05506522788072041
MaratahalliBridgeJunc,42598.32102288,0.0,0.0,0.00825706908596619,0.5,0.014747464058426075,0.054925426377501446
PotteryCircle,41207.83659311617,0.0,0.0,0.007987543768445963,0.5,0.014286679626247935,0.05476980147182888
MICO Bande,40454.49732272516,0.0,0.0,0.007841519834839545,0.5,0.014037034969670537,0.05468548671764357
JP Nagar 15th cross junction,39897.81708285,0.0,0.0,0.007733615413043847,0.5,0.013852559989048687,0.054623182309218754
ShantalaJunction,38689.31924445,0.0,0.0,0.007499365566986534,0.5,0.013452083019773865,0.05448792558999145
SRS Peenya Junc,36222.033270565,0.0,0.0,0.007021117827357042,0.5,0.012634463676354981,0.0542117835931923
CID-CarltonHouseJunc,33525.99377916333,0.0,0.0,0.006498529523300647,0.5,0.01174103905427104,0.05391003919206286
BagalakunteCrossJunction,33055.119944210324,0.0,0.0,0.006407257433400848,0.5,0.011584998951971431,0.053857338353002986
YeshwanthpuraCircle,29109.145117325003,0.0,0.0,0.005642387223150652,0.5,0.010277365632909815,0.05341569949170005
Nagarbhavi,28125.590833489998,0.0,0.0,0.0054517394352469545,0.5,0.009951431381153928,0.053305618760575525
TC Palya-OM RoadJunc,26175.761917078828,0.0,0.0,0.005073793270186266,0.5,0.009305289079333524,0.05308739126036132
TownhallJunction,22588.394079204998,0.0,0.0,0.0043784338437387405,0.5,0.008116492414800168,0.052685888180260855
A S CharStreet-MysoreRdJunc,22146.776450035,0.0,0.0,0.004292832646647458,0.5,0.007970147353941403,0.05263646173548247
KCG HospitalJunction,19173.653964011664,0.0,0.0,0.0037165358072732365,0.5,0.006984901832888716,0.052303705829313166
BigBazaar(Whitefield)Junc,18571.255972321665,0.0,0.0,0.0035997696598008984,0.5,0.006785276716199512,0.05223628462802002
OperaHouseJunc,17222.85378238,0.0,0.0,0.0033384013764820248,0.5,0.006338437669216758,0.052085369623776495
HoodiJunction,16983.549897573335,0.0,0.0,0.003292015775783644,0.5,0.006259136166576136,0.05205858640801159
JohnsonMarket,16654.980423817997,0.0,0.0,0.0032283273303427974,0.5,0.00615025346702578,0.05202181246630787
BMTCJunction-K H Road,16219.613067049997,0.0,0.0,0.0031439376582550866,0.5,0.006005979647065557,0.05197308556050465
KogilluCrossJunc,15565.27456673,0.0,0.0,0.0030171035936015114,0.5,0.005789142271638453,0.05189985110694984
Srinivagilu(Ejipura)Junc,15520.88058445,0.0,0.0,0.0030084984615238826,0.5,0.005774430811747822,0.05189488247216554
toll gate mysore road,12228.013281718331,0.0,0.0,0.0023702237089820908,0.5,0.004683226942183548,0.0515263402918932
UpparpetJunction,9935.447727466664,0.0,0.0,0.001925842998404438,0.5,0.003923507167884145,0.051269753241731705
PeenyaPoliceStation,9437.1690385,0.0,0.0,0.001829258873488985,0.5,0.0037583855326847,0.05121398521419453
SadahalliGateJunc(AirportRd),8772.858795299999,0.0,0.0,0.0017004919305460642,0.5,0.0035382436802117285,0.05113963470963485
BasavamantapaJunc-Dr RajkumarRd,8142.466466554999,0.0,0.0,0.0015782994852871345,0.5,0.0033293416853152056,0.05106908034412187
Marigowda-TavarkereRdJunc,6718.094883999999,0.0,0.0,0.0013022056327870186,0.5,0.0028573275894869226,0.05090966274228979
DoddaballapuraCrossJunc,6084.105845911667,0.0,0.0,0.001179316017385771,0.5,0.0026472337022994813,0.050838705828182736
MahalaxmiLayoutEntranceJunc,5819.7669980833325,0.0,0.0,0.0011280777508012516,0.5,0.0025596360109539622,0.050809120665358684
SwagathMainRd-EastEndRdJunc,5286.565654026499,0.0,0.0,0.0010247243737457903,0.5,0.0023829415631063315,0.050749444046838454
NaganathapuraJunction,4494.86715858,0.0,0.0,0.00087126505856184,0.5,0.002120585269233583,0.050660836076092675
HesaraghattaJunction,4183.352260746667,0.0,0.0,0.0008108823962654557,0.5,0.0020173541849865316,0.050625970905686456
HoramavuJunction,4141.52752574,0.0,0.0,0.0008027752756522563,0.5,0.002003494132792836,0.05062128982454605
KuvempuCircle,3857.2522716999997,0.0,0.0,0.00074767262475721,0.5,0.0019092898334053445,0.05058947335206492
KundanahalliGateJunc,3653.28737068,0.0,0.0,0.0007081369755016954,0.5,0.0018416991081235566,0.05056664532335615
Arbindo Circle,3514.253138845,0.0,0.0,0.0006811871983741127,0.5,0.001795625374252049,0.05055108442331913
YelhankaBypass,3245.5899050099997,0.0,0.0,0.0006291107120392833,0.5,0.0017065946501389935,0.05052101526934064
"PriyadarshiniHotel,Jayamahal,RT Nagar",3182.4376586533335,0.0,0.0,0.0006168695614826483,0.5,0.0016856669997781962,0.05051394718416695
GoruguntepalyaJunc,3082.9006298649997,0.0,0.0,0.0005975757465251142,0.5,0.0016526820110151635,0.05050280686473256
HennurRoad-ORR Junc,2954.08838497,0.0,0.0,0.0005726073538824762,0.5,0.0016099956810922784,0.050488390023355444
Peenya2ndStageBusStand,2940.3497514666665,0.0,0.0,0.0005699443182683997,0.5,0.0016054429163850806,0.05048685237683653
JakkurCrossJunction,2745.47281978,0.0,0.0,0.000532170240568632,0.5,0.0015408637996472472,0.05046504148599711
Batrayanapura(Amrutahalli)Junction,2728.53329323,0.0,0.0,0.0005288867580827429,0.5,0.0015352503098766109,0.05046314559118157
AgaraJunction,2445.8631588433336,0.0,0.0,0.0004740952364423377,0.5,0.0014415779216218208,0.05043150876587181
RamamurthyNagarJunction,2358.78893396,0.0,0.0,0.0004572171559639435,0.5,0.0014127229079220034,0.050421763300375094
BegumMahalJunc,2000.0557059466669,0.0,0.0,0.0003876819025546182,0.5,0.0012938444197956533,0.050381613390332106
MinskSquare(CTO Junction),1936.36195195,0.0,0.0,0.00037533578856546507,0.5,0.0012727373224125974,0.05037448469888797
K R MarketJunction,1785.6631193999997,0.0,0.0,0.00034612499711498835,0.5,0.001222798125324102,0.05035761828089828
TumkurRdMarappanapalyaJunc,1760.7182466666666,0.0,0.0,0.0003412897939296531,0.5,0.0012145317911083807,0.05035482641686655
KodigehalliCross,1752.2567816933333,0.0,0.0,0.0003396496611925959,0.5,0.001211727796148297,0.050353879398215964
HunsemarammanahalliJunction,1697.283516,0.0,0.0,0.00032899388787075015,0.5,0.0011935105299385753,0.05034772671566526
UniversityJunc(Janabharti),1654.14573505,0.0,0.0,0.00032063225227182333,0.5,0.0011792153551958805,0.05034289867663975
LRDE Junction,1616.0674075499999,0.0,0.0,0.0003132513186271223,0.5,0.001166596802884323,0.05033863689851515
NagaTheaterJunc-Ulsoor,1604.6096429066665,0.0,0.0,0.00031103039648843216,0.5,0.00116279988185292,0.0503373545299365
UlsoorGateJunc,1528.49625805,0.0,0.0,0.00029627691649116496,0.5,0.0011375771162673376,0.05032883581654051
MotherTeressaCircle,1502.1723736833333,0.0,0.0,0.0002911744118241428,0.5,0.0011288537995217645,0.050325889611654066
N R SquareJunc,1444.049138525,0.0,0.0,0.00027990806243106595,0.5,0.0011095926835139156,0.050319384380243144
SadashivnagarJunc,1342.7142395283333,0.0,0.0,0.0002602657563085907,0.5,0.00107601190914887,0.05030804284073351
KanakapuraRd-RingRdJunction,1312.7656670666665,0.0,0.0,0.000254460658222466,0.5,0.0010660874283989212,0.050304690955833106
JayadevaHospitalJunc,1284.2120567349998,0.0,0.0,0.00024892595339136015,0.5,0.001056625215919816,0.05030149519698866
Ashoknagar Junction(ShoolayCircle),1153.34885475,0.0,0.0,0.00022356001234827264,0.5,0.0010132592314262587,0.05028684880970881
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),1103.0613508666665,0.0,0.0,0.00021381250625519317,0.5,0.0009965947521796458,0.050281220563983195
BDA Junctio-Koramangala,1048.75699305,0.0,0.0,0.00020328639106111294,0.5,0.0009785991514050286,0.050275142746510425
JaiMuniRaoCircle,985.8485585,0.0,0.0,0.0001910924999006999,0.5,0.000957752296400503,0.05026810194908524
MC Circle,931.2437021,0.0,0.0,0.0001805081373977296,0.5,0.0009396571151731114,0.05026199049940294
BasaweshwaraCircle,929.87440815,0.0,0.0,0.00018024271954855962,0.5,0.0009392033529290114,0.05026183724616454
PrasannaJunction,893.1582683500001,0.0,0.0,0.00017312582630913458,0.5,0.0009270362079632892,0.0502577279259372
SagarHospitalJunc,856.151522,0.0,0.0,0.00016595260318856477,0.5,0.000914772760607362,0.05025358608063013
BiryandCircle,856.151522,0.0,0.0,0.00016595260318856477,0.5,0.000914772760607362,0.05025358608063013
Dr RajkumarRd-10thCrossRdJunc,761.154856525,0.0,0.0,0.00014753887206188054,0.5,0.0008832923760573898,0.050242953924823634
CMH Rd-AdarshTheaterJunc,753.41333936,0.0,0.0,0.00014603829080593703,0.5,0.0008807269603542613,0.05024208748370946
GarebhavipalyaJunc,702.04424804,0.0,0.0,0.00013608113461462313,0.5,0.0008637040602277108,0.05023633818524913
WebbsCircle,689.33516966,0.0,0.0,0.00013361766338658445,0.5,0.0008594924737190936,0.05023491576793777
NavarangTheatreJunction,684.9212176,0.0,0.0,0.00013276208255085182,0.5,0.0008580297601855273,0.05023442175242901
KalyanNagar-ORR Junc,683.208914556,0.0,0.0,0.0001324301773444747,0.5,0.000857462330181309,0.050234230109147
PES-DevegowdaCircle,667.102326,0.0,0.0,0.00012930814785475154,0.5,0.0008521248628186836,0.050232427437882886
StateBankofMysoreJunc,664.4260207333333,0.0,0.0,0.00012878938474504748,0.5,0.0008512379778049148,0.05023212790216299
DairyCircle,651.3604211833333,0.0,0.0,0.0001262568070390864,0.5,0.0008469082458490264,0.050230665582518125
ShivandaCircle,647.27002915,0.0,0.0,0.00012546394363985107,0.5,0.0008455527549638925,0.05023020778028695
Kammanahalli-RingRoadJunction,625.50065698,0.0,0.0,0.00012124426536029509,0.5,0.0008383387311463574,0.05022777132259064
MillCornerRd-SampigeRdJunc,597.5491988,0.0,0.0,0.0001158262790241249,0.5,0.0008290760623164663,0.05022464295743274
Ring road-Near Kengunte Junction,559.7684730333334,0.0,0.0,0.00010850303117579415,0.5,0.0008165561304876517,0.05022041448729828
VijayanagarBusStandJunction,557.1038814,0.0,0.0,0.0001079865385846776,0.5,0.00081567312718573,0.05022011626258414
UCO Bank(Forum),522.8225312,0.0,0.0,0.00010134159413229966,0.5,0.0008043128327817936,0.0502162794473153
CashPharmacyJunction,493.5386911,0.0,0.0,9.566534481068405e-05,0.5,0.000794608633767666,0.050213001960163525
ChandraLayoutJunc-nearWaterTank,491.67787575,0.0,0.0,9.530465263943805e-05,0.5,0.0007939919891464934,0.05021279369518254
DevangaHostelJunction,471.27598838333336,0.0,0.0,9.135004153210859e-05,0.5,0.0007872311280506172,0.05021051028824247
SonyworldJunction,468.08043449999997,0.0,0.0,9.073062957996994e-05,0.5,0.0007861721723010182,0.05021015263751225
"Narayanapura cross, Hegde nagar",462.32182188,0.0,0.0,8.961440572182498e-05,0.5,0.0007842638596371423,0.05020950812576756
PurnimaTheaterJunc,456.61414506666665,0.0,0.0,8.850805503390121e-05,0.5,0.0007823724262897478,0.05020886931482753
KarnatakaBhavanJunction,454.1600211433333,0.0,0.0,8.803235856761087e-05,0.5,0.0007815591686406132,0.0502085946459453
DevegowdaPetrolBunkJunc,448.1134871500001,0.0,0.0,8.686032531102361e-05,0.5,0.0007795554434113872,0.050207917909649506
BM ShriJunc(CMH-100FtRd)Junc,444.78191038,0.0,0.0,8.621454728751148e-05,0.5,0.0007784514118398268,0.050207545035053085
NCERT Junction,438.51033495,0.0,0.0,8.499889299973934e-05,0.5,0.0007763731114565095,0.050206843111814094
D'SouzaCircle,428.5555375,0.0,0.0,8.306929933717923e-05,0.5,0.0007730742498567246,0.05020572895736476
HSR14thMainJunc,419.7280539333334,0.0,0.0,8.135821918390165e-05,0.5,0.0007701489621542804,0.05020474097341616
J D MaraJunc,405.38599895,0.0,0.0,7.857821903393086e-05,0.5,0.0007653962331626401,0.05020313579114575
Indiranasgar13thMainJunc,393.46840439999994,0.0,0.0,7.626816551128076e-05,0.5,0.0007614469318111797,0.05020180195777949
AnandRaoJunction,386.6106937166667,0.0,0.0,7.493889737290888e-05,0.5,0.000759174395524097,0.05020103443348696
MysoreRd--MadhuPetrolBunkJunction,381.075084205,0.0,0.0,7.386589944545034e-05,0.5,0.0007573399825447108,0.050200414880553
LalbaghMainGateJunc,365.8667408333333,0.0,0.0,7.09179818072059e-05,0.5,0.0007523001793546285,0.05019871274210974
NIMHANS Junction,359.6850904666667,0.0,0.0,6.971975819375786e-05,0.5,0.0007502516787075468,0.050198020883405955
OldMadrasRd-SuddaguntepalyaRdJunc,359.58363924,0.0,0.0,6.970009333919721e-05,0.5,0.0007502180593840415,0.05019800952884689
AnjaneyaTempleJunc,359.58363924,0.0,0.0,6.970009333919721e-05,0.5,0.0007502180593840415,0.05019800952884689
KonanakunteJunction(KanakapurarRd),356.07788961666665,0.0,0.0,6.902055442444948e-05,0.5,0.0007490563096981275,0.0501976171605882
Shivashankara circle,354.33791165,0.0,0.0,6.868328483415016e-05,0.5,0.0007484797086645517,0.050197422419891266
SiddapuraJunction,354.07965913333334,0.0,0.0,6.863322631492834e-05,0.5,0.0007483941278865842,0.05019739351591889
5thMainRPC Layout-Vijayanagar,352.1412473,0.0,0.0,6.825749318647261e-05,0.5,0.0007477517690245712,0.05019717656623412
MargosaRd-18thCrossJunc,344.40550105,0.0,0.0,6.675803053902587e-05,0.5,0.0007451882657109197,0.050196310771008584
EliteJunc,344.25877161666665,0.0,0.0,6.672958915826517e-05,0.5,0.0007451396419096205,0.050196294348851145
WilsonGarden12thCrossJunc,343.0105985166667,0.0,0.0,6.648764883595978e-05,0.5,0.0007447260171894637,0.05019615465162276
Rajajinagagr1stBlockJunction,342.4606088,0.0,0.0,6.638104127542591e-05,0.5,0.000744543759341858,0.05019609309602678
JP Nagar 9th cross-24th main jn,342.43636215,0.0,0.0,6.637634141262978e-05,0.5,0.0007445357243875548,0.05019609038230879
PlatformRdJunction,329.92254031666664,0.0,0.0,6.395071784517022e-05,0.5,0.000740388842794044,0.05019468981837529
Krupanidhi College,316.39393866666666,0.0,0.0,6.132839387140216e-05,0.5,0.0007359056793036638,0.05019317567890663
"Jayanagar 4th main,36th cross",305.65466253333335,0.0,0.0,5.924674034992716e-05,0.5,0.0007323468539409499,0.05019197372453773
ElectronicCityGate-2Junc,298.79139759333333,0.0,0.0,5.791639559914622e-05,0.5,0.0007300724770615173,0.05019120557860526
CommandoHospitalJunc,294.76265053333333,0.0,0.0,5.713548118736844e-05,0.5,0.0007287374143404289,0.05019075467576321
RRR(Okalipuram)Junction,287.25500399333333,0.0,0.0,5.568023237320746e-05,0.5,0.0007262494996440266,0.05018991440976699
SagarTheatreJunc,277.4431625166667,0.0,0.0,5.377834866070457e-05,0.5,0.0007229980113808925,0.05018881625514433
Malleswaram18thCrossRd-SampigeRdJunc,274.78705583333334,0.0,0.0,5.3263500754558216e-05,0.5,0.0007221178198564954,0.05018851898007731
BhashyamCircle,273.8856367333333,0.0,0.0,5.3088773685383064e-05,0.5,0.0007218191038987636,0.0501884180920275
GangammagudiJunc,257.20455076666667,0.0,0.0,4.9855386172722004e-05,0.5,0.000716291257228398,0.05018655112223301
ModiHospital,243.74576455000002,0.0,0.0,4.724659491203882e-05,0.5,0.000711831229462602,0.050185044796602456
"Bellandur Junction, Outer ring road",241.8599583,0.0,0.0,4.688105861588683e-05,0.5,0.0007112063032545093,0.05018483373460601
