event_id,state_name,posterior_mean,posterior_variance,confidence,uncertainty_tier,effective_observation_variance,obs_noise_multiplier,generated_at
FKID008103,density,0.4028,0.018464,0.5493,MEDIUM,0.035828,3.5828,2026-06-20T02:27:28.192130+00:00
FKID008103,queue_length,249.857,1675.360983,0.5472,MEDIUM,3224.490035,3.5828,2026-06-20T02:27:28.192130+00:00
FKID008103,travel_time,203.3603,185.811003,0.7226,LOW,358.276671,3.5828,2026-06-20T02:27:28.192130+00:00
FKID008103,incident_intensity,0.5861,0.017921,0.5566,MEDIUM,0.035828,3.5828,2026-06-20T02:27:28.192130+00:00
FKID008103,lane_availability,0.8296,0.018992,0.5423,MEDIUM,0.035828,3.5828,2026-06-20T02:27:28.192130+00:00
FKID008103,capacity_utilization,0.5459,0.036929,0.3786,MEDIUM,0.071655,3.5828,2026-06-20T02:27:28.192130+00:00
FKID000022,speed,40.7395,39.05502,0.621,MEDIUM,66.689681,2.6676,2026-06-20T02:27:28.192130+00:00
FKID000022,density,0.3859,0.01569,0.5892,MEDIUM,0.026676,2.6676,2026-06-20T02:27:28.192130+00:00
FKID000022,queue_length,205.4307,1421.903502,0.5875,MEDIUM,2400.828521,2.6676,2026-06-20T02:27:28.192130+00:00
FKID000022,travel_time,248.424,157.744146,0.7542,LOW,266.758725,2.6676,2026-06-20T02:27:28.192130+00:00
FKID000022,incident_intensity,0.1298,0.015296,0.5953,MEDIUM,0.026676,2.6676,2026-06-20T02:27:28.192130+00:00
FKID000022,lane_availability,0.4225,0.016069,0.5834,MEDIUM,0.026676,2.6676,2026-06-20T02:27:28.192130+00:00
FKID000022,capacity_utilization,0.6907,0.031381,0.4176,MEDIUM,0.053352,2.6676,2026-06-20T02:27:28.192130+00:00
FKID001288,speed,48.4035,39.407132,0.6189,MEDIUM,67.722975,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001288,density,0.2997,0.015832,0.587,MEDIUM,0.027089,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001288,queue_length,166.366,1434.869595,0.5853,MEDIUM,2438.027089,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001288,travel_time,280.5408,159.180336,0.7525,LOW,270.891899,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001288,incident_intensity,0.4929,0.015431,0.5932,MEDIUM,0.027089,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001288,lane_availability,0.8328,0.016219,0.5811,MEDIUM,0.027089,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001288,capacity_utilization,0.4161,0.031665,0.4154,MEDIUM,0.054178,2.7089,2026-06-20T02:27:28.192130+00:00
FKID001125,speed,37.454,47.253116,0.5753,MEDIUM,94.76386,3.7906,2026-06-20T02:27:28.192130+00:00
FKID001125,density,0.4334,0.019001,0.5422,MEDIUM,0.037906,3.7906,2026-06-20T02:27:28.192130+00:00
FKID001125,queue_length,232.6081,1724.476854,0.5401,MEDIUM,3411.498973,3.7906,2026-06-20T02:27:28.192130+00:00
FKID001125,travel_time,240.1898,191.248101,0.7168,LOW,379.055441,3.7906,2026-06-20T02:27:28.192130+00:00
FKID001125,incident_intensity,0.158,0.018426,0.5498,MEDIUM,0.037906,3.7906,2026-06-20T02:27:28.192130+00:00
FKID001125,lane_availability,0.626,0.01956,0.5349,MEDIUM,0.037906,3.7906,2026-06-20T02:27:28.192130+00:00
FKID001125,capacity_utilization,0.5305,0.038003,0.3719,MEDIUM,0.075811,3.7906,2026-06-20T02:27:28.192130+00:00
FKID006361,speed,45.7005,46.153692,0.581,MEDIUM,90.443229,3.6177,2026-06-20T02:27:28.192130+00:00
FKID006361,density,0.3637,0.018557,0.548,MEDIUM,0.036177,3.6177,2026-06-20T02:27:28.192130+00:00
FKID006361,queue_length,213.6891,1683.815874,0.546,MEDIUM,3255.956259,3.6177,2026-06-20T02:27:28.192130+00:00
FKID006361,travel_time,252.9728,186.746996,0.7216,LOW,361.772918,3.6177,2026-06-20T02:27:28.192130+00:00
FKID006361,incident_intensity,0.1028,0.018008,0.5554,MEDIUM,0.036177,3.6177,2026-06-20T02:27:28.192130+00:00
FKID006361,lane_availability,0.5589,0.01909,0.541,MEDIUM,0.036177,3.6177,2026-06-20T02:27:28.192130+00:00
FKID006361,capacity_utilization,0.4942,0.037114,0.3774,MEDIUM,0.072355,3.6177,2026-06-20T02:27:28.192130+00:00
FKID004125,speed,45.7477,43.378391,0.596,MEDIUM,80.367291,3.2147,2026-06-20T02:27:28.192130+00:00
FKID004125,density,0.4165,0.017436,0.5634,MEDIUM,0.032147,3.2147,2026-06-20T02:27:28.192130+00:00
FKID004125,queue_length,266.8847,1581.289944,0.5615,MEDIUM,2893.222479,3.2147,2026-06-20T02:27:28.192130+00:00
FKID004125,travel_time,240.1723,175.395768,0.734,LOW,321.469164,3.2147,2026-06-20T02:27:28.192130+00:00
FKID004125,incident_intensity,0.1726,0.01695,0.5703,MEDIUM,0.032147,3.2147,2026-06-20T02:27:28.192130+00:00
FKID004125,lane_availability,0.6015,0.017905,0.5569,MEDIUM,0.032147,3.2147,2026-06-20T02:27:28.192130+00:00
FKID004125,capacity_utilization,0.5676,0.034871,0.3922,MEDIUM,0.064294,3.2147,2026-06-20T02:27:28.192130+00:00
FKID001693,speed,45.7615,45.640257,0.5837,MEDIUM,88.492428,3.5397,2026-06-20T02:27:28.192130+00:00
FKID001693,density,0.3396,0.018349,0.5508,MEDIUM,0.035397,3.5397,2026-06-20T02:27:28.192130+00:00
FKID001693,queue_length,189.9485,1664.835949,0.5488,MEDIUM,3185.727398,3.5397,2026-06-20T02:27:28.192130+00:00
FKID001693,travel_time,232.2345,184.645812,0.7239,LOW,353.969711,3.5397,2026-06-20T02:27:28.192130+00:00
FKID001693,incident_intensity,0.2288,0.017813,0.5581,MEDIUM,0.035397,3.5397,2026-06-20T02:27:28.192130+00:00
FKID001693,lane_availability,0.4959,0.01887,0.5439,MEDIUM,0.035397,3.5397,2026-06-20T02:27:28.192130+00:00
FKID001693,capacity_utilization,0.5929,0.036699,0.3801,MEDIUM,0.070794,3.5397,2026-06-20T02:27:28.192130+00:00
FKID000944,speed,54.988,39.66498,0.6174,MEDIUM,68.488101,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000944,density,0.1547,0.015936,0.5854,MEDIUM,0.027395,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000944,queue_length,61.9349,1444.366223,0.5837,MEDIUM,2465.57165,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000944,travel_time,303.6737,160.232204,0.7513,LOW,273.952406,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000944,incident_intensity,0.1918,0.01553,0.5916,MEDIUM,0.027395,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000944,lane_availability,0.7521,0.016328,0.5795,MEDIUM,0.027395,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000944,capacity_utilization,0.1999,0.031873,0.4138,MEDIUM,0.05479,2.7395,2026-06-20T02:27:28.192130+00:00
FKID000316,speed,46.8534,38.315893,0.6255,MEDIUM,64.562985,2.5825,2026-06-20T02:27:28.192130+00:00
FKID000316,density,0.1429,0.015392,0.5938,MEDIUM,0.025825,2.5825,2026-06-20T02:27:28.192130+00:00
FKID000316,queue_length,0.0,1394.694669,0.5922,MEDIUM,2324.267468,2.5825,2026-06-20T02:27:28.192130+00:00
FKID000316,travel_time,286.9054,154.730227,0.7578,LOW,258.251941,2.5825,2026-06-20T02:27:28.192130+00:00
FKID000316,incident_intensity,0.054,0.015012,0.5998,MEDIUM,0.025825,2.5825,2026-06-20T02:27:28.192130+00:00
FKID000316,lane_availability,0.7161,0.015757,0.5881,MEDIUM,0.025825,2.5825,2026-06-20T02:27:28.192130+00:00
FKID000316,capacity_utilization,0.1127,0.030784,0.4223,MEDIUM,0.05165,2.5825,2026-06-20T02:27:28.192130+00:00
FKID006514,speed,57.4444,45.283058,0.5856,MEDIUM,87.159377,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006514,density,0.2777,0.018205,0.5528,MEDIUM,0.034864,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006514,queue_length,200.0336,1651.634871,0.5508,MEDIUM,3137.737577,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006514,travel_time,240.1757,183.184328,0.7254,LOW,348.637509,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006514,incident_intensity,0.1381,0.017676,0.56,MEDIUM,0.034864,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006514,lane_availability,0.3823,0.018718,0.5459,MEDIUM,0.034864,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006514,capacity_utilization,0.6323,0.03641,0.3819,MEDIUM,0.069728,3.4864,2026-06-20T02:27:28.192130+00:00
FKID006015,speed,46.9063,46.605356,0.5786,MEDIUM,92.194093,3.6878,2026-06-20T02:27:28.192130+00:00
FKID006015,density,0.331,0.018739,0.5456,MEDIUM,0.036878,3.6878,2026-06-20T02:27:28.192130+00:00
FKID006015,queue_length,188.4748,1700.517017,0.5435,MEDIUM,3318.987342,3.6878,2026-06-20T02:27:28.192130+00:00
FKID006015,travel_time,232.8558,188.595834,0.7196,LOW,368.776371,3.6878,2026-06-20T02:27:28.192130+00:00
FKID006015,incident_intensity,0.1514,0.01818,0.5531,MEDIUM,0.036878,3.6878,2026-06-20T02:27:28.192130+00:00
FKID006015,lane_availability,0.8181,0.019283,0.5385,MEDIUM,0.036878,3.6878,2026-06-20T02:27:28.192130+00:00
FKID006015,capacity_utilization,0.3257,0.037479,0.3751,MEDIUM,0.073755,3.6878,2026-06-20T02:27:28.192130+00:00
FKID000842,speed,39.5874,38.15967,0.6265,MEDIUM,64.12066,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000842,density,0.4944,0.015329,0.5948,MEDIUM,0.025648,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000842,queue_length,306.8435,1388.945271,0.5932,MEDIUM,2308.343742,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000842,travel_time,242.4414,154.093344,0.7585,LOW,256.482638,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000842,incident_intensity,0.1761,0.014953,0.6008,MEDIUM,0.025648,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000842,lane_availability,0.7682,0.015691,0.5891,MEDIUM,0.025648,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000842,capacity_utilization,0.5125,0.030658,0.4233,MEDIUM,0.051297,2.5648,2026-06-20T02:27:28.192130+00:00
FKID000129,speed,55.5732,46.191006,0.5808,MEDIUM,90.58663,3.6235,2026-06-20T02:27:28.192130+00:00
FKID000129,density,0.2475,0.018572,0.5478,MEDIUM,0.036235,3.6235,2026-06-20T02:27:28.192130+00:00
FKID000129,queue_length,158.3184,1685.195477,0.5458,MEDIUM,3261.11869,3.6235,2026-06-20T02:27:28.192130+00:00
FKID000129,travel_time,240.1782,186.899723,0.7214,LOW,362.346521,3.6235,2026-06-20T02:27:28.192130+00:00
FKID000129,incident_intensity,0.394,0.018022,0.5553,MEDIUM,0.036235,3.6235,2026-06-20T02:27:28.192130+00:00
FKID000129,lane_availability,0.7485,0.019106,0.5408,MEDIUM,0.036235,3.6235,2026-06-20T02:27:28.192130+00:00
FKID000129,capacity_utilization,0.3866,0.037144,0.3772,MEDIUM,0.072469,3.6235,2026-06-20T02:27:28.192130+00:00
FKID003911,speed,33.3199,39.102092,0.6207,MEDIUM,66.827052,2.6731,2026-06-20T02:27:28.192130+00:00
FKID003911,density,0.4147,0.015709,0.5889,MEDIUM,0.026731,2.6731,2026-06-20T02:27:28.192130+00:00
FKID003911,queue_length,188.5093,1423.636704,0.5872,MEDIUM,2405.773857,2.6731,2026-06-20T02:27:28.192130+00:00
FKID003911,travel_time,173.1369,157.936127,0.754,LOW,267.308206,2.6731,2026-06-20T02:27:28.192130+00:00
FKID003911,incident_intensity,0.3795,0.015314,0.595,MEDIUM,0.026731,2.6731,2026-06-20T02:27:28.192130+00:00
FKID003911,lane_availability,1.0,0.016089,0.5831,MEDIUM,0.026731,2.6731,2026-06-20T02:27:28.192130+00:00
FKID003911,capacity_utilization,0.3742,0.031419,0.4173,MEDIUM,0.053462,2.6731,2026-06-20T02:27:28.192130+00:00
FKID000528,speed,37.9255,38.369924,0.6252,MEDIUM,64.716542,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000528,density,0.4292,0.015414,0.5935,MEDIUM,0.025887,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000528,queue_length,231.4274,1396.683251,0.5918,MEDIUM,2329.795496,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000528,travel_time,251.6623,154.950508,0.7575,LOW,258.866166,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000528,incident_intensity,0.2165,0.015033,0.5995,MEDIUM,0.025887,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000528,lane_availability,0.9245,0.01578,0.5878,MEDIUM,0.025887,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000528,capacity_utilization,0.3763,0.030828,0.4219,MEDIUM,0.051773,2.5887,2026-06-20T02:27:28.192130+00:00
FKID000923,speed,46.3117,44.582589,0.5894,MEDIUM,84.600929,3.384,2026-06-20T02:27:28.192130+00:00
FKID000923,density,0.2646,0.017922,0.5566,MEDIUM,0.03384,3.384,2026-06-20T02:27:28.192130+00:00
FKID000923,queue_length,118.3312,1625.755471,0.5547,MEDIUM,3045.633429,3.384,2026-06-20T02:27:28.192130+00:00
FKID000923,travel_time,240.1701,180.319111,0.7286,LOW,338.403714,3.384,2026-06-20T02:27:28.192130+00:00
FKID000923,incident_intensity,0.3056,0.01741,0.5638,MEDIUM,0.03384,3.384,2026-06-20T02:27:28.192130+00:00
FKID000923,lane_availability,0.8273,0.018419,0.5499,MEDIUM,0.03384,3.384,2026-06-20T02:27:28.192130+00:00
FKID000923,capacity_utilization,0.3095,0.035844,0.3856,MEDIUM,0.067681,3.384,2026-06-20T02:27:28.192130+00:00
FKID007189,speed,46.3671,45.58604,0.584,MEDIUM,88.288835,3.5316,2026-06-20T02:27:28.192130+00:00
FKID007189,density,0.3854,0.018327,0.5511,MEDIUM,0.035316,3.5316,2026-06-20T02:27:28.192130+00:00
FKID007189,queue_length,239.5095,1662.832087,0.5491,MEDIUM,3178.398058,3.5316,2026-06-20T02:27:28.192130+00:00
FKID007189,travel_time,225.2115,184.423969,0.7241,LOW,353.15534,3.5316,2026-06-20T02:27:28.192130+00:00
FKID007189,incident_intensity,0.0354,0.017792,0.5584,MEDIUM,0.035316,3.5316,2026-06-20T02:27:28.192130+00:00
FKID007189,lane_availability,0.7271,0.018847,0.5442,MEDIUM,0.035316,3.5316,2026-06-20T02:27:28.192130+00:00
FKID007189,capacity_utilization,0.3792,0.036655,0.3804,MEDIUM,0.070631,3.5316,2026-06-20T02:27:28.192130+00:00
FKID001133,speed,55.7623,45.595611,0.584,MEDIUM,88.324742,3.533,2026-06-20T02:27:28.192130+00:00
FKID001133,density,0.2591,0.018331,0.551,MEDIUM,0.03533,3.533,2026-06-20T02:27:28.192130+00:00
FKID001133,queue_length,171.0657,1663.185825,0.5491,MEDIUM,3179.690722,3.533,2026-06-20T02:27:28.192130+00:00
FKID001133,travel_time,240.1728,184.46313,0.724,LOW,353.298969,3.533,2026-06-20T02:27:28.192130+00:00
FKID001133,incident_intensity,0.1359,0.017796,0.5584,MEDIUM,0.03533,3.533,2026-06-20T02:27:28.192130+00:00
FKID001133,lane_availability,0.9291,0.018851,0.5441,MEDIUM,0.03533,3.533,2026-06-20T02:27:28.192130+00:00
FKID001133,capacity_utilization,0.2391,0.036663,0.3803,MEDIUM,0.07066,3.533,2026-06-20T02:27:28.192130+00:00
FKID004711,speed,46.4456,46.452113,0.5794,MEDIUM,91.596343,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004711,density,0.3272,0.018677,0.5464,MEDIUM,0.036639,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004711,queue_length,181.8546,1694.850087,0.5444,MEDIUM,3297.468354,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004711,travel_time,211.6077,187.968505,0.7203,LOW,366.385373,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004711,incident_intensity,0.512,0.018122,0.5539,MEDIUM,0.036639,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004711,lane_availability,0.6932,0.019217,0.5393,MEDIUM,0.036639,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004711,capacity_utilization,0.5343,0.037355,0.3759,MEDIUM,0.073277,3.6639,2026-06-20T02:27:28.192130+00:00
FKID004806,speed,49.2138,39.687732,0.6172,MEDIUM,68.555961,2.7422,2026-06-20T02:27:28.192130+00:00
FKID004806,density,0.1946,0.015946,0.5852,MEDIUM,0.027422,2.7422,2026-06-20T02:27:28.192130+00:00
FKID004806,queue_length,66.2878,1445.204249,0.5835,MEDIUM,2468.01461,2.7422,2026-06-20T02:27:28.192130+00:00
FKID004806,travel_time,185.8429,160.325025,0.7512,LOW,274.223846,2.7422,2026-06-20T02:27:28.192130+00:00
FKID004806,incident_intensity,0.0216,0.015539,0.5915,MEDIUM,0.027422,2.7422,2026-06-20T02:27:28.192130+00:00
FKID004806,lane_availability,0.6271,0.016337,0.5793,MEDIUM,0.027422,2.7422,2026-06-20T02:27:28.192130+00:00
FKID004806,capacity_utilization,0.1903,0.031891,0.4137,MEDIUM,0.054845,2.7422,2026-06-20T02:27:28.192130+00:00
FKID007137,speed,52.0407,57.617504,0.5262,MEDIUM,148.241322,5.9297,2026-06-20T02:27:28.192130+00:00
FKID007137,density,0.2948,0.023196,0.4924,MEDIUM,0.059297,5.9297,2026-06-20T02:27:28.192130+00:00
FKID007137,queue_length,183.792,2109.07334,0.4898,MEDIUM,5336.687592,5.9297,2026-06-20T02:27:28.192130+00:00
FKID007137,travel_time,247.7327,233.802571,0.6743,LOW,592.965288,5.9297,2026-06-20T02:27:28.192130+00:00
FKID007137,incident_intensity,0.268,0.022345,0.5017,MEDIUM,0.059297,5.9297,2026-06-20T02:27:28.192130+00:00
FKID007137,lane_availability,1.0,0.024034,0.4835,MEDIUM,0.059297,5.9297,2026-06-20T02:27:28.192130+00:00
FKID007137,capacity_utilization,0.2826,0.046392,0.3266,HIGH,0.118593,5.9297,2026-06-20T02:27:28.192130+00:00
FKID005996,speed,46.6295,45.652114,0.5837,MEDIUM,88.537015,3.5415,2026-06-20T02:27:28.192130+00:00
FKID005996,density,0.2582,0.018354,0.5507,MEDIUM,0.035415,3.5415,2026-06-20T02:27:28.192130+00:00
FKID005996,queue_length,113.8903,1665.274215,0.5487,MEDIUM,3187.33255,3.5415,2026-06-20T02:27:28.192130+00:00
FKID005996,travel_time,262.465,184.694332,0.7238,LOW,354.148061,3.5415,2026-06-20T02:27:28.192130+00:00
FKID005996,incident_intensity,0.1326,0.017817,0.5581,MEDIUM,0.035415,3.5415,2026-06-20T02:27:28.192130+00:00
FKID005996,lane_availability,0.6857,0.018875,0.5438,MEDIUM,0.035415,3.5415,2026-06-20T02:27:28.192130+00:00
FKID005996,capacity_utilization,0.2908,0.036708,0.38,MEDIUM,0.07083,3.5415,2026-06-20T02:27:28.192130+00:00
FKID000968,speed,43.9287,39.629744,0.6176,MEDIUM,68.383117,2.7353,2026-06-20T02:27:28.192130+00:00
FKID000968,density,0.3095,0.015922,0.5856,MEDIUM,0.027353,2.7353,2026-06-20T02:27:28.192130+00:00
FKID000968,queue_length,148.6396,1443.068378,0.5839,MEDIUM,2461.792208,2.7353,2026-06-20T02:27:28.192130+00:00
FKID000968,travel_time,204.3493,160.088453,0.7514,LOW,273.532468,2.7353,2026-06-20T02:27:28.192130+00:00
FKID000968,incident_intensity,0.3678,0.015516,0.5919,MEDIUM,0.027353,2.7353,2026-06-20T02:27:28.192130+00:00
FKID000968,lane_availability,0.4973,0.016313,0.5797,MEDIUM,0.027353,2.7353,2026-06-20T02:27:28.192130+00:00
FKID000968,capacity_utilization,0.617,0.031844,0.414,MEDIUM,0.054706,2.7353,2026-06-20T02:27:28.192130+00:00
FKID001931,speed,40.1621,38.30984,0.6256,MEDIUM,64.545801,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001931,density,0.3047,0.01539,0.5938,MEDIUM,0.025818,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001931,queue_length,120.6483,1394.471889,0.5922,MEDIUM,2323.64882,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001931,travel_time,184.7592,154.705549,0.7578,LOW,258.183202,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001931,incident_intensity,0.3499,0.01501,0.5998,MEDIUM,0.025818,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001931,lane_availability,0.9366,0.015754,0.5882,MEDIUM,0.025818,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001931,capacity_utilization,0.3088,0.030779,0.4223,MEDIUM,0.051637,2.5818,2026-06-20T02:27:28.192130+00:00
FKID001932,speed,44.1574,44.922905,0.5876,MEDIUM,85.834849,3.4334,2026-06-20T02:27:28.192130+00:00
FKID001932,density,0.3923,0.01806,0.5547,MEDIUM,0.034334,3.4334,2026-06-20T02:27:28.192130+00:00
FKID001932,queue_length,232.8195,1638.327395,0.5528,MEDIUM,3090.054558,3.4334,2026-06-20T02:27:28.192130+00:00
FKID001932,travel_time,240.1644,181.711022,0.727,LOW,343.339395,3.4334,2026-06-20T02:27:28.192130+00:00
FKID001932,incident_intensity,0.2413,0.017539,0.5619,MEDIUM,0.034334,3.4334,2026-06-20T02:27:28.192130+00:00
FKID001932,lane_availability,0.9285,0.018564,0.5479,MEDIUM,0.034334,3.4334,2026-06-20T02:27:28.192130+00:00
FKID001932,capacity_utilization,0.3644,0.036119,0.3838,MEDIUM,0.068668,3.4334,2026-06-20T02:27:28.192130+00:00
FKID003103,speed,38.3776,46.189767,0.5808,MEDIUM,90.581866,3.6233,2026-06-20T02:27:28.192130+00:00
FKID003103,density,0.441,0.018571,0.5478,MEDIUM,0.036233,3.6233,2026-06-20T02:27:28.192130+00:00
FKID003103,queue_length,246.0007,1685.149673,0.5458,MEDIUM,3260.947168,3.6233,2026-06-20T02:27:28.192130+00:00
FKID003103,travel_time,240.1689,186.894652,0.7214,LOW,362.327463,3.6233,2026-06-20T02:27:28.192130+00:00
FKID003103,incident_intensity,0.3994,0.018022,0.5553,MEDIUM,0.036233,3.6233,2026-06-20T02:27:28.192130+00:00
FKID003103,lane_availability,0.66,0.019105,0.5408,MEDIUM,0.036233,3.6233,2026-06-20T02:27:28.192130+00:00
FKID003103,capacity_utilization,0.6259,0.037143,0.3772,MEDIUM,0.072465,3.6233,2026-06-20T02:27:28.192130+00:00
FKID001646,speed,35.232,38.572141,0.624,MEDIUM,65.293895,2.6118,2026-06-20T02:27:28.192130+00:00
FKID001646,density,0.3493,0.015495,0.5922,MEDIUM,0.026118,2.6118,2026-06-20T02:27:28.192130+00:00
FKID001646,queue_length,134.9333,1404.12638,0.5905,MEDIUM,2350.580222,2.6118,2026-06-20T02:27:28.192130+00:00
FKID001646,travel_time,263.5614,155.774997,0.7565,LOW,261.17558,2.6118,2026-06-20T02:27:28.192130+00:00
FKID001646,incident_intensity,0.3478,0.015111,0.5982,MEDIUM,0.026118,2.6118,2026-06-20T02:27:28.192130+00:00
FKID001646,lane_availability,0.6903,0.015865,0.5865,MEDIUM,0.026118,2.6118,2026-06-20T02:27:28.192130+00:00
FKID001646,capacity_utilization,0.4555,0.030991,0.4206,MEDIUM,0.052235,2.6118,2026-06-20T02:27:28.192130+00:00
FKID004531,speed,45.0322,40.141446,0.6145,MEDIUM,69.921131,2.7968,2026-06-20T02:27:28.192130+00:00
FKID004531,density,0.338,0.016129,0.5825,MEDIUM,0.027968,2.7968,2026-06-20T02:27:28.192130+00:00
FKID004531,queue_length,183.9801,1461.918346,0.5807,MEDIUM,2517.160729,2.7968,2026-06-20T02:27:28.192130+00:00
FKID004531,travel_time,212.4084,162.17626,0.749,LOW,279.684525,2.7968,2026-06-20T02:27:28.192130+00:00
FKID004531,incident_intensity,0.4159,0.015712,0.5888,MEDIUM,0.027968,2.7968,2026-06-20T02:27:28.192130+00:00
FKID004531,lane_availability,0.6191,0.01653,0.5765,MEDIUM,0.027968,2.7968,2026-06-20T02:27:28.192130+00:00
FKID004531,capacity_utilization,0.5614,0.032257,0.4109,MEDIUM,0.055937,2.7968,2026-06-20T02:27:28.192130+00:00
FKID000164,speed,46.9363,45.279896,0.5857,MEDIUM,87.147665,3.4859,2026-06-20T02:27:28.192130+00:00
FKID000164,density,0.2255,0.018204,0.5528,MEDIUM,0.034859,3.4859,2026-06-20T02:27:28.192130+00:00
FKID000164,queue_length,83.0632,1651.518041,0.5508,MEDIUM,3137.315944,3.4859,2026-06-20T02:27:28.192130+00:00
FKID000164,travel_time,240.1649,183.171394,0.7255,LOW,348.59066,3.4859,2026-06-20T02:27:28.192130+00:00
