junction,dis_score,risk_level,strategy,barricades,ods_driven_barricades,closure_type,barricade_window_start,barricade_window_end,teams_needed,severity_hotspot_score
SarjapurRd-St JohnsRdJunc,28.61,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,132.82537686383006
SirsiCircle,35.81,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,94.80474653520452
Devasandra(k r puram),62.72,High,full_barricading,14,14,full_road,deploy_at_event_start,remove_after_360_min,2,125.96611636845788
KodigehalliCross,42.84,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,124.69620772314852
BilekahalliJunc,29.5,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,195.48612157835248
PoliceTimmaiahCircle(GPO),43.72,Moderate,partial_closure,10,10,partial_lane,deploy_at_event_start,remove_after_360_min,2,174.58783586579807
N R SquareJunc,31.65,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,105.99983188000256
MaratahalliBridgeJunc,41.44,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,226.6924669045345
Nagavara-ORR Junction,42.27,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,415.46815502120864
TrinityCircle,42.3,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,135.32261057487284
MotherTeressaCircle,33.72,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,118.11212340862848
KhodaysCircle(DV UrsCircle),47.52,Moderate,partial_closure,10,10,partial_lane,deploy_at_event_start,remove_after_360_min,2,88.37264052907224
ArakereGateJunc,21.35,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,201.0375874328804
Dr TCM RoyanRd near AmbedkarStatue,37.79,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,132.24525155574537
QueensStatueCircle,29.41,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,101.72953290021051
Kadubeesanahalli-ORR Junc,49.92,Moderate,partial_closure,11,11,partial_lane,deploy_at_event_start,remove_after_360_min,2,165.9187251607828
K R Circle,38.22,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,128.12570225011325
Richmond circle jn,22.32,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,131.95959757350042
ItmaduJunction,32.39,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,71.41690280557634
OldMadrasRd-Indranagar100ftRdJunc,31.49,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,109.64355463895896
KadirenahalliJunction,36.93,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,95.1779867580897
ShivajiTalkiesJunc,29.34,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,65.24652635467062
K R MarketJunction,28.63,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,75.98321722109753
HunsemarammanahalliJunction,28.46,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,84.56855493050152
Sumanhalli,55.37,Moderate,partial_closure,12,12,partial_lane,deploy_at_event_start,remove_after_360_min,2,196.92633135787565
KanakapuraRd-RingRdJunction,22.63,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,93.42061164926436
Ashoknagar Junction(ShoolayCircle),23.76,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,73.87492094933125
Kudlu Gate Junc,30.2,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,75.13567747216874
AshirwadamCircle,28.19,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,71.00668756775777
AnepalyaJunc,18.04,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,81.60406847304019
HulimaveRd-BanneraghattaRdJunc,17.83,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,114.07545150808863
MinskSquare(CTO Junction),27.6,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,101.8242321705254
OldMadrasRd-NGEF Junc,26.78,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,74.34238672201172
PES-DevegowdaCircle,22.56,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,48.417524040872905
BDA Junctio-Koramangala,20.14,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,73.45894817565002
MeenakshiMallJunc,16.45,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,102.86511949744778
AnilKumbleCircle,27.82,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,72.69190178208848
OldMadrasRd-80FeetRdJunc,27.8,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,71.89325331269475
SadahalliGateJunc(AirportRd),25.99,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,76.84282982408321
OperaHouseJunc,17.57,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,91.87452483380729
Srigandakaval,38.32,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,183.2305381533538
RamaiahCircle-UlsoorPoliceStation,26.25,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,83.26031569573055
BiryandCircle,26.34,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,60.92648585821589
Marigowda-TavarkereRdJunc,30.26,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,108.04667333656394
JP Nagar 15th cross junction,17.42,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,95.84168607307274
JayadevaHospitalJunc,14.89,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,89.32928308441386
SadashivnagarJunc,31.5,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,47.03276252110128
CashPharmacyJunction,16.5,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,36.18713598280348
SagarHospitalJunc,9.63,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,60.92648585821589
Deverabeesanahalli-ORR Junc,23.01,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,178.73389195216436
FTI Junction(KanteeravaStudio),33.28,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,44.66171091242997
HennurRoad-ORR Junc,28.33,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,193.9481933167798
A S CharStreet-MysoreRdJunc,17.5,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,54.822056436119055
KamrajRdJunction,23.79,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,55.51757464642407
OldPoliceStation-Ashoknagar,29.54,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,50.88861193767272
CMH Rd-AdarshTheaterJunc,11.74,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,53.61530755522998
MayohallJunction,29.72,Low,none,7,7,none,deploy_at_event_start,remove_after_360_min,1,53.45399521827407
GarebhavipalyaJunc,19.64,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,49.95971840373703
KundanahalliGateJunc,36.26,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,136.05757055677003
MysoreRd--MadhuPetrolBunkJunction,17.39,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,36.60693856782195
WebbsCircle,16.55,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,32.108689841331014
DairyCircle,11.05,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,50.190773699528975
OldMadrasRd-DoubleRdJunc,16.79,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,20.814557033553207
Rajajinagar19thMainJunc,25.82,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,73.11178302985907
CoffeeBoardJunc,21.04,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,132.1248090195431
AnjaneyaTempleJunc,16.27,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,25.589124060450672
OldMadrasRd-SuddaguntepalyaRdJunc,10.28,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,25.589124060450672
UttarahalliJunction,24.33,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,96.71417871629414
ManipalCentreJunc,16.18,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,19.537373251150637
IbblurJunction',26.78,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,184.4253215242703
SandeepUnnikrishnan-Yelhanka,31.77,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,29.005180360431662
Arts&CraftsCircle,16.1,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,15.495594968429822
BloodBankCircle,22.67,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,113.42935600314192
OldMadrasRd-BMTC DepotJunc,15.99,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,9.076833923062052
TamarikannanJunc,15.98,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,8.529708020150224
StateBankofMysoreJunc,23.62,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,47.77612025697399
DhobiGhatJunc,31.35,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,85.5251549535167
RoyanCircle-Chamrajpete,14.14,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,7.621317042950318
JohnsonMarket,13.28,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,38.67775582768686
Nagarbhavi,25.38,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,42.00220318640979
29thMainRdBTM LayoutJunc,20.26,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,33.16213017365894
Delmia-Jayanagar,16.93,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,44.6416623905507
HopefarmJunction,35.06,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,46.36140660773375
KamakyaJunction,10.5,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,11.455253630991663
MC Circle,12.34,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,70.70431876742774
VijayanagarBusStandJunction,9.75,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,54.62365308071331
NCERT Junction,10.32,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,14.974767419466591
UCO Bank(Forum),10.28,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,26.502365722725
ShantalaJunction,25.7,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,66.05834437272476
AgaraJunction,15.11,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,68.33560146021472
AdugodiJunc,9.91,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,13.75668429433104
DevegowdaPetrolBunkJunc,10.02,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,25.792577240591758
J D MaraJunc,6.72,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,33.64032842821376
HoramavuJunction,17.95,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,142.53310028599412
VeerasandraGateJunction,30.53,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,45.35738031746069
ShivandaCircle,28.33,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,46.7358470202285
GangammagudiJunc,19.76,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,21.281806109558104
SwagathMainRd-EastEndRdJunc,11.02,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,14.943822600827476
KrishnaFlourMill,19.75,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,64.58049244027005
GorappanapalyaJunction,0.0,Low,none,0,0,none,deploy_at_event_start,remove_after_360_min,0,7.643722409212817
Ring road-Near Kengunte Junction,17.75,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,30.08215801795969
NavarangTheatreJunction,9.52,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,48.74118868657271
Srinivagilu(Ejipura)Junc,5.91,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,51.68809780039498
LRDE Junction,19.24,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,108.2860195987214
MahalaxmiLayoutEntranceJunc,9.8,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,57.04859354227724
SonyworldJunction,10.86,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,35.64534037393527
5thMainRPC Layout-Vijayanagar,6.8,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,30.590153858937168
RamamurthyNagarJunction,19.06,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,100.69899976157213
Jaipuria-Adugodi,5.19,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,56.48380777410003
HSR14thMainJunc,18.91,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,28.3916738734558
RingRoad-UllalJunction,12.78,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,30.84904270252157
CholurpalyaJunction(MagadiRd),6.22,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,20.024433972404864
ModiBridgeJunction,12.4,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,40.45558695473127
ShivanahalliJunctionWOC,18.38,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,39.75033652638003
Krupanidhi College,17.39,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,20.73667481322472
AnandRaoJunction,16.6,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,28.180586503915396
MargosaRd-18thCrossJunc,17.26,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,24.35317362142644
AttiguppeCircleJunction,5.97,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,7.921157311968372
SubbannaJunction,15.97,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,45.85078434858849
BTM16thMain-ORR Junc,20.69,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,19.86688585158437
Rajajinagagr1stBlockJunction,6.04,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,24.37059434328636
BucheryJunction,14.59,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,50.818811050843536
BM ShriJunc(CMH-100FtRd)Junc,9.92,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,32.581983841625245
Fire Force Junction,5.69,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,17.14687357876901
CID-CarltonHouseJunc,12.72,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,39.09807851550019
RajarajeshwariKalyanaMantapaJunc,11.66,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,12.185297171643178
ModiHospital,5.59,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,13.22923867366166
"PriyadarshiniHotel,Jayamahal,RT Nagar",15.09,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,24.924279358245972
Indiranasgar13thMainJunc,3.74,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,25.140934500351463
PrasannaJunction,24.03,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,64.27164792631336
JaiMuniRaoCircle,24.0,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,62.59571780849247
Arbindo Circle,22.36,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,41.72708530631042
WilsonGarden12thCrossJunc,16.0,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,28.9200748049728
"Bellandur Junction, Outer ring road",13.81,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,22.098221141717413
MillCornerRd-SampigeRdJunc,15.3,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,37.62085927276643
WiproJunc-Koramangala,13.72,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,5.376773689039262
17th Mn 1st Crs Aishwarya Stores Jn,13.75,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,4.0392231910248
BasaweshwaraCircle,16.05,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,61.01697984688758
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),12.39,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,26.78668080373684
PlatformRdJunction,10.64,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,24.12739112561477
BanashankariBusStandJunc,25.75,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,55.78474677439081
SindhiColonyJunction,19.19,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,58.56669414995475
BigBazaar(Whitefield)Junc,17.4,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,34.7960634279562
PurnimaTheaterJunc,10.94,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,32.494125791048475
ElectronicCityGate-2Junc,17.28,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,22.432458195498405
TyagiHengalvarayaJunc(DickensonRd),30.24,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,60.82879691642817
LalbaghMainGateJunc,12.23,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,24.41304702279214
5thMainHSR,4.58,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,36.04693594983725
Kammanahalli-RingRoadJunction,12.01,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,43.442178695439104
CIL CrossJunction-JayamahalRd,8.87,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,16.247062895524238
BMTCJunction-K H Road,11.08,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,38.10169734270811
SagarTheatreJunc,8.17,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,22.602800735010668
BagalakunteCrossJunction,12.36,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,9.509374180163974
KarnatakaBhavanJunction,10.09,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,33.63254348363455
UrvashiJunction,11.01,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,27.54810346249108
DomlurWaterTank,37.94,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,104.67085894800591
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),9.71,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,33.33126442267435
BhashyamCircle-SadashivNagar,12.24,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,14.53386726735369
Malleswaram18thCrossRd-SampigeRdJunc,6.44,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,19.842955523158565
Shivashankara circle,10.46,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,21.23655194900358
MintoJunction,10.44,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,21.885857888683105
BhashyamCircle,14.0,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,20.0882033351172
SiddapuraJunction,16.43,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,21.089457720147763
JP Nagar 9th cross-24th main jn,10.43,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,20.993118649919488
PotteryCircle,15.81,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,21.835417496355117
BinnyMillJunction,15.09,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,33.62021930703921
28thMainJayanagarJunc,4.1,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,35.877975692186915
DevangaHostelJunction,10.11,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,35.24535318328342
ASC Junction,9.87,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,12.335926864630904
Dr RajkumarRd-10thCrossRdJunc,5.22,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,36.00638352039352
SubedarChatramRd near SheshadripuramPS,7.97,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,36.14935513662373
WilsonGarden10thCrossJunc,8.85,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,24.082433558168805
KuvempuCircle,13.6,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,39.95972485849284
ISRO Junction-Airport rd,58.46,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,119.06922020337164
GopalGowdaJUnc,9.0,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,12.29860985389628
HainsJunc,26.18,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,26.15605703860356
RajajinagarEntranceJunction,8.48,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,16.718877384173936
NandiCross(RaniCross),11.72,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,11.353828998634324
HennurRd-DavisRdJunction,15.38,Low,none,5,5,none,deploy_at_event_start,remove_after_360_min,1,70.10597376193141
KHB Junction,17.07,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,12.185297171643178
EliteJunc,8.05,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,22.94449185128904
PuttammaChoultryNagarbhavi,4.16,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,15.02853317835992
KonanakunteJunction(KanakapurarRd),13.54,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,23.33388048318085
MICO Bande,7.1,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,23.618053144912118
Peenya14thCrossJunc,11.4,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
HoodiJunction,6.23,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,26.12838686331468
