query_event_id,query_cause,query_corridor,query_is_planned,retrieved_event_id,retrieved_cause,retrieved_corridor,final_similarity_score,gower_component,hybrid_component,retrieved_duration_min,retrieved_closure,retrieved_priority,rank,retrieval_stage
FKID000433,public_event,Non-corridor,True,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID000433,public_event,Non-corridor,True,FKID000994,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID000437,public_event,Non-corridor,True,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID000437,public_event,Non-corridor,True,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID000437,public_event,Non-corridor,True,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID000437,public_event,Non-corridor,True,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID000437,public_event,Non-corridor,True,FKID000994,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID000439,public_event,CBD 2,True,FKID000008,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,1,stage1_only
FKID000439,public_event,CBD 2,True,FKID000946,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,2,stage1_only
FKID000439,public_event,CBD 2,True,FKID001680,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,3,stage1_only
FKID000439,public_event,CBD 2,True,FKID001683,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,4,stage1_only
FKID000439,public_event,CBD 2,True,FKID001988,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,5,stage1_only
FKID000468,procession,Non-corridor,True,FKID004509,procession,Non-corridor,0.988,0.9768,0.9955,170.4,1,Low,1,stage1_only
FKID000468,procession,Non-corridor,True,FKID007787,procession,Non-corridor,0.9603,0.9206,0.9868,67.6,1,Low,2,stage1_only
FKID000468,procession,Non-corridor,True,FKID002254,procession,Non-corridor,0.959,0.9175,0.9868,6.6,1,Low,3,stage1_only
FKID000468,procession,Non-corridor,True,FKID006315,procession,Non-corridor,0.9402,0.8703,0.9868,67.6,1,Low,4,stage1_only
FKID000468,procession,Non-corridor,True,FKID001167,procession,Non-corridor,0.9402,0.8703,0.9868,67.6,1,Low,5,stage1_only
FKID000478,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9784,0.9655,0.987,19.3,0,Low,1,stage1_only
FKID000478,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9726,0.9576,0.9826,59.9,0,Low,2,stage1_only
FKID000478,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9631,0.9472,0.9737,67.6,0,Low,3,stage1_only
FKID000478,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9625,0.9388,0.9783,67.6,0,Low,4,stage1_only
FKID000478,procession,Non-corridor,True,FKID000717,procession,Non-corridor,0.9602,0.9531,0.965,39.3,0,Low,5,stage1_only
FKID000502,public_event,ORR East 1,True,FKID005473,public_event,Bannerghata Road,0.8056,0.8889,0.75,67.6,1,High,1,stage1_only
FKID000502,public_event,ORR East 1,True,FKID001578,public_event,Old Madras Road,0.7922,0.8556,0.75,67.6,1,High,2,stage1_only
FKID000502,public_event,ORR East 1,True,FKID001573,public_event,Old Madras Road,0.7922,0.8556,0.75,67.6,1,High,3,stage1_only
FKID000502,public_event,ORR East 1,True,FKID001581,public_event,Old Madras Road,0.7922,0.8556,0.75,67.6,1,High,4,stage1_only
FKID000502,public_event,ORR East 1,True,FKID002483,public_event,Old Madras Road,0.7922,0.8556,0.75,67.6,1,High,5,stage1_only
FKID000717,procession,Non-corridor,True,FKID001865,procession,Non-corridor,0.9947,0.9933,0.9957,15.7,0,Low,1,stage1_only
FKID000717,procession,Non-corridor,True,FKID004092,procession,Non-corridor,0.9871,0.981,0.9911,91.6,0,Low,2,stage1_only
FKID000717,procession,Non-corridor,True,FKID007575,procession,Non-corridor,0.9726,0.9648,0.9779,32.4,0,Low,3,stage1_only
FKID000717,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9688,0.9486,0.9822,67.6,0,Low,4,stage1_only
FKID000717,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9681,0.9402,0.9868,67.6,0,Low,5,stage1_only
FKID000737,public_event,Non-corridor,True,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID000737,public_event,Non-corridor,True,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID000737,public_event,Non-corridor,True,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID000737,public_event,Non-corridor,True,FKID005805,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID000737,public_event,Non-corridor,True,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID000878,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.9823,0.9688,0.9913,29.1,0,Low,1,stage1_only
FKID000878,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9643,0.9174,0.9957,19.3,0,Low,2,stage1_only
FKID000878,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9611,0.9157,0.9913,59.9,0,Low,3,stage1_only
FKID000878,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9518,0.8926,0.9913,0.3,0,Low,4,stage1_only
FKID000878,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9439,0.9054,0.9696,67.6,0,Low,5,stage1_only
FKID000920,protest,Non-corridor,True,FKID000922,protest,Non-corridor,0.9979,0.9948,1.0,0.7,1,Low,1,stage1_only
FKID000920,protest,Non-corridor,True,FKID000921,protest,Non-corridor,0.9979,0.9948,1.0,0.1,1,Low,2,stage1_only
FKID000920,protest,Non-corridor,True,FKID001198,protest,Non-corridor,0.9645,0.9245,0.9911,2.7,1,Low,3,stage1_only
FKID000920,protest,Non-corridor,True,FKID004535,protest,Non-corridor,0.769,0.7153,0.8047,18.2,0,Low,4,stage1_only
FKID000920,protest,Non-corridor,True,FKID000355,construction,Non-corridor,0.7279,0.8516,0.6455,180.5,1,Low,5,stage1_only
FKID000921,protest,Non-corridor,True,FKID000922,protest,Non-corridor,1.0,1.0,1.0,0.7,1,Low,1,stage1_only
FKID000921,protest,Non-corridor,True,FKID001198,protest,Non-corridor,0.9664,0.9293,0.9911,2.7,1,Low,2,stage1_only
FKID000921,protest,Non-corridor,True,FKID004535,protest,Non-corridor,0.7699,0.7177,0.8047,18.2,0,Low,3,stage1_only
FKID000921,protest,Non-corridor,True,FKID000355,construction,Non-corridor,0.7258,0.8463,0.6455,180.5,1,Low,4,stage1_only
FKID000921,protest,Non-corridor,True,FKID000253,construction,Non-corridor,0.7174,0.8185,0.65,0.4,1,Low,5,stage1_only
FKID000922,protest,Non-corridor,True,FKID000921,protest,Non-corridor,1.0,1.0,1.0,0.1,1,Low,1,stage1_only
FKID000922,protest,Non-corridor,True,FKID001198,protest,Non-corridor,0.9664,0.9294,0.9911,2.7,1,Low,2,stage1_only
FKID000922,protest,Non-corridor,True,FKID004535,protest,Non-corridor,0.7699,0.7177,0.8047,18.2,0,Low,3,stage1_only
FKID000922,protest,Non-corridor,True,FKID000355,construction,Non-corridor,0.7258,0.8464,0.6455,180.5,1,Low,4,stage1_only
FKID000922,protest,Non-corridor,True,FKID000253,construction,Non-corridor,0.7174,0.8185,0.65,0.4,1,Low,5,stage1_only
FKID000946,public_event,CBD 2,True,FKID000008,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,1,stage1_only
FKID000946,public_event,CBD 2,True,FKID000439,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,2,stage1_only
FKID000946,public_event,CBD 2,True,FKID001680,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,3,stage1_only
FKID000946,public_event,CBD 2,True,FKID001683,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,4,stage1_only
FKID000946,public_event,CBD 2,True,FKID001988,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,5,stage1_only
FKID000949,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.9943,0.9922,0.9957,29.1,0,Low,1,stage1_only
FKID000949,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9615,0.9037,1.0,19.3,0,Low,2,stage1_only
FKID000949,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9582,0.902,0.9957,59.9,0,Low,3,stage1_only
FKID000949,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9399,0.8692,0.987,0.3,0,Low,4,stage1_only
FKID000949,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.932,0.8821,0.9652,67.6,0,Low,5,stage1_only
FKID000952,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.9952,0.9946,0.9957,29.1,0,Low,1,stage1_only
FKID000952,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9624,0.9061,1.0,19.3,0,Low,2,stage1_only
FKID000952,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9577,0.9008,0.9957,59.9,0,Low,3,stage1_only
FKID000952,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9408,0.8716,0.987,0.3,0,Low,4,stage1_only
FKID000952,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9329,0.8845,0.9652,67.6,0,Low,5,stage1_only
FKID000956,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.962,0.905,1.0,59.9,0,Low,1,stage1_only
FKID000956,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9581,0.9018,0.9957,19.3,0,Low,2,stage1_only
FKID000956,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9365,0.8673,0.9826,0.3,0,Low,3,stage1_only
FKID000956,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9286,0.8802,0.9609,67.6,0,Low,4,stage1_only
FKID000956,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9144,0.8516,0.9563,67.6,0,Low,5,stage1_only
FKID000994,public_event,Non-corridor,True,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID000994,public_event,Non-corridor,True,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID000994,public_event,Non-corridor,True,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID000994,public_event,Non-corridor,True,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID000994,public_event,Non-corridor,True,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID001047,procession,Hosur Road,True,FKID006703,procession,Hosur Road,0.9047,0.8559,0.9372,67.6,0,High,1,stage1_only
FKID001047,procession,Hosur Road,True,FKID007191,procession,Airport New South Road,0.7794,0.8369,0.7411,67.6,0,High,2,stage1_only
FKID001047,procession,Hosur Road,True,FKID004703,procession,Magadi Road,0.7794,0.8369,0.7411,67.6,0,High,3,stage1_only
FKID001047,procession,Hosur Road,True,FKID002212,procession,Bannerghata Road,0.7705,0.8274,0.7326,0.6,0,High,4,stage1_only
FKID001047,procession,Hosur Road,True,FKID002071,procession,Mysore Road,0.758,0.8224,0.715,120.2,0,High,5,stage1_only
FKID001064,public_event,Bellary Road 1,True,FKID005754,public_event,Bellary Road 1,1.0,1.0,1.0,67.6,0,High,1,stage1_only
FKID001064,public_event,Bellary Road 1,True,FKID004486,public_event,Bellary Road 1,0.8656,0.8889,0.85,67.6,1,High,2,stage1_only
FKID001064,public_event,Bellary Road 1,True,FKID000946,public_event,CBD 2,0.8056,0.8889,0.75,67.6,0,High,3,stage1_only
FKID001064,public_event,Bellary Road 1,True,FKID000008,public_event,CBD 2,0.8056,0.8889,0.75,67.6,0,High,4,stage1_only
FKID001064,public_event,Bellary Road 1,True,FKID001680,public_event,CBD 2,0.8056,0.8889,0.75,67.6,0,High,5,stage1_only
FKID001104,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9942,0.992,0.9957,19.3,0,Low,1,stage1_only
FKID001104,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9726,0.9576,0.9826,0.3,0,Low,2,stage1_only
FKID001104,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.962,0.905,1.0,29.1,0,Low,3,stage1_only
FKID001104,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9505,0.9418,0.9563,67.6,0,Low,4,stage1_only
FKID001104,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9499,0.9334,0.9609,67.6,0,Low,5,stage1_only
FKID001167,procession,Non-corridor,True,FKID006315,procession,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001167,procession,Non-corridor,True,FKID007787,procession,Non-corridor,0.9575,0.9199,0.9826,67.6,1,Low,2,stage1_only
FKID001167,procession,Non-corridor,True,FKID004509,procession,Non-corridor,0.9522,0.8935,0.9913,170.4,1,Low,3,stage1_only
FKID001167,procession,Non-corridor,True,FKID002254,procession,Non-corridor,0.9457,0.9039,0.9735,6.6,1,Low,4,stage1_only
FKID001167,procession,Non-corridor,True,FKID000468,procession,Non-corridor,0.9402,0.8703,0.9868,340.3,1,Low,5,stage1_only
FKID001198,protest,Non-corridor,True,FKID000922,protest,Non-corridor,0.9664,0.9294,0.9911,0.7,1,Low,1,stage1_only
FKID001198,protest,Non-corridor,True,FKID000921,protest,Non-corridor,0.9664,0.9293,0.9911,0.1,1,Low,2,stage1_only
FKID001198,protest,Non-corridor,True,FKID004535,protest,Non-corridor,0.7944,0.7787,0.8049,18.2,0,Low,3,stage1_only
FKID001198,protest,Non-corridor,True,FKID000045,construction,Non-corridor,0.7245,0.85,0.6409,67.6,1,Low,4,stage1_only
FKID001198,protest,Non-corridor,True,FKID007487,public_event,Non-corridor,0.721,0.8412,0.6409,119.5,1,Low,5,stage1_only
FKID001481,public_event,Non-corridor,True,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001481,public_event,Non-corridor,True,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID001481,public_event,Non-corridor,True,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID001481,public_event,Non-corridor,True,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID001481,public_event,Non-corridor,True,FKID000994,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID001492,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9637,0.9159,0.9957,67.6,0,Low,1,stage1_only
FKID001492,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.9625,0.9584,0.9652,29.1,0,Low,2,stage1_only
FKID001492,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9496,0.8873,0.9911,67.6,0,Low,3,stage1_only
FKID001492,procession,Non-corridor,True,FKID003153,procession,Non-corridor,0.9436,0.8723,0.9911,376.5,0,Low,4,stage1_only
FKID001492,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9353,0.8644,0.9826,0.3,0,Low,5,stage1_only
FKID001569,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9934,0.99,0.9957,0.3,0,Low,1,stage1_only
FKID001569,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.982,0.9681,0.9913,19.3,0,Low,2,stage1_only
FKID001569,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9787,0.9664,0.987,59.9,0,Low,3,stage1_only
FKID001569,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9565,0.9372,0.9694,67.6,0,Low,4,stage1_only
FKID001569,procession,Non-corridor,True,FKID000717,procession,Non-corridor,0.956,0.9491,0.9607,39.3,0,Low,5,stage1_only
FKID001573,public_event,Old Madras Road,True,FKID001578,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,1,stage1_only
FKID001573,public_event,Old Madras Road,True,FKID001581,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,2,stage1_only
FKID001573,public_event,Old Madras Road,True,FKID002483,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,3,stage1_only
FKID001573,public_event,Old Madras Road,True,FKID008131,public_event,Hennur Main Road,0.8056,0.8889,0.75,67.6,1,High,4,stage1_only
FKID001573,public_event,Old Madras Road,True,FKID006283,public_event,Hosur Road,0.8056,0.8889,0.75,67.6,1,High,5,stage1_only
FKID001578,public_event,Old Madras Road,True,FKID001573,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,1,stage1_only
FKID001578,public_event,Old Madras Road,True,FKID001581,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,2,stage1_only
FKID001578,public_event,Old Madras Road,True,FKID002483,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,3,stage1_only
FKID001578,public_event,Old Madras Road,True,FKID008131,public_event,Hennur Main Road,0.8056,0.8889,0.75,67.6,1,High,4,stage1_only
FKID001578,public_event,Old Madras Road,True,FKID006283,public_event,Hosur Road,0.8056,0.8889,0.75,67.6,1,High,5,stage1_only
FKID001581,public_event,Old Madras Road,True,FKID001573,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,1,stage1_only
FKID001581,public_event,Old Madras Road,True,FKID001578,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,2,stage1_only
FKID001581,public_event,Old Madras Road,True,FKID002483,public_event,Old Madras Road,1.0,1.0,1.0,67.6,1,High,3,stage1_only
FKID001581,public_event,Old Madras Road,True,FKID008131,public_event,Hennur Main Road,0.8056,0.8889,0.75,67.6,1,High,4,stage1_only
FKID001581,public_event,Old Madras Road,True,FKID006283,public_event,Hosur Road,0.8056,0.8889,0.75,67.6,1,High,5,stage1_only
FKID001641,vip_movement,Non-corridor,True,FKID001979,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001641,vip_movement,Non-corridor,True,FKID002017,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID001641,vip_movement,Non-corridor,True,FKID002051,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID001641,vip_movement,Non-corridor,True,FKID002054,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID001641,vip_movement,Non-corridor,True,FKID001896,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID001647,procession,Non-corridor,True,FKID001648,procession,Non-corridor,0.9985,0.9963,1.0,19.3,0,Low,1,stage1_only
FKID001647,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9952,0.9946,0.9957,59.9,0,Low,2,stage1_only
FKID001647,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9769,0.9618,0.987,0.3,0,Low,3,stage1_only
FKID001647,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.9572,0.8996,0.9957,29.1,0,Low,4,stage1_only
FKID001647,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9548,0.946,0.9607,67.6,0,Low,5,stage1_only
FKID001648,procession,Non-corridor,True,FKID001104,procession,Non-corridor,0.9942,0.992,0.9957,59.9,0,Low,1,stage1_only
FKID001648,procession,Non-corridor,True,FKID000478,procession,Non-corridor,0.9784,0.9655,0.987,0.3,0,Low,2,stage1_only
FKID001648,procession,Non-corridor,True,FKID000956,procession,Non-corridor,0.9581,0.9018,0.9957,29.1,0,Low,3,stage1_only
FKID001648,procession,Non-corridor,True,FKID007408,procession,Non-corridor,0.9563,0.9498,0.9607,67.6,0,Low,4,stage1_only
FKID001648,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9557,0.9413,0.9652,67.6,0,Low,5,stage1_only
FKID001676,vip_movement,Non-corridor,True,FKID001979,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001676,vip_movement,Non-corridor,True,FKID002017,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID001676,vip_movement,Non-corridor,True,FKID002051,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID001676,vip_movement,Non-corridor,True,FKID002054,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID001676,vip_movement,Non-corridor,True,FKID001896,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID001680,public_event,CBD 2,True,FKID000008,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,1,stage1_only
FKID001680,public_event,CBD 2,True,FKID000439,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,2,stage1_only
FKID001680,public_event,CBD 2,True,FKID000946,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,3,stage1_only
FKID001680,public_event,CBD 2,True,FKID001683,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,4,stage1_only
FKID001680,public_event,CBD 2,True,FKID001988,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,5,stage1_only
FKID001683,public_event,CBD 2,True,FKID000008,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,1,stage1_only
FKID001683,public_event,CBD 2,True,FKID000439,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,2,stage1_only
FKID001683,public_event,CBD 2,True,FKID000946,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,3,stage1_only
FKID001683,public_event,CBD 2,True,FKID001680,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,4,stage1_only
FKID001683,public_event,CBD 2,True,FKID001988,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,5,stage1_only
FKID001685,vip_movement,Non-corridor,True,FKID001979,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001685,vip_movement,Non-corridor,True,FKID002017,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID001685,vip_movement,Non-corridor,True,FKID002051,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID001685,vip_movement,Non-corridor,True,FKID002054,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
FKID001685,vip_movement,Non-corridor,True,FKID001896,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,5,stage1_only
FKID001687,vip_movement,Non-corridor,True,FKID001925,vip_movement,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001687,vip_movement,Non-corridor,True,FKID002017,vip_movement,Non-corridor,0.9867,0.9667,1.0,67.6,1,Low,2,stage1_only
FKID001687,vip_movement,Non-corridor,True,FKID001896,vip_movement,Non-corridor,0.9867,0.9667,1.0,67.6,1,Low,3,stage1_only
FKID001687,vip_movement,Non-corridor,True,FKID001934,vip_movement,Non-corridor,0.9867,0.9667,1.0,67.6,1,Low,4,stage1_only
FKID001687,vip_movement,Non-corridor,True,FKID001676,vip_movement,Non-corridor,0.9867,0.9667,1.0,67.6,1,Low,5,stage1_only
FKID001691,public_event,Non-corridor,True,FKID003127,public_event,Non-corridor,0.9679,0.9527,0.9781,2.5,1,Low,1,stage1_only
FKID001691,public_event,Non-corridor,True,FKID004426,public_event,Non-corridor,0.9625,0.9392,0.9781,67.6,1,Low,2,stage1_only
FKID001691,public_event,Non-corridor,True,FKID001801,public_event,Non-corridor,0.9625,0.9392,0.9781,67.6,1,Low,3,stage1_only
FKID001691,public_event,Non-corridor,True,FKID004632,public_event,Non-corridor,0.9625,0.9392,0.9781,67.6,1,Low,4,stage1_only
FKID001691,public_event,Non-corridor,True,FKID000433,public_event,Non-corridor,0.9492,0.9059,0.9781,67.6,1,Low,5,stage1_only
FKID001734,public_event,Non-corridor,True,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID001734,public_event,Non-corridor,True,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID001734,public_event,Non-corridor,True,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
FKID001734,public_event,Non-corridor,True,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,4,stage1_only
