stratum_cause,stratum_corridor,prior_level,n_eff_feedback,prior_sigma_log,posterior_sigma_log,prior_influence_lambda,posterior_influence,prior_dominated,notes
road_conditions,Non-corridor,stratum,7.81,1.939857,0.931248,0.2305,0.7695,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,ORR West 1,stratum,1.0,1.887536,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
road_conditions,West of Chord Road,cause,1.0,2.578965,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
test_demo,Non-corridor,cause,1.0,,,,,,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Airport New South Road,cause,2.0,1.420823,0.369053,0.0675,0.9325,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Bannerghata Road,cause,1.0,1.420823,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Bellary Road 1,cause,7.37,1.420823,0.527798,0.138,0.862,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Hosur Road,cause,1.0,1.420823,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Magadi Road,cause,1.0,1.420823,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Mysore Road,cause,3.79,1.420823,0.51541,0.1316,0.8684,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Non-corridor,stratum,58.2,1.451549,0.239622,0.0273,0.9727,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,ORR North 1,cause,2.98,1.420823,0.422759,0.0885,0.9115,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,ORR West 1,cause,3.62,1.420823,0.767116,0.2915,0.7085,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Old Madras Road,cause,1.0,1.420823,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,Tumkur Road,cause,4.74,1.420823,0.287691,0.041,0.959,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
tree_fall,West of Chord Road,cause,5.83,1.420823,0.746265,0.2759,0.7241,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Airport New South Road,stratum,1.0,0.682962,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Bannerghata Road,stratum,8.61,0.570972,0.215876,0.1429,0.8571,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Bellary Road 1,stratum,32.19,0.897022,0.147577,0.0271,0.9729,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Bellary Road 2,stratum,13.08,0.86063,0.270872,0.0991,0.9009,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,CBD 1,stratum,1.0,0.889258,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,CBD 2,stratum,2.0,0.710227,0.080489,0.0128,0.9872,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Hennur Main Road,stratum,2.0,0.699662,0.051399,0.0054,0.9946,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Hosur Road,stratum,15.19,0.895204,0.208585,0.0543,0.9457,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,IRR(Thanisandra road),stratum,3.9,0.485966,0.273313,0.3163,0.6837,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Magadi Road,stratum,23.48,0.902516,0.134307,0.0221,0.9779,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Mysore Road,stratum,57.09,0.934608,0.114427,0.015,0.985,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Non-corridor,stratum,135.2,0.855589,0.077248,0.0082,0.9918,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,ORR East 1,stratum,16.6,0.758283,0.262556,0.1199,0.8801,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,ORR East 2,stratum,5.83,0.829935,0.300192,0.1308,0.8692,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,ORR North 1,stratum,14.42,0.805966,0.186456,0.0535,0.9465,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,ORR North 2,stratum,14.98,0.944143,0.198881,0.0444,0.9556,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,ORR West 1,stratum,7.52,0.818218,0.209558,0.0656,0.9344,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Old Airport Road,stratum,9.4,1.107401,0.356284,0.1035,0.8965,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Old Madras Road,stratum,15.79,0.941537,0.141025,0.0224,0.9776,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Tumkur Road,stratum,44.51,0.709001,0.132222,0.0348,0.9652,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,Varthur Road,stratum,5.61,0.933729,0.319671,0.1172,0.8828,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
vehicle_breakdown,West of Chord Road,stratum,5.81,0.697614,0.146404,0.044,0.956,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Bannerghata Road,cause,8.4,1.745658,0.812832,0.2168,0.7832,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Bellary Road 1,cause,10.25,1.745658,0.587828,0.1134,0.8866,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Bellary Road 2,stratum,2.98,2.249477,0.515538,0.0525,0.9475,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,CBD 2,cause,1.86,1.745658,0.664044,0.1447,0.8553,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Hennur Main Road,cause,2.0,1.745658,0.003021,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Hosur Road,cause,4.59,1.745658,0.81081,0.2157,0.7843,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Magadi Road,cause,1.96,1.745658,1.063951,0.3715,0.6285,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Mysore Road,cause,20.89,1.745658,0.542273,0.0965,0.9035,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Non-corridor,stratum,54.85,1.878675,0.291119,0.024,0.976,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,ORR East 1,stratum,4.48,0.863192,0.760407,0.776,0.224,True,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,ORR East 2,cause,3.0,1.745658,1.159613,0.4413,0.5587,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,ORR North 1,cause,4.95,1.745658,0.718166,0.1693,0.8307,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,ORR North 2,cause,2.96,1.745658,1.009525,0.3344,0.6656,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,ORR West 1,stratum,5.41,1.724004,0.649871,0.1421,0.8579,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Old Airport Road,cause,1.0,1.745658,0.001,0.0,1.0,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Old Madras Road,cause,4.75,1.745658,0.68953,0.156,0.844,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Tumkur Road,cause,5.74,1.745658,0.814453,0.2177,0.7823,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,Varthur Road,cause,4.82,1.745658,0.885148,0.2571,0.7429,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
water_logging,West of Chord Road,cause,2.95,1.745658,1.075956,0.3799,0.6201,False,lambda = var_post/var_prior; lambda>0.5 means prior dominates posterior
