event_id,best_action,best_score,second_best_action,second_best_score,score_gap_abs,score_gap_rel,min_regret,max_regret,mean_regret,n_candidates,generated_at
FKID004531,DISPATCH_TOW,0.530317,QUEUE_RELIEF,0.473384,0.056933,0.107357,0.056933,0.479397,0.2549,10,2026-06-20T02:56:49.483591+00:00
FKID004694,SIGNAL_OFFSET_ADJUST,0.21279,VMS_MESSAGE,0.182682,0.030108,0.141492,0.030108,0.131728,0.080733,4,2026-06-20T02:56:49.483591+00:00
FKID004711,DISPATCH_TOW,0.588216,QUEUE_RELIEF,0.475218,0.112998,0.192103,0.112998,0.532992,0.311243,11,2026-06-20T02:56:49.483591+00:00
FKID004806,SIGNAL_OFFSET_ADJUST,0.184059,VMS_MESSAGE,0.148831,0.035228,0.191395,0.035228,0.123348,0.083547,4,2026-06-20T02:56:49.483591+00:00
FKID004829,SIGNAL_OFFSET_ADJUST,0.25638,VMS_MESSAGE,0.21945,0.03693,0.144044,0.03693,0.155823,0.105155,5,2026-06-20T02:56:49.483591+00:00
FKID004967,ACTIVATE_DIVERSION,0.618563,QUEUE_RELIEF,0.477989,0.140574,0.227259,0.140574,0.499485,0.313068,7,2026-06-20T02:56:49.483591+00:00
FKID005079,QUEUE_RELIEF,0.621615,DISPATCH_TOW,0.608784,0.012831,0.020641,0.012831,0.468982,0.255191,8,2026-06-20T02:56:49.483591+00:00
FKID005137,DISPATCH_TOW,0.548136,QUEUE_RELIEF,0.49737,0.050766,0.092616,0.050766,0.419001,0.258889,8,2026-06-20T02:56:49.483591+00:00
FKID005194,ACTIVATE_DIVERSION,0.466998,QUEUE_RELIEF,0.460486,0.006512,0.013944,0.006512,0.420974,0.196413,10,2026-06-20T02:56:49.483591+00:00
FKID005244,QUEUE_RELIEF,0.306974,DISPATCH_TOW,0.296411,0.010563,0.03441,0.010563,0.25743,0.121611,10,2026-06-20T02:56:49.483591+00:00
FKID005593,DISPATCH_TOW,0.421668,SIGNAL_OFFSET_ADJUST,0.265261,0.156407,0.370925,0.156407,0.30555,0.214924,5,2026-06-20T02:56:49.483591+00:00
FKID005996,SIGNAL_OFFSET_ADJUST,0.26734,VMS_MESSAGE,0.224754,0.042586,0.159295,0.042586,0.168728,0.115724,5,2026-06-20T02:56:49.483591+00:00
FKID006015,QUEUE_RELIEF,0.471402,SIGNAL_EXTEND_GREEN,0.401473,0.069929,0.148343,0.069929,0.358582,0.243921,7,2026-06-20T02:56:49.483591+00:00
FKID006340,QUEUE_RELIEF,0.569741,DISPATCH_TOW,0.519186,0.050555,0.088733,0.050555,0.429772,0.234801,8,2026-06-20T02:56:49.483591+00:00
FKID006361,QUEUE_RELIEF,0.530393,SIGNAL_EXTEND_GREEN,0.464926,0.065467,0.123431,0.065467,0.403214,0.262357,7,2026-06-20T02:56:49.483591+00:00
FKID006514,QUEUE_RELIEF,0.508564,SIGNAL_EXTEND_GREEN,0.435089,0.073475,0.144475,0.073475,0.381021,0.24543,8,2026-06-20T02:56:49.483591+00:00
FKID006955,QUEUE_RELIEF,0.477534,SIGNAL_EXTEND_GREEN,0.411421,0.066113,0.138447,0.066113,0.355546,0.230354,8,2026-06-20T02:56:49.483591+00:00
FKID007137,DISPATCH_TOW,0.436646,SIGNAL_OFFSET_ADJUST,0.271593,0.165053,0.378002,0.165053,0.317489,0.242167,6,2026-06-20T02:56:49.483591+00:00
FKID007189,QUEUE_RELIEF,0.521302,SIGNAL_EXTEND_GREEN,0.474953,0.046349,0.08891,0.046349,0.401202,0.242168,6,2026-06-20T02:56:49.483591+00:00
FKID007660,QUEUE_RELIEF,0.429168,SIGNAL_EXTEND_GREEN,0.345531,0.083637,0.194882,0.083637,0.321869,0.207679,9,2026-06-20T02:56:49.483591+00:00
FKID008103,DISPATCH_TOW,0.782281,QUEUE_RELIEF,0.556836,0.225445,0.288189,0.225445,0.722433,0.467642,11,2026-06-20T02:56:49.483591+00:00
