event_id,event_cause,site_weight,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,diversion_reason,effectiveness,expected_delay_reduction_min,cvar_contribution,total_cvar,var_level,chance_constraint_satisfaction,required_epsilon,violation_flag,violation_margin,service_tier,robustness_score,is_critical,used_fallback,solver_status,safe_duration_p50,safe_duration_p80,safe_duration_p95,duration_reliability,tail_risk_prob,duration_sanity_flag
FKID006361,others,0.9168633816790003,3,2,1,1,1,critical_tier,0.7247292169102477,75123.6544149312,28533.89472488041,18055940.995759398,6181534.701191746,0.98,0.1,0,0.07999999999999996,critical,0.5835798450499413,1,1,greedy_fallback,67205.93143413374,80288.36111087333,136108.64719960254,0.3466379990473955,1.0,0
FKID006514,tree_fall,0.9232487981118045,3,2,1,1,1,critical_tier,0.7247292169102477,22360.138867222333,8492.955427155299,18055940.995759398,6181534.701191746,1.0,0.1,0,0.09999999999999998,critical,0.601139323035551,1,1,greedy_fallback,27033.175992365555,45260.933279293335,50578.39314217833,0.4135059181148774,1.0,0
FKID000316,pot_holes,0.928245599788247,3,2,1,1,1,critical_tier,0.7247292169102477,103679.16390559792,39380.01114410592,18055940.995759398,6181534.701191746,1.0,0.1,0,0.09999999999999998,critical,0.5720551373043192,1,1,greedy_fallback,107759.3586845084,154508.84233138,175025.65599472413,0.3524201911652639,1.0,0
FKID003911,pot_holes,0.9077868829559248,3,2,1,0,0,not_activated,0.6284233089779543,84551.18426212123,49993.76824709159,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,elevated,0.6196003610207792,0,1,greedy_fallback,145729.12294197755,154508.84233138,175025.65599472413,0.4185709547529487,1.0,0
FKID004711,public_event,0.8456512019394926,2,2,0,0,0,not_activated,0.42879093615118513,18224.116844484757,24277.05402461965,18055940.995759398,6181534.701191746,0.84,0.2,0,0.039999999999999925,normal,0.6437840266918657,0,1,greedy_fallback,9912.304165132458,12830.886843333334,37303.90337916664,0.4327654454870332,1.0,0
FKID001133,pot_holes,0.8915788951355224,3,2,0,0,0,not_activated,0.5228860844789656,65454.41716028219,59724.69757080654,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,elevated,0.6543371025232864,0,1,greedy_fallback,128600.92680580902,154508.84233138,175025.65599472413,0.3941256402551067,1.0,0
FKID005079,road_conditions,0.841370347370661,2,2,0,0,0,not_activated,0.42879093615118513,43191.31201692419,57536.82464708308,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6962510139836364,0,1,greedy_fallback,103671.31561371364,117572.78160488002,152834.46296882667,0.4671576653580221,1.0,0
FKID000944,water_logging,0.9164150548761115,3,2,1,1,0,not_activated,0.7247292169102477,129701.8854471377,49264.10960422547,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,elevated,0.6090335979003525,0,1,greedy_fallback,79113.7279912724,111883.17702075667,225169.89284421463,0.3772562198837524,1.0,0
FKID006955,others,0.9232250231053875,2,2,0,0,1,critical_tier,0.42879093615118513,381293.0664789202,507935.3064465795,18055940.995759398,6181534.701191746,0.76,0.1,1,-0.14,critical,0.45862348039153555,1,1,greedy_fallback,11274.597960437051,71213.51506983537,112745.97960437051,0.3789497828116754,0.8421052631578947,0
FKID005137,pot_holes,0.8414534175530858,2,2,0,0,0,not_activated,0.42879093615118513,54774.88301788697,72967.74957958514,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6937476000644609,0,1,greedy_fallback,87218.82015387098,154508.84233138,175025.65599472413,0.4167469082739704,1.0,0
FKID004125,others,0.9412105449573431,3,2,1,1,1,emergency_tier,0.7247292169102477,69746.52970167478,26491.52455951056,18055940.995759398,6181534.701191746,1.0,0.05,0,0.050000000000000044,emergency,0.6063792592027212,1,1,greedy_fallback,76712.59791140987,80288.36111087333,136108.64719960254,0.4002600718973374,1.0,0
FKID001125,water_logging,0.9405664974544841,3,2,1,1,1,critical_tier,0.7247292169102477,113555.6030810168,43131.33658058624,18055940.995759398,6181534.701191746,0.98,0.1,0,0.07999999999999996,critical,0.5675112362679648,1,1,greedy_fallback,93318.07952025814,111883.17702075667,225169.89284421463,0.3985786904659371,1.0,0
FKID007137,construction,0.8700152497215023,3,2,0,0,0,not_activated,0.5228860844789656,30504.94022531875,27834.612367127207,18055940.995759398,6181534.701191746,0.88,0.2,0,0.07999999999999996,normal,0.6550900509162499,0,1,greedy_fallback,17801.03785740534,40278.12680520333,77456.8027075483,0.4296821102914695,1.0,0
FKID007189,tree_fall,0.8932937999299096,3,2,1,0,0,not_activated,0.6284233089779543,35588.95191386835,21043.180289739725,18055940.995759398,6181534.701191746,0.94,0.2,0,0.1399999999999999,elevated,0.6496417004311966,0,1,greedy_fallback,11170.816451907029,45260.933279293335,50578.39314217833,0.4443872985860647,1.0,0
FKID001646,pot_holes,0.8853899428758181,3,2,0,0,0,not_activated,0.5228860844789656,48826.83254286062,44552.651042965816,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.68147331536248,0,1,greedy_fallback,88914.537202068,154508.84233138,175025.65599472413,0.4056848994611063,1.0,0
FKID005593,water_logging,0.843025339170318,2,2,0,0,0,not_activated,0.42879093615118513,57981.6134993236,77239.55982995631,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,normal,0.6833205318591065,0,1,greedy_fallback,82216.75298595818,111883.17702075667,225169.89284421463,0.4421280641843303,1.0,0
FKID000129,others,0.9073890614430792,3,2,1,0,0,not_activated,0.6284233089779543,86587.82129478145,51197.99927830464,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,elevated,0.6489802537919833,0,1,greedy_fallback,51706.69371296996,80288.36111087333,136108.64719960254,0.4353287963476898,1.0,0
FKID005194,pot_holes,0.843245375670993,2,2,0,0,0,not_activated,0.42879093615118513,39807.276112033636,53028.81895411348,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6952947838934367,0,1,greedy_fallback,87635.70489673672,154508.84233138,175025.65599472413,0.4076365503297062,1.0,0
FKID001288,water_logging,0.9511067002592861,3,2,1,1,1,emergency_tier,0.7247292169102477,136518.10267662417,51853.084093856094,18055940.995759398,6181534.701191746,0.96,0.05,0,0.010000000000000009,emergency,0.552285450172459,1,1,greedy_fallback,74496.28239441953,111883.17702075667,225169.89284421463,0.3790771710749153,1.0,0
FKID001693,others,0.9447443845104104,3,2,1,1,1,emergency_tier,0.7247292169102477,66349.9130513218,25201.402258129478,18055940.995759398,6181534.701191746,1.0,0.05,0,0.050000000000000044,emergency,0.5956956357153499,1,1,greedy_fallback,71205.26449373606,80288.36111087333,136108.64719960254,0.4000635926457191,1.0,0
FKID000022,pot_holes,0.9218927114732121,3,2,1,1,1,critical_tier,0.7247292169102477,82558.33402862407,31357.777123340577,18055940.995759398,6181534.701191746,1.0,0.1,0,0.09999999999999998,critical,0.5660702633577196,1,1,greedy_fallback,97368.816138539,154508.84233138,175025.65599472413,0.4074174212838157,1.0,0
FKID004519,road_conditions,0.8434603712436258,2,2,0,0,0,not_activated,0.42879093615118513,40872.48564579967,54447.82595562994,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.697549590099694,0,1,greedy_fallback,108505.62046646306,117572.78160488002,152834.46296882667,0.4945198487529509,1.0,0
FKID007660,construction,0.9513937732624871,3,2,1,1,1,emergency_tier,0.7247292169102477,43862.88262848932,16660.250156871272,18055940.995759398,6181534.701191746,0.96,0.05,0,0.010000000000000009,emergency,0.5172991568728181,1,1,greedy_fallback,29579.3840901376,40278.12680520333,77456.8027075483,0.4221908168014643,1.0,0
FKID004408,pot_holes,0.8493397573120678,2,2,0,0,0,not_activated,0.42879093615118513,39691.01573827251,52873.94399370762,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6790515572069142,0,1,greedy_fallback,83983.65357384314,154508.84233138,175025.65599472413,0.4229049630681059,1.0,0
FKID000842,others,0.8957135742117923,3,2,1,0,0,not_activated,0.6284233089779543,57185.44887154343,33812.84488135355,18055940.995759398,6181534.701191746,0.94,0.2,0,0.1399999999999999,elevated,0.6506820533819835,0,1,greedy_fallback,42808.0675874033,80288.36111087333,136108.64719960254,0.4538926491120535,1.0,0
FKID004694,pot_holes,0.8482321799406901,2,2,0,0,0,not_activated,0.42879093615118513,47255.00525253864,62950.22827384644,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6725722440310071,0,1,greedy_fallback,101596.55837357989,154508.84233138,175025.65599472413,0.4314588852409345,1.0,0
FKID004967,pot_holes,0.8280373245090716,2,2,0,0,0,not_activated,0.42879093615118513,34037.81956423304,45343.10175317051,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6793103582988712,0,1,greedy_fallback,78829.89327478314,144040.18032067022,164988.71199505893,0.4268663766454953,0.8421052631578947,0
FKID008103,water_logging,0.8528565452813316,2,2,0,0,0,not_activated,0.42879093615118513,256837.48021440458,342143.18509482563,18055940.995759398,6181534.701191746,0.82,0.2,0,0.019999999999999907,normal,0.5056611060946288,0,1,greedy_fallback,50119.36776553874,108264.54013184155,204228.01485167572,0.4223150730800641,0.8421052631578947,0
FKID000164,pot_holes,0.8459060953988485,2,2,0,0,0,not_activated,0.42879093615118513,44839.79088850492,59732.82739252864,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6828907213210744,0,1,greedy_fallback,90589.67288665992,154508.84233138,175025.65599472413,0.4497782769188255,1.0,0
FKID000346,water_logging,0.8252366955920621,2,2,0,0,0,not_activated,0.42879093615118513,62645.601334316525,83452.63921298052,18055940.995759398,6181534.701191746,0.9,0.2,0,0.09999999999999998,normal,0.6455097531394642,0,1,greedy_fallback,73663.770664914,107647.3557773947,205837.1843948385,0.4306132539693831,0.8421052631578947,0
FKID003103,pot_holes,0.8342645698581863,2,2,0,0,0,not_activated,0.42879093615118513,41404.53354864768,55156.58763617391,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6646987745829482,0,1,greedy_fallback,85174.63203608383,144145.30728913937,162720.04460960106,0.4128581926726906,0.8421052631578947,0
FKID001931,construction,0.8416989808515037,2,2,0,0,0,not_activated,0.42879093615118513,25758.293031244797,34313.62281299035,18055940.995759398,6181534.701191746,0.9,0.2,0,0.09999999999999998,normal,0.6693175650627632,0,1,greedy_fallback,21375.252046225047,40278.12680520333,77456.8027075483,0.4696828107947042,1.0,0
FKID001932,construction,0.8416989808515037,2,2,0,0,0,not_activated,0.42879093615118513,27521.464592051474,36662.412145370574,18055940.995759398,6181534.701191746,0.92,0.2,0,0.12,normal,0.675278842047122,0,1,greedy_fallback,21375.252046225047,40278.12680520333,77456.8027075483,0.4696828107947042,1.0,0
FKID000528,tree_fall,0.8624697850284819,2,2,0,0,0,not_activated,0.42879093615118513,11569.806600265265,15412.588839609258,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6700278627808904,0,1,greedy_fallback,25398.966345849585,45260.933279293335,50578.39314217833,0.4853832658299251,1.0,0
FKID000968,tree_fall,0.8482462163254667,2,2,0,0,0,not_activated,0.42879093615118513,11212.06926337473,14936.033035647572,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6835458828388872,0,1,greedy_fallback,22950.85260562325,45260.933279293335,50578.39314217833,0.4877894873589212,1.0,0
FKID001489,construction,0.8433535819885056,2,2,0,0,0,not_activated,0.42879093615118513,20840.063600574646,27761.858323509026,18055940.995759398,6181534.701191746,0.94,0.2,0,0.1399999999999999,normal,0.6763844153996201,0,1,greedy_fallback,26446.01975590781,40278.12680520333,77456.8027075483,0.4487913351319025,1.0,0
FKID003235,tree_fall,0.8442337243248098,2,2,0,0,0,not_activated,0.42879093615118513,13422.809355887977,17881.045796393737,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6897632840817196,0,1,greedy_fallback,27968.46168605288,45260.933279293335,50578.39314217833,0.4951255813322048,1.0,0
