event_id,resource_rationale_score,resource_explanation,generated_at
FKID000944,0.261075,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.61; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID006955,0.582011,"Service tier 'critical' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.46; chance-constraint VIOLATED -> reinforcement justified.",2026-06-20T01:47:21.593060+00:00
FKID005137,0.089896,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.69; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004125,0.495072,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.61; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001125,0.388122,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.57; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID007137,0.103727,"Service tier 'normal' drives baseline staffing; allocated 3 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.66; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID007189,0.234256,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.65; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001646,0.097132,"Service tier 'normal' drives baseline staffing; allocated 3 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID005593,0.092503,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000129,0.234422,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.65; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID005194,0.08951,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.70; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001288,0.508595,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.55; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001693,0.497743,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.60; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000022,0.388482,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.57; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004519,0.088946,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.70; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID007660,0.517342,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.52; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004408,0.09357,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000842,0.233996,"Service tier 'elevated' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.65; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004694,0.09519,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.67; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID004967,0.093506,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID008103,0.136918,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.51; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000164,0.092611,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000346,0.101956,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.65; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID003103,0.097159,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.66; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001931,0.096004,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.67; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001932,0.094514,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000528,0.095826,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.67; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID000968,0.092447,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID001489,0.094237,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.68; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
FKID003235,0.090893,"Service tier 'normal' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.69; chance constraints satisfied.",2026-06-20T01:47:21.593060+00:00
