row_idx,event_id,event_cause,corridor,duration_min,trust_score,is_true_planned_event,start_timestamp
42,FKID000042,vehicle_breakdown,ORR East 1,,1.0,False,2024-01-30T20:38:19
43,FKID000043,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T18:29:50
44,FKID000044,vehicle_breakdown,Non-corridor,,1.0,False,2023-12-28T06:06:26
45,FKID000045,construction,Non-corridor,-0.40505,1.0,False,2024-01-30T21:21:10
46,FKID000046,vehicle_breakdown,Tumkur Road,,1.0,False,2024-01-30T19:33:25
47,FKID000047,others,Tumkur Road,133.52983253333335,1.0,False,2024-03-07T20:27:15
48,FKID000048,tree_fall,Bellary Road 1,1829.3005564666666,1.0,False,2024-03-07T20:41:41
49,FKID000049,vehicle_breakdown,ORR East 1,55.541728516666666,1.0,False,2024-01-30T21:27:52
50,FKID000050,congestion,IRR(Thanisandra road),,0.7,False,2024-01-30T20:46:34
51,FKID000051,vehicle_breakdown,Mysore Road,,1.0,False,2024-01-30T21:13:55
52,FKID000052,construction,ORR East 2,729.7378,1.0,False,2024-01-30T20:56:01
53,FKID000053,vehicle_breakdown,Bellary Road 1,69.32987603333332,1.0,False,2024-01-30T21:47:40
54,FKID000054,vehicle_breakdown,West of Chord Road,,1.0,False,2024-03-07T20:42:57
55,FKID000055,road_conditions,Non-corridor,61.27697078333333,1.0,False,2024-01-30T21:54:56
56,FKID000056,vehicle_breakdown,Non-corridor,,0.7,False,2024-01-30T19:36:33
57,FKID000057,vehicle_breakdown,Non-corridor,36.41233746666667,1.0,False,2024-01-30T22:06:02
58,FKID000058,tree_fall,Bellary Road 1,1819.0784875333334,1.0,False,2024-03-07T20:51:39
59,FKID000059,tree_fall,Bellary Road 1,1823.1111353833332,1.0,False,2024-03-07T20:47:40
60,FKID000060,tree_fall,Bellary Road 1,1825.6380844833334,1.0,False,2024-03-07T20:45:19
61,FKID000061,vehicle_breakdown,ORR East 1,10.513486133333334,1.0,False,2024-01-30T23:05:02
62,FKID000062,tree_fall,Non-corridor,22124.802723566667,0.48999999999999994,False,2024-03-07T20:53:37
63,FKID000063,vehicle_breakdown,Non-corridor,83.22766023333334,1.0,False,2024-01-30T23:12:23
64,FKID000064,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-30T21:21:57
65,FKID000065,pot_holes,CBD 1,,1.0,False,2024-03-07T21:05:54
66,FKID000066,tree_fall,Non-corridor,321.23818236666665,1.0,False,2024-03-07T20:58:06
67,FKID000067,pot_holes,Non-corridor,,0.7,False,2024-01-31T01:04:36
68,FKID000068,pot_holes,ORR North 1,,0.7,False,2024-01-31T01:01:36
69,FKID000069,vehicle_breakdown,West of Chord Road,44.18835605,1.0,False,2024-01-31T00:33:27
70,FKID000070,vehicle_breakdown,West of Chord Road,41.797760616666665,1.0,False,2024-01-31T00:36:02
71,FKID000071,vehicle_breakdown,Non-corridor,26.158530816666666,1.0,False,2024-01-31T01:24:44
72,FKID000072,pot_holes,Magadi Road,8639.783111666668,1.0,False,2024-01-30T23:46:07
73,FKID000073,others,Non-corridor,20609.415342416665,0.7,False,2024-01-30T23:23:41
74,FKID000074,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-30T22:39:37
75,FKID000075,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-30T23:11:03
76,FKID000076,pot_holes,Non-corridor,5754.0936329333335,1.0,False,2024-03-07T21:11:51
77,FKID000077,vehicle_breakdown,ORR East 1,,0.7,False,2024-01-30T23:18:30
78,FKID000078,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T19:23:40
79,FKID000079,vehicle_breakdown,Non-corridor,,0.7,False,2024-03-07T19:23:25
80,FKID000080,others,Non-corridor,15.88912515,1.0,False,2024-03-07T21:25:26
81,FKID000081,tree_fall,Non-corridor,116.8119772,1.0,False,2024-03-07T21:17:00
82,FKID000082,construction,ORR East 2,762.4895166666666,1.0,False,2024-03-07T21:23:16
83,FKID000083,others,Mysore Road,13265.728999266667,0.48999999999999994,False,2024-03-07T21:14:45
84,FKID000084,others,Non-corridor,17229.866743983333,0.7,False,2024-03-07T21:28:44
85,FKID000085,pot_holes,Non-corridor,44592.990813649994,1.0,False,2024-03-07T21:25:14
86,FKID000086,vehicle_breakdown,Non-corridor,83.47854003333333,1.0,False,2024-01-31T02:47:16
87,FKID000087,vehicle_breakdown,Mysore Road,52.75157615,1.0,False,2024-01-31T05:03:24
88,FKID000088,vehicle_breakdown,ORR North 1,74.82553706666666,1.0,False,2024-03-07T21:35:50
89,FKID000089,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-31T02:08:55
90,FKID000090,water_logging,Mysore Road,8282.429940516666,1.0,False,2024-01-31T03:04:31
91,FKID000091,vehicle_breakdown,Magadi Road,,1.0,False,2024-01-31T01:22:31
92,FKID000092,vehicle_breakdown,Mysore Road,,1.0,False,2024-01-31T01:45:45
93,FKID000093,vehicle_breakdown,Mysore Road,47.68990556666667,1.0,False,2024-01-31T04:21:01
94,FKID000094,vehicle_breakdown,ORR East 1,,1.0,False,2024-01-31T03:31:13
95,FKID000095,tree_fall,Non-corridor,8.620181266666666,1.0,False,2024-03-07T21:47:02
96,FKID000096,tree_fall,Non-corridor,,1.0,False,2024-03-07T21:49:19
97,FKID000097,others,CBD 2,,1.0,False,2024-03-07T21:59:21
98,FKID000098,tree_fall,Non-corridor,,1.0,False,2024-03-07T21:57:57
99,FKID000099,tree_fall,Non-corridor,8761.173063133332,0.7,False,2024-03-07T21:37:11
100,FKID000100,tree_fall,Mysore Road,13245.791290366667,0.48999999999999994,False,2024-03-07T21:34:37
101,FKID000101,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-01-31T03:11:13
102,FKID000102,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-31T03:23:09
103,FKID000103,pot_holes,Bannerghata Road,,1.0,False,2024-03-07T22:01:11
104,FKID000104,pot_holes,Bannerghata Road,,1.0,False,2024-03-07T22:02:40
105,FKID000105,water_logging,West of Chord Road,,1.0,False,2024-03-07T22:06:56
106,FKID000106,pot_holes,Bannerghata Road,,1.0,False,2024-03-07T22:07:52
107,FKID000107,vehicle_breakdown,ORR West 1,141.02791743333333,1.0,False,2024-01-31T05:41:26
108,FKID000108,others,Non-corridor,,1.0,False,2024-01-31T07:26:39
109,FKID000109,tree_fall,Mysore Road,13203.4163744,0.7,False,2024-03-07T22:16:53
110,FKID000110,tree_fall,Non-corridor,13212.042736283332,0.7,False,2024-03-07T22:08:18
111,FKID000111,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T22:28:07
112,FKID000112,pot_holes,ORR East 1,171296.69161185002,0.48999999999999994,False,2023-12-16T02:15:10
113,FKID000113,construction,Bellary Road 1,545.3734030166667,1.0,False,2024-03-07T22:40:56
114,FKID000114,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T20:31:07
115,FKID000115,water_logging,Old Madras Road,,1.0,False,2024-03-07T22:55:04
116,FKID000116,pot_holes,Non-corridor,,1.0,False,2024-03-07T22:33:02
117,FKID000117,vehicle_breakdown,ORR North 1,,0.7,False,2024-03-07T22:48:31
118,FKID000118,congestion,ORR North 2,,0.7,False,2024-01-31T05:48:22
119,FKID000119,vehicle_breakdown,Hosur Road,,1.0,False,2024-01-31T06:15:45
120,FKID000120,vehicle_breakdown,Magadi Road,,1.0,False,2024-01-31T05:56:24
121,FKID000121,vehicle_breakdown,Tumkur Road,,1.0,False,2024-03-07T19:49:46
122,FKID000122,tree_fall,Non-corridor,61.79462865,1.0,False,2024-03-07T23:06:49
123,FKID000123,vehicle_breakdown,Mysore Road,102.3569732,1.0,False,2024-01-31T08:57:24
124,FKID000124,vehicle_breakdown,Hosur Road,,1.0,False,2024-01-31T08:05:37
125,FKID000125,construction,Non-corridor,,1.0,False,2024-01-31T11:11:49
126,FKID000126,accident,Non-corridor,,0.7,False,2024-01-31T16:11:31
127,FKID000127,accident,Tumkur Road,,1.0,False,2024-01-31T19:13:08
128,FKID000128,vehicle_breakdown,Bannerghata Road,,1.0,False,2024-01-31T19:17:09
129,FKID000129,others,Non-corridor,150768.82749298334,0.48999999999999994,False,2023-12-30T09:28:08
130,FKID000130,pot_holes,Non-corridor,,1.0,False,2024-01-31T20:10:41
131,FKID000131,vehicle_breakdown,Bellary Road 2,102.53794968333334,1.0,False,2024-01-31T20:34:20
132,FKID000132,vehicle_breakdown,Magadi Road,106.48373361666667,1.0,False,2024-01-31T20:33:08
133,FKID000133,accident,Tumkur Road,,1.0,False,2024-01-31T19:14:30
134,FKID000134,vehicle_breakdown,Hosur Road,75.3592525,1.0,False,2024-01-31T19:45:59
135,FKID000135,others,ORR North 2,59870.439726950004,0.48999999999999994,False,2023-12-21T07:01:13
136,FKID000136,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-01-31T20:51:52
137,FKID000137,vehicle_breakdown,Tumkur Road,,1.0,False,2024-01-31T20:38:26
138,FKID000138,pot_holes,Non-corridor,365.2268505833334,0.7,False,2024-01-21T00:50:18
139,FKID000139,construction,ORR East 2,720.6875,1.0,False,2024-01-31T21:05:04
140,FKID000140,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T21:35:39
141,FKID000141,others,Non-corridor,,1.0,False,2024-03-07T23:28:51
142,FKID000142,water_logging,ORR East 1,49.972616783333336,1.0,False,2024-03-07T23:17:27
143,FKID000143,vehicle_breakdown,Mysore Road,111.6212591,1.0,False,2024-03-07T23:36:30
144,FKID000144,tree_fall,Mysore Road,13118.919869416666,0.48999999999999994,False,2024-03-07T23:41:21
145,FKID000145,road_conditions,ORR West 1,56341.49851448333,1.0,False,2024-01-31T21:52:18
146,FKID000146,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-31T21:09:52
147,FKID000147,road_conditions,ORR West 1,,1.0,False,2024-01-31T21:59:26
148,FKID000148,road_conditions,ORR West 1,,1.0,False,2024-01-31T21:33:45
149,FKID000149,vehicle_breakdown,Bannerghata Road,,1.0,False,2024-01-31T19:00:04
150,FKID000150,vehicle_breakdown,Mysore Road,,1.0,False,2024-01-31T21:03:56
151,FKID000151,tree_fall,Non-corridor,,1.0,False,2024-03-07T23:51:40
152,FKID000152,vehicle_breakdown,ORR East 1,,1.0,False,2024-01-31T22:01:00
153,FKID000153,road_conditions,ORR West 1,,1.0,False,2024-01-31T22:04:51
154,FKID000154,road_conditions,ORR West 1,,1.0,False,2024-01-31T22:05:42
155,FKID000155,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-31T20:27:48
156,FKID000156,vehicle_breakdown,Tumkur Road,,1.0,False,2024-01-31T20:30:44
157,FKID000157,vehicle_breakdown,Hosur Road,52.83199456666667,1.0,False,2024-03-08T00:00:08
158,FKID000158,construction,Old Madras Road,-238.74893333333333,1.0,False,2024-01-31T22:25:30
159,FKID000159,water_logging,ORR East 1,9653.8610076,1.0,False,2024-01-25T06:56:05
160,FKID000160,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T22:13:12
161,FKID000161,others,Non-corridor,81.46960444999999,1.0,False,2024-03-08T00:49:05
162,FKID000162,others,Mysore Road,15.3042995,1.0,False,2024-01-31T23:11:54
163,FKID000163,tree_fall,Non-corridor,178.15932105,1.0,False,2024-03-08T00:28:29
164,FKID000164,pot_holes,Non-corridor,94064.39405434999,0.48999999999999994,False,2024-01-31T23:07:48
165,FKID000165,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-07T21:42:50
166,FKID000166,construction,Bellary Road 2,31.910260883333333,1.0,False,2024-02-01T00:08:01
167,FKID000167,vehicle_breakdown,Tumkur Road,,1.0,False,2024-03-07T22:03:06
168,FKID000168,pot_holes,Non-corridor,1510.57253935,1.0,False,2023-11-20T21:45:57
169,FKID000169,pot_holes,Magadi Road,,1.0,False,2024-03-08T00:54:08
170,FKID000170,vehicle_breakdown,ORR East 1,,1.0,False,2024-01-31T22:05:15
171,FKID000171,vehicle_breakdown,Non-corridor,11.80107465,1.0,False,2024-02-01T00:57:55
172,FKID000172,vehicle_breakdown,Magadi Road,24.504338233333332,1.0,False,2024-03-08T01:06:29
173,FKID000173,vehicle_breakdown,Mysore Road,,1.0,False,2024-02-01T01:26:42
174,FKID000174,tree_fall,Non-corridor,1228.0686473666667,1.0,False,2024-03-07T05:51:32
175,FKID000175,vehicle_breakdown,ORR East 1,,1.0,False,2024-01-31T23:49:58
176,FKID000176,vehicle_breakdown,Tumkur Road,86.29591815,1.0,False,2024-02-01T01:56:47
177,FKID000177,vehicle_breakdown,Mysore Road,,1.0,False,2024-03-08T02:36:35
178,FKID000178,vehicle_breakdown,Hosur Road,,1.0,False,2024-02-01T00:09:08
179,FKID000179,vehicle_breakdown,Hosur Road,,1.0,False,2024-02-01T00:15:20
180,FKID000180,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T00:50:48
181,FKID000181,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T01:32:01
182,FKID000182,vehicle_breakdown,Hosur Road,,1.0,False,2024-02-01T00:17:50
183,FKID000183,vehicle_breakdown,ORR North 1,18.84050655,1.0,False,2024-02-01T02:41:28
184,FKID000184,vehicle_breakdown,Bellary Road 1,23.641425966666667,1.0,False,2024-02-01T03:01:29
185,FKID000185,vehicle_breakdown,Tumkur Road,36.504006333333336,1.0,False,2024-03-08T04:17:45
186,FKID000186,vehicle_breakdown,Mysore Road,23.382822833333332,1.0,False,2024-03-08T04:15:18
187,FKID000187,vehicle_breakdown,Non-corridor,104.21347743333334,1.0,False,2024-03-08T04:24:30
188,FKID000188,vehicle_breakdown,Bellary Road 1,86.29412574999999,1.0,False,2024-02-01T02:03:46
189,FKID000189,vehicle_breakdown,Old Airport Road,70.8526748,1.0,False,2024-03-08T04:27:41
190,FKID000190,vehicle_breakdown,Bellary Road 2,,1.0,False,2024-02-01T03:27:29
191,FKID000191,vehicle_breakdown,Bellary Road 2,,1.0,False,2024-02-01T04:08:09
192,FKID000192,construction,Non-corridor,0.08095000000000001,1.0,False,2024-03-08T04:32:41
193,FKID000193,road_conditions,CBD 2,,1.0,False,2024-03-08T04:58:30
194,FKID000194,vehicle_breakdown,West of Chord Road,,1.0,False,2024-03-08T01:46:33
195,FKID000195,road_conditions,CBD 2,,1.0,False,2024-03-08T04:59:43
196,FKID000196,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T05:04:48
197,FKID000197,vehicle_breakdown,Magadi Road,72.9697583,1.0,False,2024-03-08T04:03:17
198,FKID000198,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-01T02:28:23
199,FKID000199,construction,Bellary Road 2,60.798384383333335,1.0,False,2024-02-01T04:22:39
200,FKID000200,vehicle_breakdown,West of Chord Road,,1.0,False,2024-02-01T01:44:18
201,FKID000201,road_conditions,CBD 2,40387.38096753333,1.0,False,2024-03-08T05:08:03
202,FKID000202,others,Bannerghata Road,119.59072880000001,1.0,False,2024-02-01T05:05:45
203,FKID000203,vehicle_breakdown,Non-corridor,78.98550595,1.0,False,2024-02-01T03:56:43
204,FKID000204,vehicle_breakdown,Tumkur Road,,1.0,False,2024-02-01T02:49:21
205,FKID000205,vehicle_breakdown,ORR North 2,138.03128305,1.0,False,2024-03-08T05:42:27
206,FKID000206,vehicle_breakdown,Old Airport Road,28.376774483333335,1.0,False,2024-02-01T05:57:58
207,FKID000207,congestion,ORR North 2,,0.7,False,2024-02-01T06:03:02
208,FKID000208,vehicle_breakdown,Non-corridor,93.05635131666666,1.0,False,2024-03-08T05:42:59
209,FKID000209,others,Magadi Road,16403.151545516666,0.7,False,2024-01-20T21:09:19
210,FKID000210,vehicle_breakdown,Magadi Road,,1.0,False,2024-02-01T06:32:32
211,FKID000211,vehicle_breakdown,Mysore Road,,1.0,False,2024-02-01T03:57:38
212,FKID000212,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T05:45:36
213,FKID000213,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-02-01T03:36:55
214,FKID000214,vehicle_breakdown,Hosur Road,11.49699995,1.0,False,2024-02-01T06:35:40
215,FKID000215,pot_holes,Non-corridor,31510.201385300003,1.0,False,2024-01-14T02:50:56
216,FKID000216,construction,Non-corridor,9655.520589099999,0.7,False,2024-03-08T05:53:36
217,FKID000217,vehicle_breakdown,Mysore Road,66.23017465000001,1.0,False,2024-02-01T07:13:22
218,FKID000218,others,Non-corridor,199.88949181666666,1.0,False,2024-03-08T06:26:58
219,FKID000219,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-01T07:57:15
220,FKID000220,construction,Non-corridor,,1.0,False,2024-02-01T06:49:09
221,FKID000221,congestion,ORR North 2,,0.7,False,2024-02-01T06:03:02
222,FKID000222,pot_holes,Non-corridor,,1.0,False,2023-12-16T01:26:17
223,FKID000223,pot_holes,Non-corridor,,1.0,False,2023-12-16T01:27:08
224,FKID000224,vehicle_breakdown,Hosur Road,75.03727443333334,1.0,False,2024-02-01T08:30:57
225,FKID000225,vehicle_breakdown,Old Madras Road,,0.7,False,2024-02-01T08:47:59
226,FKID000226,others,Hennur Main Road,43.87439846666667,1.0,False,2024-03-08T06:28:21
227,FKID000227,pot_holes,Non-corridor,11562.4573284,1.0,False,2023-12-15T22:52:53
228,FKID000228,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T04:01:39
229,FKID000229,construction,Mysore Road,0.07918333333333334,0.7,False,2024-02-01T11:31:41
230,FKID000230,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T03:36:31
231,FKID000231,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-01T13:45:42
232,FKID000232,vehicle_breakdown,ORR West 1,,1.0,False,2024-02-01T15:10:23
233,FKID000233,vehicle_breakdown,Bellary Road 2,,1.0,False,2024-02-01T18:55:39
234,FKID000234,vehicle_breakdown,Tumkur Road,22.174727083333334,1.0,False,2024-02-01T20:14:54
235,FKID000235,construction,ORR East 2,746.7284166666667,1.0,False,2024-02-01T20:39:02
236,FKID000236,pot_holes,Non-corridor,11560.307439216667,1.0,False,2023-12-15T22:54:47
237,FKID000237,pot_holes,Non-corridor,,1.0,False,2023-12-16T19:46:56
238,FKID000238,pot_holes,Non-corridor,,1.0,False,2023-12-18T23:52:53
239,FKID000239,pot_holes,Non-corridor,,1.0,False,2023-12-18T23:53:46
240,FKID000240,pot_holes,Non-corridor,,1.0,False,2023-12-18T23:58:28
241,FKID000241,vip_movement,Mysore Road,20.98006666666667,1.0,True,2024-02-01T20:44:47
242,FKID000242,pot_holes,Non-corridor,,1.0,False,2023-12-30T23:31:22
243,FKID000243,tree_fall,Non-corridor,105.48940756666666,0.7,False,2024-03-08T07:07:56
244,FKID000244,tree_fall,Non-corridor,2198.129693766667,1.0,False,2024-03-08T07:16:00
245,FKID000245,vehicle_breakdown,Mysore Road,57.51257438333334,1.0,False,2024-02-01T21:00:35
246,FKID000246,tree_fall,Non-corridor,2195.455855816667,1.0,False,2024-03-08T07:18:53
247,FKID000247,congestion,ORR North 2,,0.7,False,2024-03-08T05:15:07
248,FKID000248,vehicle_breakdown,Tumkur Road,,1.0,False,2024-02-01T22:32:32
249,FKID000249,vehicle_breakdown,Tumkur Road,33.33879541666667,1.0,False,2024-02-01T21:11:45
250,FKID000250,vehicle_breakdown,Mysore Road,39.6093981,1.0,False,2024-03-08T07:25:21
251,FKID000251,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-01T20:02:06
252,FKID000252,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-01T21:24:54
253,FKID000253,construction,Non-corridor,0.35335,0.7,False,2024-02-01T22:12:24
254,FKID000254,vehicle_breakdown,Tumkur Road,10.150965166666667,1.0,False,2024-03-08T07:56:14
255,FKID000255,tree_fall,Non-corridor,66.3340463,1.0,False,2024-03-08T08:06:30
256,FKID000256,vehicle_breakdown,ORR East 1,19.115834,1.0,False,2024-02-01T23:19:25
257,FKID000257,tree_fall,Non-corridor,64.12170315,1.0,False,2024-03-08T08:01:56
258,FKID000258,pot_holes,Non-corridor,,1.0,False,2024-02-02T00:30:21
259,FKID000259,congestion,Magadi Road,,0.7,False,2024-02-02T00:30:11
260,FKID000260,others,Non-corridor,42.96236663333333,1.0,False,2024-02-02T01:06:28
261,FKID000261,tree_fall,Non-corridor,,0.7,False,2024-03-08T08:31:11
262,FKID000262,vehicle_breakdown,ORR North 1,,0.7,False,2024-02-01T22:45:52
263,FKID000263,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-01T22:51:43
264,FKID000264,road_conditions,Non-corridor,1107.1190462833333,1.0,False,2024-02-02T04:22:15
265,FKID000265,others,Non-corridor,87.31756581666667,1.0,False,2024-02-02T03:37:48
266,FKID000266,vehicle_breakdown,Mysore Road,,1.0,False,2024-02-02T04:38:43
267,FKID000267,vehicle_breakdown,Mysore Road,66.13607151666666,1.0,False,2024-03-08T08:45:13
268,FKID000268,vehicle_breakdown,ORR East 1,13.551236183333334,1.0,False,2024-02-02T04:47:47
269,FKID000269,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-03-08T08:50:37
270,FKID000270,vehicle_breakdown,West of Chord Road,,1.0,False,2024-02-02T05:34:14
271,FKID000271,vehicle_breakdown,Tumkur Road,30.63011775,1.0,False,2024-02-02T05:02:28
272,FKID000272,vehicle_breakdown,ORR East 1,,1.0,False,2024-02-02T06:49:06
273,FKID000273,vehicle_breakdown,Non-corridor,18.7735204,1.0,False,2024-02-02T06:42:32
274,FKID000274,vehicle_breakdown,Non-corridor,77.0688961,1.0,False,2024-02-02T06:51:47
275,FKID000275,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-02T05:36:40
276,FKID000276,water_logging,Old Airport Road,,1.0,False,2024-03-08T09:00:32
277,FKID000277,accident,Bellary Road 2,,0.7,False,2024-02-02T06:54:48
278,FKID000278,congestion,ORR North 2,,0.7,False,2024-02-02T05:12:38
279,FKID000279,vehicle_breakdown,West of Chord Road,,1.0,False,2024-02-02T04:55:44
280,FKID000280,vehicle_breakdown,Mysore Road,,1.0,False,2024-02-02T04:57:32
281,FKID000281,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-02-02T05:31:46
282,FKID000282,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-03-08T07:48:44
283,FKID000283,water_logging,Non-corridor,820.8788695333334,1.0,False,2024-03-08T09:08:49
284,FKID000284,vehicle_breakdown,Non-corridor,,0.7,False,2024-03-08T13:02:08
285,FKID000285,pot_holes,Non-corridor,65572.5368325,0.7,False,2024-02-02T07:57:33
286,FKID000286,construction,ORR East 1,19427.48784265,0.7,False,2024-01-19T20:15:08
287,FKID000287,others,Non-corridor,101592.23127151668,0.48999999999999994,False,2024-02-02T08:33:26
288,FKID000288,construction,Non-corridor,,0.7,False,2024-03-08T13:11:59
289,FKID000289,others,Non-corridor,,1.0,False,2024-03-08T14:11:12
290,FKID000290,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-02-02T07:42:01
291,FKID000291,accident,Bellary Road 1,,0.7,False,2024-02-02T09:17:41
292,FKID000292,vehicle_breakdown,Non-corridor,,1.0,False,2024-03-08T14:24:25
293,FKID000293,others,Non-corridor,,1.0,False,2024-02-02T11:21:15
294,FKID000294,others,Non-corridor,25.367629383333334,1.0,False,2024-02-02T10:56:03
295,FKID000295,others,Non-corridor,,1.0,False,2024-02-02T11:22:34
296,FKID000296,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-02T08:38:31
297,FKID000297,vehicle_breakdown,Non-corridor,,1.0,False,2024-02-02T08:43:16
298,FKID000298,others,Non-corridor,,1.0,False,2024-02-02T11:19:48
299,FKID000299,vehicle_breakdown,Mysore Road,15.771932999999999,1.0,False,2024-03-08T18:19:44
300,FKID000300,vehicle_breakdown,Tumkur Road,,1.0,False,2024-02-02T11:54:49
301,FKID000301,accident,Old Airport Road,35.956496816666665,1.0,False,2024-02-02T19:05:48
302,FKID000302,others,Tumkur Road,,1.0,False,2024-02-02T18:51:14
303,FKID000303,vehicle_breakdown,Old Airport Road,27.47141106666667,1.0,False,2024-02-02T19:27:18
