grid_time_utc,zone,risk_score,confidence,persistence_class,Slope_z,recommended_action,action_label,ERI_3h,ERI_6h,ERI_9h,prob_bin_hawkes_3h,SSC_norm,south_zone_2_note
2024-01-01T16:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.586),escalating,1.1179,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0739,1.0201,1.1918,0.0484,0.5282,
2024-01-16T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.578),escalating,1.1683,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0235,0.8043,1.1918,0.0154,0.5282,
2024-01-17T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
2024-01-18T15:00:00+00:00,East Zone 2,1.1918,narrow (CI half=0.575),escalating,1.184,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1918,0.0051,0.5282,
2024-01-01T15:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.575),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.8043,1.1439,0.0051,0.5282,
2024-01-03T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.490),escalating,1.1194,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.1964,1.1439,0.016,0.5282,
2024-01-03T14:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.556),escalating,1.1194,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.5891,1.1439,0.016,0.5282,
2024-01-04T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.488),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.1964,1.1439,0.0051,0.5282,
2024-01-04T14:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.553),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.5891,1.1439,0.0051,0.5282,
2024-01-05T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.488),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.1964,1.1439,0.0051,0.5282,
2024-01-05T14:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.553),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.5891,1.1439,0.0051,0.5282,
2024-01-06T16:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.587),escalating,1.0655,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0785,1.0201,1.1439,0.0513,0.5282,
2024-01-07T16:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.587),escalating,1.0655,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0785,1.0201,1.1439,0.0513,0.5282,
2024-01-08T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.488),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.1964,1.1439,0.0051,0.5282,
2024-01-08T14:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.553),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.5891,1.1439,0.0051,0.5282,
2024-01-09T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.490),escalating,1.1194,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.1964,1.1439,0.016,0.5282,
2024-01-09T14:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.556),escalating,1.1194,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.5891,1.1439,0.016,0.5282,
2024-01-10T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.490),escalating,1.1194,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.1964,1.1439,0.016,0.5282,
2024-01-10T14:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.556),escalating,1.1194,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0245,0.5891,1.1439,0.016,0.5282,
2024-01-11T13:00:00+00:00,East Zone 2,1.1439,narrow (CI half=0.488),escalating,1.1362,escalate_supervision,Senior officer response required; activate diversion plan immediately,0.0078,0.1964,1.1439,0.0051,0.5282,
