junction,hotspot_probability,bootstrap_samples
BhashyamCircle,0.582010582010582,189
KIMCO Junction,0.58,200
GangammagudiJunc,0.5778894472361809,199
TrinityCircle,0.565,200
SadashivnagarJunc,0.56,200
27th Cross Jayanagar(Ganapathi Temple),0.5597014925373134,134
KoramangalaWaterTankJunc,0.545,200
NagaTheaterJunc-Ulsoor,0.5447761194029851,134
SatteliteBusStandJunc,0.535,200
GokuldasImagesJunc,0.525,200
HennurRd-DavisRdJunction,0.525,200
YelhankaCircle,0.515,200
N R SquareJunc,0.505,200
BTM16thMain-ORR Junc,0.495,200
MaharajaJunction,0.4911242603550296,169
BucheryJunction,0.48,200
ShivanahalliJunctionWOC,0.47959183673469385,196
5thMainHSR,0.46524064171123,187
PotteryCircle,0.45454545454545453,198
AnjaneyaTempleJunc,0.453125,192
PrasannaJunction,0.45,200
JaiMuniRaoCircle,0.45,200
HebbalFlyoverJunc,0.445,200
UlsoorGateJunc,0.44,200
TVS CrossJunction,0.43884892086330934,139
ThomasCafe-New,0.43859649122807015,114
DevangaHostelJunction,0.43147208121827413,197
Shivashankara circle,0.4263959390862944,197
MC Circle,0.42424242424242425,198
Rajajinagagr1stBlockJunction,0.4044943820224719,178
JalahalliCross(SM Circle),0.395,200
RajarajeshwariKalyanaMantapaJunc,0.3821138211382114,123
HainsJunc,0.37185929648241206,199
RamaiahCircle-UlsoorPoliceStation,0.37,200
KR Road-14thCross Junc,0.36885245901639346,122
ColesParkJunc,0.366412213740458,131
KHB Junction,0.3609022556390977,133
SonyworldJunction,0.35751295336787564,193
WebbsCircle,0.35714285714285715,196
PuttammaChoultryNagarbhavi,0.3463687150837989,179
CIL CrossJunction-JayamahalRd,0.3401015228426396,197
BegumMahalJunc,0.3384615384615385,195
OldMadrasRd-BMTC DepotJunc,0.33070866141732286,127
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.32,200
BDA Junctio-Koramangala,0.31,200
Arbindo Circle,0.31,200
OldMadrasRd-DoubleRdJunc,0.3072916666666667,192
AttiguppeCircleJunction,0.30656934306569344,137
"VeerannapalyaJunction(BEL,HO)",0.295,200
BhashyamCircle-SadashivNagar,0.29081632653061223,196
MotherTeressaCircle,0.285,200
17th Mn 1st Crs Aishwarya Stores Jn,0.27611940298507465,134
AgaraJunction,0.271356783919598,199
SwagathMainRd-EastEndRdJunc,0.25882352941176473,170
FTI Junction(KanteeravaStudio),0.255,200
Minerva Circle,0.24848484848484848,165
GorappanapalyaJunction,0.23636363636363636,110
Arts&CraftsCircle,0.23295454545454544,176
KatriguppeJunction,0.22,200
CholurpalyaJunction(MagadiRd),0.2155688622754491,167
28thMainJayanagarJunc,0.215,200
AyyappaTempleJunc,0.21,200
TyagiHengalvarayaJunc(DickensonRd),0.20304568527918782,197
Basappa Circle Junction,0.19270833333333334,192
BasavamantapaJunc-Dr RajkumarRd,0.19186046511627908,172
NavarangBarJunc-Dr RajkumarRd,0.1781609195402299,174
BEML GateJunc(SuranjandasRd),0.17613636363636365,176
ISRO Junction-NewBEL Rd,0.17293233082706766,133
NTTF JunctionPeenya,0.16470588235294117,170
KuvempuCircle,0.1641025641025641,195
5thMainRPC Layout-Vijayanagar,0.16062176165803108,193
Dr RajkumarRd-10thCrossRdJunc,0.16,200
YediyurMeternityHospital,0.15702479338842976,121
ItmaduJunction,0.15577889447236182,199
MS RamaiahJunc(TollGate),0.155,200
OperaHouseJunc,0.15,200
UCO Bank(Forum),0.14857142857142858,175
PoliceCornerJunc,0.145,200
MarenahalliRd-18thMainRdJunc,0.13068181818181818,176
OldMadrasRd-80FeetRdJunc,0.1306532663316583,199
ASC Junction,0.12637362637362637,182
MysoreRd-RingRdJunc(Nayandanahallii),0.125,200
Fire Force Junction,0.12138728323699421,173
HudsonCircle,0.12,200
ISRO Junction-Airport rd,0.115,200
MahalaxmiLayoutEntranceJunc,0.11,200
NGV RearGateJunc,0.10285714285714286,175
Geethanjali jn,0.10240963855421686,166
Marigowda-TavarkereRdJunc,0.1,200
"Jayanagar 4th main,36th cross",0.09248554913294797,173
BM ShriJunc(CMH-100FtRd)Junc,0.08854166666666667,192
Bamboobazar(Shivajinagar),0.08522727272727272,176
BanashankariBusStandJunc,0.085,200
Srigandakaval,0.08,200
BigBazaarJunction(OldMadrasRd),0.075,200
KadirenahalliJunction,0.075,200
GovindapuraCross,0.07352941176470588,136
GarebhavipalyaJunc,0.07179487179487179,195
Malleswaram18thCrossRd-SampigeRdJunc,0.0707070707070707,198
CommandoHospitalJunc,0.07035175879396985,199
NCERT Junction,0.0703125,128
IbblurJunction',0.07,200
LalbaghMainGateJunc,0.06532663316582915,199
JP Nagar 9th cross-24th main jn,0.06532663316582915,199
JP Nagar 15th cross junction,0.065,200
RRR(Okalipuram)Junction,0.06030150753768844,199
Basveshwarnagar 8th main Junction,0.056451612903225805,124
KCG HospitalJunction,0.05555555555555555,180
Sumanhalli,0.055,200
HesaraghattaJunction,0.055,200
Kammanahalli-RingRoadJunction,0.050761421319796954,197
RajeshwariJunc,0.05,200
WilsonGarden12thCrossJunc,0.05,200
Dr TCM RoyanRd near AmbedkarStatue,0.05,200
Shivajinagar(BRV)Junction,0.05,200
BhadrappaLayout,0.047619047619047616,168
SafinaPlazaJunc,0.047244094488188976,127
Kudlu Gate Junc,0.04522613065326633,199
Ashoknagar Junction(ShoolayCircle),0.04522613065326633,199
Bommanahalli,0.045,200
StateBankofMysoreJunc,0.045,200
MintoJunction,0.04020100502512563,199
CMP GateJunc,0.04,200
TataInstituteCircle,0.04,200
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.04,200
HosmatJunction,0.03684210526315789,190
MICO Bande,0.035,200
AshirwadamCircle,0.035,200
TumkurRdMarappanapalyaJunc,0.035,200
SirsiCircle,0.035,200
D'SouzaCircle,0.030612244897959183,196
SagarHospitalJunc,0.02512562814070352,199
KamakyaJunction,0.024,125
HSR14thMainJunc,0.020833333333333332,192
TC Palya-OM RoadJunc,0.020202020202020204,198
OldPoliceStation-Ashoknagar,0.020100502512562814,199
ArakereGateJunc,0.02,200
Nagavara-ORR Junction,0.02,200
Nagarbhavi,0.02,200
NIMHANS Junction,0.02,200
HoodiJunction,0.02,200
Peenya2ndStageBusStand,0.017341040462427744,173
DoddaballapuraCrossJunc,0.015789473684210527,190
LowerAgaram(IndiaGarage)Junc,0.015625,192
NandiCross(RaniCross),0.015463917525773196,194
WilsonGarden10thCrossJunc,0.01507537688442211,199
UttarahalliJunction,0.015,200
DomlurWaterTank,0.015,200
Peenya14thCrossJunc,0.014705882352941176,136
"Trilight Circle,Race course Road",0.011695906432748537,171
Indiranasgar13thMainJunc,0.011695906432748537,171
DairyCircle,0.01015228426395939,197
A S CharStreet-MysoreRdJunc,0.010101010101010102,198
SagarTheatreJunc,0.010050251256281407,199
RingRoad-UllalJunction,0.010050251256281407,199
PurnimaTheaterJunc,0.01,200
SadahalliGateJunc(AirportRd),0.01,200
SiddalingaiahCircle,0.01,200
MekhriCircle,0.01,200
BiryandCircle,0.01,200
ESI(k r puram),0.008620689655172414,116
Devanahalli new bus stand,0.0078125,128
AdugodiJunc,0.0055248618784530384,181
JohnsonMarket,0.0051813471502590676,193
J D MaraJunc,0.005154639175257732,194
MysoreRd--MadhuPetrolBunkJunction,0.005050505050505051,198
VetenaryHospitalJunc-Shivajinagar,0.005050505050505051,198
UrvashiJunction,0.005025125628140704,199
MargosaRd-18thCrossJunc,0.005025125628140704,199
ShivajiTalkiesJunc,0.005025125628140704,199
BasaweshwaraCircle,0.005025125628140704,199
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),0.005,200
CID-CarltonHouseJunc,0.005,200
Ring road-Near Kengunte Junction,0.005,200
BigBazaar(Whitefield)Junc,0.005,200
HopefarmJunction,0.005,200
BEL Circle,0.005,200
AnilKumbleCircle,0.005,200
KrishnaFlourMill,0.0,200
QueensStatueCircle,0.0,200
GopalGowdaJUnc,0.0,189
HennurRoad-ORR Junc,0.0,200
TownhallJunction,0.0,200
SubbannaJunction,0.0,200
SubedarChatramRd near SheshadripuramPS,0.0,200
CoffeeBoardJunc,0.0,200
LeprosyhospitalJunc,0.0,200
KarnatakaBhavanJunction,0.0,200
IndianExpressJunction,0.0,200
MinskSquare(CTO Junction),0.0,200
KalyanNagar-ORR Junc,0.0,200
RoyanCircle-Chamrajpete,0.0,139
YeshwanthpuraCircle,0.0,200
VishweswaraiahJunctio(Uttamsagar),0.0,130
BHEL Gate,0.0,116
ShantalaJunction,0.0,200
KhodaysCircle(DV UrsCircle),0.0,200
K R Circle,0.0,200
UniversityJunc(Janabharti),0.0,200
AnandRaoJunction,0.0,200
PlatformRdJunction,0.0,199
BMTCJunction-K H Road,0.0,200
KundanahalliGateJunc,0.0,200
Richmond circle jn,0.0,200
AnepalyaJunc,0.0,200
LRDE Junction,0.0,200
CashPharmacyJunction,0.0,192
K G Junction,0.0,133
OldMadrasRd-NGEF Junc,0.0,200
NaganathapuraJunction,0.0,200
OldMadrasRd-SuddaguntepalyaRdJunc,0.0,198
HulimaveRd-BanneraghattaRdJunc,0.0,200
KonanakunteJunction(KanakapurarRd),0.0,199
DevanahalliCrossJunc,0.0,175
ShivandaCircle,0.0,200
"Bellandur Junction, Outer ring road",0.0,189
Delmia-Jayanagar,0.0,192
Jaipuria-Adugodi,0.0,198
SiddapuraJunction,0.0,197
DevegowdaPetrolBunkJunc,0.0,174
RajajinagarEntranceJunction,0.0,200
"KuvempuCircleJunc,HAL MainGate",0.0,133
ChandrikaJunction,0.0,169
K R MarketJunction,0.0,200
Deverabeesanahalli-ORR Junc,0.0,200
BilekahalliJunc,0.0,200
RamamurthyNagarJunction,0.0,200
GowdanapalyaJunction,0.0,135
BloodBankCircle,0.0,200
EliteJunc,0.0,198
UpparpetJunction,0.0,169
Devasandra(k r puram),0.0,200
LinkRoadMalleswaramJunc,0.0,192
Kadubeesanahalli-ORR Junc,0.0,200
Yemalur cross junc,0.0,197
MaratahalliBridgeJunc,0.0,200
BrigadeMillenium,0.0,133
HoramavuJunction,0.0,200
MillCornerRd-SampigeRdJunc,0.0,200
MeenakshiMallJunc,0.0,200
ElectronicCityGate-2Junc,0.0,200
VeerasandraGateJunction,0.0,200
PoliceTimmaiahCircle(GPO),0.0,200
BinnyMillJunction,0.0,200
KanakapuraRd-RingRdJunction,0.0,200
