junction,dis_score,route_rank,route_label,diversion_corridor,diversion_path,path_weight,estimated_additional_time_min,obi_cost,future_cost,hawkes_cost,rmst_cost,obi_component,hawkes_component,future_risk_component,route_cost,recommendation_label,routing_method
GokuldasImagesJunc,81.95,1,Route A (best),MarenahalliRd-18thMainRdJunc,HesaraghattaJunction|MarenahalliRd-18thMainRdJunc,0.4064,6.1,0.0793,0.0022,0.5,0.6761,0.0793,0.5,0.0022,0.4064,Route A (best),dijkstra
GokuldasImagesJunc,81.95,2,Route B,NGV RearGateJunc,HesaraghattaJunction|NGV RearGateJunc,0.4079,6.1,0.0877,0.0009,0.5,0.6761,0.0877,0.5,0.0009,0.4079,Route B,dijkstra
GokuldasImagesJunc,81.95,3,Route C,KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,0.1109,0.0019,0.5,0.2932,0.1109,0.5,0.0019,0.4241,Route C,dijkstra
MekhriCircle,80.3,1,Route A (best),KR Road-14thCross Junc,MotherTeressaCircle|KR Road-14thCross Junc,0.303,4.5,0.0796,0.0012,0.5,0.6761,0.0796,0.5,0.0012,0.303,Route A (best),dijkstra
MekhriCircle,80.3,2,Route B,Kadubeesanahalli-ORR Junc,NagaTheaterJunc-Ulsoor|Kadubeesanahalli-ORR Junc,0.3325,5.0,0.3694,0.4206,0.5,0.7114,0.3694,0.5,0.4206,0.3325,Route B,dijkstra
MekhriCircle,80.3,3,Route C,SiddalingaiahCircle,MotherTeressaCircle|SiddalingaiahCircle,0.4027,6.0,0.426,0.2368,0.5,0.5777,0.426,0.5,0.2368,0.4027,Route C,dijkstra
toll gate mysore road,78.72,1,Route A (best),PoliceCornerJunc,TownhallJunction|PoliceCornerJunc,0.5877,8.8,0.6198,0.5597,0.0,0.6269,0.6198,0.0,0.5597,0.5877,Route A (best),dijkstra
toll gate mysore road,78.72,2,Route B,TC Palya-OM RoadJunc,TownhallJunction|PoliceCornerJunc|TC Palya-OM RoadJunc,0.9397,14.1,0.0884,0.0083,0.5,0.6761,0.0884,0.5,0.0083,0.9397,Route B,dijkstra
toll gate mysore road,78.72,3,Route C,DevangaHostelJunction,TownhallJunction|PoliceCornerJunc|DevangaHostelJunction,0.9529,14.3,0.1199,0.0708,0.5,0.6269,0.1199,0.5,0.0708,0.9529,Route C,dijkstra
YeshwanthpuraCircle,77.14,1,Route A (best),JaiMuniRaoCircle,KHB Junction|JaiMuniRaoCircle,0.213,3.2,0.1719,0.1119,0.5,0.2932,0.1719,0.5,0.1119,0.213,Route A (best),dijkstra
YeshwanthpuraCircle,77.14,2,Route B,ISRO Junction-NewBEL Rd,KodigehalliCross|ISRO Junction-NewBEL Rd,0.3314,5.0,0.0808,0.0022,0.5,0.6761,0.0808,0.5,0.0022,0.3314,Route B,dijkstra
YeshwanthpuraCircle,77.14,3,Route C,BasaweshwaraCircle,KodigehalliCross|BasaweshwaraCircle,0.3721,5.6,0.1627,0.1788,0.5,0.6313,0.1627,0.5,0.1788,0.3721,Route C,dijkstra
HesaraghattaJunction,72.59,1,Route A (best),NavarangBarJunc-Dr RajkumarRd,MarenahalliRd-18thMainRdJunc|NavarangBarJunc-Dr RajkumarRd,0.2102,3.2,0.0815,0.0009,0.5,0.6761,0.0815,0.5,0.0009,0.2102,Route A (best),dijkstra
HesaraghattaJunction,72.59,2,Route B,BagalakunteCrossJunction,NGV RearGateJunc|BagalakunteCrossJunction,0.2218,3.3,0.1317,0.0009,0.5,0.6761,0.1317,0.5,0.0009,0.2218,Route B,dijkstra
HesaraghattaJunction,72.59,3,Route C,MaharajaJunction,MarenahalliRd-18thMainRdJunc|NavarangBarJunc-Dr RajkumarRd|MaharajaJunction,0.4205,6.3,0.0802,0.0013,0.5,0.6761,0.0802,0.5,0.0013,0.4205,Route C,dijkstra
BangaloreBodyBuildersJunc,71.39,1,Route A (best),NTTF JunctionPeenya,RajeshwariJunc|NTTF JunctionPeenya,0.3811,5.7,0.0818,0.001,0.5,0.6761,0.0818,0.5,0.001,0.3811,Route A (best),dijkstra
BangaloreBodyBuildersJunc,71.39,2,Route B,Shivajinagar(BRV)Junction,RajeshwariJunc|Shivajinagar(BRV)Junction,0.5078,7.6,0.466,0.3245,0.5,0.7024,0.466,0.5,0.3245,0.5078,Route B,dijkstra
BangaloreBodyBuildersJunc,71.39,3,Route C,PoliceCornerJunc,RajeshwariJunc|PoliceCornerJunc,0.52,7.8,0.6198,0.5597,0.0,0.6269,0.6198,0.0,0.5597,0.52,Route C,dijkstra
GoruguntepalyaJunc,69.62,1,Route A (best),BhadrappaLayout,KuvempuCircle|BhadrappaLayout,0.2085,3.1,0.0662,0.0019,0.5,0.6146,0.0662,0.5,0.0019,0.2085,Route A (best),dijkstra
GoruguntepalyaJunc,69.62,2,Route B,TumkurRdMarappanapalyaJunc,Chokasandra (Tumkur road)|TumkurRdMarappanapalyaJunc,0.5138,7.7,0.5874,0.5299,0.5,0.5903,0.5874,0.5,0.5299,0.5138,Route B,dijkstra
GoruguntepalyaJunc,69.62,3,Route C,HesaraghattaJunction,SRS Peenya Junc|HesaraghattaJunction,0.5495,8.2,0.8558,0.6522,0.0,0.5484,0.8558,0.0,0.6522,0.5495,Route C,dijkstra
YelhankaCircle,69.52,1,Route A (best),HalliThindi,LowerAgaram(IndiaGarage)Junc|HalliThindi,0.2145,3.2,0.0972,0.0019,0.5,0.6761,0.0972,0.5,0.0019,0.2145,Route A (best),dijkstra
YelhankaCircle,69.52,2,Route B,ASC Junction,Basappa Circle Junction|ASC Junction,0.2354,3.5,0.1195,0.1027,0.5,0.6761,0.1195,0.5,0.1027,0.2354,Route B,dijkstra
YelhankaCircle,69.52,3,Route C,BhashyamCircle,ChandraLayoutJunc-nearWaterTank|BhashyamCircle,0.2363,3.5,0.1261,0.0807,0.5,0.718,0.1261,0.5,0.0807,0.2363,Route C,dijkstra
SantheCircle,69.43,1,Route A (best),JakkurCrossJunction,YelhankaBypass|JakkurCrossJunction,0.4907,7.4,0.4753,0.2057,0.5,0.4344,0.4753,0.5,0.2057,0.4907,Route A (best),dijkstra
SantheCircle,69.43,2,Route B,YelhankaCircle,BagalurCrossJunc|YelhankaCircle,0.6243,9.4,0.8191,0.7904,0.0,0.5806,0.8191,0.0,0.7904,0.6243,Route B,dijkstra
SantheCircle,69.43,3,Route C,KogilluCrossJunc,YelhankaBypass|JakkurCrossJunction|KogilluCrossJunc,0.8964,13.4,0.4478,0.2448,0.5,0.4344,0.4478,0.5,0.2448,0.8964,Route C,dijkstra
SilkBoardJunc,66.37,1,Route A (best),IbblurJunction',Deverabeesanahalli-ORR Junc|IbblurJunction',0.3374,5.1,0.2599,0.1308,0.5,0.7467,0.2599,0.5,0.1308,0.3374,Route A (best),dijkstra
SilkBoardJunc,66.37,2,Route B,AnepalyaJunc,Kudlu Gate Junc|AnepalyaJunc,0.3397,5.1,0.3228,0.1026,0.5,0.6903,0.3228,0.5,0.1026,0.3397,Route B,dijkstra
SilkBoardJunc,66.37,3,Route C,NaganathapuraJunction,SarjapurRd-St JohnsRdJunc|NaganathapuraJunction,0.4139,6.2,0.4442,0.3006,0.5,0.6903,0.4442,0.5,0.3006,0.4139,Route C,dijkstra
SRS Peenya Junc,65.27,1,Route A (best),KuvempuCircle,GoruguntepalyaJunc|KuvempuCircle,0.3911,5.9,0.1159,0.0023,0.5,0.6146,0.1159,0.5,0.0023,0.3911,Route A (best),dijkstra
SRS Peenya Junc,65.27,2,Route B,MarenahalliRd-18thMainRdJunc,HesaraghattaJunction|MarenahalliRd-18thMainRdJunc,0.4064,6.1,0.0793,0.0022,0.5,0.6761,0.0793,0.5,0.0022,0.4064,Route B,dijkstra
SRS Peenya Junc,65.27,3,Route C,NGV RearGateJunc,HesaraghattaJunction|NGV RearGateJunc,0.4079,6.1,0.0877,0.0009,0.5,0.6761,0.0877,0.5,0.0009,0.4079,Route C,dijkstra
LeprosyhospitalJunc,64.54,1,Route A (best),Srigandakaval,Sumanhalli|Srigandakaval,0.3815,5.7,0.3072,0.3295,0.5,0.2932,0.3072,0.5,0.3295,0.3815,Route A (best),dijkstra
LeprosyhospitalJunc,64.54,2,Route B,PrasannaJunction,Sumanhalli|Srigandakaval|PrasannaJunction,0.683,10.2,0.1726,0.1119,0.5,0.2932,0.1726,0.5,0.1119,0.683,Route B,dijkstra
LeprosyhospitalJunc,64.54,3,Route C,JaiMuniRaoCircle,Sumanhalli|Srigandakaval|PrasannaJunction|JaiMuniRaoCircle,0.9248,13.9,0.1719,0.1119,0.5,0.2932,0.1719,0.5,0.1119,0.9248,Route C,dijkstra
CMP GateJunc,64.49,1,Route A (best),SarjapurRd-St JohnsRdJunc,NaganathapuraJunction|SarjapurRd-St JohnsRdJunc,0.4139,6.2,0.4154,0.1191,0.5,0.6903,0.4154,0.5,0.1191,0.4139,Route A (best),dijkstra
CMP GateJunc,64.49,2,Route B,AyyappaTempleJunc,Bommanahalli|AyyappaTempleJunc,0.5256,7.9,0.7769,0.5678,0.0,0.7291,0.7769,0.0,0.5678,0.5256,Route B,dijkstra
CMP GateJunc,64.49,3,Route C,SilkBoardJunc,NaganathapuraJunction|SarjapurRd-St JohnsRdJunc|SilkBoardJunc,0.8805,13.2,0.6794,0.662,0.0,0.7185,0.6794,0.0,0.662,0.8805,Route C,dijkstra
YelhankaBypass,63.32,1,Route A (best),KogilluCrossJunc,JakkurCrossJunction|KogilluCrossJunc,0.4056,6.1,0.4478,0.2448,0.5,0.4344,0.4478,0.5,0.2448,0.4056,Route A (best),dijkstra
YelhankaBypass,63.32,2,Route B,BagalurCrossJunc,SantheCircle|BagalurCrossJunc,0.5482,8.2,0.7984,0.81,0.0,0.4344,0.7984,0.0,0.81,0.5482,Route B,dijkstra
YelhankaBypass,63.32,3,Route C,Batrayanapura(Amrutahalli)Junction,JakkurCrossJunction|KogilluCrossJunc|Batrayanapura(Amrutahalli)Junction,0.836,12.5,0.5242,0.3054,0.5,0.4344,0.5242,0.5,0.3054,0.836,Route C,dijkstra
Devasandra(k r puram),62.72,1,Route A (best),KrishnaFlourMill,KhodaysCircle(DV UrsCircle)|KrishnaFlourMill,0.3778,5.7,0.2121,0.2537,0.5,0.6761,0.2121,0.5,0.2537,0.3778,Route A (best),dijkstra
Devasandra(k r puram),62.72,2,Route B,UttarahalliJunction,KhodaysCircle(DV UrsCircle)|KrishnaFlourMill|UttarahalliJunction,0.7357,11.0,0.2616,0.3165,0.5,0.6761,0.2616,0.5,0.3165,0.7357,Route B,dijkstra
Devasandra(k r puram),62.72,3,Route C,ShantalaJunction,KhodaysCircle(DV UrsCircle)|KrishnaFlourMill|UttarahalliJunction|ShantalaJunction,1.0941,16.4,0.2299,0.2335,0.5,0.6761,0.2299,0.5,0.2335,1.0941,Route C,dijkstra
AyyappaTempleJunc,60.46,1,Route A (best),BM ShriJunc(CMH-100FtRd)Junc,Indiranasgar13thMainJunc|BM ShriJunc(CMH-100FtRd)Junc,0.2624,3.9,0.1763,0.002,0.5,0.821,0.1763,0.5,0.002,0.2624,Route A (best),dijkstra
AyyappaTempleJunc,60.46,2,Route B,AgaraJunction,DickensonRd-AdigasJunc|AgaraJunction,0.2632,3.9,0.2285,0.1456,0.5,0.7114,0.2285,0.5,0.1456,0.2632,Route B,dijkstra
AyyappaTempleJunc,60.46,3,Route C,ISRO Junction-NewBEL Rd,KodigehalliCross|ISRO Junction-NewBEL Rd,0.3314,5.0,0.0808,0.0022,0.5,0.6761,0.0808,0.5,0.0022,0.3314,Route C,dijkstra
HudsonCircle,59.8,1,Route A (best),DhobiGhatJunc,KIMCO Junction|DhobiGhatJunc,0.4788,7.2,0.2462,0.1195,0.5,0.7599,0.2462,0.5,0.1195,0.4788,Route A (best),dijkstra
HudsonCircle,59.8,2,Route B,UlsoorGateJunc,KIMCO Junction|UlsoorGateJunc,0.5265,7.9,0.4422,0.2368,0.5,0.5777,0.4422,0.5,0.2368,0.5265,Route B,dijkstra
HudsonCircle,59.8,3,Route C,RajeshwariJunc,BangaloreBodyBuildersJunc|RajeshwariJunc,0.5738,8.6,0.7201,0.6361,0.0,0.6269,0.7201,0.0,0.6361,0.5738,Route C,dijkstra
IndianExpressJunction,59.33,1,Route A (best),"Trilight Circle,Race course Road","ChandrikaJunction|Trilight Circle,Race course Road",0.2143,3.2,0.0861,0.001,0.5,0.6761,0.0861,0.5,0.001,0.2143,Route A (best),dijkstra
IndianExpressJunction,59.33,2,Route B,SafinaPlazaJunc,Shivajinagar(BRV)Junction|SafinaPlazaJunc,0.3339,5.0,0.0823,0.0003,0.5,0.6076,0.0823,0.5,0.0003,0.3339,Route B,dijkstra
IndianExpressJunction,59.33,3,Route C,TyagiHengalvarayaJunc(DickensonRd),Shivajinagar(BRV)Junction|TyagiHengalvarayaJunc(DickensonRd),0.3588,5.4,0.1424,0.0862,0.5,0.6076,0.1424,0.5,0.0862,0.3588,Route C,dijkstra
Bommanahalli,59.14,1,Route A (best),DickensonRd-AdigasJunc,AyyappaTempleJunc|DickensonRd-AdigasJunc,0.3871,5.8,0.0796,0.0022,0.5,0.6761,0.0796,0.5,0.0022,0.3871,Route A (best),dijkstra
Bommanahalli,59.14,2,Route B,Indiranasgar13thMainJunc,AyyappaTempleJunc|Indiranasgar13thMainJunc,0.4128,6.2,0.1729,0.0008,0.5,0.821,0.1729,0.5,0.0008,0.4128,Route B,dijkstra
Bommanahalli,59.14,3,Route C,NaganathapuraJunction,CMP GateJunc|NaganathapuraJunction,0.4858,7.3,0.4442,0.3006,0.5,0.6903,0.4442,0.5,0.3006,0.4858,Route C,dijkstra
MysoreRd-RingRdJunc(Nayandanahallii),58.61,1,Route A (best),MSRamaiahHospitalJunc,BrigadeMillenium|MSRamaiahHospitalJunc,0.21,3.2,0.0796,0.0022,0.5,0.6761,0.0796,0.5,0.0022,0.21,Route A (best),dijkstra
MysoreRd-RingRdJunc(Nayandanahallii),58.61,2,Route B,Peenya14thCrossJunc,NationalCollege|Peenya14thCrossJunc,0.2157,3.2,0.1077,0.0022,0.5,0.6761,0.1077,0.5,0.0022,0.2157,Route B,dijkstra
MysoreRd-RingRdJunc(Nayandanahallii),58.61,3,Route C,BiryandCircle,A S CharStreet-MysoreRdJunc|BiryandCircle,0.3061,4.6,0.3038,0.0951,0.5,0.5777,0.3038,0.5,0.0951,0.3061,Route C,dijkstra
ISRO Junction-Airport rd,58.46,1,Route A (best),Yemalur cross junc,DomlurWaterTank|Yemalur cross junc,0.2011,3.0,0.0514,0.012,0.5,0.0,0.0514,0.5,0.012,0.2011,Route A (best),dijkstra
ISRO Junction-Airport rd,58.46,2,Route B,D'SouzaCircle,DomlurWaterTank|D'SouzaCircle,0.2413,3.6,0.087,0.0069,0.5,0.6761,0.087,0.5,0.0069,0.2413,Route B,dijkstra
ISRO Junction-Airport rd,58.46,3,Route C,CIL CrossJunction-JayamahalRd,DomlurWaterTank|CIL CrossJunction-JayamahalRd,0.259,3.9,0.1364,0.0593,0.5,0.6761,0.1364,0.5,0.0593,0.259,Route C,dijkstra
BEL Circle,57.96,1,Route A (best),KuvempuCircle,GoruguntepalyaJunc|KuvempuCircle,0.3911,5.9,0.1159,0.0023,0.5,0.6146,0.1159,0.5,0.0023,0.3911,Route A (best),dijkstra
BEL Circle,57.96,2,Route B,Chokasandra (Tumkur road),GoruguntepalyaJunc|Chokasandra (Tumkur road),0.5142,7.7,0.6272,0.2057,0.5,0.4208,0.6272,0.5,0.2057,0.5142,Route B,dijkstra
BEL Circle,57.96,3,Route C,SRS Peenya Junc,GoruguntepalyaJunc|SRS Peenya Junc,0.5299,7.9,0.7399,0.4936,0.0,0.4208,0.7399,0.0,0.4936,0.5299,Route C,dijkstra
RajeshwariJunc,57.84,1,Route A (best),BEML GateJunc(SuranjandasRd),NTTF JunctionPeenya|BEML GateJunc(SuranjandasRd),0.2101,3.2,0.0785,0.0022,0.5,0.6761,0.0785,0.5,0.0022,0.2101,Route A (best),dijkstra
RajeshwariJunc,57.84,2,Route B,SafinaPlazaJunc,Shivajinagar(BRV)Junction|SafinaPlazaJunc,0.3339,5.0,0.0823,0.0003,0.5,0.6076,0.0823,0.5,0.0003,0.3339,Route B,dijkstra
RajeshwariJunc,57.84,3,Route C,TC Palya-OM RoadJunc,PoliceCornerJunc|TC Palya-OM RoadJunc,0.352,5.3,0.0884,0.0083,0.5,0.6761,0.0884,0.5,0.0083,0.352,Route C,dijkstra
Sumanhalli,55.37,1,Route A (best),PrasannaJunction,Srigandakaval|PrasannaJunction,0.3015,4.5,0.1726,0.1119,0.5,0.2932,0.1726,0.5,0.1119,0.3015,Route A (best),dijkstra
Sumanhalli,55.37,2,Route B,JaiMuniRaoCircle,Srigandakaval|PrasannaJunction|JaiMuniRaoCircle,0.5433,8.1,0.1719,0.1119,0.5,0.2932,0.1719,0.5,0.1119,0.5433,Route B,dijkstra
Sumanhalli,55.37,3,Route C,KHB Junction,Srigandakaval|PrasannaJunction|JaiMuniRaoCircle|KHB Junction,0.7562,11.3,0.1109,0.0019,0.5,0.2932,0.1109,0.5,0.0019,0.7562,Route C,dijkstra
