junction,latitude,longitude,raw_count,weighted_intensity,mean_trust,z_score,p_sim,is_significant,hotspot_probability,bootstrap_samples
HesaraghattaJunction,13.045215853333334,77.50743217666667,30,29.7,0.99,0.5821683634084561,0.198,False,0.055,200
TVS CrossJunction,13.0283245,77.5191569,1,1.0,1.0,0.5740635476663362,0.036,True,0.43884892086330934,139
HudsonCircle,12.967816574375,77.590308950625,16,16.0,1.0,0.5475988432022714,0.106,False,0.12,200
K R Circle,12.976696022580645,77.58604781483871,31,29.8,0.9612903225806452,0.5442907551442637,0.228,False,0.0,200
RRR(Okalipuram)Junction,12.9823826,77.56777453333333,6,5.7,0.9500000000000001,0.5391632186543509,0.047,True,0.06030150753768844,199
YeshwanthpuraCircle,13.017761442894736,77.55697258157895,38,37.1,0.9763157894736842,0.522788182767211,0.372,False,0.0,200
AttiguppeCircleJunction,12.9621302,77.5335461,1,1.0,1.0,0.48805325815812584,0.054,False,0.30656934306569344,137
5thMainRPC Layout-Vijayanagar,12.9657814,77.53542256666667,3,3.0,1.0,0.48805325815812584,0.06,False,0.16062176165803108,193
TumkurRdMarappanapalyaJunc,13.018958142857143,77.55314450714286,14,14.0,1.0,0.45662642160704914,0.135,False,0.035,200
TataInstituteCircle,13.014359833333332,77.5655854,12,11.1,0.9249999999999999,0.45166428952003695,0.115,False,0.04,200
GarebhavipalyaJunc,12.893795220000001,77.63690847000001,5,4.1,0.82,0.44140921654021187,0.079,False,0.07179487179487179,195
Kudlu Gate Junc,12.889438966666667,77.6394545,6,6.0,1.0,0.44140921654021187,0.077,False,0.04522613065326633,199
SirsiCircle,12.961263,77.56049068888889,9,8.49,0.9433333333333334,0.43810112848220367,0.106,False,0.035,200
BEL Circle,13.044356544,77.555854144,25,23.59,0.9436,0.4165985561051514,0.263,False,0.005,200
StateBankofMysoreJunc,12.973675366666667,77.582229875,12,12.0,1.0,0.4134558724500438,0.147,False,0.045,200
GovindapuraCross,13.032092,77.6216355,1,1.0,1.0,0.4048548434992224,0.073,False,0.07352941176470588,136
KhodaysCircle(DV UrsCircle),12.980188352173913,77.57155901739131,23,23.0,1.0,0.37888635224385925,0.278,False,0.0,200
Nagavara-ORR Junction,13.039600234375,77.624189735625,32,27.5,0.859375,0.3752474553800501,0.362,False,0.02,200
HebbalFlyoverJunc,13.042259165,77.59092162321429,28,26.08,0.9314285714285714,0.36333833837122104,0.35,False,0.445,200
SubbannaJunction,12.982947461111111,77.57678229777778,9,8.49,0.9433333333333334,0.35374488300299783,0.149,False,0.0,200
HennurRoad-ORR Junc,13.0292207,77.63169948235294,17,15.8,0.9294117647058824,0.3471287068869814,0.207,False,0.0,200
ISRO Junction-NewBEL Rd,13.0351175,77.5677308,1,1.0,1.0,0.3454746628579777,0.092,False,0.17293233082706766,133
ShivajiTalkiesJunc,12.962567871428572,77.58247607142857,7,6.7,0.9571428571428572,0.34415142763477413,0.142,False,0.005025125628140704,199
PlatformRdJunction,12.981695483333333,77.57023611666666,6,6.0,1.0,0.3406779351738658,0.127,False,0.0,199
SiddalingaiahCircle,12.971612360909091,77.59445759545454,11,11.0,1.0,0.33075367099984143,0.169,False,0.01,200
UniversityJunc(Janabharti),12.935896474545455,77.5125528,11,11.0,1.0,0.32579153891282897,0.178,False,0.0,200
Devasandra(k r puram),13.00946257,77.69615677333333,30,28.38,0.946,0.32380668607802454,0.437,False,0.0,200
AnandRaoJunction,12.9813513,77.57418408571428,7,7.0,1.0,0.3206640024229167,0.152,False,0.0,200
PurnimaTheaterJunc,12.96036127625,77.58765571250001,8,8.0,1.0,0.319175362796813,0.148,False,0.01,200
KrishnaFlourMill,12.984845371578947,77.57305116631579,19,18.7,0.9842105263157894,0.31570187033590474,0.287,False,0.0,200
Bommanahalli,12.906963534615384,77.62816493076923,26,25.7,0.9884615384615384,0.31404782630690076,0.386,False,0.045,200
Krupanidhi College,12.92466734,77.62763722,5,5.0,1.0,0.29585334198785596,0.129,False,0.7676767676767676,198
"Trilight Circle,Race course Road",12.984309145000001,77.582696795,2,2.0,1.0,0.29271065833274856,0.117,False,0.011695906432748537,171
Ring road-Near Kengunte Junction,12.959364842857143,77.50398327142857,7,7.0,1.0,0.29271065833274834,0.159,False,0.005,200
RingRoad-UllalJunction,12.95178307142857,77.49974574285714,7,6.1899999999999995,0.8842857142857142,0.29271065833274834,0.153,False,0.010050251256281407,199
GopalGowdaJUnc,12.9785487,77.5911902,3,3.0,1.0,0.28096694572681963,0.123,False,0.0,189
MinskSquare(CTO Junction),12.9816874725,77.59743405750001,8,8.0,1.0,0.25433683685985453,0.196,False,0.0,200
QueensStatueCircle,12.977181917777777,77.59924659111113,9,7.59,0.8433333333333333,0.25433683685985453,0.192,False,0.0,200
Richmond circle jn,12.965108050909093,77.59626807090909,11,10.7,0.9727272727272727,0.25135955760764755,0.225,False,0.0,200
MysoreRd--MadhuPetrolBunkJunction,12.912233975,77.48536440000001,4,3.4,0.85,0.24308933746262712,0.15,False,0.005050505050505051,198
ShantalaJunction,12.974563449333335,77.57028000666668,15,13.5,0.9,0.24126988903072255,0.268,False,0.0,200
ESI(k r puram),12.9930024,77.7063512,1,0.7,0.7,0.2394504405988182,0.131,False,0.008620689655172414,116
MahalaxmiLayoutEntranceJunc,13.009674380000002,77.54884394000001,5,4.7,0.9400000000000001,0.231511029259599,0.175,False,0.11,200
KarnatakaBhavanJunction,12.981451431111111,77.5647627311111,9,8.7,0.9666666666666666,0.22142136068267426,0.226,False,0.0,200
IndianExpressJunction,12.98415381875,77.59736211250001,16,15.7,0.98125,0.21298573613475374,0.328,False,0.0,200
CID-CarltonHouseJunc,12.9803552,77.5863631888889,9,8.4,0.9333333333333333,0.20190364114042667,0.242,False,0.005,200
5thMainHSR,12.916451233333333,77.63131656666667,3,2.7,0.9,0.19661070024761354,0.186,False,0.46524064171123,187
BloodBankCircle,12.962145634,77.594476038,15,14.49,0.966,0.1602217316095249,0.361,False,0.0,200
BhadrappaLayout,13.0466962,77.57735149999999,2,1.49,0.745,0.15823687877471998,0.193,False,0.047619047619047616,168
UCO Bank(Forum),12.933905,77.612605,2,2.0,1.0,0.15559040832831342,0.19,False,0.14857142857142858,175
HoodiJunction,12.992635916666666,77.71575451666666,6,5.1,0.85,0.15013206303260018,0.228,False,0.02,200
BigBazaar(Whitefield)Junc,12.98810970125,77.733229935,8,7.7,0.9625,0.15013206303260018,0.264,False,0.005,200
LeprosyhospitalJunc,12.97553827904762,77.5642398852381,21,20.49,0.9757142857142856,0.14053860766437648,0.498,False,0.0,200
SubedarChatramRd near SheshadripuramPS,12.9875192825,77.57405029,8,7.1899999999999995,0.8987499999999999,0.13871915923247216,0.275,False,0.0,200
BHEL Gate,12.8461033,77.6589267,1,1.0,1.0,0.13574187998026477,0.199,False,0.0,116
ElectronicCityGate-2Junc,12.855327033333333,77.66495454999999,6,5.7,0.9500000000000001,0.13574187998026477,0.258,False,0.0,200
NaganathapuraJunction,12.870339716666665,77.65300454166668,12,11.7,0.975,0.13574187998026477,0.352,False,0.0,200
TC Palya-OM RoadJunc,13.017485675,77.705930225,4,3.49,0.8725,0.13028353468455164,0.237,False,0.020202020202020204,198
Kammanahalli-RingRoadJunction,13.026446400000001,77.63677685,4,3.7,0.925,0.11738199125831987,0.247,False,0.050761421319796954,197
NTTF JunctionPeenya,13.0248685,77.51113294999999,2,2.0,1.0,0.11589335163221635,0.229,False,0.16470588235294117,170
HoramavuJunction,13.018759941666666,77.65638329166667,12,11.1,0.9249999999999999,0.10580368305529186,0.345,False,0.0,200
SagarTheatreJunc,12.974529163333331,77.57870924833334,6,6.0,1.0,0.10414963902628775,0.284,False,0.010050251256281407,199
BinnyMillJunction,12.970068857142858,77.56797037142857,7,6.1,0.8714285714285713,0.0990221025363751,0.295,False,0.0,200
Deverabeesanahalli-ORR Junc,12.930817606666666,77.68505383333333,15,14.49,0.966,0.06776067038819877,0.476,False,0.0,200
Peenya14thCrossJunc,13.0166142,77.5054464,1,1.0,1.0,0.06627203076209515,0.243,False,0.014705882352941176,136
Dr RajkumarRd-10thCrossRdJunc,13.007386059999998,77.55402936,5,4.7,0.9400000000000001,0.06610662635919479,0.299,False,0.16,200
ShivandaCircle,12.987866075,77.57968311666666,12,12.0,1.0,0.056016957782269935,0.439,False,0.0,200
K R MarketJunction,12.963904757142858,77.57833600000001,7,6.7,0.9571428571428572,0.054528318156166544,0.337,False,0.0,200
Yemalur cross junc,12.956005000000001,77.69349825,4,3.7,0.925,0.054528318156166544,0.292,False,0.0,197
Kadubeesanahalli-ORR Junc,12.939466620833334,77.69618835916667,12,12.0,1.0,0.054528318156166544,0.452,False,0.0,200
LinkRoadMalleswaramJunc,12.9928565,77.57435053333334,3,3.0,1.0,0.05105482569525786,0.294,False,0.0,192
SadahalliGateJunc(AirportRd),13.190765028571429,77.64583525714285,7,6.7,0.9571428571428572,0.04311541435603864,0.359,False,0.01,200
PoliceTimmaiahCircle(GPO),12.982200871428573,77.59418355,14,13.4,0.9571428571428572,0.03434898100231719,0.492,False,0.0,200
CoffeeBoardJunc,12.9832485,77.5956467,8,6.38,0.7975,0.03434898100231719,0.363,False,0.0,200
EliteJunc,12.976210316666666,77.57514845,6,6.0,1.0,0.01648530548907346,0.367,False,0.0,198
UpparpetJunction,12.97431308,77.57463606,2,1.49,0.745,0.01648530548907346,0.297,False,0.0,169
MaratahalliBridgeJunc,12.95636516875,77.70061835,16,15.4,0.9625,0.01648530548907346,0.44,False,0.0,200
BDA Junctio-Koramangala,12.931545133333332,77.62268249,6,6.0,1.0,0.013342621833965722,0.368,False,0.31,200
MillCornerRd-SampigeRdJunc,12.99226608888889,77.5714538,9,9.0,1.0,0.00490699728604497,0.444,False,0.0,200
KuvempuCircle,13.0446343,77.56207,3,2.7,0.9,-0.02503119963892782,0.366,False,0.1641025641025641,195
KundanahalliGateJunc,12.955880527272727,77.71681418545455,11,10.7,0.9727272727272727,-0.02800847889113533,0.478,False,0.0,200
NCERT Junction,12.9318961,77.5445289,1,1.0,1.0,-0.02817388329403556,0.348,False,0.0703125,128
BrigadeMillenium,12.8933772,77.5851856,1,0.7,0.7,-0.03694031664775725,0.341,False,0.0,133
MeenakshiMallJunc,12.876471425,77.59513195,8,7.49,0.93625,-0.06191638148571821,0.497,False,0.0,200
BMTCJunction-K H Road,12.956571942,77.593179472,10,9.49,0.9490000000000001,-0.06323961670892138,0.48,False,0.0,200
HopefarmJunction,12.984359663000001,77.752452978,10,10.0,1.0,-0.06456285193212466,0.453,False,0.005,200
BilekahalliJunc,12.900502092857142,77.60094976428572,14,13.7,0.9785714285714285,-0.07845682177575854,0.369,False,0.0,200
KanakapuraRd-RingRdJunction,12.905958257777778,77.57323213000001,9,9.0,1.0,-0.08093788781926463,0.438,False,0.0,200
CMP GateJunc,12.957914185000002,77.60585476,20,19.4,0.97,-0.08474218908597389,0.241,False,0.04,200
LRDE Junction,12.987409266666667,77.58811161111112,9,9.0,1.0,-0.0859000199062767,0.439,False,0.0,200
"Bellandur Junction, Outer ring road",12.926606866666667,77.67833689999999,3,3.0,1.0,-0.09268160042519336,0.434,False,0.0,189
MargosaRd-18thCrossJunc,13.0110951,77.56933845,6,6.0,1.0,-0.09582428408030097,0.497,False,0.005025125628140704,199
VeerasandraGateJunction,12.839784945454545,77.67714299090909,11,11.0,1.0,-0.09913237213830906,0.379,False,0.0,200
JohnsonMarket,12.962821266666666,77.60661306666667,3,2.49,0.8300000000000001,-0.10095182057021351,0.44,False,0.0051813471502590676,193
GowdanapalyaJunction,12.9135866,77.5590245,1,1.0,1.0,-0.10591395265722571,0.42,False,0.0,135
BigBazaarJunction(OldMadrasRd),12.991387184615386,77.65742077692308,26,19.4,0.7461538461538461,-0.11898090048635772,0.206,False,0.075,200
OldMadrasRd-NGEF Junc,12.9867540125,77.64830568375,8,6.199999999999999,0.7749999999999999,-0.11898090048635772,0.453,False,0.0,200
OldMadrasRd-SuddaguntepalyaRdJunc,12.989703999999998,77.65383403333334,3,2.0999999999999996,0.6999999999999998,-0.11898090048635772,0.466,False,0.0,198
RamamurthyNagarJunction,13.015187844444444,77.66126624444445,9,8.4,0.9333333333333333,-0.12080034891826205,0.401,False,0.0,200
VishweswaraiahJunctio(Uttamsagar),13.01136787,77.64639437,1,1.0,1.0,-0.12080034891826205,0.433,False,0.0,130
ArakereGateJunc,12.890589566666668,77.59770875333334,15,13.68,0.912,-0.12807814264587986,0.292,False,0.02,200
HulimaveRd-BanneraghattaRdJunc,12.881814533333333,77.59606995555555,9,8.49,0.9433333333333334,-0.12807814264587986,0.402,False,0.0,200
ChandrikaJunction,12.99138545,77.59245085,2,2.0,1.0,-0.14428777413011948,0.49,False,0.0,169
Devanahalli new bus stand,13.2483559,77.7156178,1,0.7,0.7,-0.15536986912444656,0.48,False,0.0078125,128
DoddaballapuraCrossJunc,13.2572493,77.7125229,3,2.4,0.7999999999999999,-0.15536986912444656,0.497,False,0.015789473684210527,190
DevanahalliCrossJunc,13.24167865,77.70356475,2,2.0,1.0,-0.15536986912444656,0.497,False,0.0,175
NandiCross(RaniCross),13.265405000000001,77.71870396666667,3,2.7,0.9,-0.15536986912444656,0.484,False,0.015463917525773196,194
AnepalyaJunc,12.951754411666668,77.60533033,6,4.9799999999999995,0.83,-0.1593395747940562,0.45,False,0.0,200
BasaweshwaraCircle,12.984270700000001,77.5886019,5,5.0,1.0,-0.16231685404626345,0.444,False,0.005025125628140704,199
K G Junction,12.9751381,77.5764764,1,1.0,1.0,-0.16545953770137117,0.493,False,0.0,133
KonanakunteJunction(KanakapurarRd),12.890109883333333,77.56420415000001,6,6.0,1.0,-0.1702562653854829,0.391,False,0.0,199
Peenya2ndStageBusStand,13.009776500000001,77.50594505000001,2,2.0,1.0,-0.17521839747249499,0.473,False,0.017341040462427744,173
CashPharmacyJunction,12.966028399999999,77.5997593,3,3.0,1.0,-0.17554920627829593,0.469,False,0.0,192
Nagarbhavi,12.958794555555556,77.51788084444443,9,8.4,0.9333333333333333,-0.17703784590439944,0.349,False,0.02,200
RajajinagarEntranceJunction,12.9822577,77.55984628,5,5.0,1.0,-0.1805113383653081,0.398,False,0.0,200
Jaipuria-Adugodi,12.93506315,77.62434095,4,3.7,0.925,-0.18861615410742769,0.422,False,0.0,198
WilsonGarden10thCrossJunc,12.946020894999998,77.59561568333334,6,5.1899999999999995,0.8649999999999999,-0.19556313902924494,0.373,False,0.01507537688442211,199
SiddapuraJunction,12.94923378,77.59482698,5,5.0,1.0,-0.19556313902924494,0.38,False,0.0,197
KalyanNagar-ORR Junc,13.024157833333334,77.64375153333334,6,3.9899999999999998,0.6649999999999999,-0.19854041828145208,0.391,False,0.0,200
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),12.952732066666668,77.59074646666666,6,6.0,1.0,-0.200525271116257,0.364,False,0.005,200
AnilKumbleCircle,12.97636365,77.6015210625,8,6.5,0.8125,-0.21011872648448032,0.341,False,0.005,200
HSR14thMainJunc,12.91803727,77.63877112333334,3,3.0,1.0,-0.21326141013958794,0.41,False,0.020833333333333332,192
Shivajinagar(BRV)Junction,12.979665,77.60270885625,16,14.8,0.925,-0.2150808585714924,0.169,False,0.05,200
UttarahalliJunction,12.905854761999999,77.54496494333333,15,15.0,1.0,-0.2167349026004965,0.143,False,0.015,200
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),12.994135485714285,77.59563775714285,7,6.1899999999999995,0.8842857142857142,-0.2185543510324011,0.345,False,0.04,200
VetenaryHospitalJunc-Shivajinagar,12.98963695,77.59948262500001,4,4.0,1.0,-0.21888515983820178,0.374,False,0.005050505050505051,198
A S CharStreet-MysoreRdJunc,12.96481012,77.57389456000001,5,4.7,0.9400000000000001,-0.22004299065850447,0.371,False,0.010101010101010102,198
"KuvempuCircleJunc,HAL MainGate",12.958055,77.668315,1,1.0,1.0,-0.2216970346875087,0.43,False,0.0,133
Delmia-Jayanagar,12.906240366666665,77.59390086666666,3,2.19,0.73,-0.2220278434933094,0.427,False,0.0,192
UrvashiJunction,12.955620883333333,77.58573625,6,5.1899999999999995,0.8649999999999999,-0.22517052714841715,0.328,False,0.005025125628140704,199
Malleswaram18thCrossRd-SampigeRdJunc,13.008669560000001,77.57150302,5,5.0,1.0,-0.24965037877767693,0.323,False,0.0707070707070707,198
Sumanhalli,12.98678775875,77.520432123125,16,15.7,0.98125,-0.251304422806681,0.111,False,0.055,200
Dr TCM RoyanRd near AmbedkarStatue,12.965155475000001,77.56807370833333,12,11.7,0.975,-0.25659736369949393,0.197,False,0.05,200
RoyanCircle-Chamrajpete,12.9624886,77.5656329,1,1.0,1.0,-0.25659736369949393,0.381,False,0.0,139
Srigandakaval,12.988480971428572,77.5101611,14,13.7,0.9785714285714285,-0.26288273100970927,0.132,False,0.08,200
DomlurWaterTank,12.961040745,77.63887486666667,12,12.0,1.0,-0.26453677503871337,0.18,False,0.015,200
WilsonGarden12thCrossJunc,12.9445289375,77.596888675,8,8.0,1.0,-0.26982971593152627,0.224,False,0.05,200
AshirwadamCircle,12.971060399999999,77.60420058,5,4.7,0.9400000000000001,-0.27115295115472954,0.303,False,0.035,200
IbblurJunction',12.921296843076922,77.66464258384616,13,11.5,0.8846153846153846,-0.2862047518186661,0.171,False,0.07,200
OldPoliceStation-Ashoknagar,12.9683707,77.60624623999999,5,5.0,1.0,-0.2994371040506986,0.257,False,0.020100502512562814,199
Ashoknagar Junction(ShoolayCircle),12.966321083333334,77.60641865000001,6,6.0,1.0,-0.2994371040506986,0.244,False,0.04522613065326633,199
DairyCircle,12.936367480000001,77.6029089,5,5.0,1.0,-0.3060532801667148,0.265,False,0.01015228426395939,197
Marigowda-TavarkereRdJunc,12.935763999999999,77.60780676153846,13,13.0,1.0,-0.3060532801667148,0.12,False,0.1,200
AdugodiJunc,12.942809950000001,77.60780145000001,2,2.0,1.0,-0.3063840889725156,0.312,False,0.0055248618784530384,181
LowerAgaram(IndiaGarage)Junc,12.964487366666667,77.61810673333333,3,2.7,0.9,-0.3077073241957189,0.302,False,0.015625,192
SagarHospitalJunc,12.9278346,77.60037306,5,5.0,1.0,-0.3113462210595277,0.245,False,0.02512562814070352,199
J D MaraJunc,12.907161833333333,77.6010555,3,3.0,1.0,-0.31316566949143215,0.294,False,0.005154639175257732,194
BiryandCircle,12.96412278,77.57003834,5,5.0,1.0,-0.31432350031173495,0.248,False,0.01,200
LalbaghMainGateJunc,12.953932666666667,77.58566405,6,6.0,1.0,-0.3194510368016476,0.228,False,0.06532663316582915,199
MotherTeressaCircle,12.966578086363636,77.60897399272727,11,11.0,1.0,-0.3275558525437674,0.131,False,0.285,200
D'SouzaCircle,12.9671612,77.610776025,4,4.0,1.0,-0.3275558525437674,0.254,False,0.030612244897959183,196
NIMHANS Junction,12.940403733333333,77.5977461,6,6.0,1.0,-0.3359914770916879,0.197,False,0.02,200
MICO Bande,12.945653433333334,77.60280531666666,6,5.49,0.915,-0.33632228589748875,0.209,False,0.035,200
DevegowdaPetrolBunkJunc,12.92073005,77.56126234999999,2,2.0,1.0,-0.3374801167177917,0.287,False,0.0,174
HosmatJunction,12.968480066666666,77.61442303333334,3,3.0,1.0,-0.3391341607467957,0.255,False,0.03684210526315789,190
BanashankariBusStandJunc,12.916914513846153,77.57278397769231,13,12.7,0.9769230769230769,-0.35220110857592757,0.074,False,0.085,200
JP Nagar 15th cross junction,12.906214328571428,77.58573547142858,7,7.0,1.0,-0.3589826890948442,0.173,False,0.065,200
Indiranasgar13thMainJunc,12.966776190000001,77.641548645,2,2.0,1.0,-0.3621253727499517,0.255,False,0.011695906432748537,171
MintoJunction,12.960096060000001,77.57199944,5,4.49,0.898,-0.36559886521086027,0.197,False,0.04020100502512563,199
KadirenahalliJunction,12.916272925000001,77.565058,8,8.0,1.0,-0.368741548865968,0.135,False,0.075,200
ISRO Junction-Airport rd,12.95924701111111,77.65546522222222,9,8.4,0.9333333333333333,-0.37535772498198405,0.12,False,0.115,200
CommandoHospitalJunc,12.966296783333334,77.62450715,6,6.0,1.0,-0.3804852614718967,0.157,False,0.07035175879396985,199
JP Nagar 9th cross-24th main jn,12.911875760000001,77.58611252,5,5.0,1.0,-0.4039726866837542,0.158,False,0.06532663316582915,199
OperaHouseJunc,12.971986748333334,77.60712471333333,6,5.7,0.9500000000000001,-0.41009264959106906,0.128,False,0.15,200
28thMainJayanagarJunc,12.9168331,77.59537391666667,6,4.98,0.8300000000000001,-0.4205131269737945,0.126,False,0.215,200
OldMadrasRd-Indranagar100ftRdJunc,12.984076591666666,77.64112288333332,12,10.5,0.875,-0.42332500182310145,0.049,True,0.645,200
BM ShriJunc(CMH-100FtRd)Junc,12.978526593333333,77.64130376666667,3,2.7,0.9,-0.42332500182310145,0.167,False,0.08854166666666667,192
OldMadrasRd-80FeetRdJunc,12.985833575000001,77.645409175,8,5.8999999999999995,0.7374999999999999,-0.42332500182310145,0.117,False,0.1306532663316583,199
Arbindo Circle,12.91728056,77.585654,10,9.4,0.9400000000000001,-0.42365581062890223,0.059,False,0.31,200
BucheryJunction,12.952048127272729,77.62148546363636,11,10.19,0.9263636363636363,-0.42398661943470306,0.053,False,0.48,200
ASC Junction,12.966569033333334,77.62054773333334,3,3.0,1.0,-0.4284525383130139,0.154,False,0.12637362637362637,182
Geethanjali jn,13.002918300000001,77.57109990000001,2,2.0,1.0,-0.4349033100261297,0.17,False,0.10240963855421686,166
KCG HospitalJunction,12.99931805,77.57141139999999,2,1.7,0.85,-0.4349033100261297,0.183,False,0.05555555555555555,180
Fire Force Junction,12.98076095,77.5495049,2,2.0,1.0,-0.4349033100261297,0.171,False,0.12138728323699421,173
KamakyaJunction,12.9233939,77.5542916,1,1.0,1.0,-0.4483010666610624,0.174,False,0.024,125
KatriguppeJunction,12.9254345525,77.54992262166667,12,10.89,0.9075000000000001,-0.4483010666610624,0.04,True,0.22,200
NGV RearGateJunc,12.9424581,77.62256595,2,1.49,0.745,-0.4501205150929668,0.158,False,0.10285714285714286,175
