event_id,traffic_speed,queue_length,travel_time,incident_probability,lane_availability,confidence,uncertainty,source_count,conflict_score,sensor_count,sensor_types_used,sensor_ids_used,fusion_method,quality_flags,fallback_mode,sensor_mode,generated_at
FKID000944,55.024,61.911,303.478,0.1849,0.7521,0.3866,0.6134,5,0.0591,5,Bluetooth Probe;CCTV;LiDAR;Radar;Roadwork Feed,S-FKID000944-00;S-FKID000944-01;S-FKID000944-02;S-FKID000944-03;S-FKID000944-04,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000316,46.883,0.0,286.727,0.0473,0.7161,0.3993,0.6007,6,0.0312,6,ANPR;CCTV;GPS Probe;Incident Dispatch Feed;Radar;Weather Feed,S-FKID000316-00;S-FKID000316-01;S-FKID000316-02;S-FKID000316-03;S-FKID000316-04;S-FKID000316-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID006514,57.487,199.946,240.0,0.1302,0.3823,0.4367,0.5633,3,0.015,3,Event Feed;Loop Detector;Signal Controller,S-FKID006514-00;S-FKID006514-01;S-FKID006514-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID006015,46.942,188.39,232.681,0.1433,0.8181,0.4266,0.5734,4,0.0488,4,Event Feed;GPS Probe;Incident Dispatch Feed;Weather Feed,S-FKID006015-00;S-FKID006015-01;S-FKID006015-02;S-FKID006015-03,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000842,39.612,306.731,242.293,0.1694,0.7682,0.4003,0.5997,6,0.0267,6,GPS Probe;Incident Dispatch Feed;Radar;Roadwork Feed;Signal Controller;Weather Feed,S-FKID000842-00;S-FKID000842-01;S-FKID000842-02;S-FKID000842-03;S-FKID000842-04;S-FKID000842-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000129,55.615,158.248,240.0,0.386,0.7485,0.4398,0.5602,5,0.0624,5,Event Feed;Loop Detector;Roadwork Feed;Signal Controller;Weather Feed,S-FKID000129-00;S-FKID000129-01;S-FKID000129-02;S-FKID000129-03;S-FKID000129-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID003911,33.341,188.439,173.029,0.3727,1.0,0.3741,0.6259,4,0.0,4,ANPR;Incident Dispatch Feed;Loop Detector;Roadwork Feed,S-FKID003911-00;S-FKID003911-01;S-FKID003911-02;S-FKID003911-03,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000528,37.949,231.343,251.509,0.2098,0.9245,0.3863,0.6137,4,0.0,4,ANPR;Incident Dispatch Feed;Loop Detector;Roadwork Feed,S-FKID000528-00;S-FKID000528-01;S-FKID000528-02;S-FKID000528-03,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000923,46.345,118.281,240.0,0.2978,0.8273,0.4523,0.5477,3,0.0204,3,Incident Dispatch Feed;Roadwork Feed;Signal Controller,S-FKID000923-00;S-FKID000923-01;S-FKID000923-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID007189,46.401,239.406,225.049,0.0275,0.7271,0.4326,0.5674,5,0.0185,5,Bluetooth Probe;Event Feed;Roadwork Feed;Signal Controller;Weather Feed,S-FKID007189-00;S-FKID007189-01;S-FKID007189-02;S-FKID007189-03;S-FKID007189-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001133,55.803,170.992,240.0,0.128,0.9291,0.4365,0.5635,3,0.0281,3,CCTV;Radar;Signal Controller,S-FKID001133-00;S-FKID001133-01;S-FKID001133-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004711,46.48,181.775,211.453,0.5039,0.6932,0.4266,0.5734,5,0.042,5,Bluetooth Probe;Incident Dispatch Feed;Roadwork Feed;Signal Controller;Weather Feed,S-FKID004711-00;S-FKID004711-01;S-FKID004711-02;S-FKID004711-03;S-FKID004711-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004806,49.245,66.263,185.727,0.0147,0.6271,0.3833,0.6167,5,0.0511,5,Bluetooth Probe;CCTV;Radar;Roadwork Feed;Weather Feed,S-FKID004806-00;S-FKID004806-01;S-FKID004806-03;S-FKID004806-04;S-FKID004806-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID007137,52.088,183.693,247.51,0.258,1.0,0.2708,0.7292,5,0.0705,5,ANPR;Bluetooth Probe;GPS Probe;Radar;Roadwork Feed,S-FKID007137-00;S-FKID007137-01;S-FKID007137-03;S-FKID007137-04;S-FKID007137-05,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID005996,46.663,113.842,262.279,0.1246,0.6857,0.4255,0.5745,4,0.0046,4,ANPR;Incident Dispatch Feed;LiDAR;Signal Controller,S-FKID005996-00;S-FKID005996-01;S-FKID005996-02;S-FKID005996-03,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000968,43.956,148.585,204.224,0.3609,0.4973,0.385,0.615,5,0.0531,5,Bluetooth Probe;Event Feed;Incident Dispatch Feed;Loop Detector;Weather Feed,S-FKID000968-00;S-FKID000968-01;S-FKID000968-03;S-FKID000968-04;S-FKID000968-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001931,40.186,120.606,184.651,0.3432,0.9366,0.3941,0.6059,4,0.0175,4,ANPR;Event Feed;Loop Detector;Signal Controller,S-FKID001931-00;S-FKID001931-01;S-FKID001931-02;S-FKID001931-03,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001932,44.188,232.724,240.0,0.2335,0.9285,0.4399,0.5601,3,0.0069,3,CCTV;Incident Dispatch Feed;Loop Detector,S-FKID001932-00;S-FKID001932-01;S-FKID001932-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID003103,38.405,245.897,240.0,0.3914,0.66,0.4202,0.5798,4,0.015,4,Incident Dispatch Feed;Loop Detector;Radar;Signal Controller,S-FKID003103-00;S-FKID003103-01;S-FKID003103-03;S-FKID003103-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001646,35.253,134.886,263.407,0.3411,0.6903,0.3964,0.6036,4,0.0353,4,CCTV;Event Feed;GPS Probe;Weather Feed,S-FKID001646-00;S-FKID001646-01;S-FKID001646-02;S-FKID001646-03,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004531,45.06,183.913,212.279,0.4089,0.6191,0.3677,0.6323,6,0.0284,6,ANPR;Bluetooth Probe;GPS Probe;Loop Detector;Roadwork Feed;Weather Feed,S-FKID004531-00;S-FKID004531-01;S-FKID004531-02;S-FKID004531-03;S-FKID004531-04;S-FKID004531-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000164,46.969,83.029,240.0,0.2861,0.7234,0.4754,0.5246,5,0.1048,5,CCTV;Event Feed;Incident Dispatch Feed;Signal Controller;Weather Feed,S-FKID000164-00;S-FKID000164-01;S-FKID000164-02;S-FKID000164-03;S-FKID000164-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID005593,51.508,180.052,240.0,0.2523,1.0,0.3184,0.6816,2,0.0,2,Radar;Roadwork Feed,S-FKID005593-01;S-FKID005593-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004694,51.095,94.986,210.704,0.1265,0.6822,0.3952,0.6048,5,0.0706,5,CCTV;Event Feed;GPS Probe;Radar;Signal Controller,S-FKID004694-00;S-FKID004694-01;S-FKID004694-02;S-FKID004694-03;S-FKID004694-04,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID003235,39.166,206.684,239.771,0.5261,0.7992,0.2355,0.7645,4,0.0154,4,ANPR;Bluetooth Probe;Loop Detector;Weather Feed,S-FKID003235-00;S-FKID003235-01;S-FKID003235-02;S-FKID003235-03,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID005137,55.852,190.661,233.544,0.4167,0.8325,0.3969,0.6031,6,0.0186,6,ANPR;Bluetooth Probe;GPS Probe;Incident Dispatch Feed;LiDAR;Roadwork Feed,S-FKID005137-00;S-FKID005137-01;S-FKID005137-02;S-FKID005137-03;S-FKID005137-04;S-FKID005137-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001489,48.021,198.844,240.0,0.1628,0.9099,0.4396,0.5604,5,0.0253,5,CCTV;Incident Dispatch Feed;Radar;Roadwork Feed;Weather Feed,S-FKID001489-00;S-FKID001489-01;S-FKID001489-02;S-FKID001489-03;S-FKID001489-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004408,47.149,180.576,208.505,0.0543,0.7381,0.4371,0.5629,6,0.0255,6,ANPR;Bluetooth Probe;CCTV;Incident Dispatch Feed;Signal Controller;Weather Feed,S-FKID004408-00;S-FKID004408-01;S-FKID004408-02;S-FKID004408-03;S-FKID004408-04;S-FKID004408-05,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004829,56.039,135.196,242.015,0.1662,0.7602,0.3989,0.6011,6,0.0419,6,ANPR;Incident Dispatch Feed;LiDAR;Loop Detector;Signal Controller;Weather Feed,S-FKID004829-00;S-FKID004829-01;S-FKID004829-02;S-FKID004829-03;S-FKID004829-04;S-FKID004829-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID005079,47.258,226.571,307.295,0.3351,0.7924,0.4333,0.5667,4,0.0029,4,Bluetooth Probe;Incident Dispatch Feed;LiDAR;Roadwork Feed,S-FKID005079-00;S-FKID005079-01;S-FKID005079-02;S-FKID005079-03,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID001592,46.549,121.257,230.676,0.4122,0.7675,0.3971,0.6029,6,0.0853,6,CCTV;Event Feed;GPS Probe;Incident Dispatch Feed;Signal Controller;Weather Feed,S-FKID001592-00;S-FKID001592-01;S-FKID001592-02;S-FKID001592-03;S-FKID001592-04;S-FKID001592-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000346,47.498,177.149,251.355,0.2843,0.6198,0.4319,0.5681,4,0.0246,4,Event Feed;GPS Probe;Incident Dispatch Feed;Weather Feed,S-FKID000346-00;S-FKID000346-01;S-FKID000346-02;S-FKID000346-03,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004519,47.32,184.132,277.634,0.0,0.7595,0.4172,0.5828,4,0.0061,4,ANPR;Bluetooth Probe;LiDAR;Weather Feed,S-FKID004519-00;S-FKID004519-01;S-FKID004519-02;S-FKID004519-03,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID003897,47.33,205.254,240.0,0.2906,0.969,0.4742,0.5258,3,0.0395,3,CCTV;LiDAR;Weather Feed,S-FKID003897-00;S-FKID003897-01;S-FKID003897-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004967,47.401,175.992,243.699,0.0,0.294,0.4429,0.5571,3,0.0,3,Bluetooth Probe;Incident Dispatch Feed;Roadwork Feed,S-FKID004967-00;S-FKID004967-01;S-FKID004967-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID005194,40.689,112.437,286.587,0.4448,0.7977,0.3969,0.6031,6,0.0726,6,CCTV;GPS Probe;Radar;Roadwork Feed;Signal Controller;Weather Feed,S-FKID005194-00;S-FKID005194-01;S-FKID005194-02;S-FKID005194-03;S-FKID005194-04;S-FKID005194-05,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004492,47.825,171.748,207.752,0.0484,0.8106,0.3101,0.6899,2,0.0,2,Bluetooth Probe;Weather Feed,S-FKID004492-00;S-FKID004492-01,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID005244,45.017,34.546,232.16,0.5235,0.6993,0.3868,0.6132,5,0.0434,5,ANPR;Event Feed;GPS Probe;Incident Dispatch Feed;LiDAR,S-FKID005244-00;S-FKID005244-01;S-FKID005244-02;S-FKID005244-03;S-FKID005244-04,inverse_variance_bayesian,ok,False,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID004401,52.007,200.563,249.581,0.2303,0.7269,0.2466,0.7534,5,0.0363,5,ANPR;Bluetooth Probe;GPS Probe;LiDAR;Radar,S-FKID004401-00;S-FKID004401-01;S-FKID004401-02;S-FKID004401-03;S-FKID004401-04,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
FKID000002,49.113,208.884,240.0,0.1837,0.772,0.4396,0.5604,3,0.0015,3,LiDAR;Roadwork Feed;Weather Feed,S-FKID000002-00;S-FKID000002-01;S-FKID000002-02,inverse_variance_bayesian,fallback,True,REPLAY,2026-06-20T02:04:02.163587+00:00
