stratum_cause,stratum_corridor,prior_level,posterior_mu_log,posterior_sigma_log,ci95_lo_log,ci95_hi_log,n_eff_feedback,ci95_width_log,uncertainty_flag
tree_fall,West of Chord Road,cause,4.565797,0.746265,3.103118,6.028476,5.83,2.9253580000000006,ok
vehicle_breakdown,Airport New South Road,stratum,4.182024,0.001,4.180064,4.183984,1.0,0.0039199999999999235,ok
vehicle_breakdown,Bannerghata Road,stratum,3.874694,0.215876,3.451578,4.297811,8.61,0.8462330000000002,ok
vehicle_breakdown,Bellary Road 1,stratum,3.507081,0.147577,3.21783,3.796332,32.19,0.5785019999999998,ok
vehicle_breakdown,Bellary Road 2,stratum,3.384452,0.270872,2.853543,3.915361,13.08,1.0618179999999997,ok
vehicle_breakdown,CBD 1,stratum,3.821091,0.001,3.819131,3.823051,1.0,0.0039199999999999235,ok
vehicle_breakdown,CBD 2,stratum,1.91433,0.080489,1.756572,2.072088,2.0,0.3155159999999999,ok
vehicle_breakdown,Hennur Main Road,stratum,3.783408,0.051399,3.682666,3.884149,2.0,0.20148299999999963,ok
vehicle_breakdown,Hosur Road,stratum,3.888396,0.208585,3.479569,4.297223,15.19,0.8176539999999997,ok
vehicle_breakdown,IRR(Thanisandra road),stratum,3.614552,0.273313,3.078858,4.150245,3.9,1.071387,ok
vehicle_breakdown,Magadi Road,stratum,3.766677,0.134307,3.503435,4.02992,23.48,0.5264849999999996,ok
vehicle_breakdown,Mysore Road,stratum,3.598252,0.114427,3.373976,3.822529,57.09,0.448553,ok
vehicle_breakdown,Non-corridor,stratum,3.665122,0.077248,3.513716,3.816528,135.2,0.30281199999999986,ok
vehicle_breakdown,ORR East 1,stratum,3.609481,0.262556,3.094872,4.12409,16.6,1.0292179999999997,ok
vehicle_breakdown,ORR East 2,stratum,3.09782,0.300192,2.509444,3.686196,5.83,1.176752,ok
vehicle_breakdown,ORR North 1,stratum,3.858951,0.186456,3.493498,4.224404,14.42,0.7309059999999996,ok
vehicle_breakdown,ORR North 2,stratum,3.84987,0.198881,3.460064,4.239676,14.98,0.7796120000000002,ok
vehicle_breakdown,ORR West 1,stratum,3.740258,0.209558,3.329524,4.150993,7.52,0.8214689999999996,ok
vehicle_breakdown,Old Airport Road,stratum,3.835853,0.356284,3.137536,4.534169,9.4,1.3966330000000005,ok
vehicle_breakdown,Old Madras Road,stratum,3.599253,0.141025,3.322843,3.875663,15.79,0.5528199999999996,ok
vehicle_breakdown,Tumkur Road,stratum,3.363988,0.132222,3.104832,3.623143,44.51,0.5183109999999997,ok
vehicle_breakdown,Varthur Road,stratum,3.495542,0.319671,2.868987,4.122097,5.61,1.25311,ok
vehicle_breakdown,West of Chord Road,stratum,3.571591,0.146404,3.28464,3.858542,5.81,0.5739019999999999,ok
water_logging,Bannerghata Road,cause,7.825047,0.812832,6.231896,9.418199,8.4,3.1863029999999997,ok
water_logging,Bellary Road 1,cause,6.128536,0.587828,4.976392,7.280679,10.25,2.3042870000000004,ok
water_logging,Bellary Road 2,stratum,8.982932,0.515538,7.972477,9.993386,2.98,2.0209089999999996,ok
water_logging,CBD 2,cause,8.452004,0.664044,7.150478,9.753531,1.86,2.603053000000001,ok
water_logging,Hennur Main Road,cause,9.981221,0.003021,9.975299,9.987142,2.0,0.011843000000000714,ok
water_logging,Hosur Road,cause,6.17321,0.81081,4.584022,7.762398,4.59,3.178376,ok
water_logging,Magadi Road,cause,7.451372,1.063951,5.366028,9.536715,1.96,4.170686999999999,ok
water_logging,Mysore Road,cause,6.048984,0.542273,4.986129,7.111839,20.89,2.1257099999999998,ok
water_logging,Non-corridor,stratum,6.104006,0.291119,5.533412,6.6746,54.85,1.1411879999999996,ok
water_logging,ORR East 1,stratum,7.850349,0.760407,6.359951,9.340747,4.48,2.9807960000000007,ok
water_logging,ORR East 2,cause,7.549651,1.159613,5.27681,9.822491,3.0,4.545680999999999,ok
water_logging,ORR North 1,cause,6.347338,0.718166,4.939732,7.754944,4.95,2.815212,ok
water_logging,ORR North 2,cause,7.549098,1.009525,5.570429,9.527767,2.96,3.957338000000001,ok
water_logging,ORR West 1,stratum,7.992682,0.649871,6.718934,9.26643,5.41,2.5474959999999998,ok
water_logging,Old Airport Road,cause,4.547634,0.001,4.545674,4.549594,1.0,0.0039199999999999235,ok
water_logging,Old Madras Road,cause,3.976716,0.68953,2.625238,5.328195,4.75,2.702957,ok
water_logging,Tumkur Road,cause,6.743678,0.814453,5.147349,8.340007,5.74,3.1926579999999998,ok
water_logging,Varthur Road,cause,7.658987,0.885148,5.924097,9.393877,4.82,3.46978,ok
water_logging,West of Chord Road,cause,8.084866,1.075956,5.975992,10.19374,2.95,4.217748,ok
