event_id,event_cause,corridor,closure_binary,hour_of_day,day_of_week,duration_clean,priority_numeric,trust_score,month,event_cause_enc,corridor_enc,is_planned,row_idx
FKID000132,vehicle_breakdown,Magadi Road,0,2,3,106.48373361666667,3.0,1.0,1,13,9,0,132
FKID000133,accident,Tumkur Road,0,0,3,67.59724811666666,3.0,1.0,1,0,19,0,133
FKID000134,vehicle_breakdown,Hosur Road,1,1,3,75.3592525,3.0,1.0,1,13,7,0,134
FKID000135,others,ORR North 2,0,12,3,1440.0,3.0,0.48999999999999994,12,5,15,0,135
FKID000136,vehicle_breakdown,Bellary Road 1,0,2,3,67.59724811666666,3.0,1.0,1,13,2,0,136
FKID000137,vehicle_breakdown,Tumkur Road,0,2,3,67.59724811666666,3.0,1.0,1,13,19,0,137
FKID000138,pot_holes,Non-corridor,1,6,6,365.2268505833334,1.0,0.7,1,6,11,0,138
FKID000139,construction,ORR East 2,0,2,3,720.6875,3.0,1.0,1,2,13,0,139
FKID000140,vehicle_breakdown,Non-corridor,0,3,4,67.59724811666666,1.0,1.0,3,13,11,0,140
FKID000141,others,Non-corridor,0,4,4,67.59724811666666,1.0,1.0,3,5,11,0,141
FKID000142,water_logging,ORR East 1,0,4,4,49.972616783333336,3.0,1.0,3,15,12,0,142
FKID000143,vehicle_breakdown,Mysore Road,1,5,4,111.6212591,3.0,1.0,3,13,10,0,143
FKID000144,tree_fall,Mysore Road,1,5,4,1440.0,3.0,0.48999999999999994,3,12,10,0,144
FKID000145,road_conditions,ORR West 1,0,3,3,1440.0,3.0,1.0,1,10,16,0,145
FKID000146,vehicle_breakdown,Non-corridor,0,2,3,67.59724811666666,1.0,1.0,1,13,11,0,146
FKID000147,road_conditions,ORR West 1,0,3,3,67.59724811666666,3.0,1.0,1,10,16,0,147
FKID000148,road_conditions,ORR West 1,0,3,3,67.59724811666666,3.0,1.0,1,10,16,0,148
FKID000149,vehicle_breakdown,Bannerghata Road,0,0,3,67.59724811666666,3.0,1.0,1,13,1,0,149
FKID000150,vehicle_breakdown,Mysore Road,0,2,3,67.59724811666666,3.0,1.0,1,13,10,0,150
FKID000151,tree_fall,Non-corridor,1,5,4,67.59724811666666,1.0,1.0,3,12,11,0,151
FKID000152,vehicle_breakdown,ORR East 1,0,3,3,67.59724811666666,3.0,1.0,1,13,12,0,152
FKID000153,road_conditions,ORR West 1,0,3,3,67.59724811666666,3.0,1.0,1,10,16,0,153
FKID000154,road_conditions,ORR West 1,0,3,3,67.59724811666666,3.0,1.0,1,10,16,0,154
FKID000155,vehicle_breakdown,Non-corridor,0,1,3,67.59724811666666,1.0,1.0,1,13,11,0,155
FKID000156,vehicle_breakdown,Tumkur Road,0,2,3,67.59724811666666,3.0,1.0,1,13,19,0,156
FKID000157,vehicle_breakdown,Hosur Road,0,5,4,52.83199456666667,3.0,1.0,3,13,7,0,157
FKID000158,construction,Old Madras Road,0,3,3,0.0,3.0,1.0,1,2,18,0,158
FKID000159,water_logging,ORR East 1,0,12,3,1440.0,3.0,1.0,1,15,12,0,159
FKID000160,vehicle_breakdown,Non-corridor,0,3,4,67.59724811666666,1.0,1.0,3,13,11,0,160
FKID000161,others,Non-corridor,0,6,4,81.46960444999999,1.0,1.0,3,5,11,0,161
FKID000162,others,Mysore Road,0,4,3,15.3042995,3.0,1.0,1,5,10,0,162
FKID000163,tree_fall,Non-corridor,1,5,4,178.15932105,1.0,1.0,3,12,11,0,163
FKID000164,pot_holes,Non-corridor,0,4,3,1440.0,1.0,0.48999999999999994,1,6,11,0,164
FKID000165,vehicle_breakdown,Non-corridor,0,3,4,67.59724811666666,1.0,1.0,3,13,11,0,165
FKID000166,construction,Bellary Road 2,0,5,3,31.910260883333333,3.0,1.0,2,2,3,0,166
FKID000167,vehicle_breakdown,Tumkur Road,0,3,4,67.59724811666666,3.0,1.0,3,13,19,0,167
FKID000168,pot_holes,Non-corridor,0,3,1,1440.0,1.0,1.0,11,6,11,0,168
FKID000169,pot_holes,Magadi Road,0,6,4,67.59724811666666,3.0,1.0,3,6,9,0,169
FKID000170,vehicle_breakdown,ORR East 1,0,3,3,67.59724811666666,3.0,1.0,1,13,12,0,170
FKID000171,vehicle_breakdown,Non-corridor,0,6,3,11.80107465,1.0,1.0,2,13,11,0,171
FKID000172,vehicle_breakdown,Magadi Road,0,6,4,24.504338233333332,3.0,1.0,3,13,9,0,172
FKID000173,vehicle_breakdown,Mysore Road,0,6,3,67.59724811666666,3.0,1.0,2,13,10,0,173
FKID000174,tree_fall,Non-corridor,0,11,3,1228.0686473666667,1.0,1.0,3,12,11,0,174
FKID000175,vehicle_breakdown,ORR East 1,0,5,3,67.59724811666666,3.0,1.0,1,13,12,0,175
FKID000176,vehicle_breakdown,Tumkur Road,0,7,3,86.29591815,3.0,1.0,2,13,19,0,176
FKID000177,vehicle_breakdown,Mysore Road,0,8,4,67.59724811666666,3.0,1.0,3,13,10,0,177
FKID000178,vehicle_breakdown,Hosur Road,0,5,3,67.59724811666666,3.0,1.0,2,13,7,0,178
FKID000179,vehicle_breakdown,Hosur Road,0,5,3,67.59724811666666,3.0,1.0,2,13,7,0,179
FKID000180,vehicle_breakdown,Non-corridor,0,6,4,67.59724811666666,1.0,1.0,3,13,11,0,180
FKID000181,vehicle_breakdown,Non-corridor,0,7,4,67.59724811666666,1.0,1.0,3,13,11,0,181
FKID000182,vehicle_breakdown,Hosur Road,0,5,3,67.59724811666666,3.0,1.0,2,13,7,0,182
FKID000183,vehicle_breakdown,ORR North 1,0,8,3,18.84050655,3.0,1.0,2,13,14,0,183
FKID000184,vehicle_breakdown,Bellary Road 1,0,8,3,23.641425966666667,3.0,1.0,2,13,2,0,184
FKID000185,vehicle_breakdown,Tumkur Road,0,9,4,36.504006333333336,3.0,1.0,3,13,19,0,185
FKID000186,vehicle_breakdown,Mysore Road,1,9,4,23.382822833333332,3.0,1.0,3,13,10,0,186
FKID000187,vehicle_breakdown,Non-corridor,0,9,4,104.21347743333334,1.0,1.0,3,13,11,0,187
FKID000188,vehicle_breakdown,Bellary Road 1,0,7,3,86.29412574999999,3.0,1.0,2,13,2,0,188
FKID000189,vehicle_breakdown,Old Airport Road,0,9,4,70.8526748,3.0,1.0,3,13,17,0,189
FKID000190,vehicle_breakdown,Bellary Road 2,0,8,3,67.59724811666666,3.0,1.0,2,13,3,0,190
FKID000191,vehicle_breakdown,Bellary Road 2,0,9,3,67.59724811666666,3.0,1.0,2,13,3,0,191
FKID000192,construction,Non-corridor,0,10,4,0.08095000000000001,1.0,1.0,3,2,11,0,192
FKID000193,road_conditions,CBD 2,0,10,4,67.59724811666666,3.0,1.0,3,10,5,0,193
FKID000194,vehicle_breakdown,West of Chord Road,0,7,4,67.59724811666666,3.0,1.0,3,13,21,0,194
FKID000195,road_conditions,CBD 2,0,10,4,67.59724811666666,3.0,1.0,3,10,5,0,195
FKID000196,vehicle_breakdown,Non-corridor,0,10,4,67.59724811666666,1.0,1.0,3,13,11,0,196
FKID000197,vehicle_breakdown,Magadi Road,0,9,4,72.9697583,3.0,1.0,3,13,9,0,197
FKID000198,vehicle_breakdown,Non-corridor,0,7,3,67.59724811666666,1.0,1.0,2,13,11,0,198
FKID000199,construction,Bellary Road 2,0,9,3,60.798384383333335,3.0,1.0,2,2,3,0,199
FKID000200,vehicle_breakdown,West of Chord Road,0,7,3,67.59724811666666,3.0,1.0,2,13,21,0,200
FKID000201,road_conditions,CBD 2,0,10,4,1440.0,3.0,1.0,3,10,5,0,201
FKID000202,others,Bannerghata Road,0,10,3,119.59072880000001,3.0,1.0,2,5,1,0,202
FKID000203,vehicle_breakdown,Non-corridor,0,9,3,78.98550595,1.0,1.0,2,13,11,0,203
FKID000204,vehicle_breakdown,Tumkur Road,0,8,3,67.59724811666666,3.0,1.0,2,13,19,0,204
FKID000205,vehicle_breakdown,ORR North 2,0,11,4,138.03128305,3.0,1.0,3,13,15,0,205
FKID000206,vehicle_breakdown,Old Airport Road,0,11,3,28.376774483333335,3.0,1.0,2,13,17,0,206
FKID000207,congestion,ORR North 2,0,11,3,67.59724811666666,3.0,0.7,2,1,15,0,207
FKID000208,vehicle_breakdown,Non-corridor,0,11,4,93.05635131666666,1.0,1.0,3,13,11,0,208
FKID000209,others,Magadi Road,0,2,6,1440.0,3.0,0.7,1,5,9,0,209
FKID000210,vehicle_breakdown,Magadi Road,0,12,3,67.59724811666666,3.0,1.0,2,13,9,0,210
FKID000211,vehicle_breakdown,Mysore Road,0,9,3,67.59724811666666,3.0,1.0,2,13,10,0,211
FKID000212,vehicle_breakdown,Non-corridor,0,11,4,67.59724811666666,1.0,1.0,3,13,11,0,212
FKID000213,vehicle_breakdown,Bellary Road 1,0,9,3,67.59724811666666,3.0,1.0,2,13,2,0,213
FKID000214,vehicle_breakdown,Hosur Road,0,12,3,11.49699995,3.0,1.0,2,13,7,0,214
FKID000215,pot_holes,Non-corridor,0,8,6,1440.0,1.0,1.0,1,6,11,0,215
FKID000216,construction,Non-corridor,0,11,4,1440.0,1.0,0.7,3,2,11,0,216
FKID000217,vehicle_breakdown,Mysore Road,0,12,3,66.23017465000001,3.0,1.0,2,13,10,0,217
FKID000218,others,Non-corridor,0,11,4,199.88949181666666,1.0,1.0,3,5,11,0,218
FKID000219,vehicle_breakdown,Non-corridor,0,13,3,67.59724811666666,1.0,1.0,2,13,11,0,219
FKID000220,construction,Non-corridor,0,12,3,67.59724811666666,1.0,1.0,2,2,11,0,220
FKID000221,congestion,ORR North 2,0,11,3,67.59724811666666,3.0,0.7,2,1,15,0,221
FKID000222,pot_holes,Non-corridor,0,6,5,67.59724811666666,1.0,1.0,12,6,11,0,222
FKID000223,pot_holes,Non-corridor,0,6,5,67.59724811666666,1.0,1.0,12,6,11,0,223
FKID000224,vehicle_breakdown,Hosur Road,0,14,3,75.03727443333334,3.0,1.0,2,13,7,0,224
FKID000225,vehicle_breakdown,Old Madras Road,0,14,3,67.59724811666666,3.0,0.7,2,13,18,0,225
FKID000226,others,Hennur Main Road,0,11,4,43.87439846666667,3.0,1.0,3,5,6,0,226
FKID000227,pot_holes,Non-corridor,0,4,5,1440.0,1.0,1.0,12,6,11,0,227
FKID000228,vehicle_breakdown,Non-corridor,0,9,4,67.59724811666666,1.0,1.0,3,13,11,0,228
FKID000229,construction,Mysore Road,1,17,3,0.07918333333333334,3.0,0.7,2,2,10,0,229
FKID000230,vehicle_breakdown,Non-corridor,0,9,4,67.59724811666666,1.0,1.0,3,13,11,0,230
FKID000231,vehicle_breakdown,Non-corridor,0,19,3,67.59724811666666,1.0,1.0,2,13,11,0,231
FKID000232,vehicle_breakdown,ORR West 1,0,20,3,67.59724811666666,3.0,1.0,2,13,16,0,232
FKID000233,vehicle_breakdown,Bellary Road 2,0,0,4,67.59724811666666,3.0,1.0,2,13,3,0,233
FKID000234,vehicle_breakdown,Tumkur Road,0,1,4,22.174727083333334,3.0,1.0,2,13,19,0,234
FKID000235,construction,ORR East 2,0,2,4,746.7284166666667,3.0,1.0,2,2,13,0,235
FKID000236,pot_holes,Non-corridor,0,4,5,1440.0,1.0,1.0,12,6,11,0,236
FKID000237,pot_holes,Non-corridor,0,1,6,67.59724811666666,1.0,1.0,12,6,11,0,237
FKID000238,pot_holes,Non-corridor,0,5,1,67.59724811666666,1.0,1.0,12,6,11,0,238
FKID000239,pot_holes,Non-corridor,0,5,1,67.59724811666666,1.0,1.0,12,6,11,0,239
FKID000240,pot_holes,Non-corridor,0,5,1,67.59724811666666,1.0,1.0,12,6,11,0,240
FKID000241,vip_movement,Mysore Road,0,2,4,20.98006666666667,3.0,1.0,2,14,10,1,241
FKID000242,pot_holes,Non-corridor,0,5,6,67.59724811666666,1.0,1.0,12,6,11,0,242
FKID000243,tree_fall,Non-corridor,1,12,4,105.48940756666666,1.0,0.7,3,12,11,0,243
FKID000244,tree_fall,Non-corridor,0,12,4,1440.0,1.0,1.0,3,12,11,0,244
FKID000245,vehicle_breakdown,Mysore Road,0,2,4,57.51257438333334,3.0,1.0,2,13,10,0,245
FKID000246,tree_fall,Non-corridor,0,12,4,1440.0,1.0,1.0,3,12,11,0,246
FKID000247,congestion,ORR North 2,0,10,4,67.59724811666666,3.0,0.7,3,1,15,0,247
FKID000248,vehicle_breakdown,Tumkur Road,0,4,4,67.59724811666666,3.0,1.0,2,13,19,0,248
FKID000249,vehicle_breakdown,Tumkur Road,0,2,4,33.33879541666667,3.0,1.0,2,13,19,0,249
FKID000250,vehicle_breakdown,Mysore Road,0,12,4,39.6093981,3.0,1.0,3,13,10,0,250
FKID000251,vehicle_breakdown,Non-corridor,0,1,4,67.59724811666666,1.0,1.0,2,13,11,0,251
FKID000252,vehicle_breakdown,Non-corridor,0,2,4,67.59724811666666,1.0,1.0,2,13,11,0,252
FKID000253,construction,Non-corridor,1,3,4,0.35335,1.0,0.7,2,2,11,0,253
FKID000254,vehicle_breakdown,Tumkur Road,0,13,4,10.150965166666667,3.0,1.0,3,13,19,0,254
FKID000255,tree_fall,Non-corridor,1,13,4,66.3340463,1.0,1.0,3,12,11,0,255
FKID000256,vehicle_breakdown,ORR East 1,0,4,4,19.115834,3.0,1.0,2,13,12,0,256
FKID000257,tree_fall,Non-corridor,0,13,4,64.12170315,1.0,1.0,3,12,11,0,257
FKID000258,pot_holes,Non-corridor,1,6,4,67.59724811666666,1.0,1.0,2,6,11,0,258
FKID000259,congestion,Magadi Road,0,6,4,67.59724811666666,3.0,0.7,2,1,9,0,259
FKID000260,others,Non-corridor,1,6,4,42.96236663333333,1.0,1.0,2,5,11,0,260
FKID000261,tree_fall,Non-corridor,1,14,4,67.59724811666666,1.0,0.7,3,12,11,0,261
FKID000262,vehicle_breakdown,ORR North 1,0,4,4,67.59724811666666,3.0,0.7,2,13,14,0,262
FKID000263,vehicle_breakdown,Non-corridor,0,4,4,67.59724811666666,1.0,1.0,2,13,11,0,263
FKID000264,road_conditions,Non-corridor,0,9,4,1107.1190462833333,1.0,1.0,2,10,11,0,264
