event_id,event_cause,corridor_fill,start_local,log_duration_actual,duration_min_actual,mu_seq_logspace,sigma_seq_logspace,dur_pred_seq_min,resid_seq_logspace,absresid_seq_logspace,resid_std_seq,in_50pct_interval,in_80pct_interval,in_95pct_interval,interval_width_95,crps_seq,n_earlier_stratum,prior_level,mu_prior_logspace,sigma_prior_logspace,dur_pred_prior_min,resid_prior_logspace,crps_prior,hi_prob_pred,hi_actual,brier_i,ewma_resid_logspace,dur_pred_l45_p50,year_week
FKID002287,vehicle_breakdown,Non-corridor,2024-03-01 13:26:56.576000+05:30,3.8968,48.25,3.9642,0.2773,51.68,-0.0674,0.0674,-0.243,True,True,True,1.0871,0.07131,4,stratum,3.6949,0.9277,39.24,0.202,0.234264,0.241,0,0.058088,-0.3201,29.6,2024-W09
FKID002293,vehicle_breakdown,Old Madras Road,2024-03-01 14:38:00.337000+05:30,2.4594,10.7,4.1779,0.001,64.23,-1.7186,1.7186,-1718.5508,False,False,False,0.0039,1.717988,1,stratum,3.3824,0.9415,28.44,-0.9231,0.554692,0.241,0,0.058088,-0.7397,31.71,2024-W09
FKID002294,vehicle_breakdown,Bellary Road 2,2024-03-01 15:57:14.292000+05:30,4.1396,61.78,3.7465,0.8545,41.37,0.3931,0.3931,0.46,True,True,True,3.3498,0.270598,0,stratum,3.7465,0.8545,41.37,0.3931,0.270598,0.241,0,0.058088,-0.3998,38.82,2024-W09
FKID002301,vehicle_breakdown,Hosur Road,2024-03-02 01:23:46.520000+05:30,4.5107,89.99,3.6831,0.8952,38.77,0.8277,0.8277,0.9246,False,True,True,3.5092,0.494474,0,stratum,3.6831,0.8952,38.77,0.8277,0.494474,0.241,1,0.576059,-0.0316,40.09,2024-W09
FKID002309,others,Hosur Road,2024-03-02 02:17:52.922000+05:30,5.8027,330.18,6.8073,2.7275,903.38,-1.0046,1.0046,-0.3683,True,True,True,10.6918,0.78337,0,stratum,6.8073,2.7275,903.38,-1.0046,0.78337,0.0,0,0.0,-0.3235,127.75,2024-W09
FKID002308,vehicle_breakdown,Non-corridor,2024-03-02 02:39:07.674000+05:30,4.6384,102.37,3.9554,0.2261,51.22,0.6829,0.6829,3.0209,False,False,False,0.8862,0.555549,5,stratum,3.6949,0.9277,39.24,0.9435,0.569736,0.241,1,0.576059,-0.0216,30.61,2024-W09
FKID002312,construction,Bellary Road 1,2024-03-02 03:06:14.931000+05:30,9.7825,17719.36,6.2012,3.4031,492.35,3.5813,3.5813,1.0523,False,True,True,13.3403,2.174008,0,stratum,6.2012,3.4031,492.35,3.5813,2.174008,1.0,1,0.0,1.0593,25128.1,2024-W09
FKID002316,vehicle_breakdown,ORR North 2,2024-03-02 04:22:17.373000+05:30,4.4313,83.04,3.533,0.9242,33.23,0.8983,0.8983,0.972,False,True,True,3.623,0.539299,0,stratum,3.533,0.9242,33.23,0.8983,0.539299,0.241,1,0.576059,1.011,35.77,2024-W09
FKID002321,vehicle_breakdown,Mysore Road,2024-03-02 07:31:13.778000+05:30,2.9438,17.99,3.4976,0.9394,32.04,-0.5538,0.5538,-0.5895,True,True,True,3.6826,0.34613,0,stratum,3.4976,0.9394,32.04,-0.5538,0.34613,0.241,0,0.058088,0.5416,44.0,2024-W09
FKID002320,construction,ORR East 2,2024-03-02 08:22:43.051000+05:30,9.0644,8641.05,6.6598,0.5156,779.38,2.4046,2.4046,4.6634,False,False,False,2.0213,2.113691,0,stratum,6.6598,0.5156,779.38,2.4046,2.113691,0.2738,1,0.527353,1.1005,3756.72,2024-W09
FKID002327,vehicle_breakdown,Non-corridor,2024-03-02 09:00:15.995000+05:30,4.7968,120.12,4.0624,0.2133,57.12,0.7344,0.7344,3.4436,False,False,False,0.836,0.614078,6,stratum,3.6949,0.9277,39.24,1.1019,0.685271,0.241,1,0.576059,0.9906,30.42,2024-W09
FKID002336,vehicle_breakdown,Old Airport Road,2024-03-02 09:05:04.735000+05:30,3.3381,27.17,3.1249,1.1074,21.76,0.2132,0.2132,0.1925,True,True,True,4.341,0.275115,0,stratum,3.1249,1.1074,21.76,0.2132,0.275115,0.241,0,0.058088,0.7574,29.48,2024-W09
FKID002340,tree_fall,Non-corridor,2024-03-02 09:30:49.071000+05:30,10.9841,58927.28,6.7849,2.4635,883.42,4.1991,4.1991,1.7045,False,False,True,9.6571,2.898366,0,stratum,6.7849,2.4635,883.42,4.1991,2.898366,1.0,1,0.0,1.7899,33285.43,2024-W09
FKID002335,vehicle_breakdown,Bellary Road 2,2024-03-02 09:36:55.031000+05:30,3.3219,26.71,4.1396,0.001,61.78,-0.8176,0.8176,-817.6417,False,False,False,0.0039,0.817078,1,stratum,3.7465,0.8545,41.37,-0.4245,0.282157,0.241,0,0.058088,1.0077,40.28,2024-W09
FKID002333,vehicle_breakdown,Magadi Road,2024-03-02 10:09:02.097000+05:30,2.8144,15.68,3.6719,0.9025,38.33,-0.8575,0.8575,-0.9501,False,True,True,3.5379,0.513538,0,stratum,3.6719,0.9025,38.33,-0.8575,0.513538,0.241,0,0.058088,0.4481,39.81,2024-W09
FKID002337,construction,Mysore Road,2024-03-02 10:35:27.565000+05:30,0.2679,0.31,4.1407,4.0337,61.85,-3.8728,3.8728,-0.9601,False,True,True,15.812,2.321774,0,stratum,4.1407,4.0337,61.85,-3.8728,2.321774,0.044,0,0.001932,-0.8482,48.2,2024-W09
FKID002350,vehicle_breakdown,Non-corridor,2024-03-02 11:19:49.104000+05:30,4.3012,72.79,4.161,0.205,63.14,0.1402,0.1402,0.6837,False,True,True,0.8037,0.08472,7,stratum,3.6949,0.9277,39.24,0.6063,0.369483,0.241,0,0.058088,-0.5517,28.48,2024-W09
FKID002351,vehicle_breakdown,Non-corridor,2024-03-02 11:55:51.732000+05:30,4.687,107.53,4.1803,0.1809,64.38,0.5067,0.5067,2.8012,False,False,False,0.7091,0.404957,8,stratum,3.6949,0.9277,39.24,0.9922,0.60395,0.241,1,0.576059,-0.2341,28.48,2024-W09
FKID002345,road_conditions,Non-corridor,2024-03-02 12:16:35.640000+05:30,8.8825,7204.02,9.4451,2.2068,12645.28,-0.5626,0.5626,-0.2549,True,True,True,8.6507,0.572628,0,stratum,9.4451,2.2068,12645.28,-0.5626,0.572628,0.0,0,0.0,-0.3327,1660.96,2024-W09
FKID002363,others,Mysore Road,2024-03-03 00:06:57.054000+05:30,5.717,302.99,6.4744,2.8532,647.33,-0.7574,0.7574,-0.2655,True,True,True,11.1846,0.74652,0,stratum,6.4744,2.8532,647.33,-0.7574,0.74652,0.0,0,0.0,-0.4601,57.76,2024-W09
FKID002360,vehicle_breakdown,Old Madras Road,2024-03-03 00:28:38.155000+05:30,4.0295,55.24,3.3374,0.5105,27.15,0.6921,0.6921,1.3557,False,False,True,2.0013,0.44535,2,stratum,3.3824,0.9415,28.44,0.6471,0.390797,0.241,0,0.058088,-0.1144,33.95,2024-W09
FKID002370,vehicle_breakdown,ORR North 1,2024-03-03 01:45:20.318000+05:30,3.172,22.85,3.5683,0.8366,34.46,-0.3964,0.3964,-0.4738,True,True,True,3.2794,0.269057,0,stratum,3.5683,0.8366,34.46,-0.3964,0.269057,0.241,0,0.058088,-0.199,38.79,2024-W09
FKID002366,vehicle_breakdown,Magadi Road,2024-03-03 02:55:32.248000+05:30,4.4723,86.56,2.8144,0.001,15.68,1.6579,1.6579,1657.9181,False,False,False,0.0039,1.657356,1,stratum,3.6719,0.9025,38.33,0.8004,0.476909,0.241,1,0.576059,0.3581,39.23,2024-W09
FKID002378,vehicle_breakdown,Magadi Road,2024-03-03 05:05:29.690000+05:30,4.1791,64.3,3.6518,0.4916,37.54,0.5272,0.5272,1.0725,False,True,True,1.927,0.321108,2,stratum,3.6719,0.9025,38.33,0.5072,0.321713,0.241,0,0.058088,0.4088,36.71,2024-W09
FKID002377,vehicle_breakdown,Hosur Road,2024-03-03 05:22:23.683000+05:30,1.2543,2.51,4.5107,0.001,89.99,-3.2564,3.2564,-3256.435,False,False,False,0.0039,3.255874,1,stratum,3.6831,0.8952,38.77,-2.4288,1.925511,0.241,0,0.058088,-0.6908,38.64,2024-W09
FKID002385,construction,Non-corridor,2024-03-03 06:56:00.118000+05:30,3.1322,21.93,6.382,3.195,590.1,-3.2497,3.2497,-1.0171,False,True,True,12.5244,1.962398,0,stratum,6.382,3.195,590.1,-3.2497,1.962398,0.0,0,0.0,-1.4585,241.2,2024-W09
FKID002387,others,Bellary Road 1,2024-03-03 08:26:01.411000+05:30,2.7308,14.35,6.1202,3.3279,453.93,-3.3894,3.3894,-1.0185,False,True,True,13.0453,2.047098,0,stratum,6.1202,3.3279,453.93,-3.3894,2.047098,0.0,0,0.0,-2.0377,73.09,2024-W09
FKID002381,water_logging,Bellary Road 1,2024-03-03 08:40:07.137000+05:30,8.8346,6866.78,9.1827,2.0384,9726.5,-0.3481,0.3481,-0.1708,True,True,True,7.9903,0.500013,0,cause,9.1827,2.0384,9726.5,-0.3481,0.500013,0.0,0,0.0,-1.5308,5469.91,2024-W09
FKID002388,vehicle_breakdown,Non-corridor,2024-03-03 10:12:52.617000+05:30,3.9329,50.06,4.2351,0.1689,68.07,-0.3022,0.3022,-1.7896,False,False,True,0.6619,0.211858,9,stratum,3.6949,0.9277,39.24,0.2381,0.241037,0.241,0,0.058088,-1.1622,30.23,2024-W09
FKID002389,vehicle_breakdown,Mysore Road,2024-03-03 11:07:10.524000+05:30,3.6895,39.02,2.9438,0.001,17.99,0.7457,0.7457,745.658,False,False,False,0.0039,0.745095,1,stratum,3.4976,0.9394,32.04,0.1919,0.23512,0.241,0,0.058088,-0.5899,43.46,2024-W09
FKID002383,others,Non-corridor,2024-03-03 11:29:56.501000+05:30,9.1776,9677.06,7.6136,0.001,2024.5,1.564,1.564,1564.0435,False,False,False,0.0039,1.563481,1,stratum,6.7457,3.1072,849.37,2.4319,1.448982,0.4348,0,0.189036,0.0563,8376.51,2024-W09
FKID002396,vehicle_breakdown,Bellary Road 1,2024-03-03 14:02:46.187000+05:30,3.4067,29.17,3.6906,1.0557,39.07,-0.2838,0.2838,-0.2689,True,True,True,4.1382,0.276963,0,stratum,3.6906,1.0557,39.07,-0.2838,0.276963,0.241,0,0.058088,-0.0457,41.18,2024-W09
FKID002410,public_event,Old Airport Road,2024-03-03 18:41:54.723000+05:30,6.0279,413.85,5.2631,2.5811,192.08,0.7648,0.7648,0.2963,True,True,True,10.1179,0.692944,0,cause,5.2631,2.5811,192.08,0.7648,0.692944,0.044,0,0.001932,0.1974,42.13,2024-W09
FKID002408,public_event,Old Airport Road,2024-03-03 18:45:27.731000+05:30,6.0193,410.3,6.0279,0.001,413.85,-0.0086,0.0086,-8.5942,False,False,False,0.0039,0.00803,1,cause,5.2631,2.5811,192.08,0.7562,0.690952,0.044,0,0.001932,0.1356,42.13,2024-W09
FKID002409,public_event,Old Airport Road,2024-03-03 18:46:35.589000+05:30,6.0166,409.17,6.0236,0.003,412.08,-0.007,0.007,-2.32,False,False,False,0.0119,0.005356,2,cause,5.2631,2.5811,192.08,0.7535,0.690319,0.044,0,0.001932,0.0928,42.13,2024-W09
FKID002406,others,Old Airport Road,2024-03-03 18:49:39.193000+05:30,0.9576,1.61,7.4561,2.507,1729.4,-6.4985,6.4985,-2.5921,False,False,False,9.8275,5.091616,0,stratum,7.4561,2.507,1729.4,-6.4985,5.091616,0.0,0,0.0,-1.8846,111.2,2024-W09
FKID002416,public_event,Old Airport Road,2024-03-03 18:55:16.539000+05:30,5.9952,400.49,6.0213,0.0028,411.11,-0.0261,0.0261,-9.3519,False,False,False,0.0109,0.02452,3,cause,5.2631,2.5811,192.08,0.7321,0.685473,0.044,0,0.001932,-1.327,42.13,2024-W09
FKID002411,public_event,Old Airport Road,2024-03-03 19:10:49.837000+05:30,5.9557,384.94,6.0148,0.006,408.42,-0.0591,0.0591,-9.806,False,False,False,0.0236,0.055682,4,cause,5.2631,2.5811,192.08,0.6926,0.676882,0.044,0,0.001932,-0.9467,43.39,2024-W09
FKID002415,vehicle_breakdown,Mysore Road,2024-03-03 23:41:25.476000+05:30,2.2419,8.41,3.3299,0.2538,26.93,-1.088,1.088,-4.2864,False,False,False,0.995,0.944803,2,stratum,3.4976,0.9394,32.04,-1.2558,0.804812,0.241,0,0.058088,-0.9891,41.75,2024-W09
FKID002417,vehicle_breakdown,Mysore Road,2024-03-04 03:20:26.047000+05:30,3.2101,23.78,3.0213,0.3208,19.52,0.1888,0.1888,0.5887,True,True,True,1.2574,0.118062,3,stratum,3.4976,0.9394,32.04,-0.2875,0.254381,0.2738,0,0.074972,-0.6357,48.96,2024-W09
FKID002419,pot_holes,Non-corridor,2024-03-04 04:32:20.106000+05:30,7.6608,2122.4,9.7728,2.123,17549.66,-2.1121,2.1121,-0.9948,False,True,True,8.3223,1.271535,0,stratum,9.7728,2.123,17549.66,-2.1121,1.271535,0.0,0,0.0,-1.0786,3178.03,2024-W09
FKID002421,vehicle_breakdown,Mysore Road,2024-03-04 04:41:17.463000+05:30,4.123,60.75,3.0556,0.2521,20.23,1.0674,1.0674,4.2344,False,False,False,0.9882,0.925207,4,stratum,3.4976,0.9394,32.04,0.6254,0.379776,0.2738,0,0.074972,-0.4348,48.19,2024-W09
FKID002429,vehicle_breakdown,Non-corridor,2024-03-04 05:33:19.594000+05:30,4.0659,57.32,4.2068,0.1553,66.14,-0.1409,0.1409,-0.9075,False,True,True,0.6087,0.084079,10,stratum,3.6949,0.9277,39.24,0.371,0.275214,0.241,0,0.058088,-0.3466,29.66,2024-W10
FKID002428,others,Non-corridor,2024-03-04 06:53:20.254000+05:30,3.6831,38.77,8.3449,0.5444,4207.84,-4.6619,4.6619,-8.563,False,False,False,2.1341,4.354702,2,stratum,6.7457,3.1072,849.37,-3.0626,1.841607,0.0,0,0.0,-1.6412,53.51,2024-W10
FKID002439,vehicle_breakdown,Mysore Road,2024-03-04 12:43:45.860000+05:30,4.5131,90.2,3.2636,0.2749,25.14,1.2495,1.2495,4.5447,False,False,False,1.0777,1.094363,5,stratum,3.4976,0.9394,32.04,1.0154,0.619292,0.2738,1,0.527353,-0.774,43.89,2024-W10
FKID002438,vehicle_breakdown,ORR North 1,2024-03-04 12:46:24.705000+05:30,3.732,40.76,3.172,0.001,22.85,0.56,0.56,560.024,False,False,False,0.0039,0.55946,1,stratum,3.5683,0.8366,34.46,0.1637,0.208236,0.2738,0,0.074972,-0.3738,36.14,2024-W10
FKID002440,public_event,Non-corridor,2024-03-04 13:31:33.475000+05:30,0.1896,0.21,5.9549,2.4288,384.64,-5.7653,5.7653,-2.3738,False,False,False,9.5208,4.409325,0,stratum,5.9549,2.4288,384.64,-5.7653,4.409325,0.0,0,0.0,-1.9913,55.08,2024-W10
FKID002450,vehicle_breakdown,Non-corridor,2024-03-04 15:12:19.154000+05:30,2.2973,8.95,4.1954,0.1421,65.38,-1.8981,1.8981,-13.3545,False,False,False,0.5572,1.817884,11,stratum,3.6949,0.9277,39.24,-1.3976,0.927741,0.241,0,0.058088,-1.9633,28.49,2024-W10
FKID002462,pot_holes,Bellary Road 1,2024-03-05 01:14:45.681000+05:30,8.0623,3171.44,8.5675,2.35,5256.91,-0.5052,0.5052,-0.215,True,True,True,9.2119,0.592346,0,stratum,8.5675,2.35,5256.91,-0.5052,0.592346,0.0,0,0.0,-1.5259,4319.38,2024-W10
FKID002458,vehicle_breakdown,Non-corridor,2024-03-05 01:17:42.173000+05:30,3.4877,31.71,4.0323,0.1969,55.39,-0.5446,0.5446,-2.7655,False,False,False,0.7719,0.43382,12,stratum,3.6949,0.9277,39.24,-0.2071,0.235167,0.241,0,0.058088,-1.2315,30.18,2024-W10
FKID002457,vehicle_breakdown,Tumkur Road,2024-03-05 01:21:16.949000+05:30,3.1327,21.94,3.5342,0.7689,33.27,-0.4015,0.4015,-0.5222,True,True,True,3.0139,0.261477,0,stratum,3.5342,0.7689,33.27,-0.4015,0.261477,0.2738,0,0.074972,-0.9825,46.16,2024-W10
FKID002460,vehicle_breakdown,Non-corridor,2024-03-05 02:16:02.161000+05:30,4.8046,121.08,3.9926,0.1867,53.19,0.8121,0.8121,4.3503,False,False,False,0.7318,0.706767,13,stratum,3.6949,0.9277,39.24,1.1098,0.691278,0.241,1,0.576059,-0.4441,30.45,2024-W10
FKID002461,water_logging,Non-corridor,2024-03-05 02:16:20.525000+05:30,4.8075,121.42,9.533,2.0582,13807.62,-4.7256,4.7256,-2.296,False,False,False,8.0681,3.57963,0,stratum,9.533,2.0582,13807.62,-4.7256,3.57963,0.0,0,0.0,-1.7286,2079.83,2024-W10
FKID002456,water_logging,Non-corridor,2024-03-05 02:21:04.998000+05:30,1.7345,4.67,4.8075,0.001,121.42,-3.0729,3.0729,-3072.9052,False,False,False,0.0039,3.072344,1,stratum,9.533,2.0582,13807.62,-7.7985,6.63736,0.0,0,0.0,-2.1319,2079.83,2024-W10
FKID002463,construction,ORR East 2,2024-03-05 02:31:23.677000+05:30,6.6662,784.37,9.0644,0.001,8640.97,-2.3982,2.3982,-2398.226,False,False,False,0.0039,2.397664,1,stratum,6.6598,0.5156,779.38,0.0064,0.120533,0.0,0,0.0,-2.2118,711.27,2024-W10
FKID002474,pot_holes,CBD 1,2024-03-05 02:54:54.681000+05:30,3.8305,45.08,10.2379,1.3112,27941.58,-6.4074,6.4074,-4.8866,False,False,False,5.14,5.667649,0,stratum,10.2379,1.3112,27941.58,-6.4074,5.667649,0.0,0,0.0,-3.4705,5939.98,2024-W10
FKID002471,vehicle_breakdown,Tumkur Road,2024-03-05 03:03:53.629000+05:30,2.393,9.95,3.1327,0.001,21.94,-0.7397,0.7397,-739.6971,False,False,False,0.0039,0.739134,1,stratum,3.5342,0.7689,33.27,-1.1412,0.754131,0.241,0,0.058088,-2.6512,48.13,2024-W10
FKID002475,vehicle_breakdown,Hennur Main Road,2024-03-05 03:36:45.407000+05:30,3.7123,39.95,3.8581,0.001,46.37,-0.1458,0.1458,-145.7721,False,False,False,0.0039,0.145208,1,stratum,3.9527,0.6717,51.08,-0.2404,0.190936,0.241,0,0.058088,-1.8996,40.05,2024-W10
FKID002478,accident,Hosur Road,2024-03-05 04:12:51.918000+05:30,3.01,19.29,3.8137,1.3793,44.32,-0.8038,0.8038,-0.5827,True,True,True,5.407,0.504086,0,stratum,3.8137,1.3793,44.32,-0.8038,0.504086,0.241,0,0.058088,-1.5709,40.07,2024-W10
FKID002481,vehicle_breakdown,Bellary Road 1,2024-03-05 04:32:01.879000+05:30,3.3037,26.21,3.4067,0.001,29.17,-0.1031,0.1031,-103.0819,False,False,False,0.0039,0.102518,1,stratum,3.6906,1.0557,39.07,-0.3869,0.302649,0.241,0,0.058088,-1.1305,46.43,2024-W10
FKID002488,vehicle_breakdown,Mysore Road,2024-03-05 05:25:04.365000+05:30,3.0801,20.76,3.4578,0.2926,30.75,-0.3777,0.3777,-1.2909,False,False,True,1.1471,0.239815,6,stratum,3.4976,0.9394,32.04,-0.4175,0.292376,0.2738,0,0.074972,-0.9047,50.47,2024-W10
FKID002489,pot_holes,Non-corridor,2024-03-05 05:59:44.676000+05:30,10.9153,55012.06,7.6608,0.001,2122.4,3.2546,3.2546,3254.5498,False,False,False,0.0039,3.253989,1,stratum,9.7728,2.123,17549.66,1.1425,0.735663,0.241,0,0.058088,0.3431,24500.85,2024-W10
FKID002501,vehicle_breakdown,ORR East 2,2024-03-05 07:43:01.309000+05:30,0.8409,1.32,3.7382,0.8299,41.02,-2.8973,2.8973,-3.491,False,False,False,3.2533,2.429189,0,stratum,3.7382,0.8299,41.02,-2.8973,2.429189,0.241,0,0.058088,-0.629,32.86,2024-W10
FKID002500,vehicle_breakdown,Tumkur Road,2024-03-05 07:51:45.802000+05:30,2.7599,14.8,2.8428,0.2476,16.16,-0.0829,0.0829,-0.3347,True,True,True,0.9706,0.068824,2,stratum,3.5342,0.7689,33.27,-0.7742,0.466875,0.241,0,0.058088,-0.4652,47.12,2024-W10
FKID002503,water_logging,CBD 2,2024-03-05 08:17:57.295000+05:30,7.2433,1397.65,11.268,0.4019,78278.54,-4.0248,4.0248,-10.0132,False,False,False,1.5756,3.798005,0,stratum,11.268,0.4019,78278.54,-4.0248,3.798005,0.044,0,0.001932,-1.5331,5374.92,2024-W10
FKID002496,pot_holes,Non-corridor,2024-03-05 08:26:40.869000+05:30,8.818,6753.67,9.3981,1.0116,12064.73,-0.5801,0.5801,-0.5735,True,True,True,3.9656,0.365615,2,stratum,9.7728,2.123,17549.66,-0.9549,0.66464,0.0,0,0.0,-1.2472,2421.95,2024-W10
FKID002517,vehicle_breakdown,Mysore Road,2024-03-05 11:13:36.951000+05:30,4.0303,55.28,3.4076,0.2582,29.19,0.6227,0.6227,2.4118,False,False,False,1.0121,0.478393,7,stratum,3.4976,0.9394,32.04,0.5327,0.336898,0.2738,0,0.074972,-0.6862,49.26,2024-W10
FKID002527,vehicle_breakdown,Magadi Road,2024-03-05 11:40:17.793000+05:30,4.1786,64.28,3.7955,0.3786,43.5,0.3831,0.3831,1.0119,False,True,True,1.4842,0.231175,3,stratum,3.6719,0.9025,38.33,0.5067,0.321527,0.241,0,0.058088,-0.3654,38.58,2024-W10
FKID002523,vehicle_breakdown,Magadi Road,2024-03-05 11:41:26.730000+05:30,4.1369,61.61,3.8841,0.3035,47.62,0.2529,0.2529,0.8334,False,True,True,1.1895,0.150443,4,stratum,3.6719,0.9025,38.33,0.465,0.304451,0.241,0,0.058088,-0.1799,38.58,2024-W10
FKID002541,vehicle_breakdown,Bellary Road 2,2024-03-05 23:42:44.578000+05:30,3.2333,24.36,3.7324,0.2738,40.78,-0.4991,0.4991,-1.8226,False,False,True,1.0734,0.351972,2,stratum,3.7465,0.8545,41.37,-0.5132,0.319087,0.2738,0,0.074972,-0.2757,49.06,2024-W10
FKID002555,others,Mysore Road,2024-03-06 00:38:45.679000+05:30,7.6375,2073.54,5.717,0.001,302.99,1.9205,1.9205,1920.486,False,False,False,0.0039,1.919924,1,stratum,6.4744,2.8532,647.33,1.1631,0.853355,0.4348,0,0.189036,0.3832,8360.02,2024-W10
FKID002553,vehicle_breakdown,Tumkur Road,2024-03-06 01:37:08.276000+05:30,2.4155,10.2,2.7996,0.17,15.44,-0.3841,0.3841,-2.259,False,False,False,0.6665,0.289574,3,stratum,3.5342,0.7689,33.27,-1.1186,0.734768,0.241,0,0.058088,0.153,42.81,2024-W10
FKID002549,others,Hennur Main Road,2024-03-06 01:54:29.151000+05:30,9.2501,10404.14,8.7452,1.872,6279.63,0.5048,0.5048,0.2697,True,True,True,7.3383,0.491464,0,stratum,8.7452,1.872,6279.63,0.5048,0.491464,0.4348,0,0.189036,0.2585,8102.6,2024-W10
FKID002554,vehicle_breakdown,Mysore Road,2024-03-06 02:11:42.642000+05:30,2.0489,6.76,3.4802,0.2382,31.46,-1.4313,1.4313,-6.0089,False,False,False,0.9337,1.296899,8,stratum,3.4976,0.9394,32.04,-1.4487,0.968707,0.241,0,0.058088,-0.2484,46.77,2024-W10
FKID002557,others,Non-corridor,2024-03-06 02:23:57.733000+05:30,7.5786,1954.9,6.8124,1.2262,908.09,0.7662,0.7662,0.6248,True,True,True,4.8067,0.471559,3,stratum,6.7457,3.1072,849.37,0.8329,0.814683,0.0,0,0.0,0.056,63.58,2024-W10
FKID002561,construction,ORR East 2,2024-03-06 02:37:23.190000+05:30,6.6585,778.38,6.9852,0.4406,1079.57,-0.3267,0.3267,-0.7416,False,True,True,1.727,0.195435,2,stratum,6.6598,0.5156,779.38,-0.0013,0.120503,0.0,0,0.0,-0.0588,847.3,2024-W10
FKID002565,vehicle_breakdown,ORR North 2,2024-03-06 02:49:44.716000+05:30,4.6031,98.79,4.4313,0.001,83.04,0.1718,0.1718,171.7905,False,False,False,0.0039,0.171226,1,stratum,3.533,0.9242,33.23,1.0701,0.66168,0.241,1,0.576059,0.0103,38.96,2024-W10
