event_id,scenario_id,scenario_name,delay_delta,risk_delta,alert_delta,confidence_delta,delay_score,risk_score,alert_score,override_score,confidence_score,simulation_score,generated_at
FKID000022,SCENARIO_6,Worst-case drift escalation,41279.167,32.5319,0.0,-0.4,0.524093,0.662659,0.5,0.5,0.7,0.57723,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_7,Best-case stabilized state,-41279.167,-23.5768,-0.0,0.4,0.475907,0.382116,0.5,0.5,0.3,0.436202,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_1,No intervention,136518.1027,23.2899,0.0,-0.3,0.579681,0.616449,0.5,0.5,0.65,0.577823,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_2,Resource reduction,68259.0513,11.645,0.0,-0.15,0.53984,0.558225,0.5,0.5,0.575,0.538912,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_3,Resource increase,-157663.5723,-6.4272,-0.0,0.1,0.407977,0.467864,0.5,0.5,0.45,0.453151,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_4,Diversion disabled,40955.4308,4.8204,0.0,-0.1,0.523904,0.524102,0.5,0.5,0.55,0.520597,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_5,Operator override plan,-191594.252,-12.8544,0.0,0.05,0.388173,0.435728,0.5,0.567226,0.475,0.445802,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_6,Worst-case drift escalation,68259.0513,32.1361,0.0,-0.4,0.53984,0.66068,0.5,0.5,0.7,0.582148,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_7,Best-case stabilized state,-68259.0513,-23.2899,-0.0,0.4,0.46016,0.38355,0.5,0.5,0.3,0.431121,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_1,No intervention,113555.6031,23.133,0.0,-0.3,0.566278,0.615665,0.5,0.5,0.65,0.572897,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_2,Resource reduction,56777.8015,11.5665,0.0,-0.15,0.533139,0.557832,0.5,0.5,0.575,0.536448,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_3,Resource increase,-157663.5723,-6.3839,-0.0,0.1,0.407977,0.468081,0.5,0.5,0.45,0.453216,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_4,Diversion disabled,34066.6809,4.7879,0.0,-0.1,0.519883,0.52394,0.5,0.5,0.55,0.519141,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_5,Operator override plan,143695.689,9.5758,0.0,0.05,0.58387,0.547879,0.5,0.550306,0.475,0.546249,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_6,Worst-case drift escalation,56777.8015,31.9195,0.0,-0.4,0.533139,0.659597,0.5,0.5,0.7,0.579478,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_7,Best-case stabilized state,-56777.8015,-23.133,-0.0,0.4,0.466861,0.384335,0.5,0.5,0.3,0.433702,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_1,No intervention,75123.6544,22.9719,0.0,-0.3,0.543847,0.61486,0.5,0.5,0.65,0.564804,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_2,Resource reduction,37561.8272,11.4859,0.0,-0.15,0.521923,0.55743,0.5,0.5,0.575,0.532402,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_3,Resource increase,-157663.5723,-6.3394,-0.0,0.1,0.407977,0.468303,0.5,0.5,0.45,0.453283,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_4,Diversion disabled,22537.0963,4.7546,0.0,-0.1,0.513154,0.523773,0.5,0.5,0.55,0.516736,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_6,Worst-case drift escalation,37561.8272,31.6972,0.0,-0.4,0.521923,0.658486,0.5,0.5,0.7,0.575219,2026-06-20T01:47:22.890493+00:00
FKID006361,SCENARIO_7,Best-case stabilized state,-37561.8272,-22.9719,-0.0,0.4,0.478077,0.385141,0.5,0.5,0.3,0.437869,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_1,No intervention,69746.5297,22.8999,0.0,-0.3,0.540709,0.614499,0.5,0.5,0.65,0.563598,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_2,Resource reduction,34873.2649,11.4499,0.0,-0.15,0.520354,0.557249,0.5,0.5,0.575,0.531799,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_3,Resource increase,-157663.5723,-6.3196,-0.0,0.1,0.407977,0.468402,0.5,0.5,0.45,0.453313,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_4,Diversion disabled,20923.9589,4.7397,0.0,-0.1,0.512213,0.523698,0.5,0.5,0.55,0.516384,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_5,Operator override plan,73541.7271,9.4794,0.0,0.05,0.542924,0.547397,0.5,0.533759,0.475,0.530118,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_6,Worst-case drift escalation,34873.2649,31.5978,0.0,-0.4,0.520354,0.657989,0.5,0.5,0.7,0.574521,2026-06-20T01:47:22.890493+00:00
FKID004125,SCENARIO_7,Best-case stabilized state,-34873.2649,-22.8999,-0.0,0.4,0.479646,0.385501,0.5,0.5,0.3,0.438526,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_1,No intervention,66349.9131,22.5252,0.0,-0.3,0.538726,0.612626,0.5,0.5,0.65,0.562342,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_2,Resource reduction,33174.9565,11.2626,0.0,-0.15,0.519363,0.556313,0.5,0.5,0.575,0.531171,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_3,Resource increase,-157663.5723,-6.2162,-0.0,0.1,0.407977,0.468919,0.5,0.5,0.45,0.453468,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_4,Diversion disabled,19904.9739,4.6621,0.0,-0.1,0.511618,0.523311,0.5,0.5,0.55,0.516059,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_5,Operator override plan,-132699.8261,-6.2162,0.0,0.05,0.422548,0.468919,0.5,0.541859,0.475,0.465253,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_6,Worst-case drift escalation,33174.9565,31.0809,0.0,-0.4,0.519363,0.655405,0.5,0.5,0.7,0.573398,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_7,Best-case stabilized state,-33174.9565,-22.5252,-0.0,0.4,0.480637,0.387374,0.5,0.5,0.3,0.439435,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_1,No intervention,129701.8854,22.5133,0.0,-0.3,0.575702,0.612567,0.5,0.5,0.65,0.575266,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_2,Resource reduction,64850.9427,11.2567,0.0,-0.15,0.537851,0.556284,0.5,0.5,0.575,0.537633,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_3,Resource increase,-157663.5723,-6.2129,-0.0,0.1,0.407977,0.468936,0.5,0.5,0.45,0.453473,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_6,Worst-case drift escalation,64850.9427,31.0645,0.0,-0.4,0.537851,0.655322,0.5,0.5,0.7,0.579845,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_7,Best-case stabilized state,-64850.9427,-22.5133,-0.0,0.4,0.462149,0.387433,0.5,0.5,0.3,0.432982,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_1,No intervention,103679.1639,22.4941,0.0,-0.3,0.560514,0.612471,0.5,0.5,0.65,0.569921,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_2,Resource reduction,51839.582,11.2471,0.0,-0.15,0.530257,0.556235,0.5,0.5,0.575,0.534961,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_3,Resource increase,-157663.5723,-6.2076,-0.0,0.1,0.407977,0.468962,0.5,0.5,0.45,0.453481,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_4,Diversion disabled,31103.7492,4.6557,0.0,-0.1,0.518154,0.523278,0.5,0.5,0.55,0.518337,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_6,Worst-case drift escalation,51839.582,31.038,0.0,-0.4,0.530257,0.65519,0.5,0.5,0.7,0.577147,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_7,Best-case stabilized state,-51839.582,-22.4941,-0.0,0.4,0.469743,0.387529,0.5,0.5,0.3,0.435669,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_1,No intervention,22360.1389,22.3561,0.0,-0.3,0.513051,0.611781,0.5,0.5,0.65,0.553102,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_2,Resource reduction,11180.0694,11.1781,0.0,-0.15,0.506525,0.55589,0.5,0.5,0.575,0.526551,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_3,Resource increase,-157663.5723,-6.1695,-0.0,0.1,0.407977,0.469152,0.5,0.5,0.45,0.453538,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_4,Diversion disabled,6708.0417,4.6271,0.0,-0.1,0.503915,0.523135,0.5,0.5,0.55,0.513311,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_6,Worst-case drift escalation,11180.0694,30.8475,0.0,-0.4,0.506525,0.654238,0.5,0.5,0.7,0.568555,2026-06-20T01:47:22.890493+00:00
FKID006514,SCENARIO_7,Best-case stabilized state,-11180.0694,-22.3561,-0.0,0.4,0.493475,0.388219,0.5,0.5,0.3,0.444182,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_1,No intervention,51603.0964,13.1867,0.0,-0.3,0.530119,0.565933,0.5,0.5,0.65,0.545322,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_2,Resource reduction,25801.5482,6.5934,0.0,-0.15,0.515059,0.532967,0.5,0.5,0.575,0.522661,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_3,Resource increase,-157663.5723,-6.1506,-0.0,0.1,0.407977,0.469247,0.5,0.5,0.45,0.453566,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_6,Worst-case drift escalation,25801.5482,30.7532,0.0,-0.4,0.515059,0.653766,0.5,0.5,0.7,0.571401,2026-06-20T01:47:22.890493+00:00
FKID006015,SCENARIO_7,Best-case stabilized state,-25801.5482,-13.1867,-0.0,0.4,0.484941,0.434066,0.5,0.5,0.3,0.454949,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_1,No intervention,57185.4489,19.2835,0.0,-0.3,0.533377,0.596418,0.5,0.5,0.65,0.555607,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_2,Resource reduction,28592.7244,9.6418,0.0,-0.15,0.516689,0.548209,0.5,0.5,0.575,0.527804,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_3,Resource increase,-157663.5723,-6.1371,-0.0,0.1,0.407977,0.469315,0.5,0.5,0.45,0.453586,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_6,Worst-case drift escalation,28592.7244,30.6856,0.0,-0.4,0.516689,0.653428,0.5,0.5,0.7,0.571869,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_7,Best-case stabilized state,-28592.7244,-19.2835,-0.0,0.4,0.483311,0.403582,0.5,0.5,0.3,0.445234,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_1,No intervention,86587.8213,19.2763,0.0,-0.3,0.550538,0.596382,0.5,0.5,0.65,0.561603,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_2,Resource reduction,43293.9106,9.6382,0.0,-0.15,0.525269,0.548191,0.5,0.5,0.575,0.530801,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_3,Resource increase,-157663.5723,-6.1348,-0.0,0.1,0.407977,0.469326,0.5,0.5,0.45,0.45359,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_6,Worst-case drift escalation,43293.9106,30.6741,0.0,-0.4,0.525269,0.65337,0.5,0.5,0.7,0.574855,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_7,Best-case stabilized state,-43293.9106,-19.2763,-0.0,0.4,0.474731,0.403618,0.5,0.5,0.3,0.442241,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_1,No intervention,84551.1843,19.1538,0.0,-0.3,0.549349,0.595769,0.5,0.5,0.65,0.561003,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_2,Resource reduction,42275.5921,9.5769,0.0,-0.15,0.524675,0.547884,0.5,0.5,0.575,0.530502,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_3,Resource increase,-157663.5723,-6.0958,-0.0,0.1,0.407977,0.469521,0.5,0.5,0.45,0.453648,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_6,Worst-case drift escalation,42275.5921,30.4792,0.0,-0.4,0.524675,0.652396,0.5,0.5,0.7,0.574355,2026-06-20T01:47:22.890493+00:00
FKID003911,SCENARIO_7,Best-case stabilized state,-42275.5921,-19.1538,-0.0,0.4,0.475325,0.404231,0.5,0.5,0.3,0.442633,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_1,No intervention,11569.8066,13.0208,0.0,-0.3,0.506753,0.565104,0.5,0.5,0.65,0.536895,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_2,Resource reduction,5784.9033,6.5104,0.0,-0.15,0.503376,0.532552,0.5,0.5,0.575,0.518447,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_3,Resource increase,-157663.5723,-6.0733,-0.0,0.1,0.407977,0.469633,0.5,0.5,0.45,0.453682,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_6,Worst-case drift escalation,5784.9033,30.3664,0.0,-0.4,0.503376,0.651832,0.5,0.5,0.7,0.566731,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_7,Best-case stabilized state,-5784.9033,-13.0208,-0.0,0.4,0.496624,0.434896,0.5,0.5,0.3,0.459287,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_1,No intervention,87621.7755,19.0692,0.0,-0.3,0.551142,0.595346,0.5,0.5,0.65,0.561503,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_2,Resource reduction,43810.8878,9.5346,0.0,-0.15,0.525571,0.547673,0.5,0.5,0.575,0.530752,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_3,Resource increase,-157663.5723,-6.0689,-0.0,0.1,0.407977,0.469656,0.5,0.5,0.45,0.453689,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_4,Diversion disabled,0.0,0.0,0.0,-0.1,0.5,0.5,0.5,0.5,0.55,0.505,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_5,Operator override plan,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.5,0.475,0.4975,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_6,Worst-case drift escalation,43810.8878,30.3444,0.0,-0.4,0.525571,0.651722,0.5,0.5,0.7,0.574466,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_7,Best-case stabilized state,-43810.8878,-19.0692,-0.0,0.4,0.474429,0.404654,0.5,0.5,0.3,0.442446,2026-06-20T01:47:22.890493+00:00
FKID007189,SCENARIO_0,Current recommended plan,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2026-06-20T01:47:22.890493+00:00
FKID007189,SCENARIO_1,No intervention,35588.9519,18.9909,0.0,-0.3,0.520772,0.594955,0.5,0.5,0.65,0.550757,2026-06-20T01:47:22.890493+00:00
FKID007189,SCENARIO_2,Resource reduction,17794.476,9.4955,0.0,-0.15,0.510386,0.547477,0.5,0.5,0.575,0.525378,2026-06-20T01:47:22.890493+00:00
FKID007189,SCENARIO_3,Resource increase,-157663.5723,-6.044,-0.0,0.1,0.407977,0.46978,0.5,0.5,0.45,0.453726,2026-06-20T01:47:22.890493+00:00
