event_id,action_id,action_type,d_queue,d_travel,d_risk,queue_after,travel_after,risk_after,benefit_score,cost_score,control_score,objective_J,feasible_applicable,generated_at
FKID000528,DISPATCH_MARSHAL,resource,16.1999,12.5831,0.035372,215.2275,239.0792,0.135428,0.345555,2.0,0.245555,1.22998,True,2026-06-20T02:47:06.160690+00:00
FKID000528,DISPATCH_TOW,resource,39.7963,15.0997,0.066215,191.6311,236.5626,0.104585,0.63184,3.0,0.48184,1.302082,True,2026-06-20T02:47:06.160690+00:00
FKID000528,VMS_MESSAGE,information,9.2571,15.0997,0.021956,222.1703,236.5626,0.148844,0.288829,0.5,0.263829,1.078417,True,2026-06-20T02:47:06.160690+00:00
FKID000528,ROADWORK_ALERT,information,6.9428,5.0332,0.021956,224.4846,246.6291,0.148844,0.157693,0.5,0.132693,1.113129,True,2026-06-20T02:47:06.160690+00:00
FKID000842,SIGNAL_EXTEND_GREEN,signal,32.2823,21.2556,0.03028,274.5612,221.1858,0.16072,0.565752,1.0,0.515752,1.151671,True,2026-06-20T02:47:06.160690+00:00
FKID000842,SIGNAL_REDUCE_GREEN,signal,13.4509,6.3767,0.02337,293.3926,236.0647,0.16763,0.229683,1.0,0.179683,1.212411,True,2026-06-20T02:47:06.160690+00:00
FKID000842,SIGNAL_OFFSET_ADJUST,signal,21.5215,17.0045,0.02337,285.322,225.4369,0.16763,0.415025,1.0,0.365025,1.17295,True,2026-06-20T02:47:06.160690+00:00
FKID000842,ACTIVATE_DIVERSION,traffic,50.3687,33.1642,0.05101,256.4748,209.2772,0.13999,0.89025,3.0,0.74025,1.29775,True,2026-06-20T02:47:06.160690+00:00
FKID000842,QUEUE_RELIEF,traffic,46.0265,24.2441,0.0441,260.817,218.1973,0.1469,0.741133,2.0,0.641133,1.231383,True,2026-06-20T02:47:06.160690+00:00
FKID000842,DISPATCH_MARSHAL,resource,21.479,12.1221,0.03719,285.3645,230.3193,0.15381,0.388062,2.0,0.288062,1.285791,True,2026-06-20T02:47:06.160690+00:00
FKID000842,VMS_MESSAGE,information,12.2737,14.5465,0.02337,294.5698,227.8949,0.16763,0.310649,0.5,0.285649,1.135767,True,2026-06-20T02:47:06.160690+00:00
FKID000842,ROADWORK_ALERT,information,9.2053,4.8488,0.02337,297.6382,237.5926,0.16763,0.177326,0.5,0.152326,1.169627,True,2026-06-20T02:47:06.160690+00:00
FKID000923,SIGNAL_EXTEND_GREEN,signal,11.1621,18.8793,0.029808,107.1691,221.2908,0.155292,0.362403,1.0,0.312404,1.050329,True,2026-06-20T02:47:06.160690+00:00
FKID000923,SIGNAL_REDUCE_GREEN,signal,4.6509,5.6638,0.022957,113.6803,234.5063,0.162143,0.147603,1.0,0.097603,1.099349,True,2026-06-20T02:47:06.160690+00:00
FKID000923,SIGNAL_OFFSET_ADJUST,signal,7.4414,15.1034,0.022957,110.8898,225.0667,0.162143,0.275741,1.0,0.225741,1.066488,True,2026-06-20T02:47:06.160690+00:00
FKID000923,QUEUE_RELIEF,traffic,17.7497,24.017,0.04351,100.5815,216.1531,0.14159,0.50179,2.0,0.40179,1.126484,True,2026-06-20T02:47:06.160690+00:00
FKID000923,DISPATCH_MARSHAL,resource,8.2832,12.0085,0.036659,110.048,228.1616,0.148441,0.275772,2.0,0.175772,1.172958,True,2026-06-20T02:47:06.160690+00:00
FKID000923,DISPATCH_TOW,resource,22.8786,14.4102,0.075485,95.4526,225.7599,0.109615,0.501738,3.0,0.351738,1.247948,True,2026-06-20T02:47:06.160690+00:00
FKID000923,VMS_MESSAGE,information,4.7332,14.4102,0.022957,113.598,225.7599,0.162143,0.245471,0.5,0.220471,1.020153,True,2026-06-20T02:47:06.160690+00:00
FKID000923,ROADWORK_ALERT,information,3.5499,4.8034,0.022957,114.7813,235.3667,0.162143,0.128868,0.5,0.103868,1.052767,True,2026-06-20T02:47:06.160690+00:00
FKID000944,SIGNAL_REDUCE_GREEN,signal,2.681,7.8871,0.018246,59.2539,295.7866,0.099554,0.146468,1.0,0.096468,1.259787,True,2026-06-20T02:47:06.160690+00:00
FKID000944,SIGNAL_OFFSET_ADJUST,signal,4.2896,21.0322,0.018246,57.6453,282.6415,0.099554,0.30593,1.0,0.25593,1.215166,True,2026-06-20T02:47:06.160690+00:00
FKID000944,DISPATCH_MARSHAL,resource,4.3354,15.1837,0.030602,57.5995,288.49,0.087198,0.26604,2.0,0.16604,1.331549,True,2026-06-20T02:47:06.160690+00:00
FKID000944,VMS_MESSAGE,information,2.4774,18.2204,0.018246,59.4575,285.4533,0.099554,0.259586,0.5,0.234586,1.175445,True,2026-06-20T02:47:06.160690+00:00
FKID000944,ROADWORK_ALERT,information,1.858,6.0735,0.018246,60.0769,297.6002,0.099554,0.119459,0.5,0.094459,1.216244,True,2026-06-20T02:47:06.160690+00:00
FKID000968,SIGNAL_EXTEND_GREEN,signal,13.2445,15.1738,0.037736,135.3951,189.1755,0.246464,0.354441,1.0,0.304441,0.975492,True,2026-06-20T02:47:06.160690+00:00
FKID000968,SIGNAL_REDUCE_GREEN,signal,5.5185,4.5521,0.029894,143.1211,199.7972,0.254306,0.156354,1.0,0.106354,1.016721,True,2026-06-20T02:47:06.160690+00:00
FKID000968,SIGNAL_OFFSET_ADJUST,signal,8.8297,12.139,0.029894,139.8099,192.2103,0.254306,0.268247,1.0,0.218247,0.989776,True,2026-06-20T02:47:06.160690+00:00
FKID000968,ACTIVATE_DIVERSION,traffic,21.8349,25.0154,0.061262,126.8047,179.3339,0.222938,0.58243,3.0,0.43243,1.13251,True,2026-06-20T02:47:06.160690+00:00
FKID000968,QUEUE_RELIEF,traffic,22.2959,20.4349,0.05342,126.3437,183.9144,0.23078,0.519694,2.0,0.419694,1.049508,True,2026-06-20T02:47:06.160690+00:00
FKID000968,DISPATCH_POLICE,resource,14.864,16.3479,0.100306,133.7756,188.0014,0.183894,0.506122,4.0,0.306122,1.255126,True,2026-06-20T02:47:06.160690+00:00
FKID000968,DISPATCH_MARSHAL,resource,10.4048,10.2175,0.045578,138.2348,194.1318,0.238622,0.29139,2.0,0.19139,1.091472,True,2026-06-20T02:47:06.160690+00:00
FKID000968,DISPATCH_TOW,resource,30.9575,12.261,0.095873,117.6821,192.0883,0.188327,0.585958,3.0,0.435958,1.16181,True,2026-06-20T02:47:06.160690+00:00
FKID000968,VMS_MESSAGE,information,5.9456,12.261,0.029894,142.694,192.0883,0.254306,0.245568,0.5,0.220568,0.940811,True,2026-06-20T02:47:06.160690+00:00
FKID000968,OPERATOR_ESCALATION,information,0.0,0.0,0.037736,148.6396,204.3493,0.246464,0.075472,0.5,0.050472,0.982693,True,2026-06-20T02:47:06.160690+00:00
FKID000968,ROADWORK_ALERT,information,4.4592,4.087,0.029894,144.1804,200.2623,0.254306,0.142359,0.5,0.117359,0.968801,True,2026-06-20T02:47:06.160690+00:00
FKID001125,SIGNAL_EXTEND_GREEN,signal,24.8258,21.3625,0.030144,207.7823,218.8273,0.159156,0.504531,1.0,0.454531,1.115859,True,2026-06-20T02:47:06.160690+00:00
FKID001125,SIGNAL_REDUCE_GREEN,signal,10.3441,6.4087,0.023251,222.264,233.7811,0.166049,0.203911,1.0,0.153911,1.174669,True,2026-06-20T02:47:06.160690+00:00
FKID001125,SIGNAL_OFFSET_ADJUST,signal,16.5505,17.09,0.023251,216.0576,223.0998,0.166049,0.374312,1.0,0.324312,1.135961,True,2026-06-20T02:47:06.160690+00:00
FKID001125,DEACTIVATE_DIVERSION,traffic,9.3043,12.0095,0.016358,223.3038,228.1803,0.172942,0.243691,1.0,0.193691,1.158243,True,2026-06-20T02:47:06.160690+00:00
FKID001125,QUEUE_RELIEF,traffic,34.8912,24.019,0.04393,197.7169,216.1708,0.14537,0.645498,2.0,0.545498,1.198525,True,2026-06-20T02:47:06.160690+00:00
FKID001125,DISPATCH_MARSHAL,resource,16.2826,12.0095,0.037037,216.3255,228.1803,0.152263,0.343201,2.0,0.243201,1.249584,True,2026-06-20T02:47:06.160690+00:00
FKID001125,VMS_MESSAGE,information,9.3043,14.4114,0.023251,223.3038,225.7784,0.166049,0.284164,0.5,0.259164,1.098513,True,2026-06-20T02:47:06.160690+00:00
FKID001125,ROADWORK_ALERT,information,6.9782,4.8038,0.023251,225.6299,235.386,0.166049,0.158029,0.5,0.133029,1.131702,True,2026-06-20T02:47:06.160690+00:00
FKID001133,SIGNAL_REDUCE_GREEN,signal,7.7396,6.5198,0.017574,163.3261,233.653,0.090626,0.172087,1.0,0.122087,1.133163,True,2026-06-20T02:47:06.160690+00:00
FKID001133,SIGNAL_OFFSET_ADJUST,signal,12.3834,17.386,0.017574,158.6823,222.7868,0.090626,0.331521,1.0,0.281521,1.09462,True,2026-06-20T02:47:06.160690+00:00
FKID001133,DISPATCH_MARSHAL,resource,11.9746,12.0086,0.029738,159.0911,228.1642,0.078462,0.292693,2.0,0.192693,1.209708,True,2026-06-20T02:47:06.160690+00:00
FKID001133,VMS_MESSAGE,information,6.8426,14.4104,0.017574,164.2231,225.7624,0.090626,0.252285,0.5,0.227285,1.057309,True,2026-06-20T02:47:06.160690+00:00
FKID001133,ROADWORK_ALERT,information,5.132,4.8035,0.017574,165.9337,235.3693,0.090626,0.131287,0.5,0.106287,1.090188,True,2026-06-20T02:47:06.160690+00:00
FKID001288,SIGNAL_EXTEND_GREEN,signal,13.0758,18.3746,0.037192,153.2902,262.1662,0.240208,0.387511,1.0,0.337511,1.14008,True,2026-06-20T02:47:06.160690+00:00
FKID001288,SIGNAL_OFFSET_ADJUST,signal,8.7172,14.6997,0.029418,157.6488,265.8411,0.247982,0.294809,1.0,0.244809,1.156453,True,2026-06-20T02:47:06.160690+00:00
FKID001288,QUEUE_RELIEF,traffic,24.9549,28.0541,0.05274,141.4111,252.4867,0.22466,0.62515,2.0,0.52515,1.197989,True,2026-06-20T02:47:06.160690+00:00
FKID001288,DISPATCH_POLICE,resource,16.6366,22.4433,0.098479,149.7294,258.0975,0.178921,0.584966,4.0,0.384966,1.409416,True,2026-06-20T02:47:06.160690+00:00
FKID001288,DISPATCH_MARSHAL,resource,11.6456,14.027,0.044966,154.7204,266.5138,0.232434,0.342834,2.0,0.242834,1.253344,True,2026-06-20T02:47:06.160690+00:00
FKID001288,DISPATCH_TOW,resource,39.6444,16.8324,0.106496,126.7216,263.7084,0.170904,0.730389,3.0,0.580389,1.314611,True,2026-06-20T02:47:06.160690+00:00
FKID001288,VMS_MESSAGE,information,6.6546,16.8324,0.029418,159.7114,263.7084,0.247982,0.301318,0.5,0.276318,1.100375,True,2026-06-20T02:47:06.160690+00:00
FKID001288,OPERATOR_ESCALATION,information,0.0,0.0,0.037192,166.366,280.5408,0.240208,0.074384,0.5,0.049384,1.157867,True,2026-06-20T02:47:06.160690+00:00
FKID001288,ROADWORK_ALERT,information,4.991,5.6108,0.029418,161.375,274.93,0.247982,0.16277,0.5,0.13777,1.138612,True,2026-06-20T02:47:06.160690+00:00
FKID001489,SIGNAL_EXTEND_GREEN,signal,21.0186,21.1466,0.02596,177.9063,219.0164,0.11104,0.462037,1.0,0.412037,1.093782,True,2026-06-20T02:47:06.160690+00:00
FKID001489,SIGNAL_REDUCE_GREEN,signal,8.7578,6.344,0.01959,190.1671,233.819,0.11741,0.182651,1.0,0.132651,1.150847,True,2026-06-20T02:47:06.160690+00:00
FKID001489,SIGNAL_OFFSET_ADJUST,signal,14.0124,16.9173,0.01959,184.9125,223.2457,0.11741,0.34392,1.0,0.29392,1.112975,True,2026-06-20T02:47:06.160690+00:00
FKID001489,QUEUE_RELIEF,traffic,29.8387,24.0163,0.0387,169.0862,216.1467,0.0983,0.592904,2.0,0.492904,1.176621,True,2026-06-20T02:47:06.160690+00:00
FKID001489,DISPATCH_MARSHAL,resource,13.9247,12.0082,0.03233,185.0002,228.1549,0.10467,0.314124,2.0,0.214124,1.226198,True,2026-06-20T02:47:06.160690+00:00
FKID001489,VMS_MESSAGE,information,7.957,14.4098,0.01959,190.9679,225.7532,0.11741,0.265597,0.5,0.240597,1.074361,True,2026-06-20T02:47:06.160690+00:00
FKID001489,ROADWORK_ALERT,information,5.9677,4.8033,0.01959,192.9572,235.3597,0.11741,0.142281,0.5,0.117281,1.107378,True,2026-06-20T02:47:06.160690+00:00
FKID001592,SIGNAL_EXTEND_GREEN,signal,10.2857,16.3098,0.034416,111.0139,214.5016,0.208284,0.335766,1.0,0.285766,1.018448,True,2026-06-20T02:47:06.160690+00:00
FKID001592,SIGNAL_REDUCE_GREEN,signal,4.2857,4.8929,0.026989,117.0139,225.9185,0.215711,0.144058,1.0,0.094058,1.061361,True,2026-06-20T02:47:06.160690+00:00
FKID001592,SIGNAL_OFFSET_ADJUST,signal,6.8571,13.0479,0.026989,114.4425,217.7635,0.215711,0.256097,1.0,0.206097,1.032892,True,2026-06-20T02:47:06.160690+00:00
FKID001592,QUEUE_RELIEF,traffic,18.1949,23.0811,0.04927,103.1047,207.7303,0.19343,0.506621,2.0,0.406621,1.088208,True,2026-06-20T02:47:06.160690+00:00
FKID001592,DISPATCH_POLICE,resource,12.13,18.4649,0.089359,109.1696,212.3465,0.153341,0.484967,4.0,0.284967,1.296606,True,2026-06-20T02:47:06.160690+00:00
FKID001592,DISPATCH_MARSHAL,resource,8.491,11.5406,0.041843,112.8086,219.2708,0.200857,0.282673,2.0,0.182673,1.133385,True,2026-06-20T02:47:06.160690+00:00
FKID001592,DISPATCH_TOW,resource,26.7568,13.8487,0.094049,94.5428,216.9627,0.148651,0.564946,3.0,0.414946,1.203507,True,2026-06-20T02:47:06.160690+00:00
FKID001592,VMS_MESSAGE,information,4.852,13.8487,0.026989,116.4476,216.9627,0.215711,0.248286,0.5,0.223286,0.981225,True,2026-06-20T02:47:06.160690+00:00
FKID001592,ROADWORK_ALERT,information,3.639,4.6162,0.026989,117.6606,226.1952,0.215711,0.135594,0.5,0.110594,1.012606,True,2026-06-20T02:47:06.160690+00:00
FKID001646,SIGNAL_EXTEND_GREEN,signal,12.2499,19.9395,0.03392,122.6834,243.6219,0.20258,0.391473,1.0,0.341473,1.157416,True,2026-06-20T02:47:06.160690+00:00
FKID001646,SIGNAL_REDUCE_GREEN,signal,5.1041,5.9818,0.026555,129.8292,257.5796,0.209945,0.162109,1.0,0.112109,1.209356,True,2026-06-20T02:47:06.160690+00:00
FKID001646,SIGNAL_OFFSET_ADJUST,signal,8.1666,15.9516,0.026555,126.7667,247.6098,0.209945,0.298405,1.0,0.248405,1.174592,True,2026-06-20T02:47:06.160690+00:00
FKID001646,QUEUE_RELIEF,traffic,20.24,26.3561,0.04865,114.6933,237.2053,0.18785,0.558812,2.0,0.458812,1.22835,True,2026-06-20T02:47:06.160690+00:00
FKID001646,DISPATCH_POLICE,resource,13.4933,21.0849,0.087766,121.44,242.4765,0.148734,0.522253,4.0,0.322253,1.439515,True,2026-06-20T02:47:06.160690+00:00
FKID001646,DISPATCH_MARSHAL,resource,9.4453,13.1781,0.041285,125.488,250.3833,0.195215,0.307704,2.0,0.207704,1.279516,True,2026-06-20T02:47:06.160690+00:00
FKID001646,DISPATCH_TOW,resource,27.4551,15.8137,0.086754,107.4782,247.7477,0.149746,0.578008,3.0,0.428008,1.350358,True,2026-06-20T02:47:06.160690+00:00
FKID001646,VMS_MESSAGE,information,5.3973,15.8137,0.026555,129.536,247.7477,0.209945,0.273795,0.5,0.248795,1.126437,True,2026-06-20T02:47:06.160690+00:00
FKID001646,ROADWORK_ALERT,information,4.048,5.2712,0.026555,130.8853,258.2902,0.209945,0.145412,0.5,0.120412,1.162253,True,2026-06-20T02:47:06.160690+00:00
FKID001693,SIGNAL_EXTEND_GREEN,signal,19.1432,19.504,0.033384,170.8053,212.7305,0.196416,0.443006,1.0,0.393006,1.061371,True,2026-06-20T02:47:06.160690+00:00
FKID001693,SIGNAL_REDUCE_GREEN,signal,7.9763,5.8512,0.026086,181.9722,226.3833,0.203714,0.183654,1.0,0.133655,1.114289,True,2026-06-20T02:47:06.160690+00:00
FKID001693,SIGNAL_OFFSET_ADJUST,signal,12.7621,15.6032,0.026086,177.1864,216.6313,0.203714,0.331892,1.0,0.281892,1.079389,True,2026-06-20T02:47:06.160690+00:00
FKID001693,QUEUE_RELIEF,traffic,28.4923,23.2234,0.04798,161.4562,209.0111,0.18182,0.591434,2.0,0.491434,1.14065,True,2026-06-20T02:47:06.160690+00:00
FKID001693,DISPATCH_POLICE,resource,18.9948,18.5788,0.086055,170.9536,213.6557,0.143745,0.536831,4.0,0.336831,1.351362,True,2026-06-20T02:47:06.160690+00:00
FKID001693,DISPATCH_MARSHAL,resource,13.2964,11.6117,0.040682,176.6521,220.6228,0.189118,0.321186,2.0,0.221186,1.188778,True,2026-06-20T02:47:06.160690+00:00
FKID001693,DISPATCH_TOW,resource,33.2243,13.9341,0.075315,156.7242,218.3004,0.154485,0.582323,3.0,0.432323,1.262414,True,2026-06-20T02:47:06.160690+00:00
FKID001693,VMS_MESSAGE,information,7.5979,13.9341,0.026086,182.3506,218.3004,0.203714,0.270311,0.5,0.245311,1.037535,True,2026-06-20T02:47:06.160690+00:00
FKID001693,ROADWORK_ALERT,information,5.6985,4.6447,0.026086,184.25,227.5898,0.203714,0.151267,0.5,0.126267,1.069449,True,2026-06-20T02:47:06.160690+00:00
FKID001931,SIGNAL_EXTEND_GREEN,signal,10.9317,13.9506,0.031024,109.7166,170.8086,0.169276,0.308152,1.0,0.258152,0.914562,True,2026-06-20T02:47:06.160690+00:00
FKID001931,SIGNAL_REDUCE_GREEN,signal,4.5549,4.1852,0.024021,116.0934,180.574,0.176279,0.132502,1.0,0.082502,0.952052,True,2026-06-20T02:47:06.160690+00:00
FKID001931,SIGNAL_OFFSET_ADJUST,signal,7.2878,11.1605,0.024021,113.3605,173.5987,0.176279,0.232779,1.0,0.182779,0.927435,True,2026-06-20T02:47:06.160690+00:00
FKID001931,QUEUE_RELIEF,traffic,18.0972,18.4759,0.04503,102.5511,166.2833,0.15527,0.446158,2.0,0.346158,0.992393,True,2026-06-20T02:47:06.160690+00:00
FKID001931,DISPATCH_POLICE,resource,12.0648,14.7807,0.078674,108.5835,169.9785,0.121626,0.422118,4.0,0.222118,1.199315,True,2026-06-20T02:47:06.160690+00:00
FKID001931,DISPATCH_MARSHAL,resource,8.4454,9.238,0.038027,112.2029,175.5212,0.162273,0.249077,2.0,0.149077,1.029763,True,2026-06-20T02:47:06.160690+00:00
