risk_rank,event_id,event_cause,operational_risk_score,ors_percentile,operational_tier,service_tier,in_layer5_flag,critical_alert_indicator,generated_at
16,FKID004034,vehicle_breakdown,75.73129324803222,0.9957118353344768,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
17,FKID004078,vehicle_breakdown,75.72420704662544,0.9954259576901087,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
18,FKID000791,vehicle_breakdown,75.71765309326294,0.9951400800457404,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
19,FKID000781,vehicle_breakdown,75.68299165778753,0.9948542024013722,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
20,FKID004040,vehicle_breakdown,75.6643935839633,0.994568324757004,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
21,FKID004004,vehicle_breakdown,75.44009905057914,0.9942824471126358,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
22,FKID000720,vehicle_breakdown,75.30790260778342,0.9938536306460835,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
23,FKID000721,vehicle_breakdown,75.30790260778342,0.9938536306460835,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
24,FKID003989,vehicle_breakdown,75.25330953822045,0.9934248141795312,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
25,FKID000712,vehicle_breakdown,75.19984464159793,0.9931389365351629,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
26,FKID008022,vehicle_breakdown,75.18240813031383,0.9928530588907948,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
27,FKID007946,vehicle_breakdown,74.7136042783613,0.9925671812464265,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
28,FKID006680,vehicle_breakdown,74.24345278445564,0.9922813036020584,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
29,FKID003156,vehicle_breakdown,74.14901711555801,0.9919954259576901,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
30,FKID003500,vehicle_breakdown,74.14849566040103,0.9917095483133219,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
31,FKID003490,vehicle_breakdown,74.08067440166853,0.9914236706689536,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
32,FKID008000,vehicle_breakdown,74.06778941102542,0.9911377930245855,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
33,FKID006691,vehicle_breakdown,74.04780465195883,0.9908519153802172,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
34,FKID006362,vehicle_breakdown,73.91158718208203,0.9905660377358491,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
35,FKID003820,vehicle_breakdown,73.82841236041305,0.9902801600914809,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
36,FKID003765,vehicle_breakdown,73.76673741974902,0.9899942824471126,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
37,FKID003857,vehicle_breakdown,73.74816821033694,0.9897084048027445,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
38,FKID005964,vehicle_breakdown,73.72521992176883,0.9894225271583762,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
39,FKID003170,vehicle_breakdown,73.71514122801199,0.989136649514008,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
40,FKID003782,vehicle_breakdown,73.71135064635003,0.9887078330474557,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
41,FKID003784,vehicle_breakdown,73.71135064635003,0.9887078330474557,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
42,FKID003141,vehicle_breakdown,73.71103704209301,0.9882790165809033,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
43,FKID003774,vehicle_breakdown,73.65111807347571,0.9879931389365352,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
44,FKID003804,vehicle_breakdown,73.60605089864664,0.9877072612921669,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
45,FKID003893,vehicle_breakdown,73.60118908950382,0.9874213836477987,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
46,FKID003890,vehicle_breakdown,73.52966053828342,0.9871355060034306,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
47,FKID005827,vehicle_breakdown,73.49030807672216,0.9868496283590623,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
48,FKID006435,vehicle_breakdown,73.44813237404158,0.9865637507146942,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
49,FKID005842,vehicle_breakdown,73.35081593525133,0.9862778730703259,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
50,FKID005839,vehicle_breakdown,73.32839552344849,0.9859919954259577,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
51,FKID006966,vehicle_breakdown,73.07798850968398,0.9857061177815895,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
52,FKID007963,vehicle_breakdown,73.05959367180994,0.9854202401372213,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
53,FKID006762,vehicle_breakdown,72.8705631687888,0.985134362492853,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
54,FKID006651,vehicle_breakdown,72.34110120893158,0.9848484848484849,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
55,FKID007671,vehicle_breakdown,72.28661266159118,0.9845626072041166,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
56,FKID001274,vehicle_breakdown,72.28007277729843,0.9842767295597484,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
57,FKID001225,vehicle_breakdown,72.27643270119731,0.9839908519153803,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
58,FKID001254,vehicle_breakdown,72.24713045798843,0.983704974271012,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
59,FKID001240,vehicle_breakdown,72.1777790861088,0.9834190966266438,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
60,FKID006329,vehicle_breakdown,72.05608565314245,0.9831332189822756,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
61,FKID007527,vehicle_breakdown,72.04250324222038,0.9828473413379074,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
62,FKID006684,vehicle_breakdown,72.03524306515548,0.9825614636935391,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
63,FKID006010,accident,71.94072976866816,0.982275586049171,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
64,FKID006325,vehicle_breakdown,71.90608114727414,0.9819897084048027,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
65,FKID001170,vehicle_breakdown,71.89464488191044,0.9817038307604345,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
66,FKID006464,vehicle_breakdown,71.79881354485686,0.9814179531160663,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
67,FKID006278,vehicle_breakdown,71.70057972213971,0.9811320754716981,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
68,FKID001197,vehicle_breakdown,71.67564076467407,0.98084619782733,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
69,FKID006372,vehicle_breakdown,71.52612628092221,0.9805603201829617,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
70,FKID006151,vehicle_breakdown,71.16457437458459,0.9802744425385935,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
71,FKID005204,vehicle_breakdown,71.12884937283575,0.9799885648942253,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
72,FKID008133,vehicle_breakdown,71.0576316398,0.9797026872498571,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
73,FKID006979,vehicle_breakdown,70.93095898847176,0.9794168096054888,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
74,FKID006299,vehicle_breakdown,70.70613184810692,0.9791309319611207,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
75,FKID008136,vehicle_breakdown,70.66745197068434,0.9788450543167524,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
76,FKID005993,vehicle_breakdown,70.62138449193957,0.9785591766723842,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
77,FKID006001,vehicle_breakdown,70.49607425155135,0.978273299028016,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
78,FKID000869,vehicle_breakdown,70.31525543044049,0.9779874213836478,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
79,FKID002937,vehicle_breakdown,70.19945280484977,0.9777015437392796,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
80,FKID000844,vehicle_breakdown,70.1771013083697,0.9772727272727273,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
81,FKID000845,vehicle_breakdown,70.1771013083697,0.9772727272727273,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
82,FKID002918,vehicle_breakdown,70.15377734881903,0.9768439108061749,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
83,FKID006524,vehicle_breakdown,70.09879193212697,0.9765580331618068,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
84,FKID006140,vehicle_breakdown,70.09215884299952,0.9762721555174385,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
85,FKID007937,vehicle_breakdown,70.08018704318624,0.9759862778730704,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
86,FKID007026,vehicle_breakdown,70.05565671465845,0.9757004002287021,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
87,FKID006195,vehicle_breakdown,69.96093532164315,0.9754145225843339,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
88,FKID007739,vehicle_breakdown,69.8712235901279,0.9751286449399656,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
89,FKID003387,vehicle_breakdown,69.82533694167753,0.9748427672955975,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
90,FKID003301,vehicle_breakdown,69.818452892615,0.9744139508290451,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
91,FKID003306,vehicle_breakdown,69.818452892615,0.9744139508290451,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
92,FKID002922,vehicle_breakdown,69.72340151067029,0.9739851343624929,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
93,FKID003365,vehicle_breakdown,69.64469229027554,0.9735563178959405,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
94,FKID003368,vehicle_breakdown,69.64469229027554,0.9735563178959405,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
95,FKID002904,vehicle_breakdown,69.32233273976567,0.9731275014293882,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
96,FKID000328,accident,69.30024585135463,0.97284162378502,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
97,FKID004613,vehicle_breakdown,69.27092151457393,0.9725557461406518,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
98,FKID004569,vehicle_breakdown,69.20035519636401,0.9722698684962836,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
99,FKID007274,vehicle_breakdown,69.18842433472044,0.9719839908519153,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
100,FKID005990,vehicle_breakdown,69.18338814331149,0.9716981132075472,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
101,FKID006985,vehicle_breakdown,69.16731982988927,0.9714122355631789,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
102,FKID004634,accident,69.15712090678954,0.9711263579188107,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
103,FKID006823,vehicle_breakdown,69.08649111914733,0.9708404802744426,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
104,FKID007926,vehicle_breakdown,69.06993956553303,0.9705546026300743,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
105,FKID002660,vehicle_breakdown,68.99559395789812,0.9702687249857062,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
106,FKID001750,vehicle_breakdown,68.75465210804354,0.9699828473413379,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
107,FKID006596,vehicle_breakdown,68.7458159426517,0.9696969696969697,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
108,FKID000399,vehicle_breakdown,68.7380822944215,0.9692681532304174,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
109,FKID000410,vehicle_breakdown,68.7380822944215,0.9692681532304174,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
110,FKID001695,vehicle_breakdown,68.69511180338293,0.968839336763865,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
111,FKID006003,vehicle_breakdown,68.67241293028829,0.9685534591194969,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
112,FKID003112,vehicle_breakdown,68.63435710118766,0.9682675814751286,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
113,FKID001796,vehicle_breakdown,68.61746379072036,0.9679817038307604,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
114,FKID006067,vehicle_breakdown,68.60100411198687,0.9676958261863923,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
115,FKID001716,vehicle_breakdown,68.57464641436351,0.967409948542024,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
116,FKID002634,vehicle_breakdown,68.52562698192087,0.9671240708976558,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
117,FKID001870,vehicle_breakdown,68.51421084763122,0.9668381932532876,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
118,FKID002651,vehicle_breakdown,68.50715221922815,0.9665523156089194,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
119,FKID007025,vehicle_breakdown,68.45226094854304,0.9662664379645511,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
120,FKID002025,vehicle_breakdown,68.40551649877855,0.965980560320183,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
121,FKID007224,vehicle_breakdown,68.37041053482028,0.9656946826758147,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
122,FKID002544,vehicle_breakdown,68.32003279721451,0.9654088050314465,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
123,FKID002814,vehicle_breakdown,68.30013634598096,0.9651229273870783,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
124,FKID007196,vehicle_breakdown,68.26489799223539,0.9648370497427101,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
125,FKID003459,vehicle_breakdown,68.17869237525032,0.964551172098342,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
126,FKID003440,vehicle_breakdown,68.16003022532604,0.9642652944539737,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
127,FKID002041,vehicle_breakdown,68.15827213059787,0.9639794168096055,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
128,FKID006002,vehicle_breakdown,68.14336091789588,0.9636935391652373,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
129,FKID001530,vehicle_breakdown,68.13559433839607,0.9634076615208691,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
130,FKID003445,vehicle_breakdown,68.10727298562954,0.9631217838765008,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
131,FKID007112,vehicle_breakdown,68.10592597387743,0.9628359062321327,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
132,FKID003436,vehicle_breakdown,68.0987330356796,0.9624070897655803,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
133,FKID003439,vehicle_breakdown,68.0987330356796,0.9624070897655803,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
134,FKID001604,vehicle_breakdown,68.06842729896522,0.961978273299028,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
135,FKID004689,vehicle_breakdown,68.03025868123346,0.9616923956546598,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
136,FKID006414,vehicle_breakdown,68.02441708677841,0.9614065180102916,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
137,FKID003443,vehicle_breakdown,68.01520712469707,0.9611206403659234,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
138,FKID002848,vehicle_breakdown,67.85781799536953,0.9608347627215552,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
139,FKID001548,vehicle_breakdown,67.85598514595577,0.9605488850771869,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
140,FKID006636,vehicle_breakdown,67.70972193355145,0.9602630074328188,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
141,FKID004376,vehicle_breakdown,67.70170370392182,0.9599771297884505,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
142,FKID001571,vehicle_breakdown,67.6547031302894,0.9596912521440824,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
143,FKID003394,vehicle_breakdown,67.59566675652216,0.9594053744997141,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
144,FKID006244,vehicle_breakdown,67.5549045905153,0.9591194968553459,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
145,FKID002156,vehicle_breakdown,67.5455627583635,0.9588336192109777,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
146,FKID002175,vehicle_breakdown,67.53932911035659,0.9585477415666095,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
147,FKID006743,vehicle_breakdown,67.41288419785062,0.9582618639222413,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
148,FKID003240,vehicle_breakdown,67.33805873999094,0.9579759862778731,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
149,FKID002453,vehicle_breakdown,67.29964726785174,0.9576901086335049,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
150,FKID005041,accident,67.29517101824682,0.9574042309891366,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
151,FKID003217,vehicle_breakdown,67.2835126061858,0.9569754145225844,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
152,FKID003222,vehicle_breakdown,67.2835126061858,0.9569754145225844,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
153,FKID004138,vehicle_breakdown,67.27713559629727,0.956546598056032,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
154,FKID003600,vehicle_breakdown,67.27150280020656,0.9562607204116638,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
155,FKID003595,vehicle_breakdown,67.21303710443708,0.9559748427672956,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
156,FKID007652,vehicle_breakdown,67.20459000944444,0.9556889651229273,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
157,FKID006838,procession,67.14966708022254,0.9554030874785592,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
158,FKID000992,vehicle_breakdown,67.12343205965789,0.955117209834191,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
159,FKID007692,vehicle_breakdown,67.06669272326013,0.9548313321898227,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
160,FKID003285,vehicle_breakdown,67.05899757908684,0.9545454545454546,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
161,FKID006832,vehicle_breakdown,67.02321591540209,0.9542595769010863,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
162,FKID008033,vehicle_breakdown,67.00158088790596,0.9539736992567182,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
163,FKID006729,vehicle_breakdown,66.85357818008629,0.9536878216123499,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
164,FKID006674,vehicle_breakdown,66.8232723927363,0.9534019439679817,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
165,FKID006229,vehicle_breakdown,66.78740844395837,0.9531160663236135,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
166,FKID007128,vehicle_breakdown,66.7494754484795,0.9528301886792453,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
167,FKID004797,vehicle_breakdown,66.7129893031719,0.952544311034877,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
168,FKID007331,vehicle_breakdown,66.63322704373928,0.9522584333905089,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
169,FKID002134,vehicle_breakdown,66.61944561039932,0.9519725557461407,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
170,FKID007964,vehicle_breakdown,66.59042696634197,0.9516866781017724,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
171,FKID008006,vehicle_breakdown,66.547576519413,0.9514008004574043,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
172,FKID007697,vehicle_breakdown,66.52937147886551,0.951114922813036,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
173,FKID003057,vehicle_breakdown,66.47938652225572,0.9508290451686678,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
174,FKID002990,vehicle_breakdown,66.46816696048066,0.9505431675242996,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
175,FKID004596,vehicle_breakdown,66.42689719430798,0.9502572898799314,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
176,FKID000208,vehicle_breakdown,66.4231774604556,0.9499714122355631,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
177,FKID003068,vehicle_breakdown,66.39185416453971,0.949685534591195,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
178,FKID001466,vehicle_breakdown,66.20284343135422,0.9493996569468267,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
179,FKID005101,vehicle_breakdown,66.1991725051977,0.9491137793024585,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
180,FKID006083,vehicle_breakdown,66.17033910544357,0.9488279016580904,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
181,FKID001091,vehicle_breakdown,66.11070174686773,0.9485420240137221,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
182,FKID007957,vehicle_breakdown,66.08735623667775,0.948256146369354,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
183,FKID001035,vehicle_breakdown,65.98488493332941,0.9479702687249857,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
184,FKID003567,vehicle_breakdown,65.97637057708657,0.9476843910806175,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
185,FKID004086,vehicle_breakdown,65.94388173874273,0.9473985134362493,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
186,FKID007925,vehicle_breakdown,65.92930301422895,0.9471126357918811,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
187,FKID005227,vehicle_breakdown,65.89918086987302,0.9468267581475128,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
188,FKID000187,vehicle_breakdown,65.8037882509978,0.9465408805031447,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
189,FKID006748,vehicle_breakdown,65.78984759553535,0.9462550028587764,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
190,FKID000937,vehicle_breakdown,65.74543356403434,0.9459691252144082,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
191,FKID007556,vehicle_breakdown,65.74122306038875,0.9456832475700401,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
192,FKID004395,vehicle_breakdown,65.72100227669594,0.9453973699256718,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
193,FKID004851,vehicle_breakdown,65.71235579338162,0.9451114922813036,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
194,FKID007187,vehicle_breakdown,65.68718166497955,0.9448256146369354,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
195,FKID006829,accident,65.67684681689327,0.9445397369925672,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
196,FKID006757,vehicle_breakdown,65.57303153718782,0.9442538593481989,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
197,FKID003724,vehicle_breakdown,65.5331862361536,0.9438250428816467,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
198,FKID003725,vehicle_breakdown,65.5331862361536,0.9438250428816467,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
199,FKID002569,vehicle_breakdown,65.46845399386103,0.9433962264150944,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
200,FKID006613,vehicle_breakdown,65.46604271295197,0.9431103487707261,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
201,FKID006069,vehicle_breakdown,65.43277491183619,0.9428244711263579,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
202,FKID001132,vehicle_breakdown,65.41611144234675,0.9425385934819898,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
203,FKID007238,vehicle_breakdown,65.40454767118452,0.9422527158376215,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
204,FKID001414,vehicle_breakdown,65.30837964456397,0.9419668381932533,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
205,FKID003687,vehicle_breakdown,65.30057807186614,0.941538021726701,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
206,FKID003692,vehicle_breakdown,65.30057807186614,0.941538021726701,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
207,FKID001371,vehicle_breakdown,65.27789681594965,0.9411092052601486,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
208,FKID006734,vehicle_breakdown,65.218184095279,0.9408233276157805,Emergency,,False,0.0,2026-06-20T01:47:21.561543+00:00
