junction,hotspot_persistence_index,weighted_hotspot_persistence_index,significant_weeks,total_weeks,persistence_class
K R Circle,0.0,0.06437854780326233,0,14,recurring
QueensStatueCircle,0.07142857142857142,0.06311047747264265,1,14,recurring
Kadubeesanahalli-ORR Junc,0.21428571428571427,0.0626262759143414,3,14,recurring
HoramavuJunction,0.0,0.06144096693622663,0,14,recurring
AgaraJunction,0.0,0.05984748823578097,0,14,recurring
SadahalliGateJunc(AirportRd),0.0,0.059138924899909746,0,14,recurring
Yemalur cross junc,0.14285714285714285,0.05597728952460199,2,14,recurring
Devasandra(k r puram),0.21428571428571427,0.05512260874192393,3,14,recurring
SagarTheatreJunc,0.0,0.054288892689006385,0,14,recurring
AnepalyaJunc,0.0,0.05401595836112936,0,14,recurring
CashPharmacyJunction,0.0,0.05302177196451341,0,14,recurring
MinskSquare(CTO Junction),0.0,0.05276513368420886,0,14,recurring
CIL CrossJunction-JayamahalRd,0.0,0.05252003123850222,0,14,recurring
BilekahalliJunc,0.14285714285714285,0.05139148582504655,2,14,recurring
UttarahalliJunction,0.0,0.051307352235800636,0,14,recurring
VijayanagarBusStandJunction,0.0,0.049122643201024184,0,14,recurring
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),0.0,0.04840659844211272,0,14,recurring
"KuvempuCircleJunc,HAL MainGate",0.07142857142857142,0.04801246657852102,1,14,recurring
Peenya14thCrossJunc,0.07142857142857142,0.047355141424896434,1,14,recurring
NandiCross(RaniCross),0.07142857142857142,0.04654222233667849,1,14,recurring
HopefarmJunction,0.14285714285714285,0.04643519606066794,2,14,recurring
K R MarketJunction,0.07142857142857142,0.04584616050738666,1,14,recurring
ShivajiTalkiesJunc,0.07142857142857142,0.04584616050738666,1,14,recurring
PuttammaChoultryNagarbhavi,0.0,0.04459105423986705,0,14,recurring
GarebhavipalyaJunc,0.07142857142857142,0.04357150052674769,1,14,recurring
IbblurJunction',0.14285714285714285,0.0433816313474757,2,14,recurring
VishweswaraiahJunctio(Uttamsagar),0.07142857142857142,0.04291304239728668,1,14,recurring
Marigowda-TavarkereRdJunc,0.0,0.04154646694146365,0,14,recurring
CMP GateJunc,0.14285714285714285,0.04058550031103434,2,14,recurring
"Bellandur Junction, Outer ring road",0.07142857142857142,0.04004764363244001,1,14,recurring
Rajajinagar19thMainJunc,0.14285714285714285,0.039621195648871115,2,14,recurring
Shivajinagar(BRV)Junction,0.07142857142857142,0.03940439447765709,1,14,recurring
AnandRaoJunction,0.0,0.03699012950242624,0,14,recurring
BucheryJunction,0.0,0.03681300888232701,0,14,recurring
BigBazaarJunction(OldMadrasRd),0.21428571428571427,0.036191634133350505,3,14,recurring
Dr RajkumarRd-10thCrossRdJunc,0.0,0.03457628433318431,0,14,recurring
HSR14thMainJunc,0.07142857142857142,0.03456491831080299,1,14,recurring
IndianExpressJunction,0.21428571428571427,0.03433793671838885,3,14,recurring
SonyworldJunction,0.07142857142857142,0.03411382914753477,1,14,recurring
PurnimaTheaterJunc,0.0,0.03338947165491591,0,14,recurring
Krupanidhi College,0.0,0.032406995577369466,0,14,recurring
Srinivagilu(Ejipura)Junc,0.0,0.03238048803714384,0,14,recurring
LRDE Junction,0.0,0.03208451667129004,0,14,recurring
BigBazaar(Whitefield)Junc,0.07142857142857142,0.03043624570142992,1,14,recurring
SubbannaJunction,0.0,0.0294714048368937,0,14,recurring
PoliceTimmaiahCircle(GPO),0.07142857142857142,0.029019701597961835,1,14,recurring
KrishnaFlourMill,0.0,0.0280807428560513,0,14,recurring
ElectronicCityGate-2Junc,0.07142857142857142,0.027629462863617726,1,14,recurring
BhadrappaLayout,0.0,0.027622563041633484,0,14,recurring
OldMadrasRd-NGEF Junc,0.14285714285714285,0.027092733846320955,2,14,recurring
Peenya2ndStageBusStand,0.0,0.026340356092368702,0,14,recurring
HennurRd-DavisRdJunction,0.07142857142857142,0.025857858880416314,1,14,recurring
5thMainRPC Layout-Vijayanagar,0.0,0.025843017261315274,0,14,recurring
KamakyaJunction,0.0,0.02547728919597763,0,14,recurring
ChandrikaJunction,0.0,0.02538890309329094,0,14,recurring
DoddaballapuraCrossJunc,0.0,0.025351874392054018,0,14,recurring
Devanahalli new bus stand,0.0,0.02524983188569128,0,14,recurring
HennurRoad-ORR Junc,0.0,0.02385406830390698,0,14,recurring
HalliThindi,0.0,0.023830256643423496,0,14,recurring
Geethanjali jn,0.0,0.020973531554931084,0,14,recurring
OldMadrasRd-Indranagar100ftRdJunc,0.14285714285714285,0.02072350364540032,2,14,recurring
NCERT Junction,0.0,0.020178766754579466,0,14,recurring
DevanahalliCrossJunc,0.0,0.020150146237725902,0,14,recurring
BhashyamCircle,0.07142857142857142,0.019278067492505352,1,14,recurring
LalbaghWestGate,0.0,0.019278067492505352,0,14,recurring
LinkRoadMalleswaramJunc,0.0,0.019278067492505328,0,14,recurring
CholurpalyaJunction(MagadiRd),0.0,0.019068726374728662,0,14,recurring
DomlurWaterTank,0.14285714285714285,0.018303904081959706,2,14,recurring
HoodiJunction,0.0,0.018048990040073525,0,14,recurring
ChandraLayoutJunc-nearWaterTank,0.0,0.018022832672316514,0,14,recurring
AttiguppeCircleJunction,0.0,0.01779930377028133,0,14,recurring
ShivandaCircle,0.07142857142857142,0.017183364698394963,1,14,recurring
5thMainHSR,0.0,0.016949657088805217,0,14,recurring
KalyanNagar-ORR Junc,0.0,0.01667477961981991,0,14,recurring
AshirwadamCircle,0.07142857142857142,0.015925791369154483,1,14,recurring
TyagiHengalvarayaJunc(DickensonRd),0.21428571428571427,0.015925791369154483,3,14,recurring
"Narayanapura cross, Hegde nagar",0.0,0.01578568373694721,0,14,recurring
GovindapuraCross,0.0,0.014375548719063245,0,14,recurring
Srigandakaval,0.0,0.014238131588498352,0,14,recurring
N R SquareJunc,0.0,0.013909011323344668,0,14,recurring
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.0,0.013212937751257207,0,14,recurring
WilsonGarden12thCrossJunc,0.0,0.01244350438420346,0,14,recurring
KarnatakaBhavanJunction,0.0,0.010425250651325602,0,14,recurring
Minerva Circle,0.0,0.010422036487544884,0,14,recurring
NGV RearGateJunc,0.0,0.010244915867445676,0,14,recurring
SubedarChatramRd near SheshadripuramPS,0.0,0.01019333734438837,0,14,recurring
MeenakshiMallJunc,0.07142857142857142,0.010071081128297325,1,14,recurring
MICO Bande,0.0,0.009713834298094609,0,14,recurring
MotherTeressaCircle,0.07142857142857142,0.009639921358006096,1,14,recurring
"Trilight Circle,Race course Road",0.07142857142857142,0.008802675363545976,1,14,recurring
Dr TCM RoyanRd near AmbedkarStatue,0.14285714285714285,0.008592276356148001,2,14,recurring
BasaweshwaraCircle,0.0,0.007765227186056741,0,14,recurring
KadirenahalliJunction,0.14285714285714285,0.007535929530023835,2,14,recurring
UpparpetJunction,0.0,0.0069841642119857356,0,14,recurring
LowerAgaram(IndiaGarage)Junc,0.07142857142857142,0.00679106377551112,1,14,recurring
SindhiColonyJunction,0.07142857142857142,0.006165263186153091,1,14,recurring
DevangaHostelJunction,0.0,0.004709843440549538,0,14,transient
BiryandCircle,0.07142857142857142,0.004656443381829423,1,14,transient
ISRO Junction-NewBEL Rd,0.0,0.004656443381829423,0,14,transient
Jaipuria-Adugodi,0.0,0.0034094580804675703,0,14,transient
KanakapuraRd-RingRdJunction,0.0,0.00324928684667188,0,14,transient
KonanakunteJunction(KanakapurarRd),0.07142857142857142,0.00324928684667188,1,14,transient
Bamboobazar(Shivajinagar),0.0,0.003248651373526937,0,14,transient
"Jayanagar 4th main,36th cross",0.0,0.002640803078093351,0,14,transient
LalbaghMainGateJunc,0.0,0.0026129757858594674,0,14,transient
CoffeeBoardJunc,0.0,0.0025257030713412886,0,14,transient
MysoreRd--MadhuPetrolBunkJunction,0.0,0.0024516085830805015,0,14,transient
TC Palya-OM RoadJunc,0.0,0.002076061419231752,0,14,transient
MillCornerRd-SampigeRdJunc,0.0,0.001622575287779626,0,14,transient
BinnyMillJunction,0.07142857142857142,0.001622575287779626,1,14,transient
MC Circle,0.0,0.0014628905049518558,0,14,transient
NTTF JunctionPeenya,0.0,0.001390661980842395,0,14,transient
PrasannaJunction,0.0,0.0012393616029166762,0,14,transient
JaiMuniRaoCircle,0.0,0.0012393616029166762,0,14,transient
BasavamantapaJunc-Dr RajkumarRd,0.0,0.0012393616029166762,0,14,transient
Shivashankara circle,0.0,0.000708069831899509,0,14,transient
BMTCJunction-K H Road,0.0,0.000708069831899509,0,14,transient
ColesParkJunc,0.0,0.0005918420720388175,0,14,transient
HainsJunc,0.21428571428571427,0.00010635184109770076,3,14,transient
UrvashiJunction,0.0,0.0,0,14,transient
MayohallJunction,0.21428571428571427,0.0,3,14,transient
KensingtonOvalJunc,0.07142857142857142,0.0,1,14,transient
GopalGowdaJUnc,0.0,0.0,0,14,transient
SwagathMainRd-EastEndRdJunc,0.07142857142857142,0.0,1,14,transient
DevegowdaPetrolBunkJunc,0.0,0.0,0,14,transient
RRR(Okalipuram)Junction,0.0,0.0,0,14,transient
Delmia-Jayanagar,0.07142857142857142,0.0,1,14,transient
MahalaxmiLayoutEntranceJunc,0.0,0.0,0,14,transient
BM ShriJunc(CMH-100FtRd)Junc,0.07142857142857142,0.0,1,14,transient
ModiHospital,0.0,0.0,0,14,transient
DickensonRd-AdigasJunc,0.07142857142857142,0.0,1,14,transient
CMH Rd-AdarshTheaterJunc,0.0,0.0,0,14,transient
Indiranasgar13thMainJunc,0.0,0.0,0,14,transient
K G Junction,0.0,0.0,0,14,transient
BegumMahalJunc,0.07142857142857142,0.0,1,14,transient
BanashankariBusStandJunc,0.14285714285714285,0.0,2,14,transient
ISRO Junction-Airport rd,0.2857142857142857,0.0,4,14,transient
KCG HospitalJunction,0.0,0.0,0,14,transient
27th Cross Jayanagar(Ganapathi Temple),0.0,0.0,0,14,transient
TrinityCircle,0.21428571428571427,0.0,3,14,transient
BrigadeMillenium,0.0,0.0,0,14,transient
JohnsonMarket,0.0,0.0,0,14,transient
GorappanapalyaJunction,0.0,0.0,0,14,transient
HulimaveRd-BanneraghattaRdJunc,0.07142857142857142,0.0,1,14,transient
WilsonGarden10thCrossJunc,0.0,0.0,0,14,transient
DairyCircle,0.0,0.0,0,14,transient
OldMadrasRd-BMTC DepotJunc,0.07142857142857142,0.0,1,14,transient
MarenahalliRd-18thMainRdJunc,0.07142857142857142,0.0,1,14,transient
AnilKumbleCircle,0.14285714285714285,0.0,2,14,transient
MSRamaiahHospitalJunc,0.0,0.0,0,14,transient
TVS CrossJunction,0.0,0.0,0,14,transient
28thMainJayanagarJunc,0.0,0.0,0,14,transient
Basappa Circle Junction,0.0,0.0,0,14,transient
DMRoadJunc(Basavangudi),0.07142857142857142,0.0,1,14,transient
WebbsCircle,0.07142857142857142,0.0,1,14,transient
CommandoHospitalJunc,0.0,0.0,0,14,transient
A S CharStreet-MysoreRdJunc,0.0,0.0,0,14,transient
Fire Force Junction,0.0,0.0,0,14,transient
ShankarMuttCircle,0.0,0.0,0,14,transient
ASC Junction,0.0,0.0,0,14,transient
Basveshwarnagar 8th main Junction,0.0,0.0,0,14,transient
AnjaneyaTempleJunc,0.07142857142857142,0.0,1,14,transient
OldMadrasRd-80FeetRdJunc,0.14285714285714285,0.0,2,14,transient
ShivanahalliJunctionWOC,0.14285714285714285,0.0,2,14,transient
ArakereGateJunc,0.0,0.0,0,14,transient
RamaiahCircle-UlsoorPoliceStation,0.14285714285714285,0.0,2,14,transient
NIMHANS Junction,0.0,0.0,0,14,transient
OperaHouseJunc,0.0,0.0,0,14,transient
OldMadrasRd-DoubleRdJunc,0.07142857142857142,0.0,1,14,transient
PotteryCircle,0.07142857142857142,0.0,1,14,transient
D'SouzaCircle,0.0,0.0,0,14,transient
NavarangBarJunc-Dr RajkumarRd,0.0,0.0,0,14,transient
SafinaPlazaJunc,0.0,0.0,0,14,transient
OldMadrasRd-SuddaguntepalyaRdJunc,0.0,0.0,0,14,transient
VetenaryHospitalJunc-Shivajinagar,0.0,0.0,0,14,transient
BEML GateJunc(SuranjandasRd),0.0,0.0,0,14,transient
SiddapuraJunction,0.07142857142857142,0.0,1,14,transient
MintoJunction,0.0,0.0,0,14,transient
MaharajaJunction,0.07142857142857142,0.0,1,14,transient
Arts&CraftsCircle,0.07142857142857142,0.0,1,14,transient
YediyurMeternityHospital,0.0,0.0,0,14,transient
KamrajRdJunction,0.14285714285714285,0.0,2,14,transient
KR Road-14thCross Junc,0.0,0.0,0,14,transient
ManipalCentreJunc,0.07142857142857142,0.0,1,14,transient
UCO Bank(Forum),0.0,0.0,0,14,transient
JP Nagar 9th cross-24th main jn,0.0,0.0,0,14,transient
HosmatJunction,0.0,0.0,0,14,transient
TamarikannanJunc,0.07142857142857142,0.0,1,14,transient
AdugodiJunc,0.0,0.0,0,14,transient
OldPoliceStation-Ashoknagar,0.14285714285714285,0.0,2,14,transient
RoyanCircle-Chamrajpete,0.0,0.0,0,14,transient
GowdanapalyaJunction,0.0,0.0,0,14,transient
ESI(k r puram),0.07142857142857142,0.0,1,14,transient
RajarajeshwariKalyanaMantapaJunc,0.07142857142857142,0.0,1,14,transient
SagarHospitalJunc,0.0,0.0,0,14,transient
South end circle,0.07142857142857142,0.0,1,14,transient
BHEL Gate,0.0,0.0,0,14,transient
Geeta Circle,0.0,0.0,0,14,transient
J D MaraJunc,0.07142857142857142,0.0,1,14,transient
JP Nagar 15th cross junction,0.0,0.0,0,14,transient
NationalCollege,0.07142857142857142,0.0,1,14,transient
RajajinagarEntranceJunction,0.0,0.0,0,14,transient
EliteJunc,0.0,0.0,0,14,transient
ModiBridgeJunction,0.07142857142857142,0.0,1,14,transient
Arbindo Circle,0.07142857142857142,0.0,1,14,transient
Sumanhalli,0.14285714285714285,0.0,2,14,transient
Ashoknagar Junction(ShoolayCircle),0.0,0.0,0,14,transient
NagaTheaterJunc-Ulsoor,0.0,0.0,0,14,transient
NavarangTheatreJunction,0.0,0.0,0,14,transient
Rajajinagagr1stBlockJunction,0.0,0.0,0,14,transient
DhobiGhatJunc,0.21428571428571427,0.0,3,14,transient
KHB Junction,0.0,0.0,0,14,transient
JayadevaHospitalJunc,0.07142857142857142,0.0,1,14,transient
ThomasCafe-New,0.0,0.0,0,14,transient
