stratum_cause,stratum_corridor,prior_level,prior_mu_log,prior_sigma_log,n_eff_feedback,feedback_mu_log,posterior_mu_log,posterior_sigma_log,ci95_lo_log,ci95_hi_log,posterior_median_min,posterior_p80_min,posterior_p95_min
construction,ORR North 1,stratum,5.947454,2.482107,1.98,2.027083,3.33731,1.434928,0.524851,6.149768,27.14,93.16,297.14
construction,ORR North 2,stratum,5.984218,4.355051,3.0,2.793112,3.306753,1.74724,-0.117838,6.731345,26.3,117.78,482.33
construction,ORR West 1,stratum,7.144284,3.670958,1.0,1.077587,1.077588,0.001,1.075628,1.079548,1.94,1.94,1.94
construction,Tumkur Road,stratum,0.692843,1.242311,1.0,8.435833,8.435828,0.001,8.433868,8.437788,4608.28,4612.16,4615.87
construction,Varthur Road,stratum,6.26177,0.951686,2.0,5.633685,5.641416,0.105584,5.434471,5.848361,280.86,307.05,334.32
construction,West of Chord Road,cause,6.134393,3.042385,1.0,0.33146,0.33146,0.001,0.3295,0.33342,0.39,0.39,0.4
debris,Bellary Road 2,cause,11.426739,1.076547,1.0,9.862178,9.862179,0.001,9.860219,9.864139,19189.67,19205.83,19221.26
others,Bannerghata Road,cause,6.760896,2.97612,1.0,9.990362,9.990361,0.001,9.988401,9.992321,21814.18,21832.55,21850.09
others,Bellary Road 1,stratum,6.120153,3.327873,11.35,5.774904,5.789056,0.673779,4.46845,7.109662,325.7,575.01,988.62
others,Bellary Road 2,stratum,7.123927,1.949763,2.89,6.737132,6.858309,1.091319,4.719324,8.997294,950.76,2383.6,5728.41
others,Hennur Main Road,stratum,8.745226,1.87201,2.0,6.450872,7.630371,1.342229,4.999602,10.261139,2058.81,6373.23,18733.85
others,Hosur Road,stratum,6.807255,2.727502,1.78,8.629099,8.22181,1.289616,5.694163,10.749458,3720.23,11015.82,31039.26
others,IRR(Thanisandra road),cause,6.760896,2.97612,1.0,4.190926,4.190926,0.001,4.188966,4.192886,65.08,65.14,65.19
others,Magadi Road,stratum,6.87594,3.060912,3.61,3.334492,3.419951,0.475488,2.487995,4.351907,29.57,44.61,65.82
others,Mysore Road,stratum,6.272675,3.084403,10.29,6.304063,6.30173,0.84092,4.653527,7.949932,544.51,1106.06,2174.29
others,Non-corridor,stratum,6.745675,3.107202,34.1,5.459916,5.481258,0.400319,4.696633,6.265883,239.15,335.36,462.93
others,ORR East 2,stratum,6.906013,3.075416,2.0,4.24714,4.257497,0.191942,3.881291,4.633703,69.63,82.02,95.85
others,ORR North 1,stratum,9.521729,3.033597,1.98,6.006889,7.97109,2.267765,3.52627,12.415909,2895.01,19528.64,120719.26
others,ORR North 2,stratum,6.261153,3.000329,1.89,6.057665,6.138298,1.888665,2.436515,9.840081,462.26,2269.69,10350.38
others,ORR West 1,stratum,7.13854,3.575208,2.0,3.351126,3.362878,0.19915,2.972543,3.753212,27.87,33.14,39.06
others,Old Airport Road,stratum,7.456106,2.507024,1.0,0.957579,0.95758,0.001,0.95562,0.95954,1.61,1.61,1.61
others,Old Madras Road,stratum,4.193749,0.44387,1.0,6.436397,6.436386,0.001,6.434426,6.438346,623.15,623.67,624.17
others,Tumkur Road,stratum,8.071424,1.825968,5.63,5.935125,6.400608,0.852342,4.730017,8.071199,601.21,1232.93,2445.92
others,Varthur Road,cause,6.760896,2.97612,1.0,4.606441,4.606441,0.001,4.604481,4.608401,99.13,99.21,99.29
others,West of Chord Road,stratum,6.720188,2.104075,3.78,5.127321,5.674707,1.233441,3.257163,8.092252,290.4,821.87,2215.17
pot_holes,Bellary Road 1,stratum,8.567488,2.349979,2.98,8.938166,8.924293,0.454631,8.033216,9.815369,7511.27,11012.97,15867.54
pot_holes,CBD 1,stratum,10.237907,1.311226,1.0,3.830478,3.830482,0.001,3.828522,3.832442,45.08,45.12,45.16
pot_holes,CBD 2,stratum,10.70017,1.075704,1.0,0.916984,0.916992,0.001,0.915032,0.918952,1.5,1.5,1.51
pot_holes,Hennur Main Road,cause,9.676215,2.179924,1.0,9.589339,9.589339,0.001,9.587379,9.591299,14607.22,14619.52,14631.26
pot_holes,Magadi Road,stratum,8.43309,1.055312,2.93,9.545037,9.515031,0.173357,9.175251,9.854811,13561.05,15691.4,18035.95
pot_holes,Mysore Road,stratum,8.321285,1.067217,2.91,9.893927,9.787309,0.277878,9.242668,10.331949,17805.32,22496.88,28122.96
pot_holes,Non-corridor,stratum,9.772847,2.123031,30.64,5.996531,6.238733,0.537665,5.18491,7.292557,511.21,804.32,1239.31
pot_holes,ORR East 1,stratum,9.382873,2.480624,1.0,7.088894,7.088895,0.001,7.086935,7.090855,1197.58,1198.59,1199.56
pot_holes,ORR North 1,cause,9.676215,2.179924,1.0,4.916457,4.916458,0.001,4.914498,4.918418,135.52,135.63,135.74
pot_holes,ORR West 1,cause,9.676215,2.179924,1.0,4.70279,4.702791,0.001,4.700831,4.704751,109.25,109.35,109.44
pot_holes,Old Airport Road,cause,9.676215,2.179924,1.0,8.708878,8.708879,0.001,8.706919,8.710839,6055.45,6060.55,6065.42
pot_holes,Old Madras Road,stratum,10.943608,0.687251,2.86,9.041288,9.482463,0.330963,8.833776,10.13115,13126.48,17343.11,22624.84
pot_holes,Tumkur Road,cause,9.676215,2.179924,1.0,7.563114,7.563115,0.001,7.561155,7.565075,1924.83,1926.46,1928.01
pot_holes,Varthur Road,cause,9.676215,2.179924,1.0,7.303257,7.303257,0.001,7.301297,7.305217,1484.13,1485.38,1486.57
pot_holes,West of Chord Road,cause,9.676215,2.179924,1.98,9.573295,9.574809,0.264423,9.05654,10.093078,14396.49,17985.07,22241.19
procession,Mysore Road,cause,3.81242,2.312522,1.0,4.797332,4.797331,0.001,4.795371,4.799291,120.19,120.29,120.39
procession,Non-corridor,stratum,3.845151,2.514666,6.61,3.901582,3.898729,0.565337,2.790668,5.006791,48.34,78.4,124.04
protest,Non-corridor,stratum,3.052766,3.94778,1.0,1.302324,1.302324,0.001,1.300364,1.304284,2.68,2.68,2.68
public_event,Hennur Main Road,cause,5.090113,2.714364,1.0,8.689631,8.689631,0.001,8.687671,8.691591,5939.99,5944.99,5949.77
public_event,Mysore Road,cause,5.090113,2.714364,1.0,0.473933,0.473934,0.001,0.471974,0.475894,0.61,0.61,0.61
public_event,Non-corridor,stratum,5.954905,2.428779,1.87,0.863271,0.98307,0.372551,0.252869,1.713271,1.67,2.66,3.93
public_event,Old Airport Road,cause,5.090113,2.714364,5.0,6.002935,6.002919,0.011617,5.980149,6.025689,403.61,407.58,411.41
road_conditions,Bellary Road 1,stratum,7.680027,2.88888,1.96,7.346134,7.405165,1.214688,5.024376,9.785954,1643.46,4569.93,12125.51
road_conditions,Bellary Road 2,cause,8.338476,2.806102,1.85,6.117854,6.863231,1.625751,3.676758,10.049704,955.45,3756.46,13867.21
road_conditions,CBD 2,stratum,8.074154,2.400044,1.0,10.606297,10.606297,0.001,10.604337,10.608257,40387.36,40421.37,40453.85
road_conditions,Magadi Road,cause,8.338476,2.806102,2.9,9.500485,9.492864,0.227251,9.047452,9.938275,13263.73,16059.58,19275.81
road_conditions,Mysore Road,cause,8.338476,2.806102,1.99,8.931648,8.900996,0.637881,7.65075,10.151243,7338.28,12553.7,20955.77
road_conditions,Non-corridor,stratum,9.445119,2.206806,8.78,8.292923,8.483781,0.898166,6.723375,10.244188,4834.7,10296.92,21185.8
road_conditions,ORR West 1,stratum,9.490729,1.887536,1.0,4.147317,4.147318,0.001,4.145358,4.149278,62.26,62.32,62.37
road_conditions,West of Chord Road,cause,8.338476,2.806102,1.0,10.153086,10.153086,0.001,10.151126,10.155046,25669.19,25690.81,25711.45
test_demo,Non-corridor,cause,0.828233,,1.0,1.21147,,,,,,,
tree_fall,Airport New South Road,cause,6.514893,2.458727,2.0,3.518107,3.588801,0.377635,2.848636,4.328966,35.19,48.73,66.35
tree_fall,Bannerghata Road,cause,6.514893,2.458727,1.0,3.435443,3.435444,0.001,3.433484,3.437404,30.05,30.07,30.1
tree_fall,Bellary Road 1,stratum,5.900347,1.217312,9.31,6.31644,6.225723,0.568397,5.111664,7.339781,504.59,814.74,1286.75
tree_fall,CBD 2,cause,6.514893,2.458727,2.0,9.489429,9.371356,0.489865,8.41122,10.331491,11746.03,17740.06,26293.42
tree_fall,Hosur Road,cause,6.514893,2.458727,1.83,7.06467,6.904323,1.327844,4.301748,9.506898,995.57,3045.85,8851.3
tree_fall,Magadi Road,cause,6.514893,2.458727,1.0,2.394569,2.39457,0.001,2.39261,2.39653,9.96,9.97,9.98
tree_fall,Mysore Road,cause,6.514893,2.458727,7.53,8.074968,7.989677,0.574898,6.862876,9.116477,2949.34,4785.35,7594.42
tree_fall,Non-corridor,stratum,6.784927,2.463534,91.99,,,,,,,,
tree_fall,ORR North 1,cause,6.514893,2.458727,3.98,5.153067,5.262572,0.697216,3.896029,6.629116,191.98,346.01,606.52
tree_fall,ORR West 1,cause,6.514893,2.458727,3.62,4.08755,4.380764,0.854549,2.705848,6.055679,78.9,163.02,324.83
tree_fall,Old Madras Road,cause,6.514893,2.458727,1.0,4.01117,4.011171,0.001,4.009211,4.013131,54.21,54.26,54.3
tree_fall,Tumkur Road,cause,6.514893,2.458727,6.44,7.149746,7.099079,0.694607,5.73765,8.460508,1209.85,2171.59,3794.63
tree_fall,West of Chord Road,cause,6.514893,2.458727,7.67,5.517242,5.671236,0.96599,3.777896,7.564575,289.39,653.74,1421.47
vehicle_breakdown,Airport New South Road,stratum,3.999607,0.682962,1.0,4.182025,4.182024,0.001,4.180064,4.183984,64.5,64.55,64.61
vehicle_breakdown,Bannerghata Road,stratum,3.526232,0.645736,9.61,4.053758,3.993046,0.219062,3.563684,4.422409,53.22,64.2,76.74
vehicle_breakdown,Bellary Road 1,stratum,3.69056,1.055653,33.17,3.559206,3.561929,0.151978,3.264051,3.859806,34.23,39.04,44.24
vehicle_breakdown,Bellary Road 2,stratum,3.746461,0.854547,13.08,3.344316,3.384664,0.270681,2.85413,3.915198,28.51,36.06,45.06
vehicle_breakdown,CBD 1,stratum,3.339473,0.889258,1.0,3.821092,3.821091,0.001,3.819131,3.823051,44.65,44.69,44.73
vehicle_breakdown,CBD 2,stratum,3.904162,0.710227,2.0,1.888442,1.91433,0.080489,1.756572,2.072088,5.78,6.26,6.74
vehicle_breakdown,Hennur Main Road,stratum,3.952696,0.671679,2.0,3.782063,3.783062,0.051387,3.682343,3.88378,42.95,44.89,46.83
vehicle_breakdown,Hosur Road,stratum,3.683066,0.895204,15.19,3.900184,3.888396,0.208585,3.479569,4.297223,47.83,57.2,67.82
vehicle_breakdown,IRR(Thanisandra road),stratum,3.515486,0.485966,3.9,3.660384,3.614552,0.273313,3.078858,4.150245,36.13,45.74,57.21
vehicle_breakdown,Magadi Road,stratum,3.671892,0.902516,23.48,3.768824,3.766677,0.134307,3.503435,4.02992,42.24,47.41,52.92
vehicle_breakdown,Mysore Road,stratum,3.478304,0.972779,57.09,3.599916,3.598231,0.114493,3.373825,3.822638,35.53,39.23,43.1
vehicle_breakdown,Non-corridor,stratum,3.69486,0.927674,138.86,3.65246,3.652746,0.076211,3.503373,3.802119,37.58,40.14,42.73
vehicle_breakdown,ORR East 1,stratum,3.876983,1.342226,16.6,3.603992,3.615366,0.273975,3.078374,4.152358,36.16,45.8,57.32
vehicle_breakdown,ORR East 2,stratum,3.738247,0.829935,5.83,3.00142,3.09782,0.300192,2.509444,3.686196,21.15,27.52,35.29
vehicle_breakdown,ORR North 1,stratum,3.568331,0.836581,15.41,3.937873,3.91981,0.184958,3.557293,4.282327,49.39,57.88,67.31
vehicle_breakdown,ORR North 2,stratum,3.532981,0.924246,14.98,3.865926,3.85054,0.198689,3.46111,4.23997,46.02,54.58,64.19
vehicle_breakdown,ORR West 1,stratum,3.845999,0.818218,7.52,3.732835,3.740258,0.209558,3.329524,4.150993,41.11,49.23,58.44
vehicle_breakdown,Old Airport Road,stratum,3.124906,1.107401,9.4,3.91794,3.835853,0.356284,3.137536,4.534169,45.33,61.53,82.25
vehicle_breakdown,Old Madras Road,stratum,3.38243,0.941537,15.79,3.604229,3.599253,0.141025,3.322843,3.875663,35.57,40.18,45.12
vehicle_breakdown,Tumkur Road,stratum,3.534186,0.768857,47.28,3.445238,3.447932,0.133796,3.185692,3.710172,30.44,34.18,38.17
vehicle_breakdown,Varthur Road,stratum,3.722646,0.933729,5.61,3.465389,3.495542,0.319671,2.868987,4.122097,31.97,42.15,54.78
vehicle_breakdown,West of Chord Road,stratum,3.525564,0.733678,6.73,3.704995,3.693354,0.186876,3.327077,4.059631,39.18,46.02,53.64
water_logging,Bannerghata Road,cause,9.182712,2.038351,8.4,7.803859,8.03657,0.837391,6.395284,9.677857,3090.99,6255.25,12257.27
water_logging,Bellary Road 1,cause,9.182712,2.038351,10.25,5.901773,6.183139,0.596919,5.013178,7.3531,483.51,799.73,1292.34
water_logging,Bellary Road 2,stratum,8.223509,2.6391,2.98,9.086546,9.053132,0.519281,8.035341,10.070923,8544.26,13228.05,20074.87
water_logging,CBD 1,cause,9.182712,2.038351,2.0,10.109672,10.109672,0.000707,10.107712,10.111632,24578.59,24599.28,24619.05
water_logging,CBD 2,stratum,11.268042,0.401949,2.84,9.165189,10.682118,0.341389,10.012996,11.351239,43568.71,58070.92,76392.43
water_logging,Hennur Main Road,cause,9.182712,2.038351,2.0,9.981227,9.981225,0.003021,9.975304,9.987146,21615.78,21670.81,21723.46
water_logging,Hosur Road,cause,9.182712,2.038351,4.59,5.697771,6.282828,0.835181,4.645874,7.919782,534.3,1080.1,2113.51
water_logging,IRR(Thanisandra road),cause,9.182712,2.038351,1.0,10.884727,10.884727,0.001,10.882767,10.886687,53354.2,53399.12,53442.03
water_logging,Magadi Road,cause,9.182712,2.038351,1.96,7.185289,7.789295,1.120894,5.592343,9.986246,2413.61,6201.22,15259.16
water_logging,Mysore Road,cause,9.182712,2.038351,27.09,6.607295,6.78116,0.529617,5.743112,7.819209,880.09,1374.95,2104.49
water_logging,Non-corridor,stratum,9.533048,2.058194,66.64,6.614145,6.673441,0.293352,6.09847,7.248412,790.11,1011.66,1280.73
water_logging,ORR East 1,stratum,8.44468,0.863192,4.48,5.791087,7.850349,0.760407,6.359951,9.340747,2565.63,4866.44,8964.21
water_logging,ORR East 2,cause,9.182712,2.038351,3.77,8.310839,8.568729,1.108585,6.395902,10.741556,5263.43,13381.96,32602.96
water_logging,ORR North 1,cause,9.182712,2.038351,4.95,6.030686,6.440448,0.734937,4.999973,7.880924,625.69,1162.27,2098.2
water_logging,ORR North 2,cause,9.182712,2.038351,2.96,7.371977,7.8596,1.057776,5.78636,9.932841,2589.48,6308.72,14756.2
water_logging,ORR West 1,stratum,7.953555,1.724004,6.28,8.24468,8.205556,0.632003,6.966829,9.444283,3660.24,6231.07,10352.8
water_logging,Old Airport Road,cause,9.182712,2.038351,1.0,4.547633,4.547634,0.001,4.545674,4.549594,93.41,93.49,93.56
water_logging,Old Madras Road,cause,9.182712,2.038351,7.4,5.130563,6.212107,1.053072,4.148085,8.276128,497.75,1209.02,2818.34
water_logging,Tumkur Road,cause,9.182712,2.038351,5.74,6.421496,6.889485,0.839164,5.244724,8.534246,980.9,1988.71,3903.12
water_logging,Varthur Road,cause,9.182712,2.038351,4.82,7.575027,7.900495,0.917134,6.102913,9.698078,2697.62,5838.35,12197.23
water_logging,West of Chord Road,cause,9.182712,2.038351,2.95,8.197152,8.502704,1.134958,6.278187,10.727221,4927.08,12808.07,31872.92
