event_id,event_cause,service_tier,diversion_activated,route_rank,route_label,diversion_corridor,diversion_path,path_cost,estimated_additional_time_min,routing_method
FKID007189,tree_fall,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID007189,tree_fall,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID007189,tree_fall,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001646,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001646,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001646,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID005593,water_logging,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID005593,water_logging,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID005593,water_logging,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000129,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000129,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000129,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID005194,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID005194,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID005194,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001288,water_logging,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001288,water_logging,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001288,water_logging,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001693,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001693,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001693,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000022,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000022,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000022,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004519,road_conditions,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004519,road_conditions,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004519,road_conditions,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID007660,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID007660,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID007660,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004408,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004408,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004408,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000842,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000842,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000842,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004694,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004694,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004694,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004967,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004967,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004967,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID008103,water_logging,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID008103,water_logging,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID008103,water_logging,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000164,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000164,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000164,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000346,water_logging,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000346,water_logging,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000346,water_logging,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID003103,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID003103,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID003103,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001931,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001931,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001931,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001932,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001932,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001932,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000528,tree_fall,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000528,tree_fall,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000528,tree_fall,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000968,tree_fall,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000968,tree_fall,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000968,tree_fall,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001489,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001489,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001489,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID003235,tree_fall,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID003235,tree_fall,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID003235,tree_fall,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
