group_type,group_name,coverage_param_only,coverage_predictive,coverage_delta
ppc_stratum,pot_holes__Old Madras Road,0.3333,1.0,0.6667
ppc_stratum,procession__Non-corridor,0.5,1.0,0.5
ppc_stratum,protest__Non-corridor,1.0,1.0,0.0
ppc_stratum,public_event__Non-corridor,1.0,1.0,0.0
ppc_stratum,road_conditions__Bellary Road 1,1.0,1.0,0.0
ppc_stratum,road_conditions__CBD 2,1.0,1.0,0.0
ppc_stratum,road_conditions__Non-corridor,0.75,0.875,0.125
ppc_stratum,road_conditions__ORR West 1,1.0,1.0,0.0
ppc_stratum,tree_fall__Non-corridor,0.0952,0.9841,0.8889
ppc_stratum,vehicle_breakdown__Airport New South Road,1.0,1.0,0.0
ppc_stratum,vehicle_breakdown__Bannerghata Road,0.3333,1.0,0.6667
ppc_stratum,vehicle_breakdown__Bellary Road 1,0.2941,0.9706,0.6765
ppc_stratum,vehicle_breakdown__Bellary Road 2,0.4286,0.9286,0.5
ppc_stratum,vehicle_breakdown__CBD 1,1.0,1.0,0.0
ppc_stratum,vehicle_breakdown__CBD 2,1.0,1.0,0.0
ppc_stratum,vehicle_breakdown__Hennur Main Road,1.0,1.0,0.0
ppc_stratum,vehicle_breakdown__Hosur Road,0.1875,0.9375,0.75
ppc_stratum,vehicle_breakdown__IRR(Thanisandra road),0.25,1.0,0.75
ppc_stratum,vehicle_breakdown__Magadi Road,0.2,0.96,0.76
ppc_stratum,vehicle_breakdown__Mysore Road,0.2623,0.9508,0.6885
ppc_stratum,vehicle_breakdown__Non-corridor,0.125,0.9653,0.8403
ppc_stratum,vehicle_breakdown__ORR East 1,0.2353,0.9412,0.7059
ppc_stratum,vehicle_breakdown__ORR East 2,0.8333,0.8333,0.0
ppc_stratum,vehicle_breakdown__ORR North 1,0.4667,0.9333,0.4666
ppc_stratum,vehicle_breakdown__ORR North 2,0.25,1.0,0.75
ppc_stratum,vehicle_breakdown__ORR West 1,0.25,1.0,0.75
ppc_stratum,vehicle_breakdown__Old Airport Road,0.5,0.9,0.4
ppc_stratum,vehicle_breakdown__Old Madras Road,0.2941,1.0,0.7059
ppc_stratum,vehicle_breakdown__Tumkur Road,0.1702,0.9787,0.8085
ppc_stratum,vehicle_breakdown__Varthur Road,0.3333,1.0,0.6667
ppc_stratum,vehicle_breakdown__West of Chord Road,0.6667,1.0,0.3333
ppc_stratum,water_logging__Bellary Road 2,0.6667,1.0,0.3333
ppc_stratum,water_logging__Non-corridor,0.0508,0.9661,0.9153
ppc_stratum,water_logging__ORR East 1,0.6,0.8,0.2
ppc_stratum,water_logging__ORR West 1,0.5,1.0,0.5
ppc_cause,accident__cause_level,0.0714,0.9286,0.8572
ppc_cause,congestion__cause_level,0.2857,0.8571,0.5714
ppc_cause,construction__cause_level,0.0435,0.8043,0.7608
ppc_cause,construction__cause_level,0.0217,0.3261,0.3044
ppc_cause,construction__cause_level,0.0217,0.3043,0.2826
ppc_cause,others__cause_level,0.0303,0.8788,0.8485
ppc_cause,others__cause_level,0.0152,0.8939,0.8787
ppc_cause,others__cause_level,0.0152,0.3636,0.3484
ppc_cause,others__cause_level,0.1667,0.8939,0.7272
ppc_cause,others__cause_level,0.0152,0.9394,0.9242
ppc_cause,pot_holes__cause_level,0.0196,0.3529,0.3333
ppc_cause,pot_holes__cause_level,0.0196,0.9608,0.9412
ppc_cause,pot_holes__cause_level,0.0196,0.9608,0.9412
ppc_cause,pot_holes__cause_level,0.0196,0.7451,0.7255
ppc_cause,pot_holes__cause_level,0.0196,0.9804,0.9608
ppc_cause,pot_holes__cause_level,0.0196,0.9804,0.9608
ppc_cause,pot_holes__cause_level,0.2353,0.7255,0.4902
ppc_cause,procession__cause_level,0.2,0.8,0.6
ppc_cause,public_event__cause_level,0.1429,0.2857,0.1428
ppc_cause,public_event__cause_level,0.4286,0.7143,0.2857
ppc_cause,road_conditions__cause_level,0.4737,1.0,0.5263
ppc_cause,road_conditions__cause_level,0.3158,0.8421,0.5263
ppc_cause,road_conditions__cause_level,0.0526,0.8421,0.7895
ppc_cause,road_conditions__cause_level,0.0526,0.8421,0.7895
ppc_cause,tree_fall__cause_level,0.3333,0.8182,0.4849
ppc_cause,tree_fall__cause_level,0.0101,0.7475,0.7374
ppc_cause,tree_fall__cause_level,0.2727,0.9495,0.6768
ppc_cause,tree_fall__cause_level,0.0101,0.9091,0.899
ppc_cause,tree_fall__cause_level,0.0101,0.6162,0.6061
ppc_cause,tree_fall__cause_level,0.2929,0.9495,0.6566
ppc_cause,tree_fall__cause_level,0.3636,0.9697,0.6061
ppc_cause,tree_fall__cause_level,0.5455,0.9697,0.4242
ppc_cause,tree_fall__cause_level,0.0101,0.8687,0.8586
ppc_cause,tree_fall__cause_level,0.101,0.9495,0.8485
ppc_cause,tree_fall__cause_level,0.5051,1.0,0.4949
ppc_cause,water_logging__cause_level,0.414,0.9554,0.5414
ppc_cause,water_logging__cause_level,0.2357,0.9745,0.7388
ppc_cause,water_logging__cause_level,0.3885,0.9108,0.5223
ppc_cause,water_logging__cause_level,0.0191,0.6115,0.5924
ppc_cause,water_logging__cause_level,0.3312,0.9745,0.6433
ppc_cause,water_logging__cause_level,0.4713,0.9618,0.4905
ppc_cause,water_logging__cause_level,0.1975,0.9745,0.777
ppc_cause,water_logging__cause_level,0.5541,0.9618,0.4077
ppc_cause,water_logging__cause_level,0.2739,0.9682,0.6943
ppc_cause,water_logging__cause_level,0.4459,0.9618,0.5159
ppc_cause,water_logging__cause_level,0.0064,0.8599,0.8535
ppc_cause,water_logging__cause_level,0.3694,0.8025,0.4331
ppc_cause,water_logging__cause_level,0.3312,0.9682,0.637
ppc_cause,water_logging__cause_level,0.414,0.9618,0.5478
ppc_cause,water_logging__cause_level,0.5414,0.949,0.4076
ppc_global,global,0.061,0.9272,0.8662
