junction,dis_score,risk_level,obi_component,hawkes_component,future_risk_component,rmst_component,persistence_component,pc1_loading_obi,pc1_loading_hawkes,pc1_loading_future,pc1_loading_rmst,pc1_loading_persistence,ods_score,duration_factor,closure_factor,cascade_factor,p80_duration_min,closure_flag,hawkes_branching_ratio,officers,supervisors,tow_vehicles,qru_units,patrol_vehicles,barricades_from_ods,allocated_officers,allocated_tow,allocated_barricades,allocated_supervisors,allocation_fraction_x,strategy,barricades,closure_type,teams_needed,severity_hotspot_score,persistence_class,tow_unit,tow_priority_score,allocation_fraction_y,fully_allocated
TownhallJunction,82.99,Critical,0.7980689714677103,0.0,1.0,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,348.56,4.0,1.0,1.05,360.0,0,0.05,12,2,5,1,3,18,0,0,0,0,0.0,emergency_closure,18,full_road,3,356.52439340762373,chronic,TOW-008,0.6896,0.0,False
AyyappaTempleJunc,60.46,High,0.7769289255907925,0.0,0.567768621264922,0.7291400912501839,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,253.93,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,full_barricading,13,full_road,2,629.4602540048987,chronic,TOW-028,0.5214,0.0,False
GoruguntepalyaJunc,69.62,High,0.7732835630454894,0.0,0.6421280955596438,0.517674596349252,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,292.4,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,15,0,0,0,0,0.0,full_barricading,15,full_road,2,225.5690176597376,chronic,TOW-022,0.5593,0.0,False
SRS Peenya Junc,65.27,High,0.7398882457571735,0.0,0.4936407548261431,0.4207689419802449,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,274.13,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,14,0,0,0,0,0.0,full_barricading,14,full_road,2,227.06061298980217,chronic,TOW-023,0.5413,0.0,False
HebbalFlyoverJunc,83.06,Critical,0.7248151618467772,0.0,0.5418704314925187,0.6680777797410418,1.0,0.617438,0.0,0.615665,-0.290193,0.394354,348.85,4.0,1.0,1.05,360.0,0,0.05,12,2,5,1,3,18,0,0,0,0,0.0,emergency_closure,18,full_road,3,348.7990965568259,chronic,TOW-001,0.9299,0.0,False
RajeshwariJunc,57.84,Moderate,0.7200705640243454,0.0,0.6361467176474088,0.6268706715946196,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,242.93,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,partial_closure,13,partial_lane,2,258.3542226440709,chronic,TOW-035,0.4505,0.0,False
SilkBoardJunc,66.37,High,0.6794376568100859,0.0,0.6620422927807592,0.7184918184785274,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,278.75,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,14,0,0,0,0,0.0,full_barricading,14,full_road,2,386.5420983635855,chronic,TOW-015,0.6058,0.0,False
Bommanahalli,59.14,Moderate,0.6692410767401962,0.0,0.4683782352064122,0.6903030766233844,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,248.39,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,partial_closure,13,partial_lane,2,317.0122527312272,chronic,TOW-019,0.5759,0.0,False
SantheCircle,69.43,High,0.6633841381779504,0.0,0.5397287739400014,0.4344051751689656,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,291.61,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,15,0,0,0,0,0.0,full_barricading,15,full_road,2,302.0611834162734,chronic,TOW-013,0.6185,0.0,False
BangaloreBodyBuildersJunc,71.39,High,0.6503357377996719,0.0,0.5607977365551795,0.5776699407846438,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,299.84,4.0,1.0,1.05,360.0,0,0.05,10,2,4,1,3,15,0,0,0,0,0.0,full_barricading,15,full_road,2,227.2017627825516,chronic,TOW-009,0.6866,0.0,False
MysoreRd-RingRdJunc(Nayandanahallii),58.61,Moderate,0.6353688941433431,0.0,0.45805069028883,0.6470313836410783,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,246.16,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,partial_closure,13,partial_lane,2,257.0344436144693,chronic,TOW-020,0.5737,0.0,False
CMP GateJunc,64.49,High,0.6290431840148656,0.0,0.6468920684772554,0.6903030766233844,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,270.86,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,14,0,0,0,0,0.0,full_barricading,14,full_road,2,370.7669257384987,recurring,TOW-017,0.598,0.0,False
Chokasandra (Tumkur road),55.13,Moderate,0.6271679275444803,0.0,0.2057163894466743,0.4207689419802449,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,231.55,4.0,1.0,1.05,360.0,0,0.05,8,2,3,0,2,12,8,3,12,2,1.0,partial_closure,12,partial_lane,2,196.954513673018,chronic,TOW-033,0.4843,1.0,True
PoliceCornerJunc,50.58,Moderate,0.619792288544582,0.0,0.5596656984082696,0.6268706715946196,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,212.44,4.0,1.0,1.05,360.0,0,0.05,8,2,3,0,2,11,0,0,0,0,0.0,partial_closure,11,partial_lane,2,255.9720368368549,chronic,TOW-051,0.3455,0.0,False
YelhankaBypass,63.32,High,0.6176832582621292,0.0,0.5857339738031723,0.4344051751689656,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,265.94,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,14,0,0,0,0,0.0,full_barricading,14,full_road,2,223.93475680235343,chronic,TOW-025,0.5332,0.0,False
HudsonCircle,59.8,Moderate,0.5958358375768635,0.0,0.4776782493235065,0.5776699407846438,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,251.16,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,partial_closure,13,partial_lane,2,177.79824624521896,chronic,TOW-018,0.5786,0.0,False
KoramangalaWaterTankJunc,41.19,Moderate,0.5879810086707047,0.0,0.3525050528210606,0.8210457947225714,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,173.0,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,369.8443715960219,chronic,TOW-046,0.3666,0.0,False
TumkurRdMarappanapalyaJunc,49.13,Moderate,0.5874205671778981,0.0,0.5298728585086935,0.5903310391177605,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,206.35,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,11,0,0,0,0,0.0,partial_closure,11,partial_lane,2,140.05931130030672,chronic,TOW-052,0.3395,0.0,False
BEL Circle,57.96,Moderate,0.5516312456584472,0.0,0.6584787520512684,0.6145802507182587,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,243.43,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,partial_closure,13,partial_lane,2,289.597784550514,chronic,TOW-029,0.511,0.0,False
TataInstituteCircle,45.48,Moderate,0.5374595902945564,0.0,0.3070132049323005,0.5484201721924203,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,191.02,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,10,0,0,0,0,0.0,partial_closure,10,partial_lane,2,143.1638148545095,chronic,TOW-038,0.3844,0.0,False
PeenyaPoliceStation,42.45,Moderate,0.5339907052206139,0.0,0.2883522801902534,0.4207689419802449,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,178.29,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,145.47104208602204,chronic,TOW-061,0.3118,0.0,False
MS RamaiahJunc(TollGate),51.05,Moderate,0.5326797558591752,0.0,0.2038032334695155,0.4207689419802449,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,214.41,4.0,1.0,1.05,360.0,0,0.05,8,2,3,0,2,11,0,0,0,0,0.0,partial_closure,11,partial_lane,2,125.94038590152658,chronic,TOW-034,0.4674,0.0,False
Batrayanapura(Amrutahalli)Junction,42.3,Moderate,0.5242442623741728,0.0,0.3053671443907101,0.4344051751689656,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,177.66,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,171.48804674999832,chronic,TOW-063,0.3112,0.0,False
"VeerannapalyaJunction(BEL,HO)",44.69,Moderate,0.505662588888102,0.0,0.4408180400636636,0.7048527576772889,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,187.7,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,10,0,0,0,0,0.0,partial_closure,10,partial_lane,2,334.16390396004886,chronic,TOW-039,0.3811,0.0,False
BigBazaarJunction(OldMadrasRd),52.2,Moderate,0.4873775465083007,0.0,0.3448398361850207,0.702439869080945,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,219.24,4.0,1.0,1.05,360.0,0,0.05,8,2,3,0,2,11,0,0,0,0,0.0,partial_closure,11,partial_lane,2,220.1477022343534,recurring,TOW-026,0.5322,0.0,False
LeprosyhospitalJunc,64.54,High,0.4840215997564138,0.0,0.6521902546133461,0.2932269763284893,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,271.07,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,14,0,0,0,0,0.0,full_barricading,14,full_road,2,244.97567164308,chronic,TOW-024,0.5382,0.0,False
JakkurCrossJunction,42.29,Moderate,0.4752601122870135,0.0,0.2057163894466743,0.4344051751689656,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,177.62,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,197.3940151776204,chronic,TOW-043,0.3712,0.0,False
Shivajinagar(BRV)Junction,38.5,Moderate,0.4660424345331976,0.0,0.324470434774246,0.702439869080945,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,161.7,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,6,3,9,1,1.0,partial_closure,9,partial_lane,2,180.6923068312198,recurring,TOW-049,0.3555,,
UniversityJunc(Janabharti),37.4,Moderate,0.4536975066574761,0.0,0.2146740311055505,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,157.08,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,127.5939699219376,chronic,TOW-080,0.2759,,
IndianExpressJunction,59.33,Moderate,0.4536719998561572,0.0,0.4550574537356865,0.5628845078775503,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,249.19,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,13,0,0,0,0,0.0,partial_closure,13,partial_lane,2,202.5408097175664,recurring,TOW-012,0.6367,0.0,False
KatriguppeJunction,30.9,Moderate,0.4510441693020856,0.0,0.2883522801902534,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,129.78,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,160.48502359807222,chronic,,,,
KogilluCrossJunc,42.67,Moderate,0.4478443036645256,0.0,0.2447790522038525,0.4344051751689656,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,179.21,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,190.8352622586663,chronic,TOW-042,0.3727,0.0,False
NaganathapuraJunction,37.0,Moderate,0.4442291616824765,0.0,0.3006478885051074,0.6903030766233844,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,155.4,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,145.32846384323,chronic,TOW-081,0.2743,,
UlsoorGateJunc,37.79,Moderate,0.4422270805077946,0.0,0.2368222809660604,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,158.72,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,111.75120787357734,chronic,TOW-079,0.2775,,
SiddalingaiahCircle,43.1,Moderate,0.4260456544428961,0.0,0.2368222809660604,0.5776699407846438,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,181.02,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,10,0,0,0,0,0.0,partial_closure,10,partial_lane,2,118.08738955905422,chronic,TOW-036,0.4345,0.0,False
SarjapurRd-St JohnsRdJunc,28.61,Low,0.4154187904787461,0.0,0.119102839372825,0.6903030766233844,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,120.16,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,132.82537686383006,chronic,TOW-090,0.2395,,
SirsiCircle,35.81,Moderate,0.4142974520157109,0.0,0.216502769997045,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,150.4,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,94.80474653520452,chronic,TOW-083,0.2693,,
Devasandra(k r puram),62.72,High,0.4071160912360152,0.0,0.6774334326082876,0.6760714024045955,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,263.42,4.0,1.0,1.05,360.0,0,0.05,9,2,4,0,3,14,0,0,0,0,0.0,full_barricading,14,full_road,2,125.96611636845788,recurring,TOW-011,0.6507,0.0,False
KodigehalliCross,42.84,Moderate,0.4070119466682496,0.0,0.4047665476018514,0.5805931264594519,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,179.93,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,124.69620772314852,chronic,TOW-041,0.3734,0.0,False
BilekahalliJunc,29.5,Low,0.4042798885105651,0.0,0.2383028594376724,1.0,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,123.9,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,195.48612157835248,recurring,TOW-068,0.3032,,
PoliceTimmaiahCircle(GPO),43.72,Moderate,0.3966730065751285,0.0,0.3379955156485832,0.4496976133505049,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,183.62,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,10,0,0,0,0,0.0,partial_closure,10,partial_lane,2,174.58783586579807,recurring,TOW-040,0.3771,0.0,False
N R SquareJunc,31.65,Moderate,0.3957345567318628,0.0,0.2829419997850186,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,132.93,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,105.99983188000256,recurring,,,,
MaratahalliBridgeJunc,41.44,Moderate,0.3929675500469988,0.0,0.4549932386474917,0.4742514592489487,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,174.05,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,226.6924669045345,chronic,TOW-064,0.3076,0.0,False
Nagavara-ORR Junction,42.27,Moderate,0.389011767049859,0.0,0.4609049822410158,0.6477761695069574,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,177.53,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,415.46815502120864,chronic,TOW-044,0.3711,0.0,False
TrinityCircle,42.3,Moderate,0.3871513019337481,0.0,0.2218893175247217,0.7288083357572946,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,177.66,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,0,0,0,0,0.0,partial_closure,9,partial_lane,2,135.32261057487284,transient,TOW-031,0.4912,0.0,False
MotherTeressaCircle,33.72,Moderate,0.3812412400402719,0.0,0.2367661220947767,0.6268706715946196,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,141.62,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,8,5,2,8,1,1.0,partial_closure,8,partial_lane,1,118.11212340862848,recurring,TOW-085,0.2607,,
KhodaysCircle(DV UrsCircle),47.52,Moderate,0.3793656555740726,0.0,0.6258553195560509,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,199.58,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,10,0,0,0,0,0.0,partial_closure,10,partial_lane,2,88.37264052907224,recurring,TOW-037,0.3928,0.0,False
ArakereGateJunc,21.35,Low,0.3770588523081071,0.0,0.2410099606195795,0.8380357012022978,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,89.67,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,201.0375874328804,transient,,,,
Dr TCM RoyanRd near AmbedkarStatue,37.79,Moderate,0.3720991078280477,0.0,0.1978192185708853,0.6268706715946196,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,158.72,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,132.24525155574537,recurring,TOW-054,0.3375,,
QueensStatueCircle,29.41,Low,0.3704209031681376,0.0,0.1103393961188258,0.5892529745538999,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,123.52,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,101.72953290021051,recurring,TOW-087,0.2429,,
Kadubeesanahalli-ORR Junc,49.92,Moderate,0.3694327390499711,0.0,0.420561068132168,0.7113759813691325,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,209.66,4.0,1.0,1.05,360.0,0,0.05,7,2,3,0,2,11,0,0,0,0,0.0,partial_closure,11,partial_lane,2,165.9187251607828,recurring,TOW-027,0.5227,0.0,False
K R Circle,38.22,Moderate,0.3684755715298246,0.0,0.5539370689378251,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,160.52,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,6,3,9,1,1.0,partial_closure,9,partial_lane,2,128.12570225011325,recurring,TOW-072,0.2943,,
Richmond circle jn,22.32,Low,0.3666748675751917,0.0,0.0776839510557158,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,93.74,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,131.95959757350042,chronic,,,,
ItmaduJunction,32.39,Moderate,0.359351279068916,0.0,0.1209198235622522,0.6873528077339963,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,136.04,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,71.41690280557634,chronic,TOW-059,0.3152,,
OldMadrasRd-Indranagar100ftRdJunc,31.49,Moderate,0.3565890678317145,0.0,0.1325638951113772,0.7288083357572946,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,132.26,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,109.64355463895896,recurring,TOW-062,0.3115,,
KadirenahalliJunction,36.93,Moderate,0.3482806772372191,0.0,0.2476494007215048,0.6873528077339963,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,155.11,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,95.1779867580897,recurring,TOW-055,0.334,,
ShivajiTalkiesJunc,29.34,Low,0.3424980124705679,0.0,0.1297331125633261,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,123.23,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,65.24652635467062,recurring,TOW-088,0.2426,,
K R MarketJunction,28.63,Low,0.340877450546068,0.0,0.1134686497710812,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,120.25,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,75.98321722109753,recurring,TOW-089,0.2396,,
HunsemarammanahalliJunction,28.46,Low,0.3402950623334662,0.0,0.1522486633424271,0.4344051751689656,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,119.53,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,84.56855493050152,chronic,,,,
Sumanhalli,55.37,Moderate,0.3387047662787377,0.0,0.4240693774050818,0.2932269763284893,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,232.55,4.0,1.0,1.05,360.0,0,0.05,8,2,3,0,2,12,8,3,12,2,1.0,partial_closure,12,partial_lane,2,196.92633135787565,transient,TOW-032,0.4853,1.0,True
KanakapuraRd-RingRdJunction,22.63,Low,0.329500930681941,0.0,0.2049988945000483,0.6817121050692957,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,95.05,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,93.42061164926436,transient,,,,
Ashoknagar Junction(ShoolayCircle),23.76,Low,0.3281965206733539,0.0,0.1555054197563655,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,99.79,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,73.87492094933125,transient,,,,
Kudlu Gate Junc,30.2,Moderate,0.3267404304013767,0.0,0.102630814464988,0.6903030766233844,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,126.84,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,75.13567747216874,recurring,TOW-066,0.3061,,
AshirwadamCircle,28.19,Low,0.3237981929026096,0.0,0.1206990206463275,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,118.4,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,71.00668756775777,recurring,TOW-092,0.2378,,
AnepalyaJunc,18.04,Low,0.3228084093139551,0.0,0.102630814464988,0.6903030766233844,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,75.77,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,81.60406847304019,recurring,,,,
HulimaveRd-BanneraghattaRdJunc,17.83,Low,0.3213141531387348,0.0,0.1836859212539323,1.0,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,74.89,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,114.07545150808863,transient,,,,
MinskSquare(CTO Junction),27.6,Low,0.3186419367085865,0.0,0.1652663925037701,0.4496976133505049,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,115.92,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,101.8242321705254,recurring,,,,
