event_id,horizon_min,quantity,forecast_mean,forecast_variance,forecast_confidence,generated_at
FKID001125,30,incident_intensity,0.2335,0.023242,0.4919,2026-06-20T02:27:28.192130+00:00
FKID006361,5,speed,45.6298,45.653707,0.5837,2026-06-20T02:27:28.192130+00:00
FKID006361,5,queue_length,213.8892,1684.302356,0.5459,2026-06-20T02:27:28.192130+00:00
FKID006361,5,travel_time,253.3637,193.539164,0.7143,2026-06-20T02:27:28.192130+00:00
FKID006361,5,incident_intensity,0.1182,0.017242,0.5662,2026-06-20T02:27:28.192130+00:00
FKID006361,15,speed,45.4988,50.229242,0.5603,2026-06-20T02:27:28.192130+00:00
FKID006361,15,queue_length,214.2717,1826.500406,0.5258,2026-06-20T02:27:28.192130+00:00
FKID006361,15,travel_time,254.0879,239.163937,0.6693,2026-06-20T02:27:28.192130+00:00
FKID006361,15,incident_intensity,0.1453,0.018608,0.5473,2026-06-20T02:27:28.192130+00:00
FKID006361,30,speed,45.3259,62.653657,0.5053,2026-06-20T02:27:28.192130+00:00
FKID006361,30,queue_length,214.8035,2204.369242,0.4788,2026-06-20T02:27:28.192130+00:00
FKID006361,30,travel_time,255.044,336.623399,0.5898,2026-06-20T02:27:28.192130+00:00
FKID006361,30,incident_intensity,0.1784,0.023088,0.4936,2026-06-20T02:27:28.192130+00:00
FKID004125,5,speed,45.677,43.148998,0.5973,2026-06-20T02:27:28.192130+00:00
FKID004125,5,queue_length,267.1341,1587.835709,0.5605,2026-06-20T02:27:28.192130+00:00
FKID004125,5,travel_time,240.5429,183.294681,0.7253,2026-06-20T02:27:28.192130+00:00
FKID004125,5,incident_intensity,0.188,0.016347,0.5792,2026-06-20T02:27:28.192130+00:00
FKID004125,15,speed,45.5461,48.189141,0.5705,2026-06-20T02:27:28.192130+00:00
FKID004125,15,queue_length,267.6108,1741.099177,0.5377,2026-06-20T02:27:28.192130+00:00
FKID004125,15,travel_time,241.2293,230.819741,0.6771,2026-06-20T02:27:28.192130+00:00
FKID004125,15,incident_intensity,0.2152,0.017966,0.556,2026-06-20T02:27:28.192130+00:00
FKID004125,30,speed,45.3733,61.153995,0.5114,2026-06-20T02:27:28.192130+00:00
FKID004125,30,queue_length,268.2735,2133.232409,0.487,2026-06-20T02:27:28.192130+00:00
FKID004125,30,travel_time,242.1356,330.489648,0.5942,2026-06-20T02:27:28.192130+00:00
FKID004125,30,incident_intensity,0.2483,0.022699,0.4978,2026-06-20T02:27:28.192130+00:00
FKID001693,5,speed,45.6921,45.190332,0.5861,2026-06-20T02:27:28.192130+00:00
FKID001693,5,queue_length,190.123,1666.444144,0.5486,2026-06-20T02:27:28.192130+00:00
FKID001693,5,travel_time,232.5865,191.642846,0.7164,2026-06-20T02:27:28.192130+00:00
FKID001693,5,incident_intensity,0.2442,0.017077,0.5685,2026-06-20T02:27:28.192130+00:00
FKID001693,15,speed,45.5634,49.85182,0.5621,2026-06-20T02:27:28.192130+00:00
FKID001693,15,queue_length,190.4565,1810.69066,0.5279,2026-06-20T02:27:28.192130+00:00
FKID001693,15,travel_time,233.2386,237.619374,0.6707,2026-06-20T02:27:28.192130+00:00
FKID001693,15,incident_intensity,0.2714,0.018489,0.5489,2026-06-20T02:27:28.192130+00:00
FKID001693,30,speed,45.3936,62.376217,0.5064,2026-06-20T02:27:28.192130+00:00
FKID001693,30,queue_length,190.9201,2191.200166,0.4803,2026-06-20T02:27:28.192130+00:00
FKID001693,30,travel_time,234.0995,335.488003,0.5906,2026-06-20T02:27:28.192130+00:00
FKID001693,30,incident_intensity,0.3044,0.023016,0.4943,2026-06-20T02:27:28.192130+00:00
FKID000944,5,speed,54.9044,39.797645,0.6166,2026-06-20T02:27:28.192130+00:00
FKID000944,5,queue_length,61.9919,1459.00418,0.5812,2026-06-20T02:27:28.192130+00:00
FKID000944,5,travel_time,304.1353,169.609564,0.7405,2026-06-20T02:27:28.192130+00:00
FKID000944,5,incident_intensity,0.2073,0.015144,0.5977,2026-06-20T02:27:28.192130+00:00
FKID000944,15,speed,54.7494,45.459443,0.5847,2026-06-20T02:27:28.192130+00:00
FKID000944,15,queue_length,62.1008,1627.04555,0.5545,2026-06-20T02:27:28.192130+00:00
FKID000944,15,travel_time,304.9903,219.673128,0.6878,2026-06-20T02:27:28.192130+00:00
FKID000944,15,incident_intensity,0.2346,0.017105,0.5681,2026-06-20T02:27:28.192130+00:00
FKID000944,30,speed,54.5448,59.147416,0.5197,2026-06-20T02:27:28.192130+00:00
FKID000944,30,queue_length,62.2521,2038.228931,0.4984,2026-06-20T02:27:28.192130+00:00
FKID000944,30,travel_time,306.1192,322.295863,0.6003,2026-06-20T02:27:28.192130+00:00
FKID000944,30,incident_intensity,0.2678,0.022177,0.5036,2026-06-20T02:27:28.192130+00:00
FKID000316,5,speed,46.7821,38.580093,0.6239,2026-06-20T02:27:28.192130+00:00
FKID000316,5,queue_length,0.0,1412.268214,0.5891,2026-06-20T02:27:28.192130+00:00
FKID000316,5,travel_time,287.3414,164.64403,0.7462,2026-06-20T02:27:28.192130+00:00
FKID000316,5,incident_intensity,0.0695,0.014707,0.6047,2026-06-20T02:27:28.192130+00:00
FKID000316,15,speed,46.6501,44.46774,0.59,2026-06-20T02:27:28.192130+00:00
FKID000316,15,queue_length,0.0,1585.670536,0.5608,2026-06-20T02:27:28.192130+00:00
FKID000316,15,travel_time,288.1492,215.62867,0.6918,2026-06-20T02:27:28.192130+00:00
FKID000316,15,incident_intensity,0.0968,0.016791,0.5726,2026-06-20T02:27:28.192130+00:00
FKID000316,30,speed,46.4758,58.418423,0.5228,2026-06-20T02:27:28.192130+00:00
FKID000316,30,queue_length,0.0,2003.764702,0.5026,2026-06-20T02:27:28.192130+00:00
FKID000316,30,travel_time,289.2157,319.322815,0.6025,2026-06-20T02:27:28.192130+00:00
FKID000316,30,incident_intensity,0.1301,0.021987,0.5058,2026-06-20T02:27:28.192130+00:00
FKID006514,5,speed,57.3579,44.86796,0.5879,2026-06-20T02:27:28.192130+00:00
FKID006514,5,queue_length,200.216,1654.023251,0.5504,2026-06-20T02:27:28.192130+00:00
FKID006514,5,travel_time,240.5371,190.323856,0.7178,2026-06-20T02:27:28.192130+00:00
FKID006514,5,incident_intensity,0.1535,0.016961,0.5702,2026-06-20T02:27:28.192130+00:00
FKID006514,15,speed,57.1976,49.589246,0.5634,2026-06-20T02:27:28.192130+00:00
FKID006514,15,queue_length,200.5646,1799.694532,0.5295,2026-06-20T02:27:28.192130+00:00
FKID006514,15,travel_time,241.2065,236.545048,0.6717,2026-06-20T02:27:28.192130+00:00
FKID006514,15,incident_intensity,0.1806,0.018407,0.55,2026-06-20T02:27:28.192130+00:00
FKID006514,30,speed,56.9859,62.183201,0.5072,2026-06-20T02:27:28.192130+00:00
FKID006514,30,queue_length,201.0492,2182.040699,0.4813,2026-06-20T02:27:28.192130+00:00
FKID006514,30,travel_time,242.0904,334.698275,0.5912,2026-06-20T02:27:28.192130+00:00
FKID006514,30,incident_intensity,0.2137,0.022966,0.4949,2026-06-20T02:27:28.192130+00:00
FKID006015,5,speed,46.8359,46.061333,0.5815,2026-06-20T02:27:28.192130+00:00
FKID006015,5,queue_length,188.646,1700.016461,0.5436,2026-06-20T02:27:28.192130+00:00
FKID006015,5,travel_time,233.2049,195.20774,0.7126,2026-06-20T02:27:28.192130+00:00
FKID006015,5,incident_intensity,0.1668,0.017387,0.5641,2026-06-20T02:27:28.192130+00:00
FKID006015,15,speed,46.7055,50.561256,0.5587,2026-06-20T02:27:28.192130+00:00
FKID006015,15,queue_length,188.9733,1840.411991,0.5239,2026-06-20T02:27:28.192130+00:00
FKID006015,15,travel_time,233.8515,240.523003,0.668,2026-06-20T02:27:28.192130+00:00
FKID006015,15,incident_intensity,0.1939,0.018712,0.546,2026-06-20T02:27:28.192130+00:00
FKID006015,30,speed,46.5333,62.897718,0.5043,2026-06-20T02:27:28.192130+00:00
FKID006015,30,queue_length,189.4283,2215.957202,0.4775,2026-06-20T02:27:28.192130+00:00
FKID006015,30,travel_time,234.7051,337.622437,0.5891,2026-06-20T02:27:28.192130+00:00
FKID006015,30,incident_intensity,0.2269,0.023151,0.4929,2026-06-20T02:27:28.192130+00:00
FKID000842,5,speed,39.5278,38.439102,0.6248,2026-06-20T02:27:28.192130+00:00
FKID000842,5,queue_length,307.1225,1406.858606,0.5901,2026-06-20T02:27:28.192130+00:00
FKID000842,5,travel_time,242.8057,164.069243,0.7468,2026-06-20T02:27:28.192130+00:00
FKID000842,5,incident_intensity,0.1915,0.014656,0.6056,2026-06-20T02:27:28.192130+00:00
FKID000842,15,speed,39.4175,44.352902,0.5907,2026-06-20T02:27:28.192130+00:00
FKID000842,15,queue_length,307.6556,1580.881449,0.5616,2026-06-20T02:27:28.192130+00:00
FKID000842,15,travel_time,243.4806,215.160502,0.6923,2026-06-20T02:27:28.192130+00:00
FKID000842,15,incident_intensity,0.2189,0.016755,0.5732,2026-06-20T02:27:28.192130+00:00
FKID000842,30,speed,39.2719,58.334007,0.5232,2026-06-20T02:27:28.192130+00:00
FKID000842,30,queue_length,308.3968,1999.775526,0.5031,2026-06-20T02:27:28.192130+00:00
FKID000842,30,travel_time,244.3717,318.978669,0.6028,2026-06-20T02:27:28.192130+00:00
FKID000842,30,incident_intensity,0.2522,0.021965,0.506,2026-06-20T02:27:28.192130+00:00
FKID000129,5,speed,55.49,45.687383,0.5835,2026-06-20T02:27:28.192130+00:00
FKID000129,5,queue_length,158.4619,1685.600424,0.5457,2026-06-20T02:27:28.192130+00:00
FKID000129,5,travel_time,240.5374,193.677,0.7142,2026-06-20T02:27:28.192130+00:00
FKID000129,5,incident_intensity,0.4094,0.017254,0.566,2026-06-20T02:27:28.192130+00:00
FKID000129,15,speed,55.3358,50.256671,0.5601,2026-06-20T02:27:28.192130+00:00
FKID000129,15,queue_length,158.7361,1827.649577,0.5256,2026-06-20T02:27:28.192130+00:00
FKID000129,15,travel_time,241.2028,239.276205,0.6692,2026-06-20T02:27:28.192130+00:00
FKID000129,15,incident_intensity,0.4365,0.018616,0.5472,2026-06-20T02:27:28.192130+00:00
FKID000129,30,speed,55.1324,62.67382,0.5052,2026-06-20T02:27:28.192130+00:00
FKID000129,30,queue_length,159.1174,2205.326469,0.4787,2026-06-20T02:27:28.192130+00:00
FKID000129,30,travel_time,242.0812,336.705926,0.5897,2026-06-20T02:27:28.192130+00:00
FKID000129,30,incident_intensity,0.4696,0.023093,0.4935,2026-06-20T02:27:28.192130+00:00
FKID003911,5,speed,33.2702,39.289638,0.6196,2026-06-20T02:27:28.192130+00:00
FKID003911,5,queue_length,188.6795,1439.499775,0.5845,2026-06-20T02:27:28.192130+00:00
FKID003911,5,travel_time,173.3952,167.537354,0.7429,2026-06-20T02:27:28.192130+00:00
FKID003911,5,incident_intensity,0.395,0.014962,0.6006,2026-06-20T02:27:28.192130+00:00
FKID003911,15,speed,33.178,45.045668,0.5869,2026-06-20T02:27:28.192130+00:00
FKID003911,15,queue_length,189.0048,1609.778441,0.5571,2026-06-20T02:27:28.192130+00:00
FKID003911,15,travel_time,173.8737,217.9853,0.6895,2026-06-20T02:27:28.192130+00:00
FKID003911,15,incident_intensity,0.4223,0.016974,0.57,2026-06-20T02:27:28.192130+00:00
FKID003911,30,speed,33.0563,58.843254,0.521,2026-06-20T02:27:28.192130+00:00
FKID003911,30,queue_length,189.4569,2023.845912,0.5001,2026-06-20T02:27:28.192130+00:00
FKID003911,30,travel_time,174.5054,321.055155,0.6012,2026-06-20T02:27:28.192130+00:00
FKID003911,30,incident_intensity,0.4556,0.022097,0.5045,2026-06-20T02:27:28.192130+00:00
FKID000528,5,speed,37.8691,38.628856,0.6236,2026-06-20T02:27:28.192130+00:00
FKID000528,5,queue_length,231.6356,1414.13927,0.5888,2026-06-20T02:27:28.192130+00:00
FKID000528,5,travel_time,252.0365,164.842834,0.7459,2026-06-20T02:27:28.192130+00:00
FKID000528,5,incident_intensity,0.232,0.014724,0.6044,2026-06-20T02:27:28.192130+00:00
FKID000528,15,speed,37.7645,44.507457,0.5898,2026-06-20T02:27:28.192130+00:00
FKID000528,15,queue_length,232.0335,1587.326969,0.5606,2026-06-20T02:27:28.192130+00:00
FKID000528,15,travel_time,252.7297,215.790596,0.6916,2026-06-20T02:27:28.192130+00:00
FKID000528,15,incident_intensity,0.2593,0.016804,0.5725,2026-06-20T02:27:28.192130+00:00
FKID000528,30,speed,37.6265,58.447619,0.5227,2026-06-20T02:27:28.192130+00:00
FKID000528,30,queue_length,232.5867,2005.144464,0.5025,2026-06-20T02:27:28.192130+00:00
FKID000528,30,travel_time,253.6449,319.441846,0.6024,2026-06-20T02:27:28.192130+00:00
FKID000528,30,incident_intensity,0.2926,0.021994,0.5057,2026-06-20T02:27:28.192130+00:00
FKID000923,5,speed,46.2431,44.235787,0.5913,2026-06-20T02:27:28.192130+00:00
FKID000923,5,queue_length,118.4374,1629.673323,0.5541,2026-06-20T02:27:28.192130+00:00
FKID000923,5,travel_time,240.5257,187.737998,0.7205,2026-06-20T02:27:28.192130+00:00
FKID000923,5,incident_intensity,0.3209,0.016735,0.5735,2026-06-20T02:27:28.192130+00:00
FKID000923,15,speed,46.1159,49.074337,0.566,2026-06-20T02:27:28.192130+00:00
FKID000923,15,queue_length,118.6402,1778.137716,0.5325,2026-06-20T02:27:28.192130+00:00
FKID000923,15,travel_time,241.1845,234.438851,0.6737,2026-06-20T02:27:28.192130+00:00
FKID000923,15,incident_intensity,0.3481,0.018245,0.5522,2026-06-20T02:27:28.192130+00:00
FKID000923,30,speed,45.948,61.804696,0.5087,2026-06-20T02:27:28.192130+00:00
FKID000923,30,queue_length,118.9223,2164.084475,0.4834,2026-06-20T02:27:28.192130+00:00
FKID000923,30,travel_time,242.0543,333.150026,0.5923,2026-06-20T02:27:28.192130+00:00
FKID000923,30,incident_intensity,0.3812,0.022868,0.4959,2026-06-20T02:27:28.192130+00:00
FKID007189,5,speed,46.2987,45.141401,0.5864,2026-06-20T02:27:28.192130+00:00
FKID007189,5,queue_length,239.7234,1664.558711,0.5488,2026-06-20T02:27:28.192130+00:00
FKID007189,5,travel_time,225.5434,191.442632,0.7166,2026-06-20T02:27:28.192130+00:00
FKID007189,5,incident_intensity,0.0508,0.017059,0.5688,2026-06-20T02:27:28.192130+00:00
FKID007189,15,speed,46.1719,49.811966,0.5623,2026-06-20T02:27:28.192130+00:00
FKID007189,15,queue_length,240.1323,1809.021499,0.5282,2026-06-20T02:27:28.192130+00:00
FKID007189,15,travel_time,226.1583,237.456298,0.6709,2026-06-20T02:27:28.192130+00:00
FKID007189,15,incident_intensity,0.0779,0.018477,0.5491,2026-06-20T02:27:28.192130+00:00
FKID007189,30,speed,46.0046,62.346921,0.5065,2026-06-20T02:27:28.192130+00:00
FKID007189,30,queue_length,240.7006,2189.809802,0.4804,2026-06-20T02:27:28.192130+00:00
FKID007189,30,travel_time,226.9701,335.368127,0.5907,2026-06-20T02:27:28.192130+00:00
FKID007189,30,incident_intensity,0.111,0.023008,0.4944,2026-06-20T02:27:28.192130+00:00
FKID001133,5,speed,55.6803,45.150039,0.5863,2026-06-20T02:27:28.192130+00:00
FKID001133,5,queue_length,171.2181,1664.891543,0.5488,2026-06-20T02:27:28.192130+00:00
FKID001133,5,travel_time,240.5259,191.477975,0.7165,2026-06-20T02:27:28.192130+00:00
FKID001133,5,incident_intensity,0.1513,0.017062,0.5687,2026-06-20T02:27:28.192130+00:00
FKID001133,15,speed,55.5282,49.819002,0.5623,2026-06-20T02:27:28.192130+00:00
FKID001133,15,queue_length,171.5093,1809.316153,0.5281,2026-06-20T02:27:28.192130+00:00
FKID001133,15,travel_time,241.1799,237.485086,0.6708,2026-06-20T02:27:28.192130+00:00
FKID001133,15,incident_intensity,0.1784,0.018479,0.5491,2026-06-20T02:27:28.192130+00:00
FKID001133,30,speed,55.3276,62.352093,0.5065,2026-06-20T02:27:28.192130+00:00
FKID001133,30,queue_length,171.9142,2190.05524,0.4804,2026-06-20T02:27:28.192130+00:00
FKID001133,30,travel_time,242.0432,335.389289,0.5907,2026-06-20T02:27:28.192130+00:00
FKID001133,30,incident_intensity,0.2115,0.02301,0.4944,2026-06-20T02:27:28.192130+00:00
FKID004711,5,speed,46.3775,45.923032,0.5822,2026-06-20T02:27:28.192130+00:00
FKID004711,5,queue_length,182.0161,1694.684447,0.5444,2026-06-20T02:27:28.192130+00:00
FKID004711,5,travel_time,211.9176,194.641576,0.7132,2026-06-20T02:27:28.192130+00:00
FKID004711,5,incident_intensity,0.5273,0.017338,0.5648,2026-06-20T02:27:28.192130+00:00
FKID004711,15,speed,46.2513,50.448609,0.5592,2026-06-20T02:27:28.192130+00:00
FKID004711,15,queue_length,182.3246,1835.691596,0.5245,2026-06-20T02:27:28.192130+00:00
FKID004711,15,travel_time,212.4917,240.061858,0.6685,2026-06-20T02:27:28.192130+00:00
FKID004711,15,incident_intensity,0.5545,0.018676,0.5464,2026-06-20T02:27:28.192130+00:00
FKID004711,30,speed,46.0848,62.814912,0.5047,2026-06-20T02:27:28.192130+00:00
FKID004711,30,queue_length,182.7535,2212.025246,0.4779,2026-06-20T02:27:28.192130+00:00
FKID004711,30,travel_time,213.2497,337.283454,0.5893,2026-06-20T02:27:28.192130+00:00
FKID004711,30,incident_intensity,0.5875,0.02313,0.4931,2026-06-20T02:27:28.192130+00:00
FKID004806,5,speed,49.1414,39.818178,0.6165,2026-06-20T02:27:28.192130+00:00
FKID004806,5,queue_length,66.3467,1459.792678,0.5811,2026-06-20T02:27:28.192130+00:00
FKID004806,5,travel_time,186.1161,169.693335,0.7404,2026-06-20T02:27:28.192130+00:00
FKID004806,5,incident_intensity,0.0371,0.015152,0.5976,2026-06-20T02:27:28.192130+00:00
FKID004806,15,speed,49.0073,45.476167,0.5846,2026-06-20T02:27:28.192130+00:00
FKID004806,15,queue_length,66.4594,1627.743603,0.5544,2026-06-20T02:27:28.192130+00:00
FKID004806,15,travel_time,186.6222,219.74136,0.6878,2026-06-20T02:27:28.192130+00:00
FKID004806,15,incident_intensity,0.0644,0.01711,0.568,2026-06-20T02:27:28.192130+00:00
FKID004806,30,speed,48.8302,59.15971,0.5197,2026-06-20T02:27:28.192130+00:00
FKID004806,30,queue_length,66.6161,2038.810389,0.4983,2026-06-20T02:27:28.192130+00:00
FKID004806,30,travel_time,187.2904,322.34602,0.6002,2026-06-20T02:27:28.192130+00:00
FKID004806,30,incident_intensity,0.0976,0.02218,0.5036,2026-06-20T02:27:28.192130+00:00
FKID007137,5,speed,51.9657,55.999797,0.5333,2026-06-20T02:27:28.192130+00:00
FKID007137,5,queue_length,183.9528,2084.427106,0.4928,2026-06-20T02:27:28.192130+00:00
FKID007137,5,travel_time,248.0892,236.00682,0.6722,2026-06-20T02:27:28.192130+00:00
FKID007137,5,incident_intensity,0.2832,0.020912,0.5183,2026-06-20T02:27:28.192130+00:00
FKID007137,15,speed,51.8267,58.656197,0.5218,2026-06-20T02:27:28.192130+00:00
FKID007137,15,queue_length,184.26,2180.72797,0.4815,2026-06-20T02:27:28.192130+00:00
FKID007137,15,travel_time,248.7497,273.754108,0.6387,2026-06-20T02:27:28.192130+00:00
FKID007137,15,incident_intensity,0.31,0.021237,0.5144,2026-06-20T02:27:28.192130+00:00
FKID007137,30,speed,51.6433,68.848243,0.4818,2026-06-20T02:27:28.192130+00:00
FKID007137,30,queue_length,184.687,2499.430886,0.4476,2026-06-20T02:27:28.192130+00:00
FKID007137,30,travel_time,249.6217,362.050353,0.5721,2026-06-20T02:27:28.192130+00:00
FKID007137,30,incident_intensity,0.3428,0.024682,0.4769,2026-06-20T02:27:28.192130+00:00
FKID005996,5,speed,46.562,45.201033,0.5861,2026-06-20T02:27:28.192130+00:00
