planned_event_id,planned_cause,retrieved_event_id,retrieved_cause,retrieved_corridor,gower_score,hybrid_score,final_score,rank
FKID000437,public_event,FKID001734,public_event,Non-corridor,1.0,1.0,1.0,8
FKID000437,public_event,FKID003755,public_event,Non-corridor,1.0,1.0,1.0,9
FKID000437,public_event,FKID004707,public_event,Non-corridor,1.0,1.0,1.0,10
FKID000439,public_event,FKID000946,public_event,CBD 2,1.0,1.0,1.0,1
FKID000439,public_event,FKID001683,public_event,CBD 2,1.0,1.0,1.0,2
FKID000439,public_event,FKID000008,public_event,CBD 2,1.0,1.0,1.0,3
FKID000439,public_event,FKID001988,public_event,CBD 2,1.0,1.0,1.0,4
FKID000439,public_event,FKID001680,public_event,CBD 2,1.0,1.0,1.0,5
FKID000439,public_event,FKID005754,public_event,Bellary Road 1,0.8889,0.75,0.8056,6
FKID000439,public_event,FKID001064,public_event,Bellary Road 1,0.8889,0.75,0.8056,7
FKID000439,public_event,FKID003577,public_event,Mysore Road,0.8204,0.7233,0.7622,8
FKID000439,public_event,FKID007917,vehicle_breakdown,CBD 2,0.8655,0.6457,0.7336,9
FKID000439,public_event,FKID007723,test_demo,CBD 2,0.8519,0.65,0.7307,10
FKID000468,procession,FKID004509,procession,Non-corridor,0.9768,0.9955,0.988,1
FKID000468,procession,FKID007787,procession,Non-corridor,0.9206,0.9868,0.9603,2
FKID000468,procession,FKID002254,procession,Non-corridor,0.9175,0.9868,0.959,3
FKID000468,procession,FKID006315,procession,Non-corridor,0.8703,0.9868,0.9402,4
FKID000468,procession,FKID001167,procession,Non-corridor,0.8703,0.9868,0.9402,5
FKID000468,procession,FKID004467,procession,Non-corridor,0.8734,0.9504,0.9196,6
FKID000468,procession,FKID003180,procession,Non-corridor,0.8628,0.9433,0.9111,7
FKID000468,procession,FKID004750,procession,Non-corridor,0.8534,0.9372,0.9037,8
FKID000468,procession,FKID005353,procession,Non-corridor,0.8205,0.9328,0.8879,9
FKID000468,procession,FKID007215,procession,Non-corridor,0.8072,0.9415,0.8878,10
FKID000478,procession,FKID001569,procession,Non-corridor,0.99,0.9957,0.9934,1
FKID000478,procession,FKID001648,procession,Non-corridor,0.9655,0.987,0.9784,2
FKID000478,procession,FKID001647,procession,Non-corridor,0.9618,0.987,0.9769,3
FKID000478,procession,FKID001104,procession,Non-corridor,0.9576,0.9826,0.9726,4
FKID000478,procession,FKID002602,procession,Non-corridor,0.943,0.9868,0.9693,5
FKID000478,procession,FKID007408,procession,Non-corridor,0.9472,0.9737,0.9631,6
FKID000478,procession,FKID002110,procession,Non-corridor,0.9388,0.9783,0.9625,7
FKID000478,procession,FKID000717,procession,Non-corridor,0.9531,0.965,0.9602,8
FKID000478,procession,FKID001865,procession,Non-corridor,0.9501,0.9607,0.9564,9
FKID000478,procession,FKID003783,procession,Non-corridor,0.9005,0.9909,0.9548,10
FKID000502,public_event,FKID005473,public_event,Bannerghata Road,0.8889,0.75,0.8056,1
FKID000502,public_event,FKID008131,public_event,Hennur Main Road,0.8556,0.75,0.7922,2
FKID000502,public_event,FKID001573,public_event,Old Madras Road,0.8556,0.75,0.7922,3
FKID000502,public_event,FKID001581,public_event,Old Madras Road,0.8556,0.75,0.7922,4
FKID000502,public_event,FKID003763,public_event,ORR West 1,0.8556,0.75,0.7922,5
FKID000502,public_event,FKID001578,public_event,Old Madras Road,0.8556,0.75,0.7922,6
FKID000502,public_event,FKID008054,public_event,ORR West 1,0.8556,0.75,0.7922,7
FKID000502,public_event,FKID006283,public_event,Hosur Road,0.8556,0.75,0.7922,8
FKID000502,public_event,FKID002483,public_event,Old Madras Road,0.8556,0.75,0.7922,9
FKID000502,public_event,FKID004486,public_event,Bellary Road 1,0.8556,0.75,0.7922,10
FKID000717,procession,FKID001865,procession,Non-corridor,0.9933,0.9957,0.9947,1
FKID000717,procession,FKID004092,procession,Non-corridor,0.981,0.9911,0.9871,2
FKID000717,procession,FKID007575,procession,Non-corridor,0.9648,0.9779,0.9726,3
FKID000717,procession,FKID007408,procession,Non-corridor,0.9486,0.9822,0.9688,4
FKID000717,procession,FKID002110,procession,Non-corridor,0.9402,0.9868,0.9681,5
FKID000717,procession,FKID002602,procession,Non-corridor,0.936,0.9783,0.9614,6
FKID000717,procession,FKID000478,procession,Non-corridor,0.9531,0.965,0.9602,7
FKID000717,procession,FKID000361,procession,Non-corridor,0.9004,0.9957,0.9575,8
FKID000717,procession,FKID001569,procession,Non-corridor,0.9491,0.9607,0.956,9
FKID000717,procession,FKID003153,procession,Non-corridor,0.8754,0.9913,0.945,10
FKID000737,public_event,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,1
FKID000737,public_event,FKID001481,public_event,Non-corridor,1.0,1.0,1.0,2
FKID000737,public_event,FKID008130,public_event,Non-corridor,1.0,1.0,1.0,3
FKID000737,public_event,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,4
FKID000737,public_event,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,5
FKID000737,public_event,FKID005805,public_event,Non-corridor,1.0,1.0,1.0,6
FKID000737,public_event,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,7
FKID000737,public_event,FKID001734,public_event,Non-corridor,1.0,1.0,1.0,8
FKID000737,public_event,FKID003755,public_event,Non-corridor,1.0,1.0,1.0,9
FKID000737,public_event,FKID004707,public_event,Non-corridor,1.0,1.0,1.0,10
FKID000878,procession,FKID000949,procession,Non-corridor,0.9767,0.9957,0.9881,1
FKID000878,procession,FKID000952,procession,Non-corridor,0.9743,0.9957,0.9871,2
FKID000878,procession,FKID000956,procession,Non-corridor,0.9688,0.9913,0.9823,3
FKID000878,procession,FKID004449,procession,Non-corridor,0.9617,0.9868,0.9767,4
FKID000878,procession,FKID003783,procession,Non-corridor,0.9516,0.9822,0.97,5
FKID000878,procession,FKID001647,procession,Non-corridor,0.9211,0.9957,0.9658,6
FKID000878,procession,FKID001492,procession,Non-corridor,0.9525,0.9739,0.9653,7
FKID000878,procession,FKID001648,procession,Non-corridor,0.9174,0.9957,0.9643,8
FKID000878,procession,FKID001104,procession,Non-corridor,0.9157,0.9913,0.9611,9
FKID000878,procession,FKID001569,procession,Non-corridor,0.9026,0.9957,0.9584,10
FKID000920,protest,FKID000922,protest,Non-corridor,0.9948,1.0,0.9979,1
FKID000920,protest,FKID000921,protest,Non-corridor,0.9948,1.0,0.9979,2
FKID000920,protest,FKID000378,protest,Non-corridor,0.9617,0.9868,0.9767,3
FKID000920,protest,FKID001198,protest,Non-corridor,0.9245,0.9911,0.9645,4
FKID000920,protest,FKID002639,protest,Non-corridor,0.8506,0.8368,0.8423,5
FKID000920,protest,FKID004535,protest,Non-corridor,0.7153,0.8047,0.769,6
FKID000920,protest,FKID004161,protest,Non-corridor,0.6764,0.783,0.7404,7
FKID000920,protest,FKID003401,vehicle_breakdown,Non-corridor,0.8749,0.6455,0.7372,8
FKID000920,protest,FKID000560,tree_fall,Non-corridor,0.874,0.6411,0.7342,9
FKID000920,protest,FKID003418,vehicle_breakdown,Non-corridor,0.874,0.6411,0.7342,10
FKID000921,protest,FKID000922,protest,Non-corridor,1.0,1.0,1.0,1
FKID000921,protest,FKID000920,protest,Non-corridor,0.9948,1.0,0.9979,2
FKID000921,protest,FKID000378,protest,Non-corridor,0.9565,0.9868,0.9747,3
FKID000921,protest,FKID001198,protest,Non-corridor,0.9293,0.9911,0.9664,4
FKID000921,protest,FKID002639,protest,Non-corridor,0.8454,0.8368,0.8402,5
FKID000921,protest,FKID004535,protest,Non-corridor,0.7177,0.8047,0.7699,6
FKID000921,protest,FKID004161,protest,Non-corridor,0.6712,0.783,0.7383,7
FKID000921,protest,FKID003401,vehicle_breakdown,Non-corridor,0.8775,0.6455,0.7383,8
FKID000921,protest,FKID000560,tree_fall,Non-corridor,0.8687,0.6411,0.7322,9
FKID000921,protest,FKID003418,vehicle_breakdown,Non-corridor,0.8687,0.6411,0.7322,10
FKID000922,protest,FKID000921,protest,Non-corridor,1.0,1.0,1.0,1
FKID000922,protest,FKID000920,protest,Non-corridor,0.9948,1.0,0.9979,2
FKID000922,protest,FKID000378,protest,Non-corridor,0.9566,0.9868,0.9747,3
FKID000922,protest,FKID001198,protest,Non-corridor,0.9294,0.9911,0.9664,4
FKID000922,protest,FKID002639,protest,Non-corridor,0.8454,0.8368,0.8402,5
FKID000922,protest,FKID004535,protest,Non-corridor,0.7177,0.8047,0.7699,6
FKID000922,protest,FKID004161,protest,Non-corridor,0.6712,0.783,0.7383,7
FKID000922,protest,FKID003401,vehicle_breakdown,Non-corridor,0.8776,0.6455,0.7383,8
FKID000922,protest,FKID000560,tree_fall,Non-corridor,0.8688,0.6411,0.7322,9
FKID000922,protest,FKID003418,vehicle_breakdown,Non-corridor,0.8688,0.6411,0.7322,10
FKID000946,public_event,FKID001683,public_event,CBD 2,1.0,1.0,1.0,1
FKID000946,public_event,FKID000439,public_event,CBD 2,1.0,1.0,1.0,2
FKID000946,public_event,FKID000008,public_event,CBD 2,1.0,1.0,1.0,3
FKID000946,public_event,FKID001988,public_event,CBD 2,1.0,1.0,1.0,4
FKID000946,public_event,FKID001680,public_event,CBD 2,1.0,1.0,1.0,5
FKID000946,public_event,FKID005754,public_event,Bellary Road 1,0.8889,0.75,0.8056,6
FKID000946,public_event,FKID001064,public_event,Bellary Road 1,0.8889,0.75,0.8056,7
FKID000946,public_event,FKID003577,public_event,Mysore Road,0.8204,0.7233,0.7622,8
FKID000946,public_event,FKID007917,vehicle_breakdown,CBD 2,0.8655,0.6457,0.7336,9
FKID000946,public_event,FKID007723,test_demo,CBD 2,0.8519,0.65,0.7307,10
FKID000949,procession,FKID000952,procession,Non-corridor,0.9976,1.0,0.999,1
FKID000949,procession,FKID000956,procession,Non-corridor,0.9922,0.9957,0.9943,2
FKID000949,procession,FKID000878,procession,Non-corridor,0.9767,0.9957,0.9881,3
FKID000949,procession,FKID004449,procession,Non-corridor,0.9754,0.9824,0.9796,4
FKID000949,procession,FKID001492,procession,Non-corridor,0.9662,0.9696,0.9682,5
FKID000949,procession,FKID001647,procession,Non-corridor,0.9074,1.0,0.963,6
FKID000949,procession,FKID001648,procession,Non-corridor,0.9037,1.0,0.9615,7
FKID000949,procession,FKID001104,procession,Non-corridor,0.902,0.9957,0.9582,8
FKID000949,procession,FKID003783,procession,Non-corridor,0.9283,0.9779,0.958,9
FKID000949,procession,FKID001569,procession,Non-corridor,0.8792,0.9913,0.9465,10
FKID000952,procession,FKID000949,procession,Non-corridor,0.9976,1.0,0.999,1
FKID000952,procession,FKID000956,procession,Non-corridor,0.9946,0.9957,0.9952,2
FKID000952,procession,FKID000878,procession,Non-corridor,0.9743,0.9957,0.9871,3
FKID000952,procession,FKID004449,procession,Non-corridor,0.973,0.9824,0.9787,4
FKID000952,procession,FKID001492,procession,Non-corridor,0.9638,0.9696,0.9673,5
FKID000952,procession,FKID001648,procession,Non-corridor,0.9061,1.0,0.9624,6
FKID000952,procession,FKID001647,procession,Non-corridor,0.905,1.0,0.962,7
FKID000952,procession,FKID001104,procession,Non-corridor,0.9008,0.9957,0.9577,8
FKID000952,procession,FKID003783,procession,Non-corridor,0.9259,0.9779,0.9571,9
FKID000952,procession,FKID001569,procession,Non-corridor,0.8768,0.9913,0.9455,10
FKID000956,procession,FKID000952,procession,Non-corridor,0.9946,0.9957,0.9952,1
FKID000956,procession,FKID000949,procession,Non-corridor,0.9922,0.9957,0.9943,2
FKID000956,procession,FKID000878,procession,Non-corridor,0.9688,0.9913,0.9823,3
FKID000956,procession,FKID004449,procession,Non-corridor,0.9676,0.9781,0.9739,4
FKID000956,procession,FKID001492,procession,Non-corridor,0.9584,0.9652,0.9625,5
FKID000956,procession,FKID001104,procession,Non-corridor,0.905,1.0,0.962,6
FKID000956,procession,FKID001648,procession,Non-corridor,0.9018,0.9957,0.9581,7
FKID000956,procession,FKID001647,procession,Non-corridor,0.8996,0.9957,0.9572,8
FKID000956,procession,FKID003783,procession,Non-corridor,0.9205,0.9735,0.9523,9
FKID000956,procession,FKID001569,procession,Non-corridor,0.8714,0.987,0.9407,10
FKID000994,public_event,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,1
FKID000994,public_event,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,2
FKID000994,public_event,FKID001481,public_event,Non-corridor,1.0,1.0,1.0,3
FKID000994,public_event,FKID008130,public_event,Non-corridor,1.0,1.0,1.0,4
FKID000994,public_event,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,5
FKID000994,public_event,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,6
FKID000994,public_event,FKID005805,public_event,Non-corridor,1.0,1.0,1.0,7
FKID000994,public_event,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,8
FKID000994,public_event,FKID001734,public_event,Non-corridor,1.0,1.0,1.0,9
FKID000994,public_event,FKID003755,public_event,Non-corridor,1.0,1.0,1.0,10
FKID001047,procession,FKID002684,procession,Hosur Road,0.9384,0.9824,0.9648,1
FKID001047,procession,FKID006703,procession,Hosur Road,0.8559,0.9372,0.9047,2
FKID001047,procession,FKID002282,procession,Hennur Main Road,0.8603,0.7455,0.7914,3
FKID001047,procession,FKID004703,procession,Magadi Road,0.8369,0.7411,0.7794,4
FKID001047,procession,FKID007191,procession,Airport New South Road,0.8369,0.7411,0.7794,5
FKID001047,procession,FKID004488,procession,Hennur Main Road,0.8409,0.7281,0.7732,6
FKID001047,procession,FKID005659,procession,Hennur Main Road,0.8381,0.7281,0.7721,7
FKID001047,procession,FKID002212,procession,Bannerghata Road,0.8274,0.7326,0.7705,8
FKID001047,procession,FKID002071,procession,Mysore Road,0.8224,0.715,0.758,9
FKID001047,procession,FKID002292,procession,Magadi Road,0.7991,0.7237,0.7539,10
FKID001064,public_event,FKID005754,public_event,Bellary Road 1,1.0,1.0,1.0,1
FKID001064,public_event,FKID004486,public_event,Bellary Road 1,0.8889,0.85,0.8656,2
FKID001064,public_event,FKID000439,public_event,CBD 2,0.8889,0.75,0.8056,3
FKID001064,public_event,FKID001683,public_event,CBD 2,0.8889,0.75,0.8056,4
FKID001064,public_event,FKID001680,public_event,CBD 2,0.8889,0.75,0.8056,5
FKID001064,public_event,FKID000008,public_event,CBD 2,0.8889,0.75,0.8056,6
FKID001064,public_event,FKID000946,public_event,CBD 2,0.8889,0.75,0.8056,7
FKID001064,public_event,FKID001988,public_event,CBD 2,0.8889,0.75,0.8056,8
FKID001064,public_event,FKID003577,public_event,Mysore Road,0.8204,0.7233,0.7622,9
FKID001064,public_event,FKID004948,vehicle_breakdown,Bellary Road 1,0.8841,0.6457,0.741,10
FKID001104,procession,FKID001647,procession,Non-corridor,0.9946,0.9957,0.9952,1
FKID001104,procession,FKID001648,procession,Non-corridor,0.992,0.9957,0.9942,2
FKID001104,procession,FKID001569,procession,Non-corridor,0.9664,0.987,0.9787,3
FKID001104,procession,FKID000478,procession,Non-corridor,0.9576,0.9826,0.9726,4
FKID001104,procession,FKID000956,procession,Non-corridor,0.905,1.0,0.962,5
FKID001104,procession,FKID000878,procession,Non-corridor,0.9157,0.9913,0.9611,6
FKID001104,procession,FKID000949,procession,Non-corridor,0.902,0.9957,0.9582,7
FKID001104,procession,FKID000952,procession,Non-corridor,0.9008,0.9957,0.9577,8
FKID001104,procession,FKID002602,procession,Non-corridor,0.938,0.9694,0.9568,9
FKID001104,procession,FKID007408,procession,Non-corridor,0.9418,0.9563,0.9505,10
FKID001167,procession,FKID006315,procession,Non-corridor,1.0,1.0,1.0,1
FKID001167,procession,FKID007787,procession,Non-corridor,0.9199,0.9826,0.9575,2
FKID001167,procession,FKID004509,procession,Non-corridor,0.8935,0.9913,0.9522,3
FKID001167,procession,FKID002254,procession,Non-corridor,0.9039,0.9735,0.9457,4
FKID001167,procession,FKID000468,procession,Non-corridor,0.8703,0.9868,0.9402,5
FKID001167,procession,FKID003180,procession,Non-corridor,0.8906,0.9474,0.9247,6
FKID001167,procession,FKID007215,procession,Non-corridor,0.8426,0.9457,0.9044,7
FKID001167,procession,FKID005353,procession,Non-corridor,0.8188,0.937,0.8897,8
FKID001167,procession,FKID004750,procession,Non-corridor,0.7851,0.9413,0.8788,9
FKID001167,procession,FKID004467,procession,Non-corridor,0.7858,0.9372,0.8766,10
FKID001198,protest,FKID000378,protest,Non-corridor,0.9435,0.987,0.9696,1
FKID001198,protest,FKID000922,protest,Non-corridor,0.9294,0.9911,0.9664,2
FKID001198,protest,FKID000921,protest,Non-corridor,0.9293,0.9911,0.9664,3
FKID001198,protest,FKID000920,protest,Non-corridor,0.9245,0.9911,0.9645,4
FKID001198,protest,FKID002639,protest,Non-corridor,0.8323,0.837,0.8351,5
FKID001198,protest,FKID004535,protest,Non-corridor,0.7787,0.8049,0.7944,6
FKID001198,protest,FKID004161,protest,Non-corridor,0.7322,0.7832,0.7628,7
FKID001198,protest,FKID003213,vehicle_breakdown,Non-corridor,0.8654,0.65,0.7361,8
FKID001198,protest,FKID000114,vehicle_breakdown,Non-corridor,0.8654,0.65,0.7361,9
FKID001198,protest,FKID003199,tree_fall,Non-corridor,0.8611,0.6457,0.7318,10
FKID001481,public_event,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,1
FKID001481,public_event,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,2
FKID001481,public_event,FKID008130,public_event,Non-corridor,1.0,1.0,1.0,3
FKID001481,public_event,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,4
FKID001481,public_event,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,5
FKID001481,public_event,FKID005805,public_event,Non-corridor,1.0,1.0,1.0,6
FKID001481,public_event,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,7
FKID001481,public_event,FKID001734,public_event,Non-corridor,1.0,1.0,1.0,8
FKID001481,public_event,FKID003755,public_event,Non-corridor,1.0,1.0,1.0,9
FKID001481,public_event,FKID004707,public_event,Non-corridor,1.0,1.0,1.0,10
FKID001492,procession,FKID004449,procession,Non-corridor,0.9706,0.9781,0.9751,1
FKID001492,procession,FKID000949,procession,Non-corridor,0.9662,0.9696,0.9682,2
FKID001492,procession,FKID000361,procession,Non-corridor,0.9521,0.9781,0.9677,3
FKID001492,procession,FKID000952,procession,Non-corridor,0.9638,0.9696,0.9673,4
FKID001492,procession,FKID000878,procession,Non-corridor,0.9525,0.9739,0.9653,5
FKID001492,procession,FKID002110,procession,Non-corridor,0.9159,0.9957,0.9637,6
FKID001492,procession,FKID000956,procession,Non-corridor,0.9584,0.9652,0.9625,7
FKID001492,procession,FKID003783,procession,Non-corridor,0.9234,0.9735,0.9535,8
FKID001492,procession,FKID002602,procession,Non-corridor,0.9012,0.9868,0.9525,9
FKID001492,procession,FKID007408,procession,Non-corridor,0.8873,0.9911,0.9496,10
FKID001569,procession,FKID000478,procession,Non-corridor,0.99,0.9957,0.9934,1
FKID001569,procession,FKID001647,procession,Non-corridor,0.9718,0.9913,0.9835,2
FKID001569,procession,FKID001648,procession,Non-corridor,0.9681,0.9913,0.982,3
FKID001569,procession,FKID001104,procession,Non-corridor,0.9664,0.987,0.9787,4
FKID001569,procession,FKID002602,procession,Non-corridor,0.9334,0.9824,0.9628,5
FKID001569,procession,FKID000878,procession,Non-corridor,0.9026,0.9957,0.9584,6
FKID001569,procession,FKID007408,procession,Non-corridor,0.9372,0.9694,0.9565,7
FKID001569,procession,FKID000717,procession,Non-corridor,0.9491,0.9607,0.956,8
FKID001569,procession,FKID002110,procession,Non-corridor,0.9288,0.9739,0.9559,9
FKID001569,procession,FKID003783,procession,Non-corridor,0.9009,0.9866,0.9523,10
FKID001573,public_event,FKID002483,public_event,Old Madras Road,1.0,1.0,1.0,1
FKID001573,public_event,FKID001578,public_event,Old Madras Road,1.0,1.0,1.0,2
FKID001573,public_event,FKID001581,public_event,Old Madras Road,1.0,1.0,1.0,3
FKID001573,public_event,FKID003704,public_event,Mysore Road,0.8889,0.75,0.8056,4
FKID001573,public_event,FKID008131,public_event,Hennur Main Road,0.8889,0.75,0.8056,5
FKID001573,public_event,FKID006283,public_event,Hosur Road,0.8889,0.75,0.8056,6
FKID001573,public_event,FKID003763,public_event,ORR West 1,0.8889,0.75,0.8056,7
FKID001573,public_event,FKID008054,public_event,ORR West 1,0.8889,0.75,0.8056,8
FKID001573,public_event,FKID004486,public_event,Bellary Road 1,0.8889,0.75,0.8056,9
FKID001573,public_event,FKID000502,public_event,ORR East 1,0.8556,0.75,0.7922,10
FKID001578,public_event,FKID002483,public_event,Old Madras Road,1.0,1.0,1.0,1
FKID001578,public_event,FKID001573,public_event,Old Madras Road,1.0,1.0,1.0,2
FKID001578,public_event,FKID001581,public_event,Old Madras Road,1.0,1.0,1.0,3
FKID001578,public_event,FKID003704,public_event,Mysore Road,0.8889,0.75,0.8056,4
FKID001578,public_event,FKID008131,public_event,Hennur Main Road,0.8889,0.75,0.8056,5
FKID001578,public_event,FKID006283,public_event,Hosur Road,0.8889,0.75,0.8056,6
FKID001578,public_event,FKID003763,public_event,ORR West 1,0.8889,0.75,0.8056,7
FKID001578,public_event,FKID008054,public_event,ORR West 1,0.8889,0.75,0.8056,8
FKID001578,public_event,FKID004486,public_event,Bellary Road 1,0.8889,0.75,0.8056,9
FKID001578,public_event,FKID000502,public_event,ORR East 1,0.8556,0.75,0.7922,10
FKID001581,public_event,FKID002483,public_event,Old Madras Road,1.0,1.0,1.0,1
FKID001581,public_event,FKID001578,public_event,Old Madras Road,1.0,1.0,1.0,2
FKID001581,public_event,FKID001573,public_event,Old Madras Road,1.0,1.0,1.0,3
FKID001581,public_event,FKID003704,public_event,Mysore Road,0.8889,0.75,0.8056,4
FKID001581,public_event,FKID008131,public_event,Hennur Main Road,0.8889,0.75,0.8056,5
FKID001581,public_event,FKID006283,public_event,Hosur Road,0.8889,0.75,0.8056,6
FKID001581,public_event,FKID003763,public_event,ORR West 1,0.8889,0.75,0.8056,7
FKID001581,public_event,FKID008054,public_event,ORR West 1,0.8889,0.75,0.8056,8
FKID001581,public_event,FKID004486,public_event,Bellary Road 1,0.8889,0.75,0.8056,9
FKID001581,public_event,FKID000502,public_event,ORR East 1,0.8556,0.75,0.7922,10
FKID001641,vip_movement,FKID001685,vip_movement,Non-corridor,1.0,1.0,1.0,1
FKID001641,vip_movement,FKID001979,vip_movement,Non-corridor,1.0,1.0,1.0,2
FKID001641,vip_movement,FKID002054,vip_movement,Non-corridor,1.0,1.0,1.0,3
FKID001641,vip_movement,FKID002051,vip_movement,Non-corridor,1.0,1.0,1.0,4
FKID001641,vip_movement,FKID002017,vip_movement,Non-corridor,1.0,1.0,1.0,5
FKID001641,vip_movement,FKID001934,vip_movement,Non-corridor,1.0,1.0,1.0,6
FKID001641,vip_movement,FKID001676,vip_movement,Non-corridor,1.0,1.0,1.0,7
