site_id,service_tier,scenario_label,current_p,current_b,current_t,current_q,delta_p,delta_b,delta_t,delta_q,e_current,e_counterfactual,delta_effectiveness,marginal_delay_reduction_pct,absolute_reduction_min,cost_per_pct_reduction,at_max_effectiveness,mean_duration_min
FKID000164,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,35447.2721,0.084256,False,123622.0177
FKID000164,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,15481.6605,0.115749,False,123622.0177
FKID000164,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,13212.8546,0.045208,False,123622.0177
FKID000164,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,15481.6605,0.038583,False,123622.0177
FKID000164,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,10827.7246,0.110333,False,123622.0177
FKID000164,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,48261.1434,0.136147,False,123622.0177
FKID000316,critical,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,154117.8058
FKID000316,critical,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,11905.5096,0.066154,False,154117.8058
FKID000316,critical,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,23369.2934,0.084256,False,154117.8058
FKID000316,critical,+3 barricades,3,2,1,1,0,3,0,0,0.724729,0.796074,0.071345,25.9182,10206.5814,0.115749,False,154117.8058
FKID000316,critical,+1 tow unit,3,2,1,1,0,0,1,0,0.724729,0.785619,0.06089,22.1199,8710.8276,0.045208,False,154117.8058
FKID000316,critical,+1 QRU,3,2,1,1,0,0,0,1,0.724729,0.796074,0.071345,25.9182,10206.5814,0.038583,False,154117.8058
FKID000316,critical,diversion activated,3,2,1,1,0,2,0,0,0.724729,0.774627,0.049898,18.1269,7138.385,0.110333,False,154117.8058
FKID000316,critical,full surge (+5p +5b +1t),3,2,1,1,5,5,1,0,0.724729,0.9,0.175271,63.6721,25074.0936,0.17276,False,154117.8058
FKID000346,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,177037.9836
FKID000346,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,25229.7085,0.066154,False,177037.9836
FKID000346,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,49523.3281,0.084256,False,177037.9836
FKID000346,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,21629.4035,0.115749,False,177037.9836
FKID000346,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,18459.6584,0.045208,False,177037.9836
FKID000346,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,21629.4035,0.038583,False,177037.9836
FKID000346,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,15127.3971,0.110333,False,177037.9836
FKID000346,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,67425.5675,0.136147,False,177037.9836
FKID000528,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,31285.0327
FKID000528,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,4659.5905,0.066154,False,31285.0327
FKID000528,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,9146.2978,0.084256,False,31285.0327
FKID000528,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,3994.6622,0.115749,False,31285.0327
FKID000528,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,3409.2526,0.045208,False,31285.0327
FKID000528,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,3994.6622,0.038583,False,31285.0327
FKID000528,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,2793.8284,0.110333,False,31285.0327
FKID000528,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,12452.6026,0.136147,False,31285.0327
FKID000842,elevated,baseline,3,2,1,0,0,0,0,0,0.628423,0.628423,0.0,0.0,0.0,inf,False,101593.0721
FKID000842,elevated,+2 officers,3,2,1,0,2,0,0,0,0.628423,0.74076,0.112336,30.2324,10222.4235,0.066154,False,101593.0721
FKID000842,elevated,+5 officers,3,2,1,0,5,0,0,0,0.628423,0.848928,0.220505,59.343,20065.568,0.084256,False,101593.0721
FKID000842,elevated,+3 barricades,3,2,1,0,0,3,0,0,0.628423,0.724729,0.096306,25.9182,8763.6733,0.115749,False,101593.0721
FKID000842,elevated,+1 tow unit,3,2,1,0,0,0,1,0,0.628423,0.710616,0.082192,22.1199,7479.3748,0.045208,False,101593.0721
FKID000842,elevated,+1 QRU,3,2,1,0,0,0,0,1,0.628423,0.724729,0.096306,25.9182,8763.6733,0.038583,False,101593.0721
FKID000842,elevated,diversion activated,3,2,1,0,0,2,0,0,0.628423,0.695779,0.067355,18.1269,6129.2289,0.110333,False,101593.0721
FKID000842,elevated,full surge (+5p +5b +1t),3,2,1,0,5,5,1,0,0.628423,0.9,0.271577,73.0877,24713.0155,0.150504,False,101593.0721
FKID000923,elevated,baseline,3,2,1,0,0,0,0,0,0.628423,0.628423,0.0,0.0,0.0,inf,False,153374.591
FKID000923,elevated,+2 officers,3,2,1,0,2,0,0,0,0.628423,0.74076,0.112336,30.2324,15663.196,0.066154,False,153374.591
FKID000923,elevated,+5 officers,3,2,1,0,5,0,0,0,0.628423,0.848928,0.220505,59.343,30745.2461,0.084256,False,153374.591
FKID000923,elevated,+3 barricades,3,2,1,0,0,3,0,0,0.628423,0.724729,0.096306,25.9182,13428.0421,0.115749,False,153374.591
FKID000923,elevated,+1 tow unit,3,2,1,0,0,0,1,0,0.628423,0.710616,0.082192,22.1199,11460.1898,0.045208,False,153374.591
FKID000923,elevated,+1 QRU,3,2,1,0,0,0,0,1,0.628423,0.724729,0.096306,25.9182,13428.0421,0.038583,False,153374.591
FKID000923,elevated,diversion activated,3,2,1,0,0,2,0,0,0.628423,0.695779,0.067355,18.1269,9391.4437,0.110333,False,153374.591
FKID000923,elevated,full surge (+5p +5b +1t),3,2,1,0,5,5,1,0,0.628423,0.9,0.271577,73.0877,37866.2464,0.150504,False,153374.591
FKID000944,elevated,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,195289.235
FKID000944,elevated,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,14893.7066,0.066154,False,195289.235
FKID000944,elevated,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,29234.8173,0.084256,False,195289.235
FKID000944,elevated,+3 barricades,3,2,1,1,0,3,0,0,0.724729,0.796074,0.071345,25.9182,12768.3596,0.115749,False,195289.235
FKID000944,elevated,+1 tow unit,3,2,1,1,0,0,1,0,0.724729,0.785619,0.06089,22.1199,10897.1825,0.045208,False,195289.235
FKID000944,elevated,+1 QRU,3,2,1,1,0,0,0,1,0.724729,0.796074,0.071345,25.9182,12768.3596,0.038583,False,195289.235
FKID000944,elevated,diversion activated,3,2,1,1,0,2,0,0,0.724729,0.774627,0.049898,18.1269,8930.068,0.110333,False,195289.235
FKID000944,elevated,full surge (+5p +5b +1t),3,2,1,1,5,5,1,0,0.724729,0.9,0.175271,63.6721,31367.5101,0.17276,False,195289.235
FKID000968,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,30826.076
FKID000968,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,4515.5164,0.066154,False,30826.076
FKID000968,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,8863.4952,0.084256,False,30826.076
FKID000968,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,3871.1476,0.115749,False,30826.076
FKID000968,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,3303.8388,0.045208,False,30826.076
FKID000968,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,3871.1476,0.038583,False,30826.076
FKID000968,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,2707.4435,0.110333,False,30826.076
FKID000968,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,12067.5693,0.136147,False,30826.076
FKID001125,critical,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,166587.8384
FKID001125,critical,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,13039.6241,0.066154,False,166587.8384
FKID001125,critical,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,25595.4437,0.084256,False,166587.8384
FKID001125,critical,+3 barricades,3,2,1,1,0,3,0,0,0.724729,0.796074,0.071345,25.9182,11178.8566,0.115749,False,166587.8384
FKID001125,critical,+1 tow unit,3,2,1,1,0,0,1,0,0.724729,0.785619,0.06089,22.1199,9540.6179,0.045208,False,166587.8384
FKID001125,critical,+1 QRU,3,2,1,1,0,0,0,1,0.724729,0.796074,0.071345,25.9182,11178.8566,0.038583,False,166587.8384
FKID001125,critical,diversion activated,3,2,1,1,0,2,0,0,0.724729,0.774627,0.049898,18.1269,7818.3849,0.110333,False,166587.8384
FKID001125,critical,full surge (+5p +5b +1t),3,2,1,1,5,5,1,0,0.724729,0.9,0.175271,63.6721,27462.6426,0.17276,False,166587.8384
FKID001133,elevated,baseline,3,2,0,0,0,0,0,0,0.522886,0.522886,0.0,0.0,0.0,inf,False,140401.6127
FKID001133,elevated,+2 officers,3,2,0,0,2,0,0,0,0.522886,0.667129,0.144243,30.2324,18056.19,0.066154,False,140401.6127
FKID001133,elevated,+5 officers,3,2,0,0,5,0,0,0,0.522886,0.80602,0.283134,59.343,35442.4476,0.084256,False,140401.6127
FKID001133,elevated,+3 barricades,3,2,0,0,0,3,0,0,0.522886,0.646545,0.123659,25.9182,15479.5534,0.115749,False,140401.6127
FKID001133,elevated,+1 tow unit,3,2,0,0,0,0,1,0,0.522886,0.628423,0.105537,22.1199,13211.0563,0.045208,False,140401.6127
FKID001133,elevated,+1 QRU,3,2,0,0,0,0,0,1,0.522886,0.646545,0.123659,25.9182,15479.5534,0.038583,False,140401.6127
FKID001133,elevated,diversion activated,3,2,0,0,0,2,0,0,0.522886,0.609372,0.086486,18.1269,10826.251,0.110333,False,140401.6127
FKID001133,elevated,full surge (+5p +5b +1t),3,2,0,0,5,5,1,0,0.522886,0.9,0.377114,79.0406,47206.7861,0.139169,False,140401.6127
FKID001288,emergency,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,198054.7364
FKID001288,emergency,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,15676.4149,0.066154,False,198054.7364
FKID001288,emergency,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,30771.1933,0.084256,False,198054.7364
FKID001288,emergency,+3 barricades,3,2,1,1,0,3,0,0,0.724729,0.796074,0.071345,25.9182,13439.3746,0.115749,False,198054.7364
FKID001288,emergency,+1 tow unit,3,2,1,1,0,0,1,0,0.724729,0.785619,0.06089,22.1199,11469.8616,0.045208,False,198054.7364
FKID001288,emergency,+1 QRU,3,2,1,1,0,0,0,1,0.724729,0.796074,0.071345,25.9182,13439.3746,0.038583,False,198054.7364
FKID001288,emergency,diversion activated,3,2,1,1,0,2,0,0,0.724729,0.774627,0.049898,18.1269,9399.3695,0.110333,False,198054.7364
FKID001288,emergency,full surge (+5p +5b +1t),3,2,1,1,5,5,1,0,0.724729,0.9,0.175271,63.6721,33015.9654,0.17276,False,198054.7364
FKID001489,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,57629.3538
FKID001489,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,8393.067,0.066154,False,57629.3538
FKID001489,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,16474.729,0.084256,False,57629.3538
FKID001489,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,7195.3678,0.115749,False,57629.3538
FKID001489,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,6140.9013,0.045208,False,57629.3538
FKID001489,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,7195.3678,0.038583,False,57629.3538
FKID001489,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,5032.3712,0.110333,False,57629.3538
FKID001489,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,22430.196,0.136147,False,57629.3538
FKID001592,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,147235.1803
FKID001592,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,22001.5596,0.066154,False,147235.1803
FKID001592,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,43186.8032,0.084256,False,147235.1803
FKID001592,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,18861.9148,0.115749,False,147235.1803
FKID001592,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,16097.7395,0.045208,False,147235.1803
FKID001592,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,18861.9148,0.038583,False,147235.1803
FKID001592,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,13191.842,0.110333,False,147235.1803
FKID001592,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,58798.4456,0.136147,False,147235.1803
FKID001646,normal,baseline,3,2,0,0,0,0,0,0,0.522886,0.522886,0.0,0.0,0.0,inf,False,105467.0706
FKID001646,normal,+2 officers,3,2,0,0,2,0,0,0,0.522886,0.667129,0.144243,30.2324,13469.3211,0.066154,False,105467.0706
FKID001646,normal,+5 officers,3,2,0,0,5,0,0,0,0.522886,0.80602,0.283134,59.343,26438.8949,0.084256,False,105467.0706
FKID001646,normal,+3 barricades,3,2,0,0,0,3,0,0,0.522886,0.646545,0.123659,25.9182,11547.2354,0.115749,False,105467.0706
FKID001646,normal,+1 tow unit,3,2,0,0,0,0,1,0,0.522886,0.628423,0.105537,22.1199,9855.0115,0.045208,False,105467.0706
FKID001646,normal,+1 QRU,3,2,0,0,0,0,0,1,0.522886,0.646545,0.123659,25.9182,11547.2354,0.038583,False,105467.0706
FKID001646,normal,diversion activated,3,2,0,0,0,2,0,0,0.522886,0.609372,0.086486,18.1269,8076.0255,0.110333,False,105467.0706
FKID001646,normal,full surge (+5p +5b +1t),3,2,0,0,5,5,1,0,0.522886,0.9,0.377114,79.0406,35214.7027,0.139169,False,105467.0706
FKID001693,emergency,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,96905.9111
FKID001693,emergency,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,7618.9805,0.066154,False,96905.9111
FKID001693,emergency,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,14955.2767,0.084256,False,96905.9111
FKID001693,emergency,+3 barricades,3,2,1,1,0,3,0,0,0.724729,0.796074,0.071345,25.9182,6531.7443,0.115749,False,96905.9111
FKID001693,emergency,+1 tow unit,3,2,1,1,0,0,1,0,0.724729,0.785619,0.06089,22.1199,5574.5304,0.045208,False,96905.9111
FKID001693,emergency,+1 QRU,3,2,1,1,0,0,0,1,0.724729,0.796074,0.071345,25.9182,6531.7443,0.038583,False,96905.9111
FKID001693,emergency,diversion activated,3,2,1,1,0,2,0,0,0.724729,0.774627,0.049898,18.1269,4568.2392,0.110333,False,96905.9111
FKID001693,emergency,full surge (+5p +5b +1t),3,2,1,1,5,5,1,0,0.724729,0.9,0.175271,63.6721,16046.2707,0.17276,False,96905.9111
FKID001931,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,71369.8332
FKID001931,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,10373.8205,0.066154,False,71369.8332
FKID001931,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,20362.7449,0.084256,False,71369.8332
FKID001931,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,8893.4658,0.115749,False,71369.8332
FKID001931,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,7590.1465,0.045208,False,71369.8332
FKID001931,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,8893.4658,0.038583,False,71369.8332
FKID001931,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,6220.0046,0.110333,False,71369.8332
FKID001931,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,27723.6947,0.136147,False,71369.8332
FKID001932,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,76255.1437
FKID001932,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,11083.9151,0.066154,False,76255.1437
FKID001932,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,21756.5877,0.084256,False,76255.1437
FKID001932,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,9502.2292,0.115749,False,76255.1437
FKID001932,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,8109.6969,0.045208,False,76255.1437
FKID001932,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,9502.2292,0.038583,False,76255.1437
FKID001932,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,6645.7678,0.110333,False,76255.1437
FKID001932,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,29621.3992,0.136147,False,76255.1437
FKID003103,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,115744.0034
FKID003103,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,16675.1422,0.066154,False,115744.0034
FKID003103,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,32731.5926,0.084256,False,115744.0034
FKID003103,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,14295.5825,0.115749,False,115744.0034
FKID003103,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,12200.594,0.045208,False,115744.0034
FKID003103,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,14295.5825,0.038583,False,115744.0034
FKID003103,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,9998.1931,0.110333,False,115744.0034
FKID003103,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,44563.77,0.136147,False,115744.0034
FKID003235,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,37079.6075
FKID003235,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,5405.8635,0.066154,False,37079.6075
FKID003235,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,10611.1551,0.084256,False,37079.6075
FKID003235,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,4634.4413,0.115749,False,37079.6075
FKID003235,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,3955.2733,0.045208,False,37079.6075
FKID003235,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,4634.4413,0.038583,False,37079.6075
FKID003235,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,3241.2837,0.110333,False,37079.6075
FKID003235,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,14446.9926,0.136147,False,37079.6075
FKID003897,elevated,baseline,3,2,0,0,0,0,0,0,0.522886,0.522886,0.0,0.0,0.0,inf,False,82405.4793
FKID003897,elevated,+2 officers,3,2,0,0,2,0,0,0,0.522886,0.667129,0.144243,30.2324,10558.3894,0.066154,False,82405.4793
FKID003897,elevated,+5 officers,3,2,0,0,5,0,0,0,0.522886,0.80602,0.283134,59.343,20725.0347,0.084256,False,82405.4793
FKID003897,elevated,+3 barricades,3,2,0,0,0,3,0,0,0.522886,0.646545,0.123659,25.9182,9051.6965,0.115749,False,82405.4793
FKID003897,elevated,+1 tow unit,3,2,0,0,0,0,1,0,0.522886,0.628423,0.105537,22.1199,7725.1888,0.045208,False,82405.4793
FKID003897,elevated,+1 QRU,3,2,0,0,0,0,0,1,0.522886,0.646545,0.123659,25.9182,9051.6965,0.038583,False,82405.4793
FKID003897,elevated,diversion activated,3,2,0,0,0,2,0,0,0.522886,0.609372,0.086486,18.1269,6330.6696,0.110333,False,82405.4793
FKID003897,elevated,full surge (+5p +5b +1t),3,2,0,0,5,5,1,0,0.522886,0.9,0.377114,79.0406,27604.2527,0.139169,False,82405.4793
FKID003911,elevated,baseline,3,2,1,0,0,0,0,0,0.628423,0.628423,0.0,0.0,0.0,inf,False,148212.0474
FKID003911,elevated,+2 officers,3,2,1,0,2,0,0,0,0.628423,0.74076,0.112336,30.2324,15114.2997,0.066154,False,148212.0474
FKID003911,elevated,+5 officers,3,2,1,0,5,0,0,0,0.628423,0.848928,0.220505,59.343,29667.8189,0.084256,False,148212.0474
FKID003911,elevated,+3 barricades,3,2,1,0,0,3,0,0,0.628423,0.724729,0.096306,25.9182,12957.4738,0.115749,False,148212.0474
FKID003911,elevated,+1 tow unit,3,2,1,0,0,0,1,0,0.628423,0.710616,0.082192,22.1199,11058.5824,0.045208,False,148212.0474
FKID003911,elevated,+1 QRU,3,2,1,0,0,0,0,1,0.628423,0.724729,0.096306,25.9182,12957.4738,0.038583,False,148212.0474
FKID003911,elevated,diversion activated,3,2,1,0,0,2,0,0,0.628423,0.695779,0.067355,18.1269,9062.3327,0.110333,False,148212.0474
FKID003911,elevated,full surge (+5p +5b +1t),3,2,1,0,5,5,1,0,0.628423,0.9,0.271577,73.0877,36539.273,0.150504,False,148212.0474
FKID004125,emergency,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,102249.2308
FKID004125,emergency,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,8009.015,0.066154,False,102249.2308
FKID004125,emergency,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,15720.8744,0.084256,False,102249.2308
