event_id,event_cause,service_tier,is_critical,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,effectiveness,expected_delay_reduction_min,cvar_contribution,total_cvar,var_level,chance_constraint_satisfaction,robustness_score,duration_reliability,tail_risk_prob,safe_duration_p50,safe_duration_p80,safe_duration_p95,duration_sanity_flag,solver_status,used_fallback
FKID000842,others,critical,1,0,4,0,0,1,0.4000000000000002,36399.31750115881,54598.976251738175,6929193.924808556,4055272.1083304705,0.92,0.0,0.4538926491120535,1.0,42808.0675874033,80288.36111087333,136108.64719960254,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004694,pot_holes,critical,1,4,0,0,0,1,0.5291143153005538,58311.166679850874,51894.0668465342,6929193.924808556,4055272.1083304705,0.98,1.0,0.4314588852409345,1.0,101596.55837357989,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004967,pot_holes,critical,1,2,1,0,0,1,0.4334656605959787,34408.90349756574,44972.01781983781,6929193.924808556,4055272.1083304705,1.0,0.0,0.4268663766454953,0.8421052631578947,78829.89327478314,144040.18032067022,164988.71199505893,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID008103,water_logging,critical,1,7,0,4,0,1,0.8998518904049065,538993.8839944996,59986.78131473078,6929193.924808556,4055272.1083304705,0.94,1.0,0.4223150730800641,0.8421052631578947,50119.36776553874,108264.54013184155,204228.01485167572,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000164,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,46098.04139094058,58474.57689009298,6929193.924808556,4055272.1083304705,0.98,0.0,0.4497782769188255,1.0,90589.67288665992,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000346,water_logging,critical,1,6,0,0,1,1,0.7719147464736945,112775.38631231962,33322.854234977414,6929193.924808556,4055272.1083304705,0.98,1.0,0.4306132539693831,0.8421052631578947,73663.770664914,107647.3557773947,205837.1843948385,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID003103,pot_holes,critical,1,2,1,0,0,1,0.43346566059597874,41855.93018226704,54705.19100255453,6929193.924808556,4055272.1083304705,0.98,0.0,0.4128581926726906,0.8421052631578947,85174.63203608383,144145.30728913937,162720.04460960106,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001931,construction,critical,1,4,0,0,0,1,0.5291143153005538,31784.91062071496,28287.00522352018,6929193.924808556,4055272.1083304705,0.9,1.0,0.4696828107947042,1.0,21375.252046225047,40278.12680520333,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001932,construction,critical,1,1,3,0,0,1,0.44082324941940787,28293.745103725127,35890.13163369692,6929193.924808556,4055272.1083304705,0.92,0.0,0.4696828107947042,1.0,21375.252046225047,40278.12680520333,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000528,tree_fall,critical,1,0,4,0,0,1,0.4,10792.958175949809,16189.437263924712,6929193.924808556,4055272.1083304705,1.0,0.0,0.4853832658299251,1.0,25398.966345849585,45260.933279293335,50578.39314217833,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000968,tree_fall,critical,1,0,4,0,0,1,0.4,10459.240919608921,15688.861379413382,6929193.924808556,4055272.1083304705,0.98,0.0,0.4877894873589212,1.0,22950.85260562325,45260.933279293335,50578.39314217833,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001489,construction,critical,1,0,4,0,0,1,0.4,19440.76876963347,29161.153154450203,6929193.924808556,4055272.1083304705,0.94,0.0,0.4487913351319025,1.0,26446.01975590781,40278.12680520333,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID003235,tree_fall,critical,1,0,4,0,0,1,0.4,12521.542060912689,18782.313091369026,6929193.924808556,4055272.1083304705,0.98,0.0,0.4951255813322048,1.0,27968.46168605288,45260.933279293335,50578.39314217833,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
