priority_rank,l7_alert_id,source_feed,original_id,topic_key,severity_raw,severity_unknown,base_severity,corroboration_sources,corroboration_factor,age_hours,recency_factor,alert_severity_raw,alert_severity_score,priority,affected_layer,affected_event_id,description,timestamp,merged_count,generated_at
17,retrain_triggers::DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,retrain_triggers,DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,dur_shift::others_old_madras_road,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
18,retrain_triggers::DUR_SHIFT_POT_HOLES_CBD_1,retrain_triggers,DUR_SHIFT_POT_HOLES_CBD_1,dur_shift::pot_holes_cbd_1,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
19,retrain_triggers::DUR_SHIFT_POT_HOLES_CBD_2,retrain_triggers,DUR_SHIFT_POT_HOLES_CBD_2,dur_shift::pot_holes_cbd_2,critical,False,0.9,2,1.3,15.214319871388888,0.5305028256027231,0.6206883059551861,0.43103354580221254,P2,Layer4.5,,Stratum 'pot_holes × CBD 2': posterior_mu shifted -7.750 log-units (3.6 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
20,drift_report::DRIFT_PSI_HOUR_LOCAL,drift_report,DRIFT_PSI_HOUR_LOCAL,layer4.5::hour_local,moderate,False,0.65,3,1.45,11.945549970555554,0.6079082890491887,0.5729535624288603,0.3978844183533752,P2,Layer4.5,,RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-19T13:50:37.571643+00:00,1,2026-06-20T01:47:21.551537+00:00
21,active_alerts::HEALTH_N_CRITICAL_TRIGGERS,active_alerts,HEALTH_N_CRITICAL_TRIGGERS,retrain_triggers::general,critical,False,0.9,1,1.15,15.214319871388888,0.5305028256027231,0.5490704244988184,0.38129890590195714,P2,retrain_triggers,,Health metric 'n_critical_triggers' is CRITICAL. Feedback value: 8.0.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
22,active_alerts::L5_CHANCE_CONSTRAINT_VIOLATION,active_alerts,L5_CHANCE_CONSTRAINT_VIOLATION,layer5::general,critical,False,0.9,1,1.15,15.214319871388888,0.5305028256027231,0.5490704244988184,0.38129890590195714,P2,Layer5,,1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
23,retrain_triggers::L5_CHANCE_CONSTRAINT_VIOLATION,retrain_triggers,L5_CHANCE_CONSTRAINT_VIOLATION,layer5::chance_constraint_satisfaction,critical,False,0.9,1,1.15,15.214319871388888,0.5305028256027231,0.5490704244988184,0.38129890590195714,P2,Layer5,,1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
24,active_alerts::DRIFT_PSI_HOUR_LOCAL,active_alerts,DRIFT_PSI_HOUR_LOCAL,layer4.5::hour_local,moderate,False,0.65,3,1.45,15.214319871388888,0.5305028256027231,0.49999891313056655,0.3472214674517823,P2,Layer4.5,,RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
25,retrain_triggers::DRIFT_PSI_HOUR_LOCAL,retrain_triggers,DRIFT_PSI_HOUR_LOCAL,layer4.5::hour_local,moderate,False,0.65,3,1.45,15.214319871388888,0.5305028256027231,0.49999891313056655,0.3472214674517823,P2,Layer4.5,,RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
26,active_alerts::DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,active_alerts,DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,dur_shift::accident_bellary_road_2,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'accident × Bellary Road 2': posterior_mu shifted +0.809 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
27,active_alerts::DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,active_alerts,DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,dur_shift::congestion_hennur_main_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'congestion × Hennur Main Road': posterior_mu shifted +0.578 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
28,active_alerts::DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,active_alerts,DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,dur_shift::construction_bellary_road_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'construction × Bellary Road 1': posterior_mu shifted +2.996 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
29,active_alerts::DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,active_alerts,DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,dur_shift::construction_orr_west_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'construction × ORR West 1': posterior_mu shifted -4.288 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
30,active_alerts::DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,active_alerts,DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,dur_shift::construction_west_of_chord_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'construction × West of Chord Road': posterior_mu shifted -5.034 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
31,active_alerts::DUR_SHIFT_OTHERS_ORR_NORTH_1,active_alerts,DUR_SHIFT_OTHERS_ORR_NORTH_1,dur_shift::others_orr_north_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'others × ORR North 1': posterior_mu shifted -3.938 log-units (2.4 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
32,active_alerts::DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,active_alerts,DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,dur_shift::pot_holes_old_madras_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'pot_holes × Old Madras Road': posterior_mu shifted -0.785 log-units (1.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
33,active_alerts::DUR_SHIFT_POT_HOLES_ORR_NORTH_1,active_alerts,DUR_SHIFT_POT_HOLES_ORR_NORTH_1,dur_shift::pot_holes_orr_north_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'pot_holes × ORR North 1': posterior_mu shifted -3.751 log-units (1.8 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
34,active_alerts::DUR_SHIFT_POT_HOLES_ORR_WEST_1,active_alerts,DUR_SHIFT_POT_HOLES_ORR_WEST_1,dur_shift::pot_holes_orr_west_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'pot_holes × ORR West 1': posterior_mu shifted -3.964 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
35,active_alerts::DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,active_alerts,DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,dur_shift::public_event_mysore_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'public_event × Mysore Road': posterior_mu shifted -3.563 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
36,active_alerts::DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,active_alerts,DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,dur_shift::public_event_non-corridor,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'public_event × Non-corridor': posterior_mu shifted -4.171 log-units (3.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
37,active_alerts::DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,active_alerts,DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,dur_shift::road_conditions_orr_west_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'road_conditions × ORR West 1': posterior_mu shifted -5.343 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
38,active_alerts::DUR_SHIFT_TREE_FALL_MAGADI_ROAD,active_alerts,DUR_SHIFT_TREE_FALL_MAGADI_ROAD,dur_shift::tree_fall_magadi_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'tree_fall × Magadi Road': posterior_mu shifted -2.677 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
39,active_alerts::DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,active_alerts,DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,dur_shift::vehicle_breakdown_cbd_2,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'vehicle_breakdown × CBD 2': posterior_mu shifted -1.990 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
40,active_alerts::DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,active_alerts,DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,dur_shift::water_logging_old_airport_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'water_logging × Old Airport Road': posterior_mu shifted -3.354 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
41,active_alerts::DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,active_alerts,DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,dur_shift::water_logging_old_madras_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'water_logging × Old Madras Road': posterior_mu shifted -3.925 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
42,retrain_triggers::DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,retrain_triggers,DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,dur_shift::accident_bellary_road_2,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'accident × Bellary Road 2': posterior_mu shifted +0.809 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
43,retrain_triggers::DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,retrain_triggers,DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,dur_shift::congestion_hennur_main_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'congestion × Hennur Main Road': posterior_mu shifted +0.578 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
44,retrain_triggers::DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,retrain_triggers,DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,dur_shift::construction_bellary_road_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'construction × Bellary Road 1': posterior_mu shifted +2.996 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
45,retrain_triggers::DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,retrain_triggers,DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,dur_shift::construction_orr_west_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'construction × ORR West 1': posterior_mu shifted -4.288 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
46,retrain_triggers::DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,retrain_triggers,DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,dur_shift::construction_west_of_chord_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'construction × West of Chord Road': posterior_mu shifted -5.034 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
47,retrain_triggers::DUR_SHIFT_OTHERS_ORR_NORTH_1,retrain_triggers,DUR_SHIFT_OTHERS_ORR_NORTH_1,dur_shift::others_orr_north_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'others × ORR North 1': posterior_mu shifted -3.938 log-units (2.4 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
48,retrain_triggers::DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,retrain_triggers,DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,dur_shift::pot_holes_old_madras_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'pot_holes × Old Madras Road': posterior_mu shifted -0.785 log-units (1.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
49,retrain_triggers::DUR_SHIFT_POT_HOLES_ORR_NORTH_1,retrain_triggers,DUR_SHIFT_POT_HOLES_ORR_NORTH_1,dur_shift::pot_holes_orr_north_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'pot_holes × ORR North 1': posterior_mu shifted -3.751 log-units (1.8 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
50,retrain_triggers::DUR_SHIFT_POT_HOLES_ORR_WEST_1,retrain_triggers,DUR_SHIFT_POT_HOLES_ORR_WEST_1,dur_shift::pot_holes_orr_west_1,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'pot_holes × ORR West 1': posterior_mu shifted -3.964 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
51,retrain_triggers::DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,retrain_triggers,DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,dur_shift::public_event_mysore_road,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'public_event × Mysore Road': posterior_mu shifted -3.563 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
52,retrain_triggers::DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,retrain_triggers,DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,dur_shift::public_event_non-corridor,moderate,False,0.65,2,1.3,15.214319871388888,0.5305028256027231,0.44827488763430107,0.3113020053015979,P3,Layer4.5,,Stratum 'public_event × Non-corridor': posterior_mu shifted -4.171 log-units (3.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-19T10:34:30Z,1,2026-06-20T01:47:21.551537+00:00
