event_id,event_cause,corridor_fill,start_local,log_duration_actual,duration_min_actual,mu_seq_logspace,posterior_mean,posterior_sd,obs_sd,predictive_sd,sigma_seq_logspace,predictive_scale_source,obs_variance_source,predictive_scale_valid,predictive_scale_is_parameter_only,resid_seq_logspace,resid_std_seq,absresid_seq_logspace,in_50pct_interval,in_80pct_interval,in_95pct_interval,in_95pct_interval_param_only,predictive_interval_lower,predictive_interval_upper,interval_width_95,pred_p80_min,pred_p95_min,crps_seq,prior_level,n_earlier_stratum,source,evaluation_method
FKID002291,vehicle_breakdown,Non-corridor,2024-03-01 13:25:45.336000+05:30,3.182,23.09,4.2272,4.2272,0.224,0.3998,0.4583,0.4583,posterior_sd_plus_obs_sd,local_feedback,True,False,-1.0452,-2.2809,1.0452,False,False,False,False,3.329,5.1254,1.7964,99.78,144.62,0.790235,stratum,3,layer6_posterior_scoring,sequential_loo
FKID002287,vehicle_breakdown,Non-corridor,2024-03-01 13:26:56.576000+05:30,3.8968,48.25,3.9642,3.9642,0.2773,0.5812,0.644,0.644,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.0674,-0.1046,0.0674,True,True,True,True,2.7019,5.2265,2.5245,89.58,150.94,0.153313,stratum,4,layer6_posterior_scoring,sequential_loo
FKID002293,vehicle_breakdown,Old Madras Road,2024-03-01 14:38:00.337000+05:30,2.4594,10.7,4.1779,4.1779,0.001,0.6,0.6,0.6,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-1.7186,-2.8641,1.7186,False,False,False,False,3.0019,5.354,2.3521,107.09,174.02,1.380754,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002294,vehicle_breakdown,Bellary Road 2,2024-03-01 15:57:14.292000+05:30,4.1396,61.78,3.7465,3.7465,0.8545,0.966,1.2898,1.2898,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.3931,0.3048,0.3931,True,True,True,True,1.2185,6.2744,5.0559,124.46,352.52,0.348842,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002301,vehicle_breakdown,Hosur Road,2024-03-02 01:23:46.520000+05:30,4.5107,89.99,3.6831,3.6831,0.8952,0.9043,1.2724,1.2724,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.8277,0.6505,0.8277,True,True,True,True,1.1891,6.1771,4.988,115.05,321.48,0.504882,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002309,others,Hosur Road,2024-03-02 02:17:52.922000+05:30,5.8027,330.18,6.8073,6.8073,2.7275,2.0863,3.434,3.434,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-1.0046,-0.2925,1.0046,True,True,True,True,0.0767,13.5378,13.4611,16273.47,256688.99,0.918916,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002308,vehicle_breakdown,Non-corridor,2024-03-02 02:39:07.674000+05:30,4.6384,102.37,3.9554,3.9554,0.2261,0.5212,0.5681,0.5681,posterior_sd_plus_obs_sd,local_feedback,True,False,0.6829,1.202,0.6829,False,True,True,False,2.8419,5.069,2.2271,83.23,131.95,0.425877,stratum,5,layer6_posterior_scoring,sequential_loo
FKID002312,construction,Bellary Road 1,2024-03-02 03:06:14.931000+05:30,9.7825,17719.36,6.2012,6.2012,3.4031,1.7396,3.822,3.822,posterior_sd_plus_obs_sd,pooled_stratum,True,False,3.5813,0.937,3.5813,False,True,True,True,-1.2898,13.6923,14.9821,12305.24,265079.73,2.141926,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002316,vehicle_breakdown,ORR North 2,2024-03-02 04:22:17.373000+05:30,4.4313,83.04,3.533,3.533,0.9242,0.829,1.2416,1.2416,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.8983,0.7236,0.8983,False,True,True,True,1.0995,5.9665,4.867,96.31,262.8,0.538714,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002321,vehicle_breakdown,Mysore Road,2024-03-02 07:31:13.778000+05:30,2.9438,17.99,3.4976,3.4976,0.9394,0.8469,1.2648,1.2648,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.5538,-0.4378,0.5538,True,True,True,True,1.0185,5.9767,4.9581,94.79,263.56,0.390798,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002320,construction,ORR East 2,2024-03-02 08:22:43.051000+05:30,9.0644,8641.05,6.6598,6.6598,0.5156,1.4794,1.5667,1.5667,posterior_sd_plus_obs_sd,pooled_stratum,True,False,2.4046,1.5349,2.4046,False,False,True,False,3.5891,9.7304,6.1413,2916.04,10266.3,1.605486,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002327,vehicle_breakdown,Non-corridor,2024-03-02 09:00:15.995000+05:30,4.7968,120.12,4.0624,4.0624,0.2133,0.5367,0.5776,0.5776,posterior_sd_plus_obs_sd,local_feedback,True,False,0.7344,1.2715,0.7344,False,True,True,False,2.9304,5.1945,2.264,93.49,149.27,0.46437,stratum,6,layer6_posterior_scoring,sequential_loo
FKID002336,vehicle_breakdown,Old Airport Road,2024-03-02 09:05:04.735000+05:30,3.3381,27.17,3.1249,3.1249,1.1074,1.1954,1.6295,1.6295,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.2132,0.1308,0.2132,True,True,True,True,-0.069,6.3188,6.3878,88.69,331.05,0.391927,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002340,tree_fall,Non-corridor,2024-03-02 09:30:49.071000+05:30,10.9841,58927.28,6.7849,6.7849,2.4635,2.4635,3.484,3.484,posterior_sd_plus_obs_sd,prior_period_sample_var,True,False,4.1991,1.2053,4.1991,False,True,True,True,-0.0436,13.6135,13.6571,16598.11,272537.78,2.620237,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002335,vehicle_breakdown,Bellary Road 2,2024-03-02 09:36:55.031000+05:30,3.3219,26.71,4.1396,4.1396,0.001,0.966,0.966,0.966,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.8176,-0.8464,0.8176,False,True,True,False,2.2461,6.033,3.7869,140.54,306.53,0.486471,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002333,vehicle_breakdown,Magadi Road,2024-03-02 10:09:02.097000+05:30,2.8144,15.68,3.6719,3.6719,0.9025,0.6744,1.1266,1.1266,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.8575,-0.7611,0.8575,False,True,True,True,1.4637,5.8801,4.4164,100.5,249.89,0.511788,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002337,construction,Mysore Road,2024-03-02 10:35:27.565000+05:30,0.2679,0.31,4.1407,4.1407,4.0337,0.001,4.0337,4.0337,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-3.8728,-0.9601,3.8728,False,True,True,True,-3.7653,12.0467,15.812,1872.39,47832.14,2.321774,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002350,vehicle_breakdown,Non-corridor,2024-03-02 11:19:49.104000+05:30,4.3012,72.79,4.161,4.161,0.205,0.5562,0.5928,0.5928,posterior_sd_plus_obs_sd,local_feedback,True,False,0.1402,0.2365,0.1402,True,True,True,True,2.9992,5.3228,2.3236,104.62,169.04,0.151688,stratum,7,layer6_posterior_scoring,sequential_loo
FKID002351,vehicle_breakdown,Non-corridor,2024-03-02 11:55:51.732000+05:30,4.687,107.53,4.1803,4.1803,0.1809,0.5217,0.5522,0.5522,posterior_sd_plus_obs_sd,local_feedback,True,False,0.5067,0.9178,0.5067,False,True,True,False,3.0981,5.2625,2.1644,103.06,161.14,0.302569,stratum,8,layer6_posterior_scoring,sequential_loo
FKID002345,road_conditions,Non-corridor,2024-03-02 12:16:35.640000+05:30,8.8825,7204.02,9.4451,9.4451,2.2068,2.894,3.6394,3.6394,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.5626,-0.1546,0.5626,True,True,True,True,2.3119,16.5784,14.2665,270525.54,5032459.8,0.885138,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002363,others,Mysore Road,2024-03-03 00:06:57.054000+05:30,5.717,302.99,6.4744,6.4744,2.8532,2.8062,4.0019,4.0019,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.7574,-0.1893,0.7574,True,True,True,True,-1.3694,14.3182,15.6876,18815.88,468358.62,0.992246,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002360,vehicle_breakdown,Old Madras Road,2024-03-03 00:28:38.155000+05:30,4.0295,55.24,3.3374,3.3374,0.5105,0.8593,0.9995,0.9995,posterior_sd_plus_obs_sd,local_feedback,True,False,0.6921,0.6925,0.6921,False,True,True,True,1.3784,5.2964,3.918,64.27,144.68,0.4175,stratum,2,layer6_posterior_scoring,sequential_loo
FKID002370,vehicle_breakdown,ORR North 1,2024-03-03 01:45:20.318000+05:30,3.172,22.85,3.5683,3.5683,0.8366,0.7519,1.1248,1.1248,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.3964,-0.3524,0.3964,True,True,True,True,1.3636,5.773,4.4094,90.38,224.55,0.318022,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002366,vehicle_breakdown,Magadi Road,2024-03-03 02:55:32.248000+05:30,4.4723,86.56,2.8144,2.8144,0.001,0.6744,0.6744,0.6744,posterior_sd_plus_obs_sd,pooled_stratum,True,False,1.6579,2.4585,1.6579,False,False,False,False,1.4927,4.1361,2.6435,28.43,49.58,1.280528,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002378,vehicle_breakdown,Magadi Road,2024-03-03 05:05:29.690000+05:30,4.1791,64.3,3.6518,3.6518,0.4916,0.829,0.9638,0.9638,posterior_sd_plus_obs_sd,local_feedback,True,False,0.5272,0.5471,0.5272,True,True,True,True,1.7628,5.5408,3.7779,85.74,187.12,0.337511,stratum,2,layer6_posterior_scoring,sequential_loo
FKID002377,vehicle_breakdown,Hosur Road,2024-03-03 05:22:23.683000+05:30,1.2543,2.51,4.5107,4.5107,0.001,0.9043,0.9043,0.9043,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-3.2564,-3.6011,3.2564,False,False,False,False,2.7384,6.2831,3.5448,193.77,401.69,2.746323,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002385,construction,Non-corridor,2024-03-03 06:56:00.118000+05:30,3.1322,21.93,6.382,6.382,3.195,3.195,4.5184,4.5184,posterior_sd_plus_obs_sd,prior_period_sample_var,True,False,-3.2497,-0.7192,3.2497,False,True,True,True,-2.4741,15.238,17.7121,26495.46,998578.73,1.950164,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002387,others,Bellary Road 1,2024-03-03 08:26:01.411000+05:30,2.7308,14.35,6.1202,6.1202,3.3279,2.4136,4.111,4.111,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-3.3894,-0.8245,3.3894,False,True,True,True,-1.9373,14.1776,16.115,14471.79,393202.45,2.01642,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002381,water_logging,Bellary Road 1,2024-03-03 08:40:07.137000+05:30,8.8346,6866.78,9.1827,9.1827,2.0384,2.0947,2.9228,2.9228,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.3481,-0.1191,0.3481,True,True,True,True,3.4541,14.9113,11.4572,113841.15,1190902.14,0.699556,cause,0,layer6_posterior_scoring,sequential_loo
FKID002388,vehicle_breakdown,Non-corridor,2024-03-03 10:12:52.617000+05:30,3.9329,50.06,4.2351,4.2351,0.1689,0.5152,0.5421,0.5421,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.3022,-0.5574,0.3022,True,True,True,True,3.1726,5.2977,2.1251,108.0,167.48,0.192197,stratum,9,layer6_posterior_scoring,sequential_loo
FKID002389,vehicle_breakdown,Mysore Road,2024-03-03 11:07:10.524000+05:30,3.6895,39.02,2.9438,2.9438,0.001,0.8469,0.8469,0.8469,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.7457,0.8804,0.7457,False,True,True,False,1.2839,4.6038,3.3199,37.73,75.47,0.444136,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002383,others,Non-corridor,2024-03-03 11:29:56.501000+05:30,9.1776,9677.06,7.6136,7.6136,0.001,2.4827,2.4827,2.4827,posterior_sd_plus_obs_sd,pooled_stratum,True,False,1.564,0.63,1.564,True,True,True,False,2.7475,12.4796,9.7321,16366.24,120233.09,0.960773,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002396,vehicle_breakdown,Bellary Road 1,2024-03-03 14:02:46.187000+05:30,3.4067,29.17,3.6906,3.6906,1.0557,0.8633,1.3637,1.3637,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.2838,-0.2081,0.2838,True,True,True,True,1.0177,6.3634,5.3456,125.25,376.52,0.342168,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002410,public_event,Old Airport Road,2024-03-03 18:41:54.723000+05:30,6.0279,413.85,5.2631,5.2631,2.5811,0.026,2.5812,2.5812,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.7648,0.2963,0.7648,True,True,True,True,0.2039,10.3223,10.1184,1694.15,13477.49,0.69297,cause,0,layer6_posterior_scoring,sequential_loo
FKID002408,public_event,Old Airport Road,2024-03-03 18:45:27.731000+05:30,6.0193,410.3,6.0279,6.0279,0.001,0.026,0.026,0.026,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.0086,-0.3306,0.0086,True,True,True,False,5.977,6.0789,0.1019,423.03,431.98,0.007198,cause,1,layer6_posterior_scoring,sequential_loo
FKID002409,public_event,Old Airport Road,2024-03-03 18:46:35.589000+05:30,6.0166,409.17,6.0236,6.0236,0.003,0.0043,0.0053,0.0053,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.007,-1.3395,0.007,False,False,True,False,6.0133,6.0339,0.0206,413.91,415.67,0.004521,cause,2,layer6_posterior_scoring,sequential_loo
FKID002406,others,Old Airport Road,2024-03-03 18:49:39.193000+05:30,0.9576,1.61,7.4561,7.4561,2.507,0.001,2.507,2.507,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-6.4985,-2.5921,6.4985,False,False,False,False,2.5423,12.3699,9.8275,14271.23,106914.45,5.091616,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002416,public_event,Old Airport Road,2024-03-03 18:55:16.539000+05:30,5.9952,400.49,6.0213,6.0213,0.0028,0.0048,0.0056,0.0056,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.0261,-4.6759,0.0261,False,False,False,False,6.0103,6.0322,0.0219,413.05,414.91,0.022946,cause,3,layer6_posterior_scoring,sequential_loo
FKID002411,public_event,Old Airport Road,2024-03-03 19:10:49.837000+05:30,5.9557,384.94,6.0148,6.0148,0.006,0.012,0.0135,0.0135,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.0591,-4.3854,0.0591,False,False,False,False,5.9883,6.0412,0.0528,413.09,417.6,0.05148,cause,4,layer6_posterior_scoring,sequential_loo
FKID002415,vehicle_breakdown,Mysore Road,2024-03-03 23:41:25.476000+05:30,2.2419,8.41,3.3299,3.3299,0.2538,0.3728,0.451,0.451,posterior_sd_plus_obs_sd,local_feedback,True,False,-1.088,-2.4123,1.088,False,False,False,False,2.4458,4.2139,1.768,39.83,57.66,0.835905,stratum,2,layer6_posterior_scoring,sequential_loo
FKID002417,vehicle_breakdown,Mysore Road,2024-03-04 03:20:26.047000+05:30,3.2101,23.78,3.0213,3.0213,0.3208,0.5911,0.6725,0.6725,posterior_sd_plus_obs_sd,local_feedback,True,False,0.1888,0.2808,0.1888,True,True,True,True,1.7031,4.3394,2.6362,35.13,61.02,0.178171,stratum,3,layer6_posterior_scoring,sequential_loo
FKID002419,pot_holes,Non-corridor,2024-03-04 04:32:20.106000+05:30,7.6608,2122.4,9.7728,9.7728,2.123,3.1239,3.7771,3.7771,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-2.1121,-0.5592,2.1121,True,True,True,True,2.3698,17.1759,14.8061,421558.1,8758944.53,1.341945,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002421,vehicle_breakdown,Mysore Road,2024-03-04 04:41:17.463000+05:30,4.123,60.75,3.0556,3.0556,0.2521,0.5234,0.5809,0.5809,posterior_sd_plus_obs_sd,local_feedback,True,False,1.0674,1.8375,1.0674,False,False,True,False,1.917,4.1942,2.2772,33.62,54.21,0.754769,stratum,4,layer6_posterior_scoring,sequential_loo
FKID002429,vehicle_breakdown,Non-corridor,2024-03-04 05:33:19.594000+05:30,4.0659,57.32,4.2068,4.2068,0.1553,0.4981,0.5217,0.5217,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.1409,-0.2701,0.1409,True,True,True,True,3.1842,5.2294,2.0452,103.16,157.38,0.137024,stratum,10,layer6_posterior_scoring,sequential_loo
FKID002428,others,Non-corridor,2024-03-04 06:53:20.254000+05:30,3.6831,38.77,8.3449,8.3449,0.5444,0.782,0.9529,0.9529,posterior_sd_plus_obs_sd,local_feedback,True,False,-4.6619,-4.8925,4.6619,False,False,False,False,6.4773,10.2126,3.7352,9384.25,20175.35,4.124262,stratum,2,layer6_posterior_scoring,sequential_loo
FKID002439,vehicle_breakdown,Mysore Road,2024-03-04 12:43:45.860000+05:30,4.5131,90.2,3.2636,3.2636,0.2749,0.6429,0.6992,0.6992,posterior_sd_plus_obs_sd,local_feedback,True,False,1.2495,1.7869,1.2495,False,False,True,False,1.8931,4.6341,2.741,46.09,81.58,0.875608,stratum,5,layer6_posterior_scoring,sequential_loo
FKID002438,vehicle_breakdown,ORR North 1,2024-03-04 12:46:24.705000+05:30,3.732,40.76,3.172,3.172,0.001,0.7519,0.7519,0.7519,posterior_sd_plus_obs_sd,pooled_stratum,True,False,0.56,0.7448,0.56,False,True,True,False,1.6982,4.6457,2.9476,43.92,81.17,0.334834,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002440,public_event,Non-corridor,2024-03-04 13:31:33.475000+05:30,0.1896,0.21,5.9549,5.9549,2.4288,0.5344,2.4869,2.4869,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-5.7653,-2.3183,5.7653,False,False,False,False,1.0806,10.8292,9.7486,3126.27,23049.79,4.379507,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002450,vehicle_breakdown,Non-corridor,2024-03-04 15:12:19.154000+05:30,2.2973,8.95,4.1954,4.1954,0.1421,0.477,0.4977,0.4977,posterior_sd_plus_obs_sd,local_feedback,True,False,-1.8981,-3.8133,1.8981,False,False,False,False,3.2198,5.171,1.9512,99.92,149.52,1.617264,stratum,11,layer6_posterior_scoring,sequential_loo
FKID002462,pot_holes,Bellary Road 1,2024-03-05 01:14:45.681000+05:30,8.0623,3171.44,8.5675,8.5675,2.35,0.8086,2.4852,2.4852,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.5052,-0.2033,0.5052,True,True,True,True,3.6965,13.4385,9.7419,42576.35,313407.88,0.621613,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002458,vehicle_breakdown,Non-corridor,2024-03-05 01:17:42.173000+05:30,3.4877,31.71,4.0323,4.0323,0.1969,0.6981,0.7253,0.7253,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.5446,-0.7508,0.5446,False,True,True,False,2.6107,5.4539,2.8432,102.83,184.92,0.325373,stratum,12,layer6_posterior_scoring,sequential_loo
FKID002457,vehicle_breakdown,Tumkur Road,2024-03-05 01:21:16.949000+05:30,3.1327,21.94,3.5342,3.5342,0.7689,0.9334,1.2093,1.2093,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.4015,-0.332,0.4015,True,True,True,True,1.164,5.9044,4.7404,93.82,249.46,0.335304,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002460,vehicle_breakdown,Non-corridor,2024-03-05 02:16:02.161000+05:30,4.8046,121.08,3.9926,3.9926,0.1867,0.6871,0.712,0.712,posterior_sd_plus_obs_sd,local_feedback,True,False,0.8121,1.1405,0.8121,False,True,True,False,2.597,5.3881,2.7911,97.67,173.81,0.500508,stratum,13,layer6_posterior_scoring,sequential_loo
FKID002461,water_logging,Non-corridor,2024-03-05 02:16:20.525000+05:30,4.8075,121.42,9.533,9.533,2.0582,2.4315,3.1856,3.1856,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-4.7256,-1.4834,4.7256,False,False,True,False,3.2892,15.7769,12.4877,201620.91,2605036.91,3.122187,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002456,water_logging,Non-corridor,2024-03-05 02:21:04.998000+05:30,1.7345,4.67,4.8075,4.8075,0.001,2.4315,2.4315,2.4315,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-3.0729,-1.2638,3.0729,False,True,True,False,0.0417,9.5732,9.5314,946.52,6679.18,1.940086,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002463,construction,ORR East 2,2024-03-05 02:31:23.677000+05:30,6.6662,784.37,9.0644,9.0644,0.001,1.4794,1.4794,1.4794,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-2.3982,-1.6211,2.3982,False,False,True,False,6.1648,11.964,5.7992,30014.23,98492.22,1.628997,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002474,pot_holes,CBD 1,2024-03-05 02:54:54.681000+05:30,3.8305,45.08,10.2379,10.2379,1.3112,0.001,1.3112,1.3112,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-6.4074,-4.8866,6.4074,False,False,False,False,7.6679,12.8079,5.14,84242.19,241512.99,5.667649,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002471,vehicle_breakdown,Tumkur Road,2024-03-05 03:03:53.629000+05:30,2.393,9.95,3.1327,3.1327,0.001,0.9334,0.9334,0.9334,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.7397,-0.7925,0.7397,False,True,True,False,1.3032,4.9621,3.6589,49.31,105.48,0.440477,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002475,vehicle_breakdown,Hennur Main Road,2024-03-05 03:36:45.407000+05:30,3.7123,39.95,3.8581,3.8581,0.001,0.0729,0.0729,0.0729,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.1458,-1.9998,0.1458,False,False,False,False,3.7152,4.0009,0.2857,49.37,52.41,0.105885,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002478,accident,Hosur Road,2024-03-05 04:12:51.918000+05:30,3.01,19.29,3.8137,3.8137,1.3793,0.6579,1.5282,1.5282,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.8038,-0.526,0.8038,True,True,True,True,0.8184,6.8091,5.9906,163.01,558.72,0.522006,stratum,0,layer6_posterior_scoring,sequential_loo
FKID002481,vehicle_breakdown,Bellary Road 1,2024-03-05 04:32:01.879000+05:30,3.3037,26.21,3.4067,3.4067,0.001,0.8633,0.8633,0.8633,posterior_sd_plus_obs_sd,pooled_stratum,True,False,-0.1031,-0.1194,0.1031,True,True,True,False,1.7147,5.0987,3.384,61.38,123.79,0.206645,stratum,1,layer6_posterior_scoring,sequential_loo
FKID002488,vehicle_breakdown,Mysore Road,2024-03-05 05:25:04.365000+05:30,3.0801,20.76,3.4578,3.4578,0.2926,0.7543,0.8091,0.8091,posterior_sd_plus_obs_sd,local_feedback,True,False,-0.3777,-0.4669,0.3777,True,True,True,True,1.8721,5.0436,3.1715,61.72,119.13,0.258182,stratum,6,layer6_posterior_scoring,sequential_loo
FKID002489,pot_holes,Non-corridor,2024-03-05 05:59:44.676000+05:30,10.9153,55012.06,7.6608,7.6608,0.001,3.1239,3.1239,3.1239,posterior_sd_plus_obs_sd,pooled_stratum,True,False,3.2546,1.0418,3.2546,False,True,True,False,1.5378,13.7837,12.2459,29434.42,361930.59,1.972461,stratum,1,layer6_posterior_scoring,sequential_loo
