junction,dis_score,risk_level,obi_component,hawkes_component,future_risk_component,rmst_component,persistence_component,pc1_loading_obi,pc1_loading_hawkes,pc1_loading_future,pc1_loading_rmst,pc1_loading_persistence
SilkBoardJunc,66.37,High,0.6794376568100859,0.0,0.6620422927807592,0.7184918184785274,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
Bommanahalli,59.14,Moderate,0.6692410767401962,0.0,0.4683782352064122,0.6903030766233844,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
SantheCircle,69.43,High,0.6633841381779504,0.0,0.5397287739400014,0.4344051751689656,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
BangaloreBodyBuildersJunc,71.39,High,0.6503357377996719,0.0,0.5607977365551795,0.5776699407846438,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
MysoreRd-RingRdJunc(Nayandanahallii),58.61,Moderate,0.6353688941433431,0.0,0.45805069028883,0.6470313836410783,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
CMP GateJunc,64.49,High,0.6290431840148656,0.0,0.6468920684772554,0.6903030766233844,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
Chokasandra (Tumkur road),55.13,Moderate,0.6271679275444803,0.0,0.2057163894466743,0.42076894198024495,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
PoliceCornerJunc,50.58,Moderate,0.619792288544582,0.0,0.5596656984082696,0.6268706715946196,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
YelhankaBypass,63.32,High,0.6176832582621292,0.0,0.5857339738031723,0.4344051751689656,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
HudsonCircle,59.8,Moderate,0.5958358375768635,0.0,0.47767824932350655,0.5776699407846438,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
KoramangalaWaterTankJunc,41.19,Moderate,0.5879810086707047,0.0,0.35250505282106065,0.8210457947225714,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
TumkurRdMarappanapalyaJunc,49.13,Moderate,0.5874205671778981,0.0,0.5298728585086935,0.5903310391177605,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
BEL Circle,57.96,Moderate,0.5516312456584472,0.0,0.6584787520512684,0.6145802507182587,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
TataInstituteCircle,45.48,Moderate,0.5374595902945564,0.0,0.30701320493230055,0.5484201721924203,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
PeenyaPoliceStation,42.45,Moderate,0.5339907052206139,0.0,0.2883522801902534,0.42076894198024495,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
MS RamaiahJunc(TollGate),51.05,Moderate,0.5326797558591752,0.0,0.20380323346951557,0.42076894198024495,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
Batrayanapura(Amrutahalli)Junction,42.3,Moderate,0.5242442623741728,0.0,0.3053671443907101,0.4344051751689656,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
"VeerannapalyaJunction(BEL,HO)",44.69,Moderate,0.505662588888102,0.0,0.4408180400636636,0.7048527576772889,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
BigBazaarJunction(OldMadrasRd),52.2,Moderate,0.48737754650830073,0.0,0.34483983618502073,0.702439869080945,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
LeprosyhospitalJunc,64.54,High,0.48402159975641385,0.0,0.6521902546133461,0.2932269763284893,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
JakkurCrossJunction,42.29,Moderate,0.4752601122870135,0.0,0.2057163894466743,0.4344051751689656,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Shivajinagar(BRV)Junction,38.5,Moderate,0.4660424345331976,0.0,0.32447043477424603,0.702439869080945,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
UniversityJunc(Janabharti),37.4,Moderate,0.4536975066574761,0.0,0.2146740311055505,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
IndianExpressJunction,59.33,Moderate,0.45367199985615725,0.0,0.4550574537356865,0.5628845078775503,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
KatriguppeJunction,30.9,Moderate,0.45104416930208563,0.0,0.2883522801902534,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
KogilluCrossJunc,42.67,Moderate,0.44784430366452566,0.0,0.24477905220385254,0.4344051751689656,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
NaganathapuraJunction,37.0,Moderate,0.4442291616824765,0.0,0.3006478885051074,0.6903030766233844,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
UlsoorGateJunc,37.79,Moderate,0.44222708050779463,0.0,0.23682228096606048,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
SiddalingaiahCircle,43.1,Moderate,0.4260456544428961,0.0,0.23682228096606048,0.5776699407846438,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
SarjapurRd-St JohnsRdJunc,28.61,Low,0.41541879047874614,0.0,0.11910283937282509,0.6903030766233844,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
SirsiCircle,35.81,Moderate,0.4142974520157109,0.0,0.216502769997045,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Devasandra(k r puram),62.72,High,0.4071160912360152,0.0,0.6774334326082876,0.6760714024045955,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
KodigehalliCross,42.84,Moderate,0.40701194666824964,0.0,0.4047665476018514,0.5805931264594519,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
BilekahalliJunc,29.5,Low,0.4042798885105651,0.0,0.23830285943767243,1.0,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
PoliceTimmaiahCircle(GPO),43.72,Moderate,0.3966730065751285,0.0,0.3379955156485832,0.44969761335050495,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
N R SquareJunc,31.65,Moderate,0.3957345567318628,0.0,0.2829419997850186,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
MaratahalliBridgeJunc,41.44,Moderate,0.39296755004699885,0.0,0.4549932386474917,0.4742514592489487,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Nagavara-ORR Junction,42.27,Moderate,0.389011767049859,0.0,0.46090498224101584,0.6477761695069574,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
TrinityCircle,42.3,Moderate,0.38715130193374814,0.0,0.22188931752472177,0.7288083357572946,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
MotherTeressaCircle,33.72,Moderate,0.38124124004027193,0.0,0.23676612209477677,0.6268706715946196,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
KhodaysCircle(DV UrsCircle),47.52,Moderate,0.3793656555740726,0.0,0.6258553195560509,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
ArakereGateJunc,21.35,Low,0.3770588523081071,0.0,0.24100996061957958,0.8380357012022978,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Dr TCM RoyanRd near AmbedkarStatue,37.79,Moderate,0.3720991078280477,0.0,0.19781921857088536,0.6268706715946196,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
QueensStatueCircle,29.41,Low,0.37042090316813764,0.0,0.11033939611882582,0.5892529745538999,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Kadubeesanahalli-ORR Junc,49.92,Moderate,0.3694327390499711,0.0,0.42056106813216804,0.7113759813691325,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
K R Circle,38.22,Moderate,0.3684755715298246,0.0,0.5539370689378251,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Richmond circle jn,22.32,Low,0.36667486757519174,0.0,0.07768395105571581,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
ItmaduJunction,32.39,Moderate,0.359351279068916,0.0,0.12091982356225225,0.6873528077339963,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
OldMadrasRd-Indranagar100ftRdJunc,31.49,Moderate,0.3565890678317145,0.0,0.1325638951113772,0.7288083357572946,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
KadirenahalliJunction,36.93,Moderate,0.34828067723721917,0.0,0.24764940072150488,0.6873528077339963,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
ShivajiTalkiesJunc,29.34,Low,0.3424980124705679,0.0,0.12973311256332612,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
K R MarketJunction,28.63,Low,0.34087745054606805,0.0,0.11346864977108125,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
HunsemarammanahalliJunction,28.46,Low,0.3402950623334662,0.0,0.15224866334242712,0.4344051751689656,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Sumanhalli,55.37,Moderate,0.33870476627873775,0.0,0.4240693774050818,0.2932269763284893,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
KanakapuraRd-RingRdJunction,22.63,Low,0.329500930681941,0.0,0.20499889450004838,0.6817121050692957,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Ashoknagar Junction(ShoolayCircle),23.76,Low,0.3281965206733539,0.0,0.15550541975636553,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Kudlu Gate Junc,30.2,Moderate,0.32674043040137674,0.0,0.10263081446498802,0.6903030766233844,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
AshirwadamCircle,28.19,Low,0.32379819290260964,0.0,0.12069902064632751,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
AnepalyaJunc,18.04,Low,0.3228084093139551,0.0,0.10263081446498802,0.6903030766233844,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
HulimaveRd-BanneraghattaRdJunc,17.83,Low,0.3213141531387348,0.0,0.18368592125393232,1.0,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
MinskSquare(CTO Junction),27.6,Low,0.31864193670858654,0.0,0.16526639250377012,0.44969761335050495,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
OldMadrasRd-NGEF Junc,26.78,Low,0.31791083297471867,0.0,0.0548824772051306,0.7288083357572946,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
PES-DevegowdaCircle,22.56,Low,0.3154902617161682,0.0,0.0707578392463382,0.6873528077339963,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
BDA Junctio-Koramangala,20.14,Low,0.3144965969278743,0.0,0.11260107454281293,0.8210457947225714,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
MeenakshiMallJunc,16.45,Low,0.31317429248015727,0.0,0.15730647029070904,1.0,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
AnilKumbleCircle,27.82,Low,0.3127712780726626,0.0,0.08663195654057781,0.7288083357572946,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
OldMadrasRd-80FeetRdJunc,27.8,Low,0.31245110447938423,0.0,0.08663195654057781,0.7288083357572946,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
SadahalliGateJunc(AirportRd),25.99,Low,0.31043802401497267,0.0,0.12155296846524097,0.4344051751689656,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
OperaHouseJunc,17.57,Low,0.3074855433873015,0.0,0.07884237024025006,0.6532391382709692,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Srigandakaval,38.32,Moderate,0.3072047992582417,0.0,0.3295246996687681,0.2932269763284893,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
RamaiahCircle-UlsoorPoliceStation,26.25,Low,0.3054423487809951,0.0,0.0548824772051306,0.7288083357572946,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
BiryandCircle,26.34,Low,0.303769059156806,0.0,0.09512918037482829,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Marigowda-TavarkereRdJunc,30.26,Moderate,0.3015539138369474,0.0,0.4294412203815033,0.68318723951399,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
JP Nagar 15th cross junction,17.42,Low,0.2953720159946875,0.0,0.11392816699781091,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
JayadevaHospitalJunc,14.89,Low,0.29463396919941276,0.0,0.13767866543526683,1.0,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
SadashivnagarJunc,31.5,Moderate,0.2942164480671278,0.0,0.3113619754030297,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
CashPharmacyJunction,16.5,Low,0.29178533646606875,0.0,0.010835596180607128,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
SagarHospitalJunc,9.63,Low,0.291319141267641,0.0,0.15983651347930897,1.0,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Deverabeesanahalli-ORR Junc,23.01,Low,0.2887685261083526,0.0,0.1561143624876072,0.74668056033367,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
FTI Junction(KanteeravaStudio),33.28,Moderate,0.2873639224417353,0.0,0.21190404450231728,0.6760714024045955,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
HennurRoad-ORR Junc,28.33,Low,0.28129870065485146,0.0,0.38242230037540664,0.6570958015602436,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
A S CharStreet-MysoreRdJunc,17.5,Low,0.28119709515555563,0.0,0.04745365634312853,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
KamrajRdJunction,23.79,Low,0.28109258169450735,0.0,0.01857026388715065,0.7288083357572946,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
OldPoliceStation-Ashoknagar,29.54,Low,0.28040608999564604,0.0,0.04961102631204046,0.5776699407846438,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
CMH Rd-AdarshTheaterJunc,11.74,Low,0.28015826706605595,0.0,0.018098907038452766,0.7288083357572946,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
MayohallJunction,29.72,Low,0.2800935978748627,0.0,0.018098907038452766,0.7288083357572946,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
GarebhavipalyaJunc,19.64,Low,0.28004809442254125,0.0,0.03705147688898853,0.6903030766233844,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
KundanahalliGateJunc,36.26,Moderate,0.2786472945985135,0.0,0.19693681141151034,0.3465559218763086,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
MysoreRd--MadhuPetrolBunkJunction,17.39,Low,0.27622569575321454,0.0,0.04986705422631816,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
WebbsCircle,16.55,Low,0.26611301175071284,0.0,0.00321102936027159,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
DairyCircle,11.05,Low,0.2652202395100944,0.0,0.10000634258135846,0.8380357012022978,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
OldMadrasRd-DoubleRdJunc,16.79,Low,0.26441283733514215,0.0,0.010973102730085628,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Rajajinagar19thMainJunc,25.82,Low,0.2625569346316405,0.0,0.11364396467168644,0.7598931362552764,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
CoffeeBoardJunc,21.04,Low,0.2624513807368525,0.0,0.059339024438465025,0.44969761335050495,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
AnjaneyaTempleJunc,16.27,Low,0.2623682269267618,0.0,0.00010593441418234292,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
OldMadrasRd-SuddaguntepalyaRdJunc,10.28,Low,0.2623682269267618,0.0,0.00010593441418234292,0.7288083357572946,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
UttarahalliJunction,24.33,Low,0.2616473295637564,0.0,0.31649665720893827,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
ManipalCentreJunc,16.18,Low,0.26000292400023783,0.0,0.0002728638097870778,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
IbblurJunction',26.78,Low,0.2598831849318489,0.0,0.13075063175444854,0.74668056033367,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
SandeepUnnikrishnan-Yelhanka,31.77,Moderate,0.2595782956719043,0.0,0.20358308980018966,0.6760714024045955,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
Arts&CraftsCircle,16.1,Low,0.2583160195437484,0.0,9.009662919726874e-05,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
BloodBankCircle,22.67,Low,0.25584017401335657,0.0,0.2433096697507496,0.6268706715946196,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
OldMadrasRd-BMTC DepotJunc,15.99,Low,0.25570995456243717,0.0,0.0,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
TamarikannanJunc,15.98,Low,0.25549061492425573,0.0,0.0,0.7288083357572946,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
StateBankofMysoreJunc,23.62,Low,0.24981813333531372,0.0,0.3113619754030297,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
DhobiGhatJunc,31.35,Moderate,0.24619769121806556,0.0,0.11948280006084802,0.7598931362552764,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
RoyanCircle-Chamrajpete,14.14,Low,0.24526157395496487,0.0,0.0007507018347084823,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
JohnsonMarket,13.28,Low,0.2445493732939661,0.0,0.022848422342941932,0.6339865087040142,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Nagarbhavi,25.38,Low,0.24238752800896285,0.0,0.21190404450231728,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
29thMainRdBTM LayoutJunc,20.26,Low,0.23773846264389734,0.0,0.08725974702034345,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Delmia-Jayanagar,16.93,Low,0.23759238611293268,0.0,0.011661523784335883,0.6873528077339963,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
HopefarmJunction,35.06,Moderate,0.23670555917126046,0.0,0.3113619754030297,0.6760714024045955,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
KamakyaJunction,10.5,Low,0.23598244947199837,0.0,0.0023481153406671625,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
MC Circle,12.34,Low,0.2357319468246088,0.0,0.10468532855607644,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
VijayanagarBusStandJunction,9.75,Low,0.23424229614187134,0.0,0.04081738062487764,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
NCERT Junction,10.32,Low,0.23354533351147128,0.0,0.0003979249008467085,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
UCO Bank(Forum),10.28,Low,0.23238304745706098,0.0,0.0028493693578323064,0.6903030766233844,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
ShantalaJunction,25.7,Low,0.22994267564916177,0.0,0.2334766156506488,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
AgaraJunction,15.11,Low,0.22851648677063535,0.0,0.14563566014648222,0.7113759813691325,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
AdugodiJunc,9.91,Low,0.22630972116587372,0.0,0.0002040084076933639,0.6903030766233844,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
DevegowdaPetrolBunkJunc,10.02,Low,0.22610086577888763,0.0,0.0008593509258217832,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
J D MaraJunc,6.72,Low,0.22440732098644806,0.0,0.006183421429853602,1.0,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
HoramavuJunction,17.95,Low,0.22290075971952109,0.0,0.21845046379177996,0.7048527576772889,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
VeerasandraGateJunction,30.53,Moderate,0.22249048195007176,0.0,0.21190404450231728,0.6760714024045955,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
ShivandaCircle,28.33,Low,0.21953347652236407,0.0,0.3113619754030297,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
GangammagudiJunc,19.76,Low,0.2153171585931222,0.0,0.09869434687347378,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
SwagathMainRd-EastEndRdJunc,11.02,Low,0.21512836248141565,0.0,0.0012871053162094945,0.8380357012022978,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
KrishnaFlourMill,19.75,Low,0.21211843259709046,0.0,0.2536538187436855,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
GorappanapalyaJunction,0.0,Low,0.21208657707329295,0.0,0.0009708194693805724,1.0,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Ring road-Near Kengunte Junction,17.75,Low,0.2116311314699786,0.0,0.20358308980018966,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
NavarangTheatreJunction,9.52,Low,0.21006975312634432,0.0,0.06078790097024288,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
Srinivagilu(Ejipura)Junc,5.91,Low,0.20882861338291703,0.0,0.017472000396076427,0.8210457947225714,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
LRDE Junction,19.24,Low,0.2078374839296374,0.0,0.2112547759918351,0.6313028018047949,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
MahalaxmiLayoutEntranceJunc,9.8,Low,0.20595379875286393,0.0,0.04034670872222228,0.7179822693299358,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
SonyworldJunction,10.86,Low,0.1979888984902567,0.0,0.0025530208042028007,0.8210457947225714,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
5thMainRPC Layout-Vijayanagar,6.8,Low,0.19778318284885896,0.0,0.005024670387285681,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
RamamurthyNagarJunction,19.06,Low,0.19424091437401403,0.0,0.12565752717895112,0.7048527576772889,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
Jaipuria-Adugodi,5.19,Low,0.19309069407056573,0.0,0.016086857367266193,0.8210457947225714,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
HSR14thMainJunc,18.91,Low,0.1916342359007338,0.0,0.12944690568059433,0.7113759813691325,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
RingRoad-UllalJunction,12.78,Low,0.19008204722505379,0.0,0.10068521014676121,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
CholurpalyaJunction(MagadiRd),6.22,Low,0.1880058509268624,0.0,0.0008245327608360066,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
ModiBridgeJunction,12.4,Low,0.18699974283767823,0.0,0.006576066469384934,0.7598931362552764,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
ShivanahalliJunctionWOC,18.38,Low,0.18671701198366705,0.0,0.006576066469384934,0.7598931362552764,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
Krupanidhi College,17.39,Low,0.18567088900103437,0.0,0.22226954638085267,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
AnandRaoJunction,16.6,Low,0.18456199810631876,0.0,0.20358308980018966,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
MargosaRd-18thCrossJunc,17.26,Low,0.18368244979805975,0.0,0.06937008046110783,0.6760714024045955,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
AttiguppeCircleJunction,5.97,Low,0.1823391580641838,0.0,0.0006520321727875656,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
SubbannaJunction,15.97,Low,0.18223277077078057,0.0,0.18996530097618256,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
BTM16thMain-ORR Junc,20.69,Low,0.1811214479125364,0.0,0.0069218234325995305,0.6760714024045955,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
Rajajinagagr1stBlockJunction,6.04,Low,0.17997516122450802,0.0,0.004994321579029865,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
