event_id,quantity,fused_value,fused_variance,fused_confidence,source_count,consensus_ratio,conflict_score,conflict_flag,fallback_mode,sensor_types_used,sensor_ids_used,generated_at
FKID000022,queue_length,205.3488,2161.755214,0.0005,2,0.5,0.170835,MEDIUM_CONFLICT,False,CCTV;Loop Detector,S-FKID000022-00;S-FKID000022-02,2026-06-20T02:04:02.163587+00:00
FKID000022,travel_time,248.2587,1198.159483,0.0008,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID000022-03,2026-06-20T02:04:02.163587+00:00
FKID000022,incident_indicator,0.123,0.017095,0.9832,2,1.0,0.1419,MEDIUM_CONFLICT,False,CCTV;Weather Feed,S-FKID000022-00;S-FKID000022-01,2026-06-20T02:04:02.163587+00:00
FKID000022,lane_availability,0.4225,0.019991,0.9804,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID000022-00,2026-06-20T02:04:02.163587+00:00
FKID001288,traffic_speed,48.4356,85.642995,0.0115,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID001288-00,2026-06-20T02:04:02.163587+00:00
FKID001288,queue_length,166.2998,3074.599957,0.0003,2,1.0,0.120001,MEDIUM_CONFLICT,False,LiDAR;Loop Detector,S-FKID001288-00;S-FKID001288-02,2026-06-20T02:04:02.163587+00:00
FKID001288,travel_time,280.3554,740.492769,0.0013,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID001288-04,2026-06-20T02:04:02.163587+00:00
FKID001288,incident_indicator,0.486,0.044082,0.9578,2,0.5,0.17995,MEDIUM_CONFLICT,False,Incident Dispatch Feed;Weather Feed,S-FKID001288-01;S-FKID001288-03,2026-06-20T02:04:02.163587+00:00
FKID001288,lane_availability,0.8328,0.014759,0.9855,1,1.0,0.0,LOW_CONFLICT,False,LiDAR,S-FKID001288-02,2026-06-20T02:04:02.163587+00:00
FKID001125,traffic_speed,37.4836,79.230815,0.0125,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID001125-01,2026-06-20T02:04:02.163587+00:00
FKID001125,queue_length,232.498,1948.481931,0.0005,3,0.666667,0.107687,MEDIUM_CONFLICT,False,CCTV;LiDAR;Loop Detector,S-FKID001125-00;S-FKID001125-01;S-FKID001125-04,2026-06-20T02:04:02.163587+00:00
FKID001125,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID001125,incident_indicator,0.1498,0.013893,0.9863,2,1.0,0.22225,MEDIUM_CONFLICT,False,CCTV;Weather Feed,S-FKID001125-00;S-FKID001125-02,2026-06-20T02:04:02.163587+00:00
FKID001125,lane_availability,0.626,0.007608,0.9924,2,0.5,0.2081,MEDIUM_CONFLICT,False,CCTV;LiDAR,S-FKID001125-00;S-FKID001125-04,2026-06-20T02:04:02.163587+00:00
FKID006361,traffic_speed,45.7363,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID006361,queue_length,213.5913,3665.614235,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID006361-01,2026-06-20T02:04:02.163587+00:00
FKID006361,travel_time,252.7791,467.104619,0.0021,2,1.0,0.005575,LOW_CONFLICT,False,ANPR;Bluetooth Probe,S-FKID006361-00;S-FKID006361-04,2026-06-20T02:04:02.163587+00:00
FKID006361,incident_indicator,0.0948,0.046258,0.9558,2,1.0,0.0905,LOW_CONFLICT,False,Event Feed;Weather Feed,S-FKID006361-02;S-FKID006361-03,2026-06-20T02:04:02.163587+00:00
FKID006361,lane_availability,0.5589,0.009216,0.9909,2,1.0,0.0868,LOW_CONFLICT,False,Event Feed;Signal Controller,S-FKID006361-01;S-FKID006361-03,2026-06-20T02:04:02.163587+00:00
FKID004125,traffic_speed,45.781,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID004125,queue_length,266.7699,3356.560571,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID004125-02,2026-06-20T02:04:02.163587+00:00
FKID004125,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID004125,incident_indicator,0.165,0.017554,0.9827,2,0.5,0.0485,LOW_CONFLICT,False,Event Feed;Incident Dispatch Feed,S-FKID004125-00;S-FKID004125-01,2026-06-20T02:04:02.163587+00:00
FKID004125,lane_availability,0.6015,0.007691,0.9924,2,1.0,0.04245,LOW_CONFLICT,False,Event Feed;Signal Controller,S-FKID004125-01;S-FKID004125-02,2026-06-20T02:04:02.163587+00:00
FKID001693,traffic_speed,45.7956,28.167994,0.0343,2,1.0,0.032232,LOW_CONFLICT,False,GPS Probe;Radar,S-FKID001693-00;S-FKID001693-02,2026-06-20T02:04:02.163587+00:00
FKID001693,queue_length,189.8641,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID001693,travel_time,232.0621,732.199313,0.0014,2,1.0,0.073391,LOW_CONFLICT,False,Bluetooth Probe;GPS Probe,S-FKID001693-00;S-FKID001693-04,2026-06-20T02:04:02.163587+00:00
FKID001693,incident_indicator,0.2209,0.035984,0.9653,1,1.0,0.0,LOW_CONFLICT,False,Event Feed,S-FKID001693-01,2026-06-20T02:04:02.163587+00:00
FKID001693,lane_availability,0.4959,0.022507,0.978,2,1.0,0.0362,LOW_CONFLICT,False,Event Feed;Roadwork Feed,S-FKID001693-01;S-FKID001693-03,2026-06-20T02:04:02.163587+00:00
FKID000944,traffic_speed,55.0242,43.582494,0.0224,1,1.0,0.0,LOW_CONFLICT,False,Radar,S-FKID000944-02,2026-06-20T02:04:02.163587+00:00
FKID000944,queue_length,61.9112,3433.44077,0.0003,2,1.0,0.068492,LOW_CONFLICT,False,CCTV;LiDAR,S-FKID000944-03;S-FKID000944-04,2026-06-20T02:04:02.163587+00:00
FKID000944,travel_time,303.4782,3325.385074,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID000944-00,2026-06-20T02:04:02.163587+00:00
FKID000944,incident_indicator,0.1849,0.08997,0.9175,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID000944-03,2026-06-20T02:04:02.163587+00:00
FKID000944,lane_availability,0.7521,0.007297,0.9928,3,0.333333,0.227256,MEDIUM_CONFLICT,False,CCTV;LiDAR;Roadwork Feed,S-FKID000944-01;S-FKID000944-03;S-FKID000944-04,2026-06-20T02:04:02.163587+00:00
FKID000316,traffic_speed,46.8831,34.228861,0.0284,2,1.0,0.018218,LOW_CONFLICT,False,GPS Probe;Radar,S-FKID000316-02;S-FKID000316-03,2026-06-20T02:04:02.163587+00:00
FKID000316,queue_length,0.0,7286.214709,0.0001,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID000316-05,2026-06-20T02:04:02.163587+00:00
FKID000316,travel_time,286.7265,1326.970546,0.0008,2,0.5,0.03502,LOW_CONFLICT,False,ANPR;GPS Probe,S-FKID000316-01;S-FKID000316-03,2026-06-20T02:04:02.163587+00:00
FKID000316,incident_indicator,0.0473,0.013208,0.987,3,0.666667,0.102696,MEDIUM_CONFLICT,False,CCTV;Incident Dispatch Feed;Weather Feed,S-FKID000316-00;S-FKID000316-04;S-FKID000316-05,2026-06-20T02:04:02.163587+00:00
FKID000316,lane_availability,0.7161,0.020239,0.9802,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID000316-05,2026-06-20T02:04:02.163587+00:00
FKID006514,traffic_speed,57.4872,34.035355,0.0285,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID006514-00,2026-06-20T02:04:02.163587+00:00
FKID006514,queue_length,199.9457,1676.299173,0.0006,2,1.0,0.031943,LOW_CONFLICT,False,Loop Detector;Signal Controller,S-FKID006514-00;S-FKID006514-02,2026-06-20T02:04:02.163587+00:00
FKID006514,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID006514,incident_indicator,0.1302,0.038774,0.9627,1,1.0,0.0,LOW_CONFLICT,False,Event Feed,S-FKID006514-01,2026-06-20T02:04:02.163587+00:00
FKID006514,lane_availability,0.3823,0.00859,0.9915,2,0.5,0.0432,LOW_CONFLICT,False,Event Feed;Signal Controller,S-FKID006514-01;S-FKID006514-02,2026-06-20T02:04:02.163587+00:00
FKID006015,traffic_speed,46.9417,60.822816,0.0162,1,1.0,0.0,LOW_CONFLICT,False,GPS Probe,S-FKID006015-01,2026-06-20T02:04:02.163587+00:00
FKID006015,queue_length,188.3895,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID006015,travel_time,232.6811,829.205729,0.0012,1,1.0,0.0,LOW_CONFLICT,False,GPS Probe,S-FKID006015-01,2026-06-20T02:04:02.163587+00:00
FKID006015,incident_indicator,0.1433,0.016124,0.9841,3,0.666667,0.243821,MEDIUM_CONFLICT,False,Event Feed;Incident Dispatch Feed;Weather Feed,S-FKID006015-00;S-FKID006015-02;S-FKID006015-03,2026-06-20T02:04:02.163587+00:00
FKID006015,lane_availability,0.8181,0.073543,0.9315,1,1.0,0.0,LOW_CONFLICT,False,Event Feed,S-FKID006015-00,2026-06-20T02:04:02.163587+00:00
FKID000842,traffic_speed,39.6117,30.601029,0.0316,2,0.5,0.027709,LOW_CONFLICT,False,GPS Probe;Radar,S-FKID000842-00;S-FKID000842-01,2026-06-20T02:04:02.163587+00:00
FKID000842,queue_length,306.7309,3736.754751,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID000842-03,2026-06-20T02:04:02.163587+00:00
FKID000842,travel_time,242.293,1486.893959,0.0007,1,1.0,0.0,LOW_CONFLICT,False,GPS Probe,S-FKID000842-01,2026-06-20T02:04:02.163587+00:00
FKID000842,incident_indicator,0.1694,0.02406,0.9765,2,1.0,0.0215,LOW_CONFLICT,False,Incident Dispatch Feed;Weather Feed,S-FKID000842-02;S-FKID000842-05,2026-06-20T02:04:02.163587+00:00
FKID000842,lane_availability,0.7682,0.007743,0.9923,2,1.0,0.0844,LOW_CONFLICT,False,Roadwork Feed;Signal Controller,S-FKID000842-03;S-FKID000842-04,2026-06-20T02:04:02.163587+00:00
FKID000129,traffic_speed,55.6153,35.714261,0.0272,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID000129-02,2026-06-20T02:04:02.163587+00:00
FKID000129,queue_length,158.2481,1732.939735,0.0006,2,0.5,0.022721,LOW_CONFLICT,False,Loop Detector;Signal Controller,S-FKID000129-02;S-FKID000129-04,2026-06-20T02:04:02.163587+00:00
FKID000129,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID000129,incident_indicator,0.386,0.021681,0.9788,2,1.0,0.22685,MEDIUM_CONFLICT,False,Event Feed;Weather Feed,S-FKID000129-01;S-FKID000129-03,2026-06-20T02:04:02.163587+00:00
FKID000129,lane_availability,0.7485,0.007489,0.9926,3,0.666667,0.062323,LOW_CONFLICT,False,Event Feed;Roadwork Feed;Signal Controller,S-FKID000129-00;S-FKID000129-01;S-FKID000129-04,2026-06-20T02:04:02.163587+00:00
FKID003911,traffic_speed,33.3409,79.041687,0.0125,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID003911-02,2026-06-20T02:04:02.163587+00:00
FKID003911,queue_length,188.4389,6734.912942,0.0001,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID003911-02,2026-06-20T02:04:02.163587+00:00
FKID003911,travel_time,173.0289,778.236111,0.0013,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID003911-01,2026-06-20T02:04:02.163587+00:00
FKID003911,incident_indicator,0.3727,0.07149,0.9333,1,1.0,0.0,LOW_CONFLICT,False,Incident Dispatch Feed,S-FKID003911-03,2026-06-20T02:04:02.163587+00:00
FKID003911,lane_availability,1.0,0.083259,0.9231,1,1.0,0.0,LOW_CONFLICT,False,Roadwork Feed,S-FKID003911-00,2026-06-20T02:04:02.163587+00:00
FKID000528,traffic_speed,37.9489,35.738066,0.0272,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID000528-02,2026-06-20T02:04:02.163587+00:00
FKID000528,queue_length,231.3426,3045.137002,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID000528-02,2026-06-20T02:04:02.163587+00:00
FKID000528,travel_time,251.5086,690.509874,0.0014,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID000528-03,2026-06-20T02:04:02.163587+00:00
FKID000528,incident_indicator,0.2098,0.027282,0.9734,1,1.0,0.0,LOW_CONFLICT,False,Incident Dispatch Feed,S-FKID000528-01,2026-06-20T02:04:02.163587+00:00
FKID000528,lane_availability,0.9245,0.076167,0.9292,1,1.0,0.0,LOW_CONFLICT,False,Roadwork Feed,S-FKID000528-00,2026-06-20T02:04:02.163587+00:00
FKID000923,traffic_speed,46.345,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID000923,queue_length,118.2811,3781.139924,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID000923-00,2026-06-20T02:04:02.163587+00:00
FKID000923,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID000923,incident_indicator,0.2978,0.149385,0.87,1,1.0,0.0,LOW_CONFLICT,False,Incident Dispatch Feed,S-FKID000923-02,2026-06-20T02:04:02.163587+00:00
FKID000923,lane_availability,0.8273,0.0089,0.9912,2,1.0,0.1019,MEDIUM_CONFLICT,False,Roadwork Feed;Signal Controller,S-FKID000923-00;S-FKID000923-01,2026-06-20T02:04:02.163587+00:00
FKID007189,traffic_speed,46.401,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID007189,queue_length,239.4064,3564.992881,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID007189-03,2026-06-20T02:04:02.163587+00:00
FKID007189,travel_time,225.0488,1139.632137,0.0009,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID007189-01,2026-06-20T02:04:02.163587+00:00
FKID007189,incident_indicator,0.0275,0.032881,0.9682,2,0.5,0.0214,LOW_CONFLICT,False,Event Feed;Weather Feed,S-FKID007189-00;S-FKID007189-04,2026-06-20T02:04:02.163587+00:00
FKID007189,lane_availability,0.7271,0.006481,0.9936,3,0.666667,0.071133,LOW_CONFLICT,False,Event Feed;Roadwork Feed;Signal Controller,S-FKID007189-00;S-FKID007189-02;S-FKID007189-03,2026-06-20T02:04:02.163587+00:00
FKID001133,traffic_speed,55.8035,114.163902,0.0087,1,1.0,0.0,LOW_CONFLICT,False,Radar,S-FKID001133-00,2026-06-20T02:04:02.163587+00:00
FKID001133,queue_length,170.9925,2599.497852,0.0004,2,0.5,0.13966,MEDIUM_CONFLICT,False,CCTV;Signal Controller,S-FKID001133-01;S-FKID001133-02,2026-06-20T02:04:02.163587+00:00
FKID001133,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID001133,incident_indicator,0.128,0.019957,0.9804,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID001133-02,2026-06-20T02:04:02.163587+00:00
FKID001133,lane_availability,0.9291,0.007221,0.9928,2,1.0,0.00105,LOW_CONFLICT,False,CCTV;Signal Controller,S-FKID001133-01;S-FKID001133-02,2026-06-20T02:04:02.163587+00:00
FKID004711,traffic_speed,46.4798,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID004711,queue_length,181.7747,3549.596789,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID004711-02,2026-06-20T02:04:02.163587+00:00
FKID004711,travel_time,211.4531,2384.132057,0.0004,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID004711-04,2026-06-20T02:04:02.163587+00:00
FKID004711,incident_indicator,0.5039,0.064032,0.9398,2,0.5,0.16035,MEDIUM_CONFLICT,False,Incident Dispatch Feed;Weather Feed,S-FKID004711-01;S-FKID004711-03,2026-06-20T02:04:02.163587+00:00
FKID004711,lane_availability,0.6932,0.007636,0.9924,2,1.0,0.04945,LOW_CONFLICT,False,Roadwork Feed;Signal Controller,S-FKID004711-00;S-FKID004711-02,2026-06-20T02:04:02.163587+00:00
FKID004806,traffic_speed,49.2446,224.645063,0.0044,1,1.0,0.0,LOW_CONFLICT,False,Radar,S-FKID004806-03,2026-06-20T02:04:02.163587+00:00
FKID004806,queue_length,66.263,32207.640574,0.0,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID004806-05,2026-06-20T02:04:02.163587+00:00
FKID004806,travel_time,185.7267,1191.616496,0.0008,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID004806-04,2026-06-20T02:04:02.163587+00:00
FKID004806,incident_indicator,0.0147,0.067623,0.9367,2,1.0,0.03005,LOW_CONFLICT,False,CCTV;Weather Feed,S-FKID004806-00;S-FKID004806-05,2026-06-20T02:04:02.163587+00:00
FKID004806,lane_availability,0.6271,0.026169,0.9745,2,0.5,0.2255,MEDIUM_CONFLICT,False,CCTV;Roadwork Feed,S-FKID004806-01;S-FKID004806-05,2026-06-20T02:04:02.163587+00:00
FKID007137,traffic_speed,52.0881,35.293089,0.0276,2,1.0,0.10334,MEDIUM_CONFLICT,False,GPS Probe;Radar,S-FKID007137-01;S-FKID007137-04,2026-06-20T02:04:02.163587+00:00
FKID007137,queue_length,183.6928,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID007137,travel_time,247.5096,1140.581785,0.0009,3,0.666667,0.249337,MEDIUM_CONFLICT,False,ANPR;Bluetooth Probe;GPS Probe,S-FKID007137-01;S-FKID007137-03;S-FKID007137-05,2026-06-20T02:04:02.163587+00:00
FKID007137,incident_indicator,0.258,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID007137,lane_availability,1.0,0.080621,0.9254,1,1.0,0.0,LOW_CONFLICT,False,Roadwork Feed,S-FKID007137-00,2026-06-20T02:04:02.163587+00:00
FKID005996,traffic_speed,46.6627,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID005996,queue_length,113.8419,3193.942113,0.0003,2,0.5,0.00902,LOW_CONFLICT,False,LiDAR;Signal Controller,S-FKID005996-02;S-FKID005996-03,2026-06-20T02:04:02.163587+00:00
FKID005996,travel_time,262.2786,772.607915,0.0013,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID005996-01,2026-06-20T02:04:02.163587+00:00
FKID005996,incident_indicator,0.1246,0.069828,0.9347,1,1.0,0.0,LOW_CONFLICT,False,Incident Dispatch Feed,S-FKID005996-00,2026-06-20T02:04:02.163587+00:00
FKID005996,lane_availability,0.6857,0.008872,0.9912,2,0.5,0.01385,LOW_CONFLICT,False,LiDAR;Signal Controller,S-FKID005996-02;S-FKID005996-03,2026-06-20T02:04:02.163587+00:00
FKID000968,traffic_speed,43.9555,34.61919,0.0281,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID000968-03,2026-06-20T02:04:02.163587+00:00
FKID000968,queue_length,148.5847,2949.80082,0.0003,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID000968-03,2026-06-20T02:04:02.163587+00:00
FKID000968,travel_time,204.2237,1279.66956,0.0008,1,1.0,0.0,LOW_CONFLICT,False,Bluetooth Probe,S-FKID000968-00,2026-06-20T02:04:02.163587+00:00
FKID000968,incident_indicator,0.3609,0.015153,0.9851,3,0.333333,0.265299,MEDIUM_CONFLICT,False,Event Feed;Incident Dispatch Feed;Weather Feed,S-FKID000968-01;S-FKID000968-04;S-FKID000968-05,2026-06-20T02:04:02.163587+00:00
FKID000968,lane_availability,0.4973,0.097812,0.9109,1,1.0,0.0,LOW_CONFLICT,False,Event Feed,S-FKID000968-01,2026-06-20T02:04:02.163587+00:00
FKID001931,traffic_speed,40.1863,82.693619,0.0119,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID001931-02,2026-06-20T02:04:02.163587+00:00
FKID001931,queue_length,120.6061,2443.225314,0.0004,2,0.5,0.046355,LOW_CONFLICT,False,Loop Detector;Signal Controller,S-FKID001931-02;S-FKID001931-03,2026-06-20T02:04:02.163587+00:00
FKID001931,travel_time,184.6511,3873.588641,0.0003,1,1.0,0.0,LOW_CONFLICT,False,ANPR,S-FKID001931-01,2026-06-20T02:04:02.163587+00:00
FKID001931,incident_indicator,0.3432,0.035599,0.9656,1,1.0,0.0,LOW_CONFLICT,False,Event Feed,S-FKID001931-00,2026-06-20T02:04:02.163587+00:00
FKID001931,lane_availability,0.9366,0.008042,0.992,2,0.5,0.04095,LOW_CONFLICT,False,Event Feed;Signal Controller,S-FKID001931-00;S-FKID001931-03,2026-06-20T02:04:02.163587+00:00
FKID001932,traffic_speed,44.1882,32.492699,0.0299,1,1.0,0.0,LOW_CONFLICT,False,Loop Detector,S-FKID001932-00,2026-06-20T02:04:02.163587+00:00
FKID001932,queue_length,232.7243,2005.687094,0.0005,2,0.5,0.00899,LOW_CONFLICT,False,CCTV;Loop Detector,S-FKID001932-00;S-FKID001932-01,2026-06-20T02:04:02.163587+00:00
FKID001932,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID001932,incident_indicator,0.2335,0.011358,0.9888,2,1.0,0.02575,LOW_CONFLICT,False,CCTV;Incident Dispatch Feed,S-FKID001932-01;S-FKID001932-02,2026-06-20T02:04:02.163587+00:00
FKID001932,lane_availability,0.9285,0.020218,0.9802,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID001932-01,2026-06-20T02:04:02.163587+00:00
FKID003103,traffic_speed,38.4052,20.215018,0.0471,2,0.5,0.074358,LOW_CONFLICT,False,Loop Detector;Radar,S-FKID003103-01;S-FKID003103-03,2026-06-20T02:04:02.163587+00:00
FKID003103,queue_length,245.897,1736.151992,0.0006,2,0.5,0.000517,LOW_CONFLICT,False,Loop Detector;Signal Controller,S-FKID003103-00;S-FKID003103-01,2026-06-20T02:04:02.163587+00:00
FKID003103,travel_time,240.0,,0.2,0,1.0,0.0,LOW_CONFLICT,True,,,2026-06-20T02:04:02.163587+00:00
FKID003103,incident_indicator,0.3914,0.156597,0.8646,1,1.0,0.0,LOW_CONFLICT,False,Incident Dispatch Feed,S-FKID003103-04,2026-06-20T02:04:02.163587+00:00
FKID003103,lane_availability,0.66,0.01136,0.9888,1,1.0,0.0,LOW_CONFLICT,False,Signal Controller,S-FKID003103-00,2026-06-20T02:04:02.163587+00:00
FKID001646,traffic_speed,35.2527,59.445707,0.0165,1,1.0,0.0,LOW_CONFLICT,False,GPS Probe,S-FKID001646-02,2026-06-20T02:04:02.163587+00:00
FKID001646,queue_length,134.8856,16457.006928,0.0001,1,1.0,0.0,LOW_CONFLICT,False,CCTV,S-FKID001646-00,2026-06-20T02:04:02.163587+00:00
FKID001646,travel_time,263.407,810.431416,0.0012,1,1.0,0.0,LOW_CONFLICT,False,GPS Probe,S-FKID001646-02,2026-06-20T02:04:02.163587+00:00
