sensor_id,event_id,sensor_type,quantity,observed_value,sensor_reliability,sensor_obs_variance,sensor_mode,status
S-FKID000022-03,FKID000022,Bluetooth Probe,travel_time,248.2587,0.9573,1146.99807337,REPLAY,ACTIVE
S-FKID001288-00,FKID001288,Loop Detector,traffic_speed,48.4356,0.7364,63.06750167,REPLAY,DEGRADED
S-FKID001288-00,FKID001288,Loop Detector,queue_length,249.6291,0.7364,5373.79895844,REPLAY,DEGRADED
S-FKID001288-01,FKID001288,Incident Dispatch Feed,incident_indicator,0.3525,0.7406,0.05190469,REPLAY,DEGRADED
S-FKID001288-02,FKID001288,LiDAR,queue_length,105.628,0.749,3979.591056,REPLAY,DEGRADED
S-FKID001288-02,FKID001288,LiDAR,lane_availability,0.8328,0.749,0.01105442,REPLAY,DEGRADED
S-FKID001288-03,FKID001288,Weather Feed,incident_indicator,0.7124,0.7525,0.08940937,REPLAY,DEGRADED
S-FKID001288-04,FKID001288,ANPR,travel_time,280.3554,0.948,701.9871446,REPLAY,ACTIVE
S-FKID001125-00,FKID001125,CCTV,queue_length,133.2015,0.9385,6537.207609,REPLAY,ACTIVE
S-FKID001125-00,FKID001125,CCTV,incident_indicator,0.0245,0.9385,0.01815891,REPLAY,ACTIVE
S-FKID001125-00,FKID001125,CCTV,lane_availability,0.3735,0.9385,0.01815891,REPLAY,ACTIVE
S-FKID001125-01,FKID001125,Loop Detector,traffic_speed,37.4836,0.7559,59.89057321,REPLAY,DEGRADED
S-FKID001125-01,FKID001125,Loop Detector,queue_length,256.6542,0.7559,5103.102096,REPLAY,DEGRADED
S-FKID001125-02,FKID001125,Weather Feed,incident_indicator,0.469,0.9571,0.04715977,REPLAY,ACTIVE
S-FKID001125-04,FKID001125,LiDAR,queue_length,280.695,0.7894,3563.373636,REPLAY,DEGRADED
S-FKID001125-04,FKID001125,LiDAR,lane_availability,0.7897,0.7894,0.00989826,REPLAY,DEGRADED
S-FKID006361-00,FKID006361,ANPR,travel_time,253.7511,0.95,696.87129882,REPLAY,ACTIVE
S-FKID006361-01,FKID006361,Signal Controller,queue_length,213.5913,0.9528,3492.59724324,REPLAY,ACTIVE
S-FKID006361-01,FKID006361,Signal Controller,lane_availability,0.5424,0.9528,0.00970166,REPLAY,ACTIVE
S-FKID006361-02,FKID006361,Weather Feed,incident_indicator,0.181,0.825,0.07289028,REPLAY,SIMULATED
S-FKID006361-03,FKID006361,Event Feed,incident_indicator,0.0,0.7503,0.07284709,REPLAY,DEGRADED
S-FKID006361-03,FKID006361,Event Feed,lane_availability,0.716,0.7503,0.07284709,REPLAY,DEGRADED
S-FKID006361-04,FKID006361,Bluetooth Probe,travel_time,251.0752,0.9422,1211.65812685,REPLAY,ACTIVE
S-FKID004125-00,FKID004125,Incident Dispatch Feed,incident_indicator,0.2038,0.9456,0.02765835,REPLAY,ACTIVE
S-FKID004125-01,FKID004125,Event Feed,incident_indicator,0.1068,0.9367,0.04112378,REPLAY,ACTIVE
S-FKID004125-01,FKID004125,Event Feed,lane_availability,0.6715,0.9367,0.04112378,REPLAY,ACTIVE
S-FKID004125-02,FKID004125,Signal Controller,queue_length,266.7699,0.9713,3260.22728256,REPLAY,ACTIVE
S-FKID004125-02,FKID004125,Signal Controller,lane_availability,0.5866,0.9713,0.00905619,REPLAY,ACTIVE
S-FKID001693-00,FKID001693,GPS Probe,traffic_speed,48.3186,0.932,65.98077335,REPLAY,ACTIVE
S-FKID001693-00,FKID001693,GPS Probe,travel_time,223.5593,0.932,899.52486273,REPLAY,ACTIVE
S-FKID001693-01,FKID001693,Event Feed,incident_indicator,0.2209,0.9787,0.03521778,REPLAY,ACTIVE
S-FKID001693-01,FKID001693,Event Feed,lane_availability,0.523,0.9787,0.03521778,REPLAY,ACTIVE
S-FKID001693-02,FKID001693,Radar,traffic_speed,44.1284,0.9348,43.73137222,REPLAY,ACTIVE
S-FKID001693-03,FKID001693,Roadwork Feed,lane_availability,0.4506,0.8104,0.04870231,REPLAY,SIMULATED
S-FKID001693-04,FKID001693,Bluetooth Probe,travel_time,258.7869,0.7405,2246.35048266,REPLAY,DEGRADED
S-FKID000944-00,FKID000944,Bluetooth Probe,travel_time,303.4782,0.7173,2385.29871383,REPLAY,DEGRADED
S-FKID000944-01,FKID000944,Roadwork Feed,lane_availability,0.6189,0.9602,0.02983565,REPLAY,ACTIVE
S-FKID000944-02,FKID000944,Radar,traffic_speed,55.0242,0.95,41.40336936,REPLAY,ACTIVE
S-FKID000944-03,FKID000944,CCTV,queue_length,135.3891,0.5626,18222.08411664,REPLAY,STALE
S-FKID000944-03,FKID000944,CCTV,incident_indicator,0.1849,0.5626,0.0506169,REPLAY,STALE
S-FKID000944-03,FKID000944,CCTV,lane_availability,0.2974,0.5626,0.0506169,REPLAY,STALE
S-FKID000944-04,FKID000944,LiDAR,queue_length,53.1985,0.8285,3181.90759056,REPLAY,SIMULATED
S-FKID000944-04,FKID000944,LiDAR,lane_availability,0.8517,0.8285,0.00883863,REPLAY,SIMULATED
S-FKID000316-00,FKID000316,Weather Feed,incident_indicator,0.0282,0.9522,0.04801577,REPLAY,ACTIVE
S-FKID000316-01,FKID000316,ANPR,travel_time,276.1616,0.5645,2016.369216,REPLAY,STALE
S-FKID000316-02,FKID000316,Radar,traffic_speed,46.3597,0.9483,41.66896152,REPLAY,ACTIVE
S-FKID000316-03,FKID000316,GPS Probe,traffic_speed,48.728,0.7476,115.7783532,REPLAY,DEGRADED
S-FKID000316-03,FKID000316,GPS Probe,travel_time,292.9713,0.7476,1578.42204601,REPLAY,DEGRADED
S-FKID000316-04,FKID000316,Incident Dispatch Feed,incident_indicator,0.2464,0.5386,0.08319244,REPLAY,STALE
S-FKID000316-05,FKID000316,CCTV,queue_length,0.0,0.9287,6766.7076,REPLAY,ACTIVE
S-FKID000316-05,FKID000316,CCTV,incident_indicator,0.0289,0.9287,0.01879641,REPLAY,ACTIVE
S-FKID000316-05,FKID000316,CCTV,lane_availability,0.7161,0.9287,0.01879641,REPLAY,ACTIVE
S-FKID006514-00,FKID006514,Loop Detector,traffic_speed,57.4872,0.9525,32.41867519,REPLAY,ACTIVE
S-FKID006514-00,FKID006514,Loop Detector,queue_length,183.7709,0.9525,2762.30131776,REPLAY,ACTIVE
S-FKID006514-01,FKID006514,Event Feed,incident_indicator,0.1302,0.9632,0.0373475,REPLAY,ACTIVE
S-FKID006514-01,FKID006514,Event Feed,lane_availability,0.315,0.9632,0.0373475,REPLAY,ACTIVE
S-FKID006514-02,FKID006514,Signal Controller,queue_length,222.102,0.9355,3716.26790544,REPLAY,ACTIVE
S-FKID006514-02,FKID006514,Signal Controller,lane_availability,0.4014,0.9355,0.01032297,REPLAY,ACTIVE
S-FKID006015-00,FKID006015,Event Feed,incident_indicator,0.0,0.8185,0.06019515,REPLAY,SIMULATED
S-FKID006015-00,FKID006015,Event Feed,lane_availability,0.8181,0.8185,0.06019515,REPLAY,SIMULATED
S-FKID006015-01,FKID006015,GPS Probe,traffic_speed,46.9417,0.9644,58.65752379,REPLAY,ACTIVE
S-FKID006015-01,FKID006015,GPS Probe,travel_time,232.6811,0.9644,799.68600484,REPLAY,ACTIVE
S-FKID006015-02,FKID006015,Weather Feed,incident_indicator,0.546,0.84,0.069696,REPLAY,SIMULATED
S-FKID006015-03,FKID006015,Incident Dispatch Feed,incident_indicator,0.0634,0.9588,0.02636174,REPLAY,ACTIVE
S-FKID000842-00,FKID000842,Radar,traffic_speed,38.601,0.9552,40.62991571,REPLAY,ACTIVE
S-FKID000842-01,FKID000842,GPS Probe,traffic_speed,42.2032,0.8333,90.88361822,REPLAY,SIMULATED
S-FKID000842-01,FKID000842,GPS Probe,travel_time,242.293,0.8333,1239.02873603,REPLAY,SIMULATED
S-FKID000842-02,FKID000842,Weather Feed,incident_indicator,0.1914,0.957,0.04717497,REPLAY,ACTIVE
S-FKID000842-03,FKID000842,Signal Controller,queue_length,306.7309,0.9487,3545.05923216,REPLAY,ACTIVE
S-FKID000842-03,FKID000842,Signal Controller,lane_availability,0.7253,0.9487,0.00984739,REPLAY,ACTIVE
S-FKID000842-04,FKID000842,Roadwork Feed,lane_availability,0.8941,0.9643,0.02939133,REPLAY,ACTIVE
S-FKID000842-05,FKID000842,Incident Dispatch Feed,incident_indicator,0.1484,0.8383,0.03940146,REPLAY,SIMULATED
S-FKID000129-00,FKID000129,Roadwork Feed,lane_availability,0.8527,0.8434,0.04414957,REPLAY,SIMULATED
S-FKID000129-01,FKID000129,Event Feed,incident_indicator,0.1781,0.9566,0.0382754,REPLAY,ACTIVE
S-FKID000129-01,FKID000129,Event Feed,lane_availability,0.7084,0.9566,0.0382754,REPLAY,ACTIVE
S-FKID000129-02,FKID000129,Loop Detector,traffic_speed,55.6153,0.9422,33.64997674,REPLAY,ACTIVE
S-FKID000129-02,FKID000129,Loop Detector,queue_length,169.9868,0.9422,2867.21695296,REPLAY,ACTIVE
S-FKID000129-03,FKID000129,Weather Feed,incident_indicator,0.6318,0.9656,0.0456959,REPLAY,ACTIVE
S-FKID000129-04,FKID000129,Signal Controller,queue_length,142.7215,0.9327,3754.18445796,REPLAY,ACTIVE
S-FKID000129-04,FKID000129,Signal Controller,lane_availability,0.7374,0.9327,0.01042829,REPLAY,ACTIVE
S-FKID003911-00,FKID003911,Roadwork Feed,lane_availability,1.0,0.7297,0.06075436,REPLAY,DEGRADED
S-FKID003911-01,FKID003911,ANPR,travel_time,173.0289,0.9373,729.44070659,REPLAY,ACTIVE
S-FKID003911-02,FKID003911,Loop Detector,traffic_speed,33.3409,0.7565,59.79503593,REPLAY,DEGRADED
S-FKID003911-02,FKID003911,Loop Detector,queue_length,188.4389,0.7565,5094.961641,REPLAY,DEGRADED
S-FKID003911-03,FKID003911,Incident Dispatch Feed,incident_indicator,0.3727,0.7356,0.05258812,REPLAY,DEGRADED
S-FKID000528-00,FKID000528,Roadwork Feed,lane_availability,0.9245,0.7521,0.05728507,REPLAY,DEGRADED
S-FKID000528-01,FKID000528,Incident Dispatch Feed,incident_indicator,0.2098,0.9604,0.02620157,REPLAY,ACTIVE
S-FKID000528-02,FKID000528,Loop Detector,traffic_speed,37.9489,0.9421,33.66883218,REPLAY,ACTIVE
S-FKID000528-02,FKID000528,Loop Detector,queue_length,231.3426,0.9421,2868.82356996,REPLAY,ACTIVE
S-FKID000528-03,FKID000528,ANPR,travel_time,251.5086,0.9628,664.82290691,REPLAY,ACTIVE
S-FKID000923-00,FKID000923,Signal Controller,queue_length,118.2811,0.9462,3577.714596,REPLAY,ACTIVE
S-FKID000923-00,FKID000923,Signal Controller,lane_availability,0.7962,0.9462,0.0099381,REPLAY,ACTIVE
S-FKID000923-01,FKID000923,Roadwork Feed,lane_availability,1.0,0.8177,0.04766581,REPLAY,SIMULATED
S-FKID000923-02,FKID000923,Incident Dispatch Feed,incident_indicator,0.2978,0.5471,0.08172852,REPLAY,STALE
S-FKID007189-00,FKID007189,Event Feed,incident_indicator,0.0164,0.934,0.04152181,REPLAY,ACTIVE
S-FKID007189-00,FKID007189,Event Feed,lane_availability,0.7002,0.934,0.04152181,REPLAY,ACTIVE
S-FKID007189-01,FKID007189,Bluetooth Probe,travel_time,225.0488,0.9678,1102.93598183,REPLAY,ACTIVE
S-FKID007189-02,FKID007189,Roadwork Feed,lane_availability,0.8489,0.951,0.03086241,REPLAY,ACTIVE
S-FKID007189-03,FKID007189,Signal Controller,queue_length,239.4064,0.9587,3417.75867456,REPLAY,ACTIVE
S-FKID007189-03,FKID007189,Signal Controller,lane_availability,0.6959,0.9587,0.00949377,REPLAY,ACTIVE
S-FKID007189-04,FKID007189,Weather Feed,incident_indicator,0.0592,0.7372,0.09309638,REPLAY,DEGRADED
S-FKID001133-00,FKID001133,Radar,traffic_speed,55.8035,0.7233,82.57475031,REPLAY,DEGRADED
S-FKID001133-01,FKID001133,Signal Controller,queue_length,231.6315,0.9301,3788.59946256,REPLAY,ACTIVE
S-FKID001133-01,FKID001133,Signal Controller,lane_availability,0.9299,0.9301,0.01052389,REPLAY,ACTIVE
S-FKID001133-02,FKID001133,CCTV,queue_length,64.0389,0.9318,6694.44694416,REPLAY,ACTIVE
S-FKID001133-02,FKID001133,CCTV,incident_indicator,0.128,0.9318,0.01859569,REPLAY,ACTIVE
S-FKID001133-02,FKID001133,CCTV,lane_availability,0.9278,0.9318,0.01859569,REPLAY,ACTIVE
S-FKID004711-00,FKID004711,Roadwork Feed,lane_availability,0.6166,0.9419,0.03189189,REPLAY,ACTIVE
S-FKID004711-01,FKID004711,Weather Feed,incident_indicator,0.3575,0.7546,0.08889521,REPLAY,DEGRADED
S-FKID004711-02,FKID004711,Signal Controller,queue_length,181.7747,0.9596,3406.19307876,REPLAY,ACTIVE
S-FKID004711-02,FKID004711,Signal Controller,lane_availability,0.7155,0.9596,0.00946165,REPLAY,ACTIVE
S-FKID004711-03,FKID004711,Incident Dispatch Feed,incident_indicator,0.6782,0.5631,0.07899248,REPLAY,STALE
S-FKID004711-04,FKID004711,Bluetooth Probe,travel_time,211.4531,0.8001,1907.54405919,REPLAY,SIMULATED
S-FKID004806-00,FKID004806,Weather Feed,incident_indicator,0.0601,0.5364,0.14857247,REPLAY,STALE
S-FKID004806-01,FKID004806,Roadwork Feed,lane_availability,0.759,0.9227,0.03412961,REPLAY,ACTIVE
S-FKID004806-03,FKID004806,Radar,traffic_speed,49.2446,0.55,123.55478487,REPLAY,STALE
S-FKID004806-04,FKID004806,Bluetooth Probe,travel_time,185.7267,0.9584,1142.04525011,REPLAY,ACTIVE
S-FKID004806-05,FKID004806,CCTV,queue_length,66.263,0.564,18165.109284,REPLAY,STALE
S-FKID004806-05,FKID004806,CCTV,incident_indicator,0.0,0.564,0.05045864,REPLAY,STALE
S-FKID004806-05,FKID004806,CCTV,lane_availability,0.308,0.564,0.05045864,REPLAY,STALE
S-FKID007137-00,FKID007137,Roadwork Feed,lane_availability,1.0,0.7378,0.05948233,REPLAY,DEGRADED
S-FKID007137-01,FKID007137,GPS Probe,traffic_speed,62.679,0.729,121.56440664,REPLAY,DEGRADED
S-FKID007137-01,FKID007137,GPS Probe,travel_time,289.1085,0.729,1657.3041,REPLAY,DEGRADED
S-FKID007137-03,FKID007137,ANPR,travel_time,157.7489,0.5509,2075.42202624,REPLAY,STALE
S-FKID007137-04,FKID007137,Radar,traffic_speed,49.2448,0.9443,42.27450855,REPLAY,ACTIVE
S-FKID007137-05,FKID007137,Bluetooth Probe,travel_time,279.7548,0.5733,3344.13309911,REPLAY,STALE
S-FKID005996-00,FKID005996,Incident Dispatch Feed,incident_indicator,0.1246,0.7415,0.05177718,REPLAY,DEGRADED
S-FKID005996-01,FKID005996,ANPR,travel_time,262.2786,0.9389,725.40157156,REPLAY,ACTIVE
S-FKID005996-02,FKID005996,LiDAR,queue_length,108.8487,0.7214,4277.16,REPLAY,DEGRADED
S-FKID005996-02,FKID005996,LiDAR,lane_availability,0.6729,0.7214,0.011881,REPLAY,DEGRADED
S-FKID005996-03,FKID005996,Signal Controller,queue_length,119.6729,0.8076,5591.65955076,REPLAY,SIMULATED
S-FKID005996-03,FKID005996,Signal Controller,lane_availability,0.7006,0.8076,0.01553239,REPLAY,SIMULATED
S-FKID000968-00,FKID000968,Bluetooth Probe,travel_time,204.2237,0.9432,1206.98432922,REPLAY,ACTIVE
S-FKID000968-01,FKID000968,Event Feed,incident_indicator,0.5201,0.7484,0.07320271,REPLAY,DEGRADED
S-FKID000968-01,FKID000968,Event Feed,lane_availability,0.4973,0.7484,0.07320271,REPLAY,DEGRADED
S-FKID000968-03,FKID000968,Loop Detector,traffic_speed,43.9555,0.9489,32.85014957,REPLAY,ACTIVE
S-FKID000968-03,FKID000968,Loop Detector,queue_length,148.5847,0.9489,2799.06599844,REPLAY,ACTIVE
S-FKID000968-04,FKID000968,Weather Feed,incident_indicator,0.7492,0.9482,0.04872173,REPLAY,ACTIVE
S-FKID000968-05,FKID000968,Incident Dispatch Feed,incident_indicator,0.108,0.9584,0.0263965,REPLAY,ACTIVE
S-FKID001931-00,FKID001931,Event Feed,incident_indicator,0.3432,0.9809,0.03491928,REPLAY,ACTIVE
S-FKID001931-00,FKID001931,Event Feed,lane_availability,1.0,0.9809,0.03491928,REPLAY,ACTIVE
S-FKID001931-01,FKID001931,ANPR,travel_time,184.6511,0.5438,2106.45750275,REPLAY,STALE
S-FKID001931-02,FKID001931,Loop Detector,traffic_speed,40.1863,0.7452,61.623285,REPLAY,DEGRADED
S-FKID001931-02,FKID001931,Loop Detector,queue_length,156.9436,0.7452,5250.741444,REPLAY,DEGRADED
S-FKID001931-03,FKID001931,Signal Controller,queue_length,101.318,0.9485,3547.48889664,REPLAY,ACTIVE
S-FKID001931-03,FKID001931,Signal Controller,lane_availability,0.9181,0.9485,0.00985414,REPLAY,ACTIVE
S-FKID001932-00,FKID001932,Loop Detector,traffic_speed,44.1882,0.9623,31.26772398,REPLAY,ACTIVE
S-FKID001932-00,FKID001932,Loop Detector,queue_length,235.6971,0.9623,2664.23210244,REPLAY,ACTIVE
S-FKID001932-01,FKID001932,CCTV,queue_length,224.909,0.929,6761.7729,REPLAY,ACTIVE
S-FKID001932-01,FKID001932,CCTV,incident_indicator,0.2561,0.929,0.0187827,REPLAY,ACTIVE
S-FKID001932-01,FKID001932,CCTV,lane_availability,0.9285,0.929,0.0187827,REPLAY,ACTIVE
S-FKID001932-02,FKID001932,Incident Dispatch Feed,incident_indicator,0.2046,0.9711,0.02517141,REPLAY,ACTIVE
S-FKID003103-00,FKID003103,Signal Controller,queue_length,246.254,0.9292,3799.90876356,REPLAY,ACTIVE
S-FKID003103-00,FKID003103,Signal Controller,lane_availability,0.66,0.9292,0.0105553,REPLAY,ACTIVE
S-FKID003103-01,FKID003103,Loop Detector,traffic_speed,42.553,0.9441,33.42863306,REPLAY,ACTIVE
S-FKID003103-01,FKID003103,Loop Detector,queue_length,245.6336,0.9441,2848.3569,REPLAY,ACTIVE
S-FKID003103-03,FKID003103,Radar,traffic_speed,32.8864,0.9333,43.96982945,REPLAY,ACTIVE
S-FKID003103-04,FKID003103,Incident Dispatch Feed,incident_indicator,0.3914,0.5351,0.0837952,REPLAY,STALE
S-FKID001646-00,FKID001646,CCTV,queue_length,134.8856,0.7358,12109.06569744,REPLAY,DEGRADED
S-FKID001646-00,FKID001646,CCTV,incident_indicator,0.1521,0.7358,0.03363629,REPLAY,DEGRADED
S-FKID001646-00,FKID001646,CCTV,lane_availability,0.6673,0.7358,0.03363629,REPLAY,DEGRADED
S-FKID001646-01,FKID001646,Weather Feed,incident_indicator,0.5303,0.9637,0.04601711,REPLAY,ACTIVE
S-FKID001646-02,FKID001646,GPS Probe,traffic_speed,35.2527,0.9692,57.61477939,REPLAY,ACTIVE
S-FKID001646-02,FKID001646,GPS Probe,travel_time,263.407,0.9692,785.47012854,REPLAY,ACTIVE
S-FKID001646-03,FKID001646,Event Feed,incident_indicator,0.3482,0.948,0.03949242,REPLAY,ACTIVE
S-FKID001646-03,FKID001646,Event Feed,lane_availability,0.7112,0.948,0.03949242,REPLAY,ACTIVE
S-FKID004531-00,FKID004531,Bluetooth Probe,travel_time,236.9173,0.9433,1206.8676,REPLAY,ACTIVE
S-FKID004531-01,FKID004531,Weather Feed,incident_indicator,0.4089,0.9488,0.0486176,REPLAY,ACTIVE
S-FKID004531-02,FKID004531,Roadwork Feed,lane_availability,0.6191,0.5704,0.08849019,REPLAY,STALE
S-FKID004531-03,FKID004531,ANPR,travel_time,186.6234,0.7692,1230.49414656,REPLAY,DEGRADED
S-FKID004531-04,FKID004531,GPS Probe,traffic_speed,50.7846,0.5484,185.15847722,REPLAY,STALE
S-FKID004531-04,FKID004531,GPS Probe,travel_time,197.4611,0.5484,2524.29071898,REPLAY,STALE
S-FKID004531-05,FKID004531,Loop Detector,traffic_speed,44.0625,0.8285,48.76431409,REPLAY,SIMULATED
S-FKID004531-05,FKID004531,Loop Detector,queue_length,183.9132,0.8285,4155.06581604,REPLAY,SIMULATED
S-FKID000164-00,FKID000164,Incident Dispatch Feed,incident_indicator,0.3753,0.9456,0.02765802,REPLAY,ACTIVE
S-FKID000164-01,FKID000164,Event Feed,incident_indicator,0.8787,0.5428,0.11875123,REPLAY,STALE
S-FKID000164-01,FKID000164,Event Feed,lane_availability,0.9153,0.5428,0.11875123,REPLAY,STALE
S-FKID000164-02,FKID000164,Signal Controller,queue_length,192.1699,0.5461,10612.99677636,REPLAY,STALE
S-FKID000164-02,FKID000164,Signal Controller,lane_availability,0.938,0.5461,0.02948055,REPLAY,STALE
S-FKID000164-03,FKID000164,Weather Feed,incident_indicator,0.3635,0.5303,0.15045245,REPLAY,STALE
S-FKID000164-04,FKID000164,CCTV,queue_length,44.8599,0.9438,6414.66439056,REPLAY,ACTIVE
S-FKID000164-04,FKID000164,CCTV,incident_indicator,0.1722,0.9438,0.01781851,REPLAY,ACTIVE
S-FKID000164-04,FKID000164,CCTV,lane_availability,0.6318,0.9438,0.01781851,REPLAY,ACTIVE
S-FKID005593-01,FKID005593,Radar,traffic_speed,51.5081,0.9463,41.97497902,REPLAY,ACTIVE
S-FKID005593-02,FKID005593,Roadwork Feed,lane_availability,1.0,0.9619,0.02965387,REPLAY,ACTIVE
S-FKID004694-00,FKID004694,GPS Probe,traffic_speed,49.7966,0.9621,59.16140281,REPLAY,ACTIVE
S-FKID004694-00,FKID004694,GPS Probe,travel_time,210.7044,0.9621,806.55545601,REPLAY,ACTIVE
S-FKID004694-01,FKID004694,Radar,traffic_speed,56.0793,0.5375,126.82746353,REPLAY,STALE
S-FKID004694-02,FKID004694,Event Feed,incident_indicator,0.0174,0.8257,0.05892902,REPLAY,SIMULATED
S-FKID004694-02,FKID004694,Event Feed,lane_availability,0.8602,0.8257,0.05892902,REPLAY,SIMULATED
S-FKID004694-03,FKID004694,Signal Controller,queue_length,107.0798,0.9417,3636.16236036,REPLAY,ACTIVE
S-FKID004694-03,FKID004694,Signal Controller,lane_availability,0.6593,0.9417,0.01010045,REPLAY,ACTIVE
S-FKID004694-04,FKID004694,CCTV,queue_length,0.0,0.5794,17572.10057604,REPLAY,STALE
S-FKID004694-04,FKID004694,CCTV,incident_indicator,0.2552,0.5794,0.04881139,REPLAY,STALE
S-FKID004694-04,FKID004694,CCTV,lane_availability,0.6524,0.5794,0.04881139,REPLAY,STALE
S-FKID003235-00,FKID003235,Bluetooth Probe,travel_time,254.5953,0.9641,1118.40481935,REPLAY,ACTIVE
S-FKID003235-01,FKID003235,Loop Detector,traffic_speed,39.1664,0.9135,37.20749904,REPLAY,ACTIVE
S-FKID003235-01,FKID003235,Loop Detector,queue_length,206.6836,0.9135,3170.34311364,REPLAY,ACTIVE
S-FKID003235-02,FKID003235,ANPR,travel_time,217.7176,0.7503,1294.84249857,REPLAY,DEGRADED
S-FKID003235-03,FKID003235,Weather Feed,incident_indicator,0.5261,0.9506,0.04829534,REPLAY,ACTIVE
S-FKID005137-00,FKID005137,Incident Dispatch Feed,incident_indicator,0.4167,0.9565,0.02658987,REPLAY,ACTIVE
S-FKID005137-01,FKID005137,ANPR,travel_time,234.1681,0.9382,727.22556109,REPLAY,ACTIVE
S-FKID005137-02,FKID005137,Bluetooth Probe,travel_time,243.6666,0.9573,1146.62420819,REPLAY,ACTIVE
S-FKID005137-03,FKID005137,LiDAR,queue_length,190.6609,0.9227,2351.765025,REPLAY,ACTIVE
S-FKID005137-03,FKID005137,LiDAR,lane_availability,0.8371,0.9227,0.00653268,REPLAY,ACTIVE
