event_id,recommended_action,baseline_queue,baseline_travel,baseline_risk,action_queue,action_travel,action_risk,queue_impact,travel_impact,risk_impact,queue_reduction_pct,risk_reduction_pct,generated_at
FKID001288,DISPATCH_TOW,166.366,280.5408,0.2774,126.7216,263.7084,0.170904,39.6444,16.8324,0.106496,23.83,38.39,2026-06-20T02:47:06.160690+00:00
FKID001489,QUEUE_RELIEF,198.9249,240.163,0.137,169.0862,216.1467,0.0983,29.8387,24.0163,0.0387,15.0,28.25,2026-06-20T02:47:06.160690+00:00
FKID001592,DISPATCH_TOW,121.2996,230.8114,0.2427,94.5428,216.9627,0.148651,26.7568,13.8487,0.094049,22.06,38.75,2026-06-20T02:47:06.160690+00:00
FKID001646,QUEUE_RELIEF,134.9333,263.5614,0.2365,114.6933,237.2053,0.18785,20.24,26.3561,0.04865,15.0,20.57,2026-06-20T02:47:06.160690+00:00
FKID001693,QUEUE_RELIEF,189.9485,232.2345,0.2298,161.4562,209.0111,0.18182,28.4923,23.2234,0.04798,15.0,20.88,2026-06-20T02:47:06.160690+00:00
FKID001931,QUEUE_RELIEF,120.6483,184.7592,0.2003,102.5511,166.2833,0.15527,18.0972,18.4759,0.04503,15.0,22.48,2026-06-20T02:47:06.160690+00:00
FKID001932,QUEUE_RELIEF,232.8195,240.1644,0.1765,197.8966,216.148,0.13385,34.9229,24.0164,0.04265,15.0,24.16,2026-06-20T02:47:06.160690+00:00
FKID003103,DISPATCH_TOW,246.0007,240.1689,0.2976,192.9,225.7588,0.196637,53.1007,14.4101,0.100963,21.59,33.93,2026-06-20T02:47:06.160690+00:00
FKID003235,DISPATCH_TOW,206.7952,239.9864,0.32,155.3578,225.5872,0.202018,51.4374,14.3992,0.117982,24.87,36.87,2026-06-20T02:47:06.160690+00:00
FKID003897,QUEUE_RELIEF,205.3336,240.1554,0.1888,174.5336,216.1399,0.14492,30.8,24.0155,0.04388,15.0,23.24,2026-06-20T02:47:06.160690+00:00
FKID003911,DISPATCH_TOW,188.5093,173.1369,0.2272,148.7188,162.7487,0.139091,39.7905,10.3882,0.088109,21.11,38.78,2026-06-20T02:47:06.160690+00:00
FKID004125,QUEUE_RELIEF,266.8847,240.1723,0.2037,226.852,216.1551,0.15833,40.0327,24.0172,0.04537,15.0,22.27,2026-06-20T02:47:06.160690+00:00
FKID004401,QUEUE_RELIEF,200.659,249.7804,0.1846,170.5601,224.8024,0.14114,30.0988,24.978,0.04346,15.0,23.54,2026-06-20T02:47:06.160690+00:00
FKID004408,QUEUE_RELIEF,180.6496,208.647,0.1016,153.5522,187.7823,0.06644,27.0974,20.8647,0.03516,15.0,34.61,2026-06-20T02:47:06.160690+00:00
FKID004492,SIGNAL_OFFSET_ADJUST,171.8254,207.9083,0.0895,158.6336,191.9463,0.073235,13.1918,15.962,0.016265,7.68,18.17,2026-06-20T02:47:06.160690+00:00
FKID004519,SIGNAL_OFFSET_ADJUST,184.2072,277.8232,0.0759,169.5531,255.7218,0.060587,14.6541,22.1014,0.015313,7.96,20.18,2026-06-20T02:47:06.160690+00:00
FKID004531,DISPATCH_TOW,183.9801,212.4084,0.287,143.5383,199.6639,0.186152,40.4418,12.7445,0.100848,21.98,35.14,2026-06-20T02:47:06.160690+00:00
FKID004694,SIGNAL_OFFSET_ADJUST,95.0197,210.829,0.1104,88.128,195.5377,0.092672,6.8917,15.2913,0.017728,7.25,16.06,2026-06-20T02:47:06.160690+00:00
FKID004711,DISPATCH_TOW,181.8546,211.6077,0.3139,137.6858,198.9112,0.199365,44.1688,12.6965,0.114535,24.29,36.49,2026-06-20T02:47:06.160690+00:00
FKID004806,SIGNAL_OFFSET_ADJUST,66.2878,185.8429,0.056,61.065,171.2003,0.04208,5.2228,14.6426,0.01392,7.88,24.86,2026-06-20T02:47:06.160690+00:00
FKID004829,SIGNAL_OFFSET_ADJUST,135.2425,242.1541,0.1281,125.7326,225.1264,0.109133,9.5099,17.0277,0.018967,7.03,14.81,2026-06-20T02:47:06.160690+00:00
FKID004967,ACTIVATE_DIVERSION,176.0609,243.8584,0.1848,144.4935,207.4223,0.134472,31.5674,36.4361,0.050328,17.93,27.23,2026-06-20T02:47:06.160690+00:00
FKID005079,QUEUE_RELIEF,226.662,307.501,0.2331,192.6627,276.7509,0.18479,33.9993,30.7501,0.04831,15.0,20.73,2026-06-20T02:47:06.160690+00:00
FKID005137,DISPATCH_TOW,190.7263,233.6775,0.2466,148.4583,219.6569,0.151541,42.268,14.0206,0.095059,22.16,38.55,2026-06-20T02:47:06.160690+00:00
FKID005194,ACTIVATE_DIVERSION,112.4756,286.7514,0.2564,96.8025,253.4531,0.198196,15.6731,33.2983,0.058204,13.93,22.7,2026-06-20T02:47:06.160690+00:00
FKID005244,QUEUE_RELIEF,34.5574,232.2883,0.2784,29.3738,209.0595,0.22556,5.1836,23.2288,0.05284,15.0,18.98,2026-06-20T02:47:06.160690+00:00
FKID005593,DISPATCH_TOW,180.1377,240.1906,0.1622,147.2201,225.7792,0.093586,32.9176,14.4114,0.068614,18.27,42.3,2026-06-20T02:47:06.160690+00:00
FKID005996,SIGNAL_OFFSET_ADJUST,113.8903,262.465,0.1201,105.6248,243.4168,0.101693,8.2655,19.0482,0.018407,7.26,15.33,2026-06-20T02:47:06.160690+00:00
FKID006015,QUEUE_RELIEF,188.4748,232.8558,0.1354,160.2036,209.5702,0.09686,28.2712,23.2856,0.03854,15.0,28.46,2026-06-20T02:47:06.160690+00:00
FKID006340,QUEUE_RELIEF,196.5932,298.7634,0.2102,167.1042,268.8871,0.16418,29.489,29.8763,0.04602,15.0,21.89,2026-06-20T02:47:06.160690+00:00
FKID006361,QUEUE_RELIEF,213.6891,252.9728,0.161,181.6357,227.6755,0.1199,32.0534,25.2973,0.0411,15.0,25.53,2026-06-20T02:47:06.160690+00:00
FKID006514,QUEUE_RELIEF,200.0336,240.1757,0.2083,170.0286,216.1581,0.16247,30.005,24.0176,0.04583,15.0,22.0,2026-06-20T02:47:06.160690+00:00
FKID006955,QUEUE_RELIEF,201.5186,209.408,0.2148,171.2908,188.4672,0.16832,30.2278,20.9408,0.04648,15.0,21.64,2026-06-20T02:47:06.160690+00:00
FKID007137,DISPATCH_TOW,183.792,247.7327,0.1654,149.9155,232.8687,0.095807,33.8765,14.864,0.069593,18.43,42.08,2026-06-20T02:47:06.160690+00:00
FKID007189,QUEUE_RELIEF,239.5095,225.2115,0.1084,203.5831,202.6903,0.07256,35.9264,22.5212,0.03584,15.0,33.06,2026-06-20T02:47:06.160690+00:00
FKID007660,QUEUE_RELIEF,100.9292,282.1917,0.1973,85.7898,253.9725,0.15257,15.1394,28.2192,0.04473,15.0,22.67,2026-06-20T02:47:06.160690+00:00
FKID008103,DISPATCH_TOW,249.857,203.3603,0.3428,184.7283,191.1587,0.215816,65.1287,12.2016,0.126984,26.07,37.04,2026-06-20T02:47:06.160690+00:00
