query_event_id,cause,corridor,confidence,effective_sample_size,mean_similarity,abstain_flag,actual_duration,predicted_duration_median,abs_error,rel_error
FKID003704,public_event,Mysore Road,0.8528,4.967,0.8528,0,67.6,67.6,0.0,0.0
FKID003731,procession,Non-corridor,0.4915,4.998,0.4915,0,1440.0,1418.2,21.799999999999955,0.015138888888888858
FKID003755,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID003758,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID003763,public_event,ORR West 1,0.8116,4.972,0.8116,0,67.6,67.6,0.0,0.0
FKID003783,procession,Non-corridor,0.9015,4.99,0.9015,0,67.6,61.4,6.199999999999996,0.09171597633136089
FKID004092,procession,Non-corridor,0.8852,4.992,0.8852,0,91.6,60.9,30.699999999999996,0.3351528384279476
FKID004127,procession,Non-corridor,0.9053,4.978,0.9053,0,67.6,62.7,4.8999999999999915,0.0724852071005916
FKID004161,protest,Non-corridor,0.8082,4.996,0.8082,0,67.6,75.1,7.5,0.11094674556213019
FKID004165,protest,Non-corridor,0.5197,4.939,0.5197,0,1440.0,1440.0,0.0,0.0
FKID004184,procession,Non-corridor,0.7744,4.993,0.7744,0,38.4,56.0,17.6,0.45833333333333337
FKID004386,public_event,Magadi Road,0.7384,4.999,0.7384,0,239.8,52.5,187.3,0.7810675562969142
FKID004418,procession,Non-corridor,0.9043,4.973,0.9043,0,67.6,56.9,10.699999999999996,0.158284023668639
FKID004426,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID004430,public_event,Non-corridor,0.4864,4.984,0.4864,0,1333.9,1366.6,32.69999999999982,0.02451458130294611
FKID004449,procession,Non-corridor,0.8896,4.974,0.8896,0,67.6,61.6,5.999999999999993,0.08875739644970404
FKID004467,procession,Non-corridor,0.7599,4.996,0.7599,0,2.6,55.7,53.1,20.423076923076923
FKID004471,procession,Non-corridor,0.8772,4.977,0.8772,0,67.6,56.5,11.099999999999994,0.16420118343195259
FKID004485,procession,Magadi Road,0.889,4.992,0.889,0,67.6,74.0,6.400000000000006,0.09467455621301785
FKID004486,public_event,Bellary Road 1,0.8401,4.953,0.8401,0,67.6,67.6,0.0,0.0
FKID004488,procession,Hennur Main Road,0.8771,4.981,0.8771,0,67.6,69.9,2.3000000000000114,0.03402366863905343
FKID004505,procession,Non-corridor,0.8915,4.98,0.8915,0,67.6,65.2,2.3999999999999915,0.03550295857988153
FKID004509,procession,Non-corridor,0.6937,4.998,0.6937,0,170.4,54.7,115.7,0.6789906103286385
FKID004527,public_event,Non-corridor,0.5596,4.913,0.5596,0,1440.0,1374.2,65.79999999999995,0.04569444444444441
FKID004535,protest,Non-corridor,0.7836,4.999,0.7836,0,18.2,62.6,44.400000000000006,2.4395604395604398
FKID004609,public_event,Non-corridor,0.8036,4.972,0.8036,0,240.3,91.3,149.0,0.6200582605076986
FKID004629,public_event,Magadi Road,0.8571,4.993,0.8571,0,83.0,65.4,17.599999999999994,0.21204819277108428
FKID004632,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID004641,public_event,Non-corridor,0.4695,4.998,0.4695,0,1440.0,1418.3,21.700000000000045,0.015069444444444476
FKID004671,procession,Magadi Road,0.8648,4.983,0.8648,0,67.6,69.0,1.4000000000000057,0.020710059171597718
FKID004700,public_event,West of Chord Road,0.8234,4.986,0.8234,0,121.2,74.4,46.8,0.3861386138613861
FKID004703,procession,Magadi Road,0.8908,4.973,0.8908,0,67.6,74.7,7.1000000000000085,0.1050295857988167
FKID004707,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID004711,public_event,Non-corridor,0.4521,4.964,0.4521,0,1440.0,1349.9,90.09999999999991,0.06256944444444439
FKID004721,vip_movement,Non-corridor,0.5392,4.879,0.5392,0,1440.0,1440.0,0.0,0.0
FKID004738,procession,Non-corridor,0.9035,4.975,0.9035,0,67.6,56.8,10.799999999999997,0.15976331360946744
FKID004747,procession,Non-corridor,0.9042,4.974,0.9042,0,67.6,62.7,4.8999999999999915,0.0724852071005916
FKID004750,procession,Non-corridor,0.7423,4.985,0.7423,0,0.0,55.2,55.2,55.2
FKID004753,procession,Non-corridor,0.89,4.973,0.89,0,86.8,62.6,24.199999999999996,0.2788018433179723
FKID004771,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID004792,public_event,ORR North 1,0.7721,4.969,0.7721,0,0.2,54.5,54.3,54.3
FKID004801,procession,Magadi Road,0.8286,4.992,0.8286,0,120.5,62.8,57.7,0.47883817427385894
FKID004884,public_event,Non-corridor,0.8312,4.973,0.8312,0,52.8,76.0,23.200000000000003,0.43939393939393945
FKID004885,public_event,Non-corridor,0.8755,4.955,0.8755,0,60.0,76.9,16.900000000000006,0.2816666666666668
FKID004887,public_event,Non-corridor,0.8746,4.954,0.8746,0,52.8,76.7,23.900000000000006,0.4526515151515153
FKID004901,procession,Non-corridor,0.8754,4.98,0.8754,0,67.6,56.6,10.999999999999993,0.16272189349112418
FKID004902,procession,Non-corridor,0.85,4.981,0.85,0,166.8,72.9,93.9,0.5629496402877697
FKID004906,public_event,Non-corridor,0.7806,4.99,0.7806,0,241.5,91.0,150.5,0.6231884057971014
FKID005098,public_event,Non-corridor,0.7662,4.995,0.7662,0,113.1,69.2,43.89999999999999,0.38815207780725014
FKID005099,public_event,Non-corridor,0.7674,4.995,0.7674,0,111.2,69.2,42.0,0.3776978417266187
FKID005127,procession,Non-corridor,0.8993,4.976,0.8993,0,58.2,62.6,4.399999999999999,0.0756013745704467
FKID005136,public_event,Non-corridor,0.4568,4.986,0.4568,0,1440.0,1416.6,23.40000000000009,0.016250000000000063
FKID005167,public_event,Non-corridor,0.5504,4.931,0.5504,0,1440.0,1373.3,66.70000000000005,0.046319444444444476
FKID005248,procession,Non-corridor,0.5363,4.938,0.5363,0,1440.0,1440.0,0.0,0.0
FKID005271,procession,Non-corridor,0.8439,4.992,0.8439,0,84.7,70.4,14.299999999999997,0.1688311688311688
FKID005273,public_event,Magadi Road,0.7792,4.953,0.7792,0,240.6,75.7,164.89999999999998,0.6853699085619285
FKID005291,public_event,Non-corridor,0.5544,4.949,0.5544,0,1440.0,1349.0,91.0,0.06319444444444444
FKID005292,vip_movement,Non-corridor,0.4902,4.954,0.4902,0,1440.0,1352.9,87.09999999999991,0.060486111111111046
FKID005353,procession,Non-corridor,0.7895,4.988,0.7895,0,67.6,56.5,11.099999999999994,0.16420118343195259
FKID005354,procession,Non-corridor,0.8687,4.982,0.8687,0,0.3,56.7,56.400000000000006,56.400000000000006
FKID005473,public_event,Bannerghata Road,0.8613,4.971,0.8613,0,67.6,67.6,0.0,0.0
FKID005634,public_event,Mysore Road,0.8143,4.956,0.8143,0,67.6,67.6,0.0,0.0
FKID005659,procession,Hennur Main Road,0.8163,4.99,0.8163,0,104.5,61.5,43.0,0.41148325358851673
FKID005754,public_event,Bellary Road 1,0.8149,4.964,0.8149,0,67.6,61.9,5.699999999999996,0.08431952662721888
FKID005805,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID005806,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID005956,procession,Non-corridor,0.8961,4.984,0.8961,0,67.6,72.4,4.800000000000011,0.07100591715976348
FKID006105,public_event,Non-corridor,0.8549,4.993,0.8549,0,0.0,53.8,53.8,53.8
FKID006248,public_event,Bellary Road 2,0.7897,4.991,0.7897,0,190.0,75.7,114.3,0.601578947368421
FKID006283,public_event,Hosur Road,0.817,4.963,0.817,0,67.6,67.6,0.0,0.0
FKID006314,procession,Mysore Road,0.8136,4.976,0.8136,0,67.6,71.9,4.300000000000011,0.06360946745562147
FKID006315,procession,Non-corridor,0.7797,4.997,0.7797,0,67.6,67.6,0.0,0.0
FKID006401,public_event,Old Airport Road,0.7131,4.991,0.7131,0,0.0,51.3,51.3,51.3
FKID006473,procession,Bellary Road 2,0.7541,4.94,0.7541,0,120.6,83.3,37.3,0.3092868988391376
FKID006547,public_event,Non-corridor,0.8128,4.981,0.8128,0,146.2,64.7,81.49999999999999,0.5574555403556771
FKID006581,public_event,Non-corridor,0.838,4.973,0.838,0,180.2,79.5,100.69999999999999,0.5588235294117647
FKID006633,public_event,Bellary Road 2,0.804,4.994,0.804,0,0.0,84.4,84.4,84.4
FKID006635,public_event,Bellary Road 2,0.5554,4.984,0.5554,0,720.1,148.2,571.9000000000001,0.7941952506596307
FKID006638,public_event,Bellary Road 2,0.8475,4.955,0.8475,0,0.0,60.3,60.3,60.3
FKID006639,public_event,Bellary Road 2,0.549,4.959,0.549,0,1440.0,1356.3,83.70000000000005,0.05812500000000003
FKID006650,public_event,Non-corridor,0.8498,4.987,0.8498,0,0.6,48.3,47.699999999999996,47.699999999999996
FKID006666,public_event,Mysore Road,0.836,4.98,0.836,0,3.4,61.6,58.2,17.11764705882353
FKID006703,procession,Hosur Road,0.8069,4.997,0.8069,0,0.0,73.5,73.5,73.5
FKID006806,public_event,Non-corridor,0.8219,4.993,0.8219,0,67.6,64.7,2.8999999999999915,0.04289940828402355
FKID006807,protest,Mysore Road,0.5372,4.918,0.5372,0,1440.0,1372.6,67.40000000000009,0.04680555555555562
FKID006838,procession,Non-corridor,0.8608,4.98,0.8608,0,0.1,57.5,57.4,57.4
FKID007012,public_event,West of Chord Road,0.794,4.984,0.794,0,5.9,75.6,69.69999999999999,11.813559322033896
FKID007013,public_event,West of Chord Road,0.8347,4.957,0.8347,0,2.2,70.7,68.5,31.136363636363633
FKID007161,procession,Magadi Road,0.862,4.973,0.862,0,85.8,68.5,17.299999999999997,0.2016317016317016
FKID007173,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID007186,procession,West of Chord Road,0.7549,4.95,0.7549,0,67.6,60.4,7.199999999999996,0.10650887573964492
FKID007191,procession,Airport New South Road,0.8808,4.984,0.8808,0,67.6,74.8,7.200000000000003,0.10650887573964501
FKID007213,procession,Magadi Road,0.7795,4.933,0.7795,0,59.5,78.7,19.200000000000003,0.3226890756302522
FKID007215,procession,Non-corridor,0.773,4.992,0.773,0,10.7,55.7,45.0,4.205607476635515
FKID007248,procession,Magadi Road,0.7214,4.997,0.7214,0,1.7,59.4,57.699999999999996,33.94117647058823
FKID007249,procession,Magadi Road,0.6965,4.92,0.6965,0,259.4,79.7,179.7,0.6927525057825752
FKID007303,protest,Old Airport Road,0.7423,4.998,0.7423,0,67.6,53.5,14.099999999999994,0.20857988165680466
FKID007408,procession,Non-corridor,0.8825,4.996,0.8825,0,0.0,47.7,47.7,47.7
FKID007416,protest,CBD 2,0.7422,4.969,0.7422,0,67.6,60.8,6.799999999999997,0.10059171597633133
FKID007450,protest,Mysore Road,0.7459,4.999,0.7459,0,30.7,63.2,32.5,1.0586319218241043
FKID007487,public_event,Non-corridor,0.7503,4.976,0.7503,0,119.5,61.0,58.5,0.4895397489539749
FKID007575,procession,Non-corridor,0.8816,4.987,0.8816,0,32.4,48.1,15.700000000000003,0.484567901234568
FKID007686,procession,Mysore Road,0.8136,4.976,0.8136,0,67.6,71.9,4.300000000000011,0.06360946745562147
FKID007787,procession,Non-corridor,0.7529,4.99,0.7529,0,0.0,29.1,29.1,29.1
FKID007967,vip_movement,Mysore Road,0.674,4.999,0.674,0,1.2,67.6,66.39999999999999,55.33333333333333
FKID007991,public_event,Non-corridor,0.7573,4.985,0.7573,0,0.0,50.2,50.2,50.2
FKID008054,public_event,ORR West 1,0.8528,4.967,0.8528,0,67.6,67.6,0.0,0.0
FKID008080,protest,Mysore Road,0.7774,4.994,0.7774,0,67.6,57.0,10.599999999999994,0.1568047337278106
FKID008130,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID008131,public_event,Hennur Main Road,0.8528,4.967,0.8528,0,67.6,67.6,0.0,0.0
