event_cause,corridor,n,rmst_60min,rmst_180min,rmst_360min,rmst_720min
pot_holes,Old Madras Road,23,60.0,180.0,360.0,720.0
pot_holes,West of Chord Road,16,57.11520102239584,169.61520102239584,338.36520102239587,675.8652010223959
procession,Non-corridor,43,45.197823817224965,111.52609558480145,198.14534035320506,362.48537285940847
public_event,Non-corridor,21,47.260673504999076,112.89346967553294,163.20329532163743,250.19820194302963
road_conditions,Bellary Road 1,16,56.98954705665303,155.50171073399179,284.74206596049044,522.1262621457765
road_conditions,Non-corridor,76,58.437658898365854,172.98999438539283,345.2491686973195,682.1678848912943
tree_fall,Bellary Road 1,18,55.41284886816656,154.55469308446814,288.1676885822973,554.3843848522796
tree_fall,Non-corridor,190,56.861797123054494,150.29312446194027,280.5834952524777,527.7319461768491
vehicle_breakdown,Airport New South Road,31,56.17026700456989,148.34465188172044,281.89303897849464,548.989813172043
vehicle_breakdown,Bannerghata Road,93,53.03368292288963,138.88723643056463,263.5625611058893,512.9132104565386
vehicle_breakdown,Bellary Road 1,449,52.71182341977028,138.20331534418858,260.11678546015645,503.9437256920921
vehicle_breakdown,Bellary Road 2,269,53.956187739334936,141.29709298300108,266.5057367982022,516.9230244286044
vehicle_breakdown,CBD 2,51,52.48491885539216,129.20399143447713,238.61575614035948,457.4392855521242
vehicle_breakdown,Hennur Main Road,34,55.89197215029674,146.86874418887243,280.39990145890215,547.4622159989616
vehicle_breakdown,Hosur Road,170,52.088537111962275,126.30563660017677,229.93557177990573,437.19544213936365
vehicle_breakdown,IRR(Thanisandra road),24,50.46509719166666,125.95974654305554,238.45974654305553,463.45974654305553
vehicle_breakdown,Magadi Road,170,51.26651026975489,123.49861374823523,224.08684904235284,425.26331963058806
vehicle_breakdown,Mysore Road,561,50.06029849727875,121.65479578319807,223.3785645198148,426.8261019930483
vehicle_breakdown,Non-corridor,1643,52.601799268924154,132.75756290332728,246.05237693500732,472.6420049983674
vehicle_breakdown,ORR East 1,154,51.19110557840179,129.5418905962601,239.94362072274276,460.7470809757082
vehicle_breakdown,ORR East 2,56,50.33859424461401,125.39368788464992,234.29853528141834,452.1082300749552
vehicle_breakdown,ORR North 1,153,51.813212929299226,132.15442984761958,246.08415823037566,473.94361499588786
vehicle_breakdown,ORR North 2,147,52.2440782779717,135.49653034786104,253.402074495705,489.21316279139296
vehicle_breakdown,ORR West 1,105,52.1690482952381,123.45491076333339,221.16919647761912,416.59776790619065
vehicle_breakdown,Old Airport Road,40,45.1380792474811,99.91202880625524,171.09590789945423,313.46366608585225
vehicle_breakdown,Old Madras Road,184,52.17969472014664,135.98839266439708,259.4241468543412,506.2956552342294
vehicle_breakdown,Tumkur Road,383,47.93416675713533,114.68042313242991,209.49973202190503,399.1383498008554
vehicle_breakdown,Varthur Road,52,50.37642911041263,123.20691629368149,223.1295468546099,422.9748079764667
vehicle_breakdown,West of Chord Road,105,52.81175934123562,139.25827771416027,266.844484610712,522.0168984038155
water_logging,Bannerghata Road,35,57.30302029833334,170.4458774411905,340.16016315547625,679.5887345840478
water_logging,Bellary Road 1,20,55.496634678511,146.44925479103216,271.62691976565145,521.98224971489
water_logging,Hosur Road,18,58.02782012314816,164.60008903703704,314.60008903703704,614.6000890370372
water_logging,Mysore Road,41,53.937982992862146,146.52222408543528,272.5471701626817,519.0421780449728
water_logging,Non-corridor,187,57.65388987504298,163.52679653748228,311.9327190732116,603.1307474700263
water_logging,ORR East 1,22,55.79261417992423,164.88352327083328,328.5198869071968,655.792614179924
water_logging,ORR West 1,15,60.0,171.78876481349207,327.42779421371887,638.4482023769842
water_logging,Old Madras Road,15,49.39634183161638,125.02415398393426,222.14435997117974,423.2039626201863
