event_id,event_cause,corridor,junction,T,archetype,archetype_label
FKID000434,vehicle_breakdown,Non-corridor,,32.981926566666665,0,severe
FKID000441,water_logging,ORR West 1,,31067.90847805,2,extreme
FKID000442,vehicle_breakdown,Non-corridor,,24.749764333333335,3,moderate
FKID000443,water_logging,Bannerghata Road,,18623.928009216666,2,extreme
FKID000444,others,Non-corridor,,89679.99652428334,3,moderate
FKID000450,vehicle_breakdown,Magadi Road,,107.40422818333333,1,quick_clear
FKID000453,water_logging,Non-corridor,,21555.31223965,0,severe
FKID000456,water_logging,Non-corridor,,634.7593560833334,0,severe
FKID000457,tree_fall,ORR West 1,,628.0100223833334,2,extreme
FKID000458,vehicle_breakdown,ORR West 1,,39.407815049999996,1,quick_clear
FKID000461,accident,Tumkur Road,,34.37267258333333,1,quick_clear
FKID000464,vehicle_breakdown,Tumkur Road,,45.264776866666665,1,quick_clear
FKID000467,vehicle_breakdown,Non-corridor,,45.61544075,0,severe
FKID000468,procession,Non-corridor,,340.33611666666667,3,moderate
FKID000471,vehicle_breakdown,Magadi Road,,77.75613968333333,1,quick_clear
FKID000472,others,ORR East 2,,170.56828548333334,1,quick_clear
FKID000473,others,ORR East 2,,18.06991683333333,1,quick_clear
FKID000474,vehicle_breakdown,ORR North 2,,90.19006885,1,quick_clear
FKID000477,water_logging,Non-corridor,,1043.3983678333332,0,severe
FKID000478,procession,Non-corridor,,0.27158333333333334,0,severe
FKID000479,vehicle_breakdown,Bellary Road 2,,12.225998116666666,1,quick_clear
FKID000480,water_logging,Non-corridor,,1039.9556850166666,0,severe
FKID000482,water_logging,Non-corridor,,3481.07047895,0,severe
FKID000485,water_logging,Mysore Road,,48925.08282431667,2,extreme
FKID000491,pot_holes,Old Madras Road,TrinityCircle,92792.88329971668,2,extreme
FKID000492,tree_fall,Hosur Road,,62.19627536666667,1,quick_clear
FKID000493,water_logging,Old Madras Road,,38922.47945293333,2,extreme
FKID000494,water_logging,Old Madras Road,,38927.736953499996,2,extreme
FKID000495,vehicle_breakdown,Bellary Road 2,,76.96167763333332,1,quick_clear
FKID000499,water_logging,Non-corridor,,10540.669296933334,3,moderate
FKID000500,vehicle_breakdown,Mysore Road,,61.782266433333334,1,quick_clear
FKID000501,vehicle_breakdown,Varthur Road,,37.483846299999996,1,quick_clear
FKID000503,vehicle_breakdown,ORR West 1,,39.58132188333333,1,quick_clear
FKID000504,congestion,Hennur Main Road,,41.08258143333333,1,quick_clear
FKID000505,others,Mysore Road,,1862.94228465,2,extreme
FKID000506,water_logging,ORR West 1,,3321.72448815,2,extreme
FKID000513,others,Non-corridor,,567.0433455166666,0,severe
FKID000515,tree_fall,Mysore Road,,2191.5870473500004,2,extreme
FKID000520,vehicle_breakdown,Bellary Road 1,,110.65663531666668,1,quick_clear
FKID000521,pot_holes,Non-corridor,,6478.14761105,0,severe
FKID000522,road_conditions,Bellary Road 1,HebbalFlyoverJunc,88409.34102665,3,moderate
FKID000525,tree_fall,Non-corridor,,1938.8078038166668,0,severe
FKID000527,tree_fall,Non-corridor,,7741.090977233333,0,severe
FKID000528,tree_fall,Non-corridor,,7725.8088132,3,moderate
FKID000529,tree_fall,Non-corridor,,7714.292728683333,0,severe
FKID000530,water_logging,Non-corridor,,18791.138211166668,0,severe
FKID000531,vehicle_breakdown,Non-corridor,,75.83953751666667,0,severe
FKID000532,pot_holes,Non-corridor,,60308.72783935,2,extreme
FKID000533,others,Non-corridor,,19.413640933333333,0,severe
FKID000535,vehicle_breakdown,Bellary Road 1,,21.48659638333333,1,quick_clear
FKID000537,vehicle_breakdown,Old Airport Road,,10.285472433333332,1,quick_clear
FKID000538,vehicle_breakdown,Mysore Road,,78.04236811666667,1,quick_clear
FKID000539,vehicle_breakdown,Tumkur Road,,8.949905016666666,1,quick_clear
FKID000541,vehicle_breakdown,Old Airport Road,,85.34070533333333,1,quick_clear
FKID000542,tree_fall,Non-corridor,,7684.336017833333,0,severe
FKID000543,water_logging,Old Madras Road,,6102.368835766667,2,extreme
FKID000544,vehicle_breakdown,Bellary Road 1,,74.08036368333335,1,quick_clear
FKID000547,others,Non-corridor,CID-CarltonHouseJunc,47238.69848676667,0,severe
FKID000548,others,CBD 2,CoffeeBoardJunc,37822.9705345,2,extreme
FKID000553,construction,ORR East 2,,778.5956666666666,2,extreme
FKID000556,vehicle_breakdown,Hosur Road,,57.48541201666667,1,quick_clear
FKID000557,construction,ORR West 1,,1.9375833333333332,1,quick_clear
FKID000559,pot_holes,Non-corridor,,36490.44095341666,0,severe
FKID000561,construction,ORR North 1,,25835.501772983334,2,extreme
FKID000563,accident,Bellary Road 1,,16.25948615,1,quick_clear
FKID000564,water_logging,IRR(Thanisandra road),,53354.217873333335,2,extreme
FKID000565,water_logging,CBD 2,CoffeeBoardJunc,80517.23230166666,2,extreme
FKID000567,vehicle_breakdown,Bellary Road 1,,88.67010386666668,1,quick_clear
FKID000568,vehicle_breakdown,ORR North 2,,49.33388356666667,1,quick_clear
FKID000569,road_conditions,Bannerghata Road,,41.26528335,1,quick_clear
FKID000578,vehicle_breakdown,Bellary Road 2,,35.9550146,1,quick_clear
FKID000582,vehicle_breakdown,Tumkur Road,,11.41129385,1,quick_clear
FKID000586,accident,Bellary Road 2,,65.95049823333333,1,quick_clear
FKID000587,vehicle_breakdown,Non-corridor,,110.95514761666666,0,severe
FKID000588,vehicle_breakdown,Non-corridor,,28.716758966666664,0,severe
FKID000589,vehicle_breakdown,Mysore Road,,131.20510380000002,1,quick_clear
FKID000590,vehicle_breakdown,Mysore Road,,102.62026928333333,1,quick_clear
FKID000597,vehicle_breakdown,Tumkur Road,,125.82290351666667,1,quick_clear
FKID000598,vehicle_breakdown,Non-corridor,,51.529733783333334,0,severe
FKID000599,vehicle_breakdown,Mysore Road,,3.73901635,1,quick_clear
FKID000604,vehicle_breakdown,Non-corridor,,18.3825912,0,severe
FKID000605,vehicle_breakdown,Tumkur Road,,7.900588366666667,1,quick_clear
FKID000608,others,ORR East 2,,12941.585693,2,extreme
FKID000609,vehicle_breakdown,Non-corridor,,14.79356025,0,severe
FKID000610,vehicle_breakdown,Hennur Main Road,,100.59974936666667,1,quick_clear
FKID000612,vehicle_breakdown,Magadi Road,,102.56760073333334,1,quick_clear
FKID000615,others,Magadi Road,,156.8681104,1,quick_clear
FKID000616,others,CBD 2,PoliceTimmaiahCircle(GPO),65287.39152793333,2,extreme
FKID000617,pot_holes,CBD 2,,70035.4109677,2,extreme
FKID000618,pot_holes,ORR West 1,Delmia-Jayanagar,102211.0217912,2,extreme
FKID000623,others,ORR North 1,,65.11967595,1,quick_clear
FKID000624,others,Old Airport Road,,23045.811545316665,2,extreme
FKID000629,construction,ORR East 2,,712.2417,2,extreme
FKID000631,vehicle_breakdown,Mysore Road,,46.61182065,1,quick_clear
FKID000632,vehicle_breakdown,Non-corridor,,41.68652611666666,0,severe
FKID000633,vehicle_breakdown,Varthur Road,,37.8018373,1,quick_clear
FKID000634,vehicle_breakdown,Non-corridor,,118.13179021666666,0,severe
FKID000635,vehicle_breakdown,Non-corridor,,58.84397311666667,0,severe
FKID000636,vehicle_breakdown,Bellary Road 1,,40.3799524,1,quick_clear
FKID000638,others,CBD 2,,8750.818675366667,2,extreme
FKID000640,water_logging,CBD 2,CoffeeBoardJunc,51674.3600317,2,extreme
FKID000641,others,Mysore Road,SirsiCircle,75420.19727465,2,extreme
FKID000646,others,Non-corridor,,187.72091528333334,0,severe
FKID000647,pot_holes,Bellary Road 2,,28386.76052491667,2,extreme
FKID000650,vehicle_breakdown,Hennur Main Road,,92.29220731666666,1,quick_clear
FKID000651,road_conditions,Non-corridor,,88542.22809078333,0,severe
FKID000653,pot_holes,Non-corridor,,22847.570394516668,0,severe
FKID000655,others,Non-corridor,,48.6091393,0,severe
FKID000657,accident,Non-corridor,,4.357959916666667,0,severe
FKID000658,vehicle_breakdown,Mysore Road,,4.0160994500000005,1,quick_clear
FKID000659,pot_holes,Non-corridor,K R Circle,43297.95095176667,0,severe
FKID000664,others,Tumkur Road,,1303.7770233833332,2,extreme
FKID000668,vehicle_breakdown,Non-corridor,,41.98896968333334,0,severe
FKID000670,water_logging,Hosur Road,CMP GateJunc,14636.951830766666,2,extreme
FKID000672,others,ORR North 2,,10320.266869116665,2,extreme
FKID000673,vehicle_breakdown,Non-corridor,,99.42997704999999,0,severe
FKID000674,others,Non-corridor,,2267.11059435,0,severe
FKID000675,others,ORR North 2,,83795.66197925,2,extreme
FKID000676,vehicle_breakdown,Mysore Road,,49.17207883333333,1,quick_clear
FKID000679,others,IRR(Thanisandra road),,34689.907691316665,3,moderate
FKID000681,vehicle_breakdown,Tumkur Road,,7.371330166666667,1,quick_clear
FKID000684,vehicle_breakdown,Varthur Road,,59.29006258333333,1,quick_clear
FKID000685,vehicle_breakdown,Non-corridor,,15.77857665,0,severe
FKID000692,water_logging,ORR West 1,,6178.0393693333335,2,extreme
FKID000694,construction,ORR West 1,,59.02461666666667,1,quick_clear
FKID000695,vehicle_breakdown,Tumkur Road,,45.83979136666667,1,quick_clear
FKID000697,vehicle_breakdown,Bellary Road 1,,105.14612633333333,1,quick_clear
FKID000698,water_logging,Bellary Road 2,YelhankaCircle,21480.110906166665,2,extreme
FKID000699,construction,Bellary Road 2,,17.343116666666667,1,quick_clear
FKID000700,vehicle_breakdown,Bellary Road 1,,27.93791925,1,quick_clear
FKID000701,vehicle_breakdown,Tumkur Road,,12.276266133333333,1,quick_clear
FKID000706,tree_fall,Non-corridor,,56.79600258333333,3,moderate
FKID000708,vehicle_breakdown,Bellary Road 2,,45.69163531666666,1,quick_clear
FKID000711,tree_fall,Non-corridor,,52510.90529903334,3,moderate
FKID000712,vehicle_breakdown,Non-corridor,,42.935636433333336,0,severe
FKID000714,others,Non-corridor,,280.83443520000003,0,severe
FKID000715,others,Hosur Road,,26.72452003333333,1,quick_clear
FKID000717,procession,Non-corridor,,39.301233333333336,0,severe
FKID000719,vehicle_breakdown,Non-corridor,,95.82774763333333,0,severe
FKID000720,vehicle_breakdown,Non-corridor,,34.2924117,0,severe
FKID000721,vehicle_breakdown,Non-corridor,,129.19878353333334,0,severe
FKID000725,vehicle_breakdown,Tumkur Road,,19.84877475,1,quick_clear
FKID000726,water_logging,Non-corridor,,71984.07921398334,0,severe
FKID000732,others,Magadi Road,,611.3854716000001,2,extreme
FKID000741,others,Non-corridor,,30112.756747433334,0,severe
FKID000744,vehicle_breakdown,West of Chord Road,,115.28882806666667,1,quick_clear
FKID000745,vehicle_breakdown,Magadi Road,,7.7180967,1,quick_clear
FKID000748,vehicle_breakdown,Varthur Road,,98.82358633333334,1,quick_clear
FKID000749,others,Tumkur Road,,1327.4565705999998,2,extreme
FKID000750,pot_holes,ORR West 1,,10155.104486383332,2,extreme
FKID000752,vehicle_breakdown,Bellary Road 1,,12.097447016666667,1,quick_clear
FKID000755,vehicle_breakdown,Bannerghata Road,,10.48741705,1,quick_clear
FKID000756,vehicle_breakdown,Non-corridor,,73.79083653333333,0,severe
FKID000757,vehicle_breakdown,ORR East 1,,40.523691066666665,1,quick_clear
FKID000763,vehicle_breakdown,Mysore Road,,25.035437483333332,1,quick_clear
FKID000766,vehicle_breakdown,Mysore Road,,48.54255426666667,1,quick_clear
FKID000769,vehicle_breakdown,Non-corridor,,27.657876616666666,3,moderate
FKID000773,vehicle_breakdown,Tumkur Road,,148.41387268333335,1,quick_clear
FKID000775,others,Mysore Road,,154.96781246666666,1,quick_clear
FKID000778,vehicle_breakdown,Bellary Road 1,,29.79319548333333,1,quick_clear
FKID000781,vehicle_breakdown,Non-corridor,,119.41805864999999,0,severe
FKID000783,vehicle_breakdown,Non-corridor,,30.14560906666667,0,severe
FKID000787,vehicle_breakdown,Mysore Road,,79.44030501666666,1,quick_clear
FKID000789,vehicle_breakdown,ORR North 1,,33.73741513333333,1,quick_clear
FKID000791,vehicle_breakdown,Non-corridor,,71.70723046666667,0,severe
FKID000792,vehicle_breakdown,Mysore Road,,41.48662983333334,1,quick_clear
FKID000798,tree_fall,West of Chord Road,,31.80648258333333,1,quick_clear
FKID000800,vehicle_breakdown,Hosur Road,,47.110916849999995,1,quick_clear
FKID000805,construction,ORR East 2,,726.6753666666666,2,extreme
FKID000807,others,Bellary Road 1,,32.5370269,1,quick_clear
FKID000808,water_logging,Non-corridor,,12279.153694183333,0,severe
FKID000816,construction,Tumkur Road,,0.5445333333333333,3,moderate
FKID000817,tree_fall,Non-corridor,,358.28831121666667,0,severe
FKID000818,vehicle_breakdown,Non-corridor,,95.20728398333334,0,severe
FKID000821,vehicle_breakdown,Non-corridor,,38.20984111666667,0,severe
FKID000822,others,Tumkur Road,,40356.568071249996,2,extreme
FKID000823,pot_holes,Bannerghata Road,,1487.2023295833335,2,extreme
FKID000824,vehicle_breakdown,Mysore Road,,20.381774716666666,1,quick_clear
FKID000826,water_logging,Varthur Road,,1484.0019410666669,2,extreme
FKID000827,construction,Non-corridor,,5820.239507183333,3,moderate
FKID000828,accident,ORR East 1,,52.74507428333333,1,quick_clear
FKID000829,others,ORR North 1,,1.0338238833333333,1,quick_clear
FKID000830,others,ORR North 2,,30752.3803296,2,extreme
FKID000831,vehicle_breakdown,Non-corridor,,53.862429883333334,0,severe
FKID000834,construction,Non-corridor,,19010.9735243,3,moderate
FKID000841,vehicle_breakdown,Varthur Road,,62.645947,1,quick_clear
FKID000842,others,Non-corridor,SubedarChatramRd near SheshadripuramPS,71672.26525256666,3,moderate
FKID000843,vehicle_breakdown,ORR East 1,,1.2778825666666667,1,quick_clear
FKID000844,vehicle_breakdown,Non-corridor,,58.697027133333336,0,severe
FKID000845,vehicle_breakdown,Non-corridor,,75.01906000000001,0,severe
FKID000846,road_conditions,Non-corridor,,35231.49571261667,0,severe
FKID000848,water_logging,Hennur Main Road,,20495.786394766666,2,extreme
FKID000856,water_logging,West of Chord Road,ModiBridgeJunction,56508.9407717,3,moderate
FKID000857,construction,Non-corridor,,969.3087973999999,0,severe
